# Race: Istria 100 by UTMB 2023 - WHITE
# Distance: 21.4 km
# D+: 130 m
# D-: 130 m
# Date: 2023-04-16
# URL: https://live.utmb.world/100milesofistria/2023
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
4005,Johan FREIMANN,FR,30,H,20-34M,,https://utmb.world/runner/519515.johan.freimann,673.0,1.0,1.0,1.0,01:22:46,4966.69,True,f,
4113,Lorenzo PARODI,IT,30,H,20-34M,,,,2.0,2.0,2.0,01:24:55,5095.61,True,f,
4001,Maël BURES,FR,30,H,20-34M,,https://utmb.world/runner/3472423.mael.bures,725.0,3.0,3.0,3.0,01:27:00,5220.07,True,f,
4297,Enrico PAUSIN,IT,51,H,45-49M,,https://utmb.world/runner/478919.enrico.pausin,691.0,4.0,4.0,1.0,01:27:37,5257.22,True,f,
4308,Célien WILLEMIN,CH,33,H,20-34M,,,,5.0,5.0,4.0,01:27:49,5269.06,True,f,
4011,Goran PAPEŠ,HR,47,H,45-49M,,https://utmb.world/runner/3405717.goran.papes,620.0,6.0,6.0,2.0,01:28:55,5335.35,True,f,
4012,Flaviano FATUZZO,IT,35,H,20-34M,,,,7.0,7.0,5.0,01:30:30,5430.87,True,f,
4304,Vincent LOUSTAU,FR,31,H,20-34M,,https://utmb.world/runner/3161507.vincent.loustau,807.0,8.0,8.0,6.0,01:31:49,5509.98,True,f,
4000,Rebecca KONE,ZA,22,F,20-34W,,,,9.0,1.0,1.0,01:31:52,5512.0,True,f,
4310,Jakob HELANDER,SE,35,H,20-34M,,https://utmb.world/runner/4671834.jakob.helander,664.0,10.0,9.0,7.0,01:33:13,5593.45,True,f,
4013,Slaven DUGALIĆ TOFFOLINI,HR,36,H,20-34M,,,,11.0,10.0,8.0,01:33:43,5623.87,True,f,
4023,Petr SCHÜLER,CZ,35,H,20-34M,,https://utmb.world/runner/3207245.petr.schuler,543.0,12.0,11.0,9.0,01:33:59,5639.78,True,f,
4003,Till WINKLER,DE,49,H,45-49M,,,,13.0,12.0,3.0,01:34:59,5699.6,True,f,
4018,Ivan BUDIĆ,HR,37,H,35-39M,,https://utmb.world/runner/2352703.ivan.budic,564.0,14.0,13.0,1.0,01:35:00,5700.56,True,f,
4017,Marijan DŽELALIJA,HR,39,H,35-39M,,https://utmb.world/runner/4697252.marijan.dzelalija,569.0,15.0,14.0,2.0,01:35:40,5740.56,True,f,
4278,Ismael SEBAI,ES,39,H,35-39M,,https://utmb.world/runner/4856286.ismael.sebai,565.0,15.0,14.0,2.0,01:35:40,5740.8,True,f,
4009,Tamas TUZA,HU,42,H,40-44M,,,,17.0,16.0,1.0,01:35:54,5754.81,True,f,
4307,Dragan KRAMAR,HR,37,H,35-39M,,,,18.0,17.0,4.0,01:36:22,5782.75,True,f,
4049,Deni KERNJUS,HR,23,H,20-34M,,https://utmb.world/runner/4213901.deni.kernjus,480.0,19.0,18.0,10.0,01:37:32,5852.04,True,f,
4055,Andras ANTAL,HU,22,H,20-34M,,https://utmb.world/runner/4788526.andras.antal,466.0,20.0,19.0,11.0,01:39:44,5984.76,True,f,
4007,Knyttl JAN,CZ,47,H,45-49M,,https://utmb.world/runner/4254543.jan.knyttl,623.0,21.0,20.0,4.0,01:40:02,6002.0,True,f,
4046,Darko DOMINKO,HR,56,H,50-54M,,https://utmb.world/runner/3405939.darko.dominko,,22.0,21.0,1.0,01:40:54,6054.39,True,f,
4306,Natalia MASTROTA,IT,30,F,20-34W,,https://utmb.world/runner/807222.natalia.mastrota,663.0,23.0,2.0,2.0,01:41:02,6062.35,True,f,
4010,Michael BAUER,AT,33,H,20-34M,,https://utmb.world/runner/4494510.michael.bauer,,24.0,22.0,12.0,01:41:05,6065.98,True,f,
4075,Marcan LUKA,HR,30,H,20-34M,,https://utmb.world/runner/5063733.marcan.luka,,25.0,23.0,13.0,01:41:29,6089.33,True,f,
4002,Lena LUPŠA,SI,18,F,U18 W,,https://utmb.world/runner/4198222.lena.lupsa,611.0,26.0,3.0,1.0,01:42:25,6145.68,True,f,
4248,Kristina IPAVEC,SI,24,F,20-34W,,,,26.0,3.0,3.0,01:42:25,6145.43,True,f,
4318,Max SOMMER,AT,34,H,20-34M,,https://utmb.world/runner/4596350.max.sommer,598.0,28.0,24.0,14.0,01:42:47,6167.0,True,f,
4188,Sebastian SCHURL,AT,32,H,20-34M,,,,28.0,24.0,14.0,01:42:47,6167.82,True,f,
4254,Joseph GALEA,MT,37,H,35-39M,,,,30.0,26.0,5.0,01:42:54,6174.81,True,f,
4014,Marcin BEKAS,PL,49,H,45-49M,,https://utmb.world/runner/1607873.marcin.bekas,591.0,31.0,27.0,5.0,01:43:08,6188.81,True,f,
4061,Perica BRAINOVIC,HR,37,H,35-39M,,https://utmb.world/runner/5061907.perica.brainovic,,32.0,28.0,6.0,01:43:27,6207.85,True,f,
4268,Uroš SVETINA,SI,45,H,40-44M,,https://utmb.world/runner/5061835.uros.svetina,,33.0,29.0,2.0,01:43:30,6210.73,True,f,
4317,Katharina KLUGE,DE,38,F,35-39W,,https://utmb.world/runner/4429426.katharina.kluge,406.0,34.0,5.0,1.0,01:44:33,6273.31,True,f,
4201,Bojan HLAČA,HR,39,H,35-39M,,https://utmb.world/runner/5058521.bojan.hlaca,,35.0,30.0,7.0,01:45:17,6317.22,True,f,
4101,Domagoj DEVČIĆ,HR,45,H,40-44M,,https://utmb.world/runner/4416014.domagoj.devcic,355.0,36.0,31.0,3.0,01:45:32,6332.41,True,f,
4212,David MAKOVAC,HR,30,H,20-34M,,https://utmb.world/runner/5061867.david.makovac,,37.0,32.0,16.0,01:46:41,6401.55,True,f,
4210,Gabrijel SOLENIČKI,HR,18,H,U18 M,,https://utmb.world/runner/5092507.gabrijel.solenicki,,38.0,33.0,1.0,01:46:50,6410.26,True,f,
4253,Steve SULTANA,MT,30,H,20-34M,,https://utmb.world/runner/3707389.steve.sultana,,38.0,33.0,17.0,01:46:50,6410.76,True,f,
4206,Zlatko VLASIC,HR,41,H,35-39M,,https://utmb.world/runner/5058515.zlatko.vlasic,,40.0,35.0,8.0,01:47:22,6442.83,True,f,
4282,Sandor AGARDI,HU,36,H,20-34M,,https://utmb.world/runner/4672750.sandor.agardi,441.0,41.0,36.0,18.0,01:47:48,6468.12,True,f,
4025,Leon CIGLAR,SI,44,H,40-44M,,https://utmb.world/runner/5061891.leon.ciglar,,42.0,37.0,4.0,01:47:55,6475.11,True,f,
4024,Rok KAVČIČ,SI,32,H,20-34M,,,,43.0,38.0,19.0,01:48:19,6499.68,True,f,
4008,Amalia-Florentina ARDELEANU,RO,33,F,20-34W,,https://utmb.world/runner/4364696.amaliaflorentina.ardeleanu,529.0,44.0,6.0,4.0,01:49:17,6557.1,True,f,
4130,Dorina CRNČAN,HR,27,F,20-34W,,,,45.0,7.0,5.0,01:49:43,6583.59,True,f,
4228,Ivan RUBINIĆ,HR,29,H,20-34M,,,,46.0,39.0,20.0,01:50:03,6603.84,True,f,
4087,Laimonas MATUSEVICIUS,LT,49,H,45-49M,,,,47.0,40.0,6.0,01:50:28,6628.41,True,f,
4042,Daniel PARDHAN,AT,43,H,40-44M,,,,48.0,41.0,5.0,01:50:39,6639.51,True,f,
4121,Brandon ZAUNER,CA,29,H,20-34M,,,,49.0,42.0,21.0,01:53:35,6815.34,True,f,
4056,Milan DANIS,SK,35,H,20-34M,,https://utmb.world/runner/5074637.milan.danis,,50.0,43.0,22.0,01:53:52,6832.21,True,f,
4207,Nevio NEŽIĆ,HR,45,H,40-44M,,,,51.0,44.0,6.0,01:54:46,6886.96,True,f,
4284,Goran GLAVIČIĆ,HR,42,H,40-44M,,https://utmb.world/runner/5065093.goran.glavicic,,52.0,45.0,7.0,01:54:49,6889.61,True,f,
4044,Iztok GERLIČ,SI,56,H,50-54M,,https://utmb.world/runner/936641.iztok.gerlic,495.0,53.0,46.0,2.0,01:55:02,6902.89,True,f,
4078,Jasenko VUJASINOVIC,HR,44,H,40-44M,,,,54.0,47.0,8.0,01:55:07,6907.0,True,f,
4295,Nikola GALANT,HR,39,H,35-39M,,https://utmb.world/runner/5065123.nikola.galant,,55.0,48.0,9.0,01:55:08,6908.94,True,f,
4035,Kevin HECKENBICHLER,AT,30,H,20-34M,,,,56.0,49.0,23.0,01:55:33,6933.78,True,f,
4300,Anne-Marie CHRISTOFFELS,BE,42,F,40-44W,,https://utmb.world/runner/5067359.annemarie.christoffels,,57.0,8.0,1.0,01:55:57,6957.0,True,f,
4040,Rico LAUKNER,DE,59,H,55-59M,,https://utmb.world/runner/2237603.rico.laukner,499.0,58.0,50.0,1.0,01:56:15,6975.19,True,f,
4043,Jan BERCE,SI,31,H,20-34M,,https://utmb.world/runner/4456602.jan.berce,496.0,58.0,50.0,24.0,01:56:15,6975.67,True,f,
4034,Yi ZENG,NZ,36,H,20-34M,,,,60.0,52.0,25.0,01:57:07,7027.46,True,f,
4058,Vedran KARAPANDZIC,HR,41,H,35-39M,,https://utmb.world/runner/1946373.vedran.karapandzic,459.0,61.0,53.0,10.0,01:57:52,7072.74,True,f,
4270,Denis KALTENEKAR,SI,56,H,50-54M,,https://utmb.world/runner/859050.denis.kaltenekar,,62.0,54.0,3.0,01:58:03,7083.83,True,f,
4060,René BENEK,CZ,47,H,45-49M,,,,63.0,55.0,7.0,01:58:27,7107.21,True,f,
4068,Jonathan FREYS,FR,42,H,40-44M,,https://utmb.world/runner/4704652.jonathan.freys,475.0,64.0,56.0,9.0,01:59:37,7177.53,True,f,
4301,Vladimir TOMIĆ,IT,39,H,35-39M,,https://utmb.world/runner/5067361.vladimir.tomic,,65.0,57.0,11.0,01:59:43,7183.57,True,f,
4220,Algirda MICKUVIENĖ,LT,31,F,20-34W,,,,66.0,9.0,6.0,01:59:53,7193.0,True,f,
4120,Audrée VAILLANCOURT,CA,42,F,40-44W,,,,67.0,10.0,2.0,02:00:05,7205.8,True,f,
4223,Mićo BAJAN,HR,45,H,40-44M,,https://utmb.world/runner/5065005.mico.bajan,,68.0,58.0,10.0,02:00:25,7225.08,True,f,
4033,Irena MOFARDIN,HR,38,F,35-39W,,,,69.0,11.0,2.0,02:00:26,7226.28,True,f,
4192,Philipp PLANK,AT,28,H,20-34M,,,,70.0,59.0,26.0,02:00:57,7257.38,True,f,
4062,Sasa PAJDIC,HR,52,H,50-54M,,,,71.0,60.0,4.0,02:01:44,7304.6,True,f,
4067,Giacomo BERTOZZI,IT,35,H,20-34M,,https://utmb.world/runner/4709052.giacomo.bertozzi,453.0,72.0,61.0,27.0,02:01:47,7307.49,True,f,
4283,Zoran ŠLJIVIĆ,HR,40,H,35-39M,,,,73.0,62.0,12.0,02:02:19,7339.07,True,f,
4273,Milan DANIS,SK,57,H,55-59M,,https://utmb.world/runner/5058533.milan.danis,,74.0,63.0,2.0,02:03:50,7430.88,True,f,
4209,Filip KORACA,HR,27,H,20-34M,,,,75.0,64.0,28.0,02:03:52,7432.09,True,f,
4262,Jan LESKOVŠEK POLAK,SI,20,H,U20 M,,https://utmb.world/runner/5092503.jan.leskovsekpolak,,76.0,65.0,1.0,02:03:59,7439.57,True,f,
4234,Saša JANKOVIĆ,DE,32,H,20-34M,,https://utmb.world/runner/5061871.sasa.jankovic,,77.0,66.0,29.0,02:04:11,7451.85,True,f,
4028,Eva BEDNÁRIKOVÁ,SK,39,F,35-39W,,https://utmb.world/runner/4524912.eva.bednarikova,433.0,78.0,12.0,3.0,02:04:45,7485.11,True,f,
4019,Staša CVETKO,SI,27,F,20-34W,,,,78.0,12.0,7.0,02:04:45,7485.35,True,f,
4240,Matteo GILLI,IT,37,H,35-39M,,https://utmb.world/runner/5061903.matteo.gilli,,80.0,67.0,13.0,02:05:27,7527.06,True,f,
4160,Asja MIŠETIĆ,HR,32,F,20-34W,,,,81.0,14.0,8.0,02:05:28,7528.26,True,f,
4309,Stine LIND HANSEN,DK,34,F,20-34W,,https://utmb.world/runner/3184129.stine.lindhansen,,82.0,15.0,9.0,02:06:15,7575.76,True,f,
4257,Camiel EURLINGS,NL,52,H,50-54M,,https://utmb.world/runner/5065027.camiel.eurlings,,83.0,68.0,5.0,02:06:22,7582.51,True,f,
4039,Jasmina SANKOVIĆ,HR,45,F,40-44W,,,,84.0,16.0,3.0,02:06:53,7613.1,True,f,
4161,Mirna MIKIĆ,HR,49,F,45-49W,,https://utmb.world/runner/5095805.mirna.mikic,,85.0,17.0,1.0,02:08:10,7690.86,True,f,
4219,Tomislav JAIĆ,HR,40,H,35-39M,,https://utmb.world/runner/5061925.tomislav.jaic,,86.0,69.0,14.0,02:08:14,7694.47,True,f,
4198,Dubravko MARTINIĆ,HR,41,H,35-39M,,,,87.0,70.0,15.0,02:08:27,7707.95,True,f,
4251,Tina VEBER ZUPAN,SI,45,F,40-44W,,https://utmb.world/runner/4951700.tina.veberzupan,368.0,88.0,18.0,4.0,02:08:31,7711.08,True,f,
4071,Luigi DEVICENZI,IT,64,H,60-64M,,https://utmb.world/runner/1696231.luigi.devicenzi,421.0,89.0,71.0,1.0,02:08:54,7734.92,True,f,
4289,Staša BUGARSKI,BA,36,F,20-34W,,https://utmb.world/runner/5065103.stasa.bugarski,,90.0,19.0,10.0,02:09:03,7743.35,True,f,
4243,Alberto RENGA,IT,53,H,50-54M,,https://utmb.world/runner/5058557.alberto.renga,,91.0,72.0,6.0,02:09:13,7753.24,True,f,
4214,Viola VILLANI,IT,45,F,40-44W,,https://utmb.world/runner/4866327.viola.villani,360.0,92.0,20.0,5.0,02:09:58,7798.54,True,f,
4302,Denis HRKAČ,HR,48,H,45-49M,,,,93.0,73.0,8.0,02:10:23,7823.61,True,f,
4021,Joanna CEGLARSKA,BE,45,F,40-44W,,https://utmb.world/runner/5058553.joanna.ceglarska,,94.0,21.0,6.0,02:10:34,7834.94,True,f,
4249,Tadeja IRMANCNIK,SI,37,F,35-39W,,https://utmb.world/runner/5058535.tadeja.irmancnik,,95.0,22.0,4.0,02:10:36,7836.39,True,f,
4089,Frédéric GEERTS,BE,58,H,55-59M,,https://utmb.world/runner/4162362.frederic.geerts,397.0,96.0,74.0,3.0,02:10:45,7845.82,True,f,
4190,Alix LAFFAY,FR,43,F,40-44W,,,,97.0,23.0,7.0,02:11:17,7877.63,True,f,
4126,Snježana BRŠČIĆ,HR,55,F,50-54W,,https://utmb.world/runner/5061931.snjezana.br--cic,,98.0,24.0,1.0,02:11:20,7880.52,True,f,
4174,Vlatka FINK RADAKOVIĆ,HR,42,F,40-44W,,,,98.0,24.0,8.0,02:11:20,7880.52,True,f,
4173,Manuela UKOTA,HR,49,F,45-49W,,https://utmb.world/runner/5065053.manuela.ukota,,100.0,26.0,2.0,02:11:21,7881.48,True,f,
4176,Andrea GRMAN FANFANI,HR,49,F,45-49W,,https://utmb.world/runner/4203635.grmanfanfani.andrea,,101.0,27.0,3.0,02:11:33,7893.05,True,f,
4086,Zoran GAŠPAROVIĆ,HR,56,H,50-54M,,https://utmb.world/runner/4293055.zoran.gasparovic,402.0,102.0,75.0,7.0,02:11:48,7908.73,True,f,
4030,Željka KOŠČEVIĆ,HR,48,F,45-49W,,https://utmb.world/runner/3406123.zeljka.koscevic,449.0,103.0,28.0,4.0,02:11:51,7911.09,True,f,
4305,Marco Tulio HERNANDEZ BECERRA,VE,35,H,20-34M,,https://utmb.world/runner/5067365.marcotulio.hernandezbecerra,,104.0,76.0,30.0,02:11:58,7918.8,True,f,
4118,Fabiana MAIA,BR,54,F,50-54W,,https://utmb.world/runner/1816485.fabiana.maia,,105.0,29.0,2.0,02:12:02,7922.91,True,f,
4054,Thomas WINKLEHNER,CH,51,H,45-49M,,https://utmb.world/runner/2389433.thomas.winklehner,465.0,105.0,77.0,9.0,02:12:02,7922.9,True,f,
4264,Matej BLATNIK,SI,37,H,35-39M,,,,107.0,78.0,16.0,02:12:17,7937.64,True,f,
4123,Ivana JURIČIĆ BOIĆ,HR,48,F,45-49W,,https://utmb.world/runner/5058559.ivana.juricicboic,,108.0,30.0,5.0,02:12:25,7945.12,True,f,
4090,Andrea SAU,IT,44,H,40-44M,,,,109.0,79.0,11.0,02:12:52,7972.87,True,f,
4261,Rok GUČEK,SI,32,H,20-34M,,https://utmb.world/runner/5065033.rok.gucek,,110.0,80.0,31.0,02:13:24,8004.47,True,f,
4027,Monika BARAŃSKA,PL,57,F,55-59W,,https://utmb.world/runner/2480029.monika.baranska,436.0,111.0,31.0,1.0,02:13:37,8017.97,True,f,
4286,Suzana BANEK,HR,52,F,50-54W,,https://utmb.world/runner/5065101.suzana.banek,,112.0,32.0,3.0,02:13:59,8039.43,True,f,
4041,Maria-Cristina CONSTANTINESCU,FR,29,F,20-34W,,https://utmb.world/runner/4517680.mariacristina.constantinescu,396.0,113.0,33.0,11.0,02:14:17,8057.74,True,f,
4077,Robert KRŠĆANSKI,HR,50,H,45-49M,,https://utmb.world/runner/3405927.robert.krscanski,425.0,114.0,81.0,10.0,02:14:31,8071.75,True,f,
4065,Gabriela BENKOVÁ,CZ,49,F,45-49W,,,,115.0,34.0,6.0,02:14:42,8082.39,True,f,
4230,Ondrej KOLARCIK,CZ,44,H,40-44M,,https://utmb.world/runner/5058565.ondrej.kolarcik,,116.0,82.0,12.0,02:15:16,8116.14,True,f,
4275,Nathan SCHMIDT,US,46,H,40-44M,,https://utmb.world/runner/5039999.nathan.schmidt,,117.0,83.0,13.0,02:16:06,8166.03,True,f,
4093,Mark REMKE,DE,34,H,20-34M,,https://utmb.world/runner/2170683.mark.remke,381.0,118.0,84.0,32.0,02:16:10,8170.88,True,f,
4047,Ksenia PUCHINA,IT,34,F,20-34W,,https://utmb.world/runner/4951654.ksenia.puchina,390.0,119.0,35.0,12.0,02:16:14,8174.99,True,f,
4217,Goran PROTEGA,HR,63,H,60-64M,,https://utmb.world/runner/4951780.goran.protega,333.0,120.0,85.0,2.0,02:16:44,8204.88,True,f,
4051,Valentina IMERAJ,XKX,43,F,40-44W,,,,121.0,36.0,9.0,02:17:00,8220.07,True,f,
4236,Adriana BRADLEY,RO,46,F,40-44W,,https://utmb.world/runner/4889866.adriana.bradley,375.0,122.0,37.0,10.0,02:17:03,8223.2,True,f,
4134,Kristina ROŠA,HR,33,F,20-34W,,https://utmb.world/runner/5061837.kristina.ro--a,,123.0,38.0,13.0,02:17:38,8258.86,True,f,
4288,George LUCA,DE,49,H,45-49M,,https://utmb.world/runner/4565840.george.luca,349.0,124.0,86.0,11.0,02:17:47,8267.55,True,f,
4296,Karsten DAMDE,DE,49,H,45-49M,,https://utmb.world/runner/2689507.karsten.damde,426.0,125.0,87.0,12.0,02:17:55,8275.03,True,f,
4203,Denis DRANDIĆ,HR,53,H,50-54M,,,,126.0,88.0,8.0,02:17:56,8276.72,True,f,
4137,Gorana MIHOVILOVIĆ,HR,44,F,40-44W,,,,127.0,39.0,11.0,02:18:00,8280.57,True,f,
4177,Aleksandra ŠNELER,HR,56,F,50-54W,,https://utmb.world/runner/3406691.aleksandra.sneler,,127.0,39.0,4.0,02:18:00,8280.81,True,f,
4303,Lucija LISICA,HR,27,F,20-34W,,https://utmb.world/runner/4054139.lucija.lisica,429.0,129.0,41.0,14.0,02:18:07,8287.36,True,f,
4271,Delphine ACKERMANN,CH,32,F,20-34W,,,,130.0,42.0,15.0,02:18:12,8292.44,True,f,
4052,Kader MEKHRAF,CH,44,H,40-44M,,https://utmb.world/runner/971003.kader.mekhraf,471.0,131.0,89.0,14.0,02:18:16,8296.05,True,f,
4103,Shaun WHITING,GB,36,H,20-34M,,,,132.0,90.0,33.0,02:18:30,8310.79,True,f,
4050,Marta RENCSI,HU,40,F,35-39W,,,,133.0,43.0,5.0,02:18:41,8321.41,True,f,
4026,Anna MOLNÁR,HU,33,F,20-34W,,https://utmb.world/runner/4426666.anna.molnar,437.0,134.0,44.0,16.0,02:18:42,8322.37,True,f,
4269,Mikaela SVENSSON,SE,29,F,20-34W,,https://utmb.world/runner/5061875.mikaela.svensson,,135.0,45.0,17.0,02:18:55,8335.89,True,f,
4127,Vana ZLENDIĆ,HR,39,F,35-39W,,https://utmb.world/runner/5065075.vana.zlendic,,136.0,46.0,6.0,02:18:58,8338.06,True,f,
4250,Urška SVETINA,SI,44,F,40-44W,,https://utmb.world/runner/4950699.urska.svetina,368.0,137.0,47.0,12.0,02:19:20,8360.97,True,f,
4172,Jelena BESTAK,HR,47,F,45-49W,,,,138.0,48.0,7.0,02:20:13,8413.55,True,f,
4227,Marko BEŠTAK,HR,43,H,40-44M,,,,138.0,91.0,15.0,02:20:13,8413.31,True,f,
4182,Nena PUVAČA,HR,48,F,45-49W,,https://utmb.world/runner/5065095.nena.puvaca,,140.0,49.0,8.0,02:22:03,8523.69,True,f,
4119,Elmo SCHIAVETTI JUNIOR,BR,60,H,55-59M,,https://utmb.world/runner/570074.elmo.schiavettijunior,,141.0,92.0,4.0,02:22:30,8550.23,True,f,
4146,Ivana NEŽIĆ,HR,44,F,40-44W,,,,142.0,50.0,13.0,02:23:04,8584.97,True,f,
4115,Donald VUKOVIĆ,HR,41,H,35-39M,,https://utmb.world/runner/5061889.donald.vukovic,,143.0,93.0,17.0,02:23:08,8588.0,True,f,
4194,Carly LINDON-FORRESTER,GB,40,F,35-39W,,,,144.0,51.0,7.0,02:23:20,8600.39,True,f,
4110,Tomislav KOPFER,HR,46,H,40-44M,,https://utmb.world/runner/5061893.tomislav.kopfer,,145.0,94.0,16.0,02:23:31,8611.51,True,f,
4094,Bilal BALTACI,TR,67,H,65-69M,,https://utmb.world/runner/3530617.bilal.baltaci,382.0,146.0,95.0,1.0,02:23:34,8614.9,True,f,
4265,Silvia DANISOVA,SK,55,F,50-54W,,,,147.0,52.0,5.0,02:23:39,8619.98,True,f,
4202,Dino BRALA,HR,35,H,20-34M,,https://utmb.world/runner/5065035.dino.brala,,147.0,96.0,34.0,02:23:39,8619.02,True,f,
4154,Barbara JURIĆ,HR,30,F,20-34W,,https://utmb.world/runner/5061897.barbara.juric,,149.0,53.0,18.0,02:23:50,8630.61,True,f,
4170,Miranda VUČETIĆ,HR,55,F,50-54W,,,,150.0,54.0,6.0,02:23:54,8634.96,True,f,
4197,Robert ZACCAI,HR,53,H,50-54M,,https://utmb.world/runner/5065029.robert.zaccai,,151.0,97.0,9.0,02:24:00,8640.04,True,f,
4111,Robert RES,HR,45,H,40-44M,,https://utmb.world/runner/5061899.robert.res,,152.0,98.0,17.0,02:24:16,8656.97,True,f,
4038,Lada GUMHALTER,HR,52,F,50-54W,,https://utmb.world/runner/4293062.lada.gumhalter,402.0,153.0,55.0,7.0,02:24:49,8689.29,True,f,
4237,Josef GROß,DE,66,H,60-64M,,,,154.0,99.0,3.0,02:25:01,8701.85,True,f,
