# Race: Trail Alsace Grand Est by UTMB 2024 - Trail des Pèlerins
# Distance: 34 km
# D+: 1280 m
# D-: 1280 m
# Date: 2024-05-19
# URL: https://live.utmb.world/alsacegrandest/2024
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
6001,Dominik TABOR,PL,30,H,20-34M,Hoka Garmin Team,https://utmb.world/runner/5144077.dominik.tabor,867.0,1.0,1.0,1.0,02:20:33,8433.84,True,f,
6004,Dorian LOUVET,FR,36,H,35-39M,,https://utmb.world/runner/4318794.dorian.louvet,786.0,2.0,2.0,1.0,02:46:00,9960.74,True,f,
7558,Ludovic BOUR,FR,31,H,20-34M,,https://utmb.world/runner/1487203.ludovic.bour,,3.0,3.0,2.0,02:48:35,10115.74,True,f,
6018,Guillaume OSTER,FR,30,H,20-34M,Sport2000 Sélestat,https://utmb.world/runner/5247068.guillaume.oster,689.0,4.0,4.0,3.0,02:49:16,10156.73,True,f,
6539,Salomon DE CASIMACKER,FR,24,H,20-34M,Altore Elite Team,https://utmb.world/runner/2094581.salomon.decasimacker,741.0,5.0,5.0,4.0,02:51:07,10267.37,True,f,
7710,Thibaut SCHWALM,FR,25,H,20-34M,,,,5.0,5.0,4.0,02:51:07,10267.37,True,f,
6986,Nathanael MARLIER,FR,52,H,50-54M,AC CHATENOIS LES FORGES / Team RAIDLIGHT,https://utmb.world/runner/337536.nathanael.marlier,685.0,7.0,7.0,1.0,02:52:19,10339.24,True,f,
6022,Florian DEUBEL,FR,33,H,20-34M,,https://utmb.world/runner/1949989.florian.deubel,684.0,8.0,8.0,6.0,02:54:43,10483.38,True,f,
6159,Kevin MONCELLI,FR,27,H,20-34M,,https://utmb.world/runner/5544256.kevin.moncelli,536.0,9.0,9.0,7.0,02:56:30,10590.89,True,f,
6536,Émilie TISSOT,FR,32,F,20-34W,,https://utmb.world/runner/5453101.emilie.tissot,,10.0,1.0,1.0,02:58:12,10692.36,True,f,
6016,Yann SUSAN,FR,35,H,20-34M,ACCA,https://utmb.world/runner/4393208.yann.susan,693.0,11.0,10.0,8.0,02:58:44,10724.89,True,f,
6010,François JOCKIN,BE,30,H,20-34M,Absolute Run ,https://utmb.world/runner/3182197.francois.jockin,734.0,12.0,11.0,9.0,02:59:07,10747.8,True,f,
6033,Stanislas GRUAU,FR,39,H,35-39M,EXPLORA PROJECT,https://utmb.world/runner/128161.stanislas.gruau,633.0,13.0,12.0,2.0,03:00:06,10806.64,True,f,
6029,Thomas MEYER,FR,26,H,20-34M,,https://utmb.world/runner/2506241.thomas.meyer,642.0,14.0,13.0,10.0,03:00:51,10851.01,True,f,
6024,Joffrey PERROT LEGROS,FR,31,H,20-34M,PHAR Longwy,https://utmb.world/runner/4252525.joffrey.perrotlegros,686.0,15.0,14.0,11.0,03:01:40,10900.92,True,f,
6026,Loic DA COSTA NEIVA,FR,39,H,35-39M,,https://utmb.world/runner/4290468.loic.dacostaneiva,658.0,16.0,15.0,3.0,03:02:58,10978.04,True,f,
7221,Mathieu WOHLGEMUTH,FR,31,H,20-34M,TERRE DE RUNNING MUTZIG,https://utmb.world/runner/3923731.mathieu.wohlgemuth,,17.0,16.0,12.0,03:03:11,10991.54,True,f,
6045,Le Padellec QUENTIN,FR,32,H,20-34M,,https://utmb.world/runner/5493873.lepadellec.quentin,614.0,18.0,17.0,13.0,03:03:50,11030.1,True,f,
6020,Nicolas LECLAIRE,FR,28,H,20-34M,,https://utmb.world/runner/3050953.nicolas.leclaire,686.0,19.0,18.0,14.0,03:04:33,11073.5,True,f,
6008,Luc DEMARET,FR,30,H,20-34M,UOAT,https://utmb.world/runner/1321375.luc.demaret,752.0,20.0,19.0,15.0,03:07:07,11227.12,True,f,
7402,Philipp RAPPOLD,DE,44,H,40-44M,,https://utmb.world/runner/5488325.philipp.rappold,,21.0,20.0,1.0,03:07:31,11251.73,True,f,
6124,Stephan KALFON,FR,38,H,35-39M,,https://utmb.world/runner/5694380.stephan.kalfon,553.0,22.0,21.0,4.0,03:07:48,11268.13,True,f,
6042,Loïc ESCHMANN,CH,35,H,20-34M,Team La Vallée,https://utmb.world/runner/5321129.loic.eschmann,617.0,23.0,22.0,16.0,03:07:58,11278.51,True,f,
6060,Romain PETER,FR,28,H,20-34M,Strasbourg,https://utmb.world/runner/4704454.romain.peter,600.0,24.0,23.0,17.0,03:08:36,11316.6,True,f,
6030,Lauris COMMAND,FR,22,H,20-34M,,https://utmb.world/runner/4277042.lauris.command,645.0,25.0,24.0,18.0,03:08:43,11323.84,True,f,
7141,Matthieu MARENNE,BE,31,H,20-34M,,https://utmb.world/runner/4851175.matthieu.marenne,592.0,26.0,25.0,19.0,03:08:47,11327.46,True,f,
