# Race: Trail Alsace Grand Est by UTMB 2025 - Ultra-Trail des  Chevaliers
# Distance: 158 km
# D+: 5800 m
# D-: 5800 m
# Date: 2025-05-16
# URL: https://live.utmb.world/alsacegrandest/2025
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
21,Baptiste DEROUIN,FR,27,H,20-34M,Fuga Mountain Club,https://utmb.world/runner/4740054.baptiste.derouin,735.0,1.0,1.0,1.0,16:22:52,58971.69,True,f,
6,Dylan DAME,BE,29,H,20-34M,,https://utmb.world/runner/4613500.dylan.dame,807.0,2.0,2.0,2.0,16:48:58,60537.52,True,f,
17,Markus MEINKE,DE,49,H,45-49M,Falke Sport,https://utmb.world/runner/1639385.markus.meinke,753.0,3.0,3.0,1.0,17:23:49,62629.15,True,f,
18,Matthias KRAH,DE,40,H,40-44M,Altra Run Crew,https://utmb.world/runner/297577.matthias.krah,753.0,4.0,4.0,1.0,17:55:19,64519.11,True,f,
30,Alexandre BALESTRERI,FR,44,H,40-44M,RUNNING CLUB TERVILLOIS,https://utmb.world/runner/1916291.alexandre.balestreri,693.0,5.0,5.0,2.0,18:15:26,65726.29,True,f,
33,Maxime GROSJEAN,FR,26,H,20-34M,Humanoid,https://utmb.world/runner/4410972.maxime.grosjean,686.0,6.0,6.0,3.0,18:25:25,66324.97,True,f,
55,Logan PERIN,BE,28,H,20-34M,Trakks Belgium,https://utmb.world/runner/1388451.logan.perin,659.0,8.0,8.0,4.0,18:48:19,67699.43,True,f,
7,Anna CARLSSON,SE,40,F,40-44W,Asics Trail,https://utmb.world/runner/1520433.anna.carlsson,704.0,9.0,1.0,1.0,18:50:44,67843.3,True,f,
25,Romain LOUIS,FR,36,H,35-39M,,https://utmb.world/runner/82723.romain.louis,714.0,10.0,9.0,2.0,18:54:15,68054.84,True,f,
22,Jérémie ROUSSINET,FR,41,H,40-44M,DUC ARMY,https://utmb.world/runner/2474255.jeremie.roussinet,730.0,11.0,10.0,3.0,18:59:12,68351.48,True,f,
210,Anthony LE BIHAN,FR,39,H,35-39M,Ping Pong Club,https://utmb.world/runner/5750542.anthony.lebihan,575.0,12.0,11.0,3.0,19:15:08,69307.37,True,f,
43,Renaud PONCIN,BE,42,H,40-44M,,https://utmb.world/runner/1518955.renaud.poncin,670.0,13.0,12.0,4.0,19:16:12,69372.51,True,f,
38,Vivien BEGON,FR,45,H,45-49M,ALV,https://utmb.world/runner/2027839.vivien.begon,679.0,14.0,13.0,2.0,19:19:03,69542.66,True,f,
15,Stefano RUZZA,IT,43,H,40-44M,TEAM VIBRAM,https://utmb.world/runner/20959.stefano.ruzza,763.0,15.0,14.0,5.0,19:22:49,69769.45,True,f,
26,Daan NIEUWENHUIS,NL,33,H,20-34M,RAB / PETZL,https://utmb.world/runner/1070439.daan.nieuwenhuis,708.0,16.0,15.0,5.0,19:23:17,69796.98,True,f,
29,Adrien ROTA,FR,30,H,20-34M,Pontault AAC,https://utmb.world/runner/4013627.adrien.rota,697.0,17.0,16.0,6.0,19:29:27,70166.74,True,f,
188,Julien SAMIERS,FR,31,H,20-34M,2 CCTB,https://utmb.world/runner/5590529.julien.samiers,582.0,18.0,17.0,7.0,19:33:59,70439.01,True,f,
14,Xavier SEMEN,FR,45,H,45-49M,,https://utmb.world/runner/425086.xavier.semen,757.0,19.0,18.0,3.0,19:35:18,70518.84,True,f,
96,Sylvain GUILLON,FR,39,H,35-39M,,https://utmb.world/runner/4188907.sylvain.guillon,623.0,20.0,19.0,4.0,19:36:47,70606.57,True,f,
105,Harm VERMOTE,BE,35,H,35-39M,PHNX Triathlon Team,https://utmb.world/runner/4958310.harm.vermote,620.0,21.0,20.0,5.0,20:07:47,72467.57,True,f,
101,Nicolas GORRET,FR,32,H,20-34M,Duc Army,https://utmb.world/runner/2060493.nicolas.gorret,622.0,22.0,21.0,8.0,20:11:53,72713.17,True,f,
24,Antoine FAURE,FR,30,H,20-34M,,https://utmb.world/runner/4205108.antoine.faure,714.0,23.0,22.0,9.0,20:14:44,72883.96,True,f,
