# Race: Trail 100 Andorra BY UTMB 2024 - Ultra Trail 105K
# Distance: 106.7 km
# D+: 6300 m
# D-: 6300 m
# Date: 2024-06-15
# URL: https://live.utmb.world/andorrabyutmb/2024
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
7,Zachary GARNER,US,25,H,20-34M,,https://utmb.world/runner/4357622.zachary.garner,851.0,1.0,1.0,1.0,13:17:00,47820.977,True,f,
2,Ben DHIMAN,US,34,H,20-34M,,https://utmb.world/runner/1409387.ben.dhiman,887.0,2.0,2.0,2.0,13:25:36,48336.924,True,f,
8,Joaquin LOPEZ,EC,33,H,20-34M,,https://utmb.world/runner/243895.joaquin.lopez,849.0,3.0,3.0,3.0,13:34:58,48898.204,True,f,
12,Peter VAN DER ZON,NL,34,H,20-34M,,https://utmb.world/runner/596347.peter.vanderzon,824.0,4.0,4.0,4.0,14:08:47,50927.145,True,f,
1,François D'HAENE,FR,40,H,35-39M,,https://utmb.world/runner/8908.francois.dhaene,904.0,5.0,5.0,1.0,14:26:04,51964.437,True,f,
11,Baptiste HAGNERE,FR,32,H,20-34M,,https://utmb.world/runner/1530631.baptiste.hagnere,825.0,6.0,6.0,5.0,14:40:54,52854.503,True,f,
19,Edgar DIAS,FR,40,H,35-39M,,https://utmb.world/runner/868007.edgar.dias,786.0,7.0,7.0,2.0,14:57:35,53855.734,True,f,
18,Oriol BARBANY BOFILL,ES,30,H,20-34M,,https://utmb.world/runner/669174.oriol.barbanybofill,792.0,8.0,8.0,6.0,15:02:28,54148.06,True,f,
16,Sau DOMÈNECH,ES,28,H,20-34M,,https://utmb.world/runner/3685341.sau.domenech,793.0,8.0,8.0,6.0,15:02:28,54148.971,True,f,
20,Mathieu COLZATO,FR,30,H,20-34M,,https://utmb.world/runner/4815762.mathieu.colzato,786.0,10.0,10.0,8.0,15:13:27,54807.047,True,f,
4,Katharina HARTMUTH,DE,30,F,20-34W,,https://utmb.world/runner/1038803.katharina.hartmuth,761.0,11.0,1.0,1.0,15:28:50,55730.077,True,f,
