# Race: Hoka VAL D'ARAN by UTMB 2024 2024 - EXP
# Distance: 32 km
# D+: 2100 m
# D-: 2100 m
# Date: 2024-07-07
# URL: https://live.utmb.world/aranbyutmb/2024
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
6023,Pablo BAUTISTA ROVIRA,ES,31,H,20-34M,CA Puertas Lorca,https://utmb.world/runner/3796237.pablo.bautistarovira,849.0,1.0,1.0,1.0,02:54:23,10463.06,True,f,
6005,Josep MIRET,ES,24,H,20-34M,WILDTRAILPROJECT,https://utmb.world/runner/3136961.josep.miret,831.0,2.0,2.0,2.0,02:57:22,10642.65,True,f,
6001,Yoel DE PAZ BAEZA,ES,27,H,20-34M,WILDTRAILPROJECT,https://utmb.world/runner/630950.yoel.depazbaeza,887.0,2.0,2.0,2.0,02:57:22,10642.97,True,f,
6012,Juan PÉREZ ROS,ES,23,H,20-34M,APAT Cumpliendo Sueños,https://utmb.world/runner/4895050.juan.perezros,811.0,4.0,4.0,4.0,02:59:34,10774.34,True,f,
6030,Arnau ARANDA,ES,25,H,20-34M,Merrell,https://utmb.world/runner/2090503.arnau.aranda,803.0,5.0,5.0,5.0,02:59:47,10787.71,True,f,
6010,Tomas CUARTERO,ES,25,H,20-34M,Lurbel Team,https://utmb.world/runner/2529093.tomas.cuartero,813.0,6.0,6.0,6.0,03:01:16,10876.96,True,f,
6008,Marc GASA BIRBE,AD,27,H,20-34M,Lurbel Team,https://utmb.world/runner/4214253.marc.gasabirbe,822.0,7.0,7.0,7.0,03:01:18,10878.54,True,f,
6006,Vincent LOUSTAU,FR,31,H,20-34M,TEAM VIBRAM,https://utmb.world/runner/3161507.vincent.loustau,829.0,8.0,8.0,8.0,03:02:06,10926.99,True,f,
6024,Valentin BENARD,FR,28,H,20-34M,Asics,https://utmb.world/runner/1565203.valentin.benard,,9.0,9.0,9.0,03:04:38,11078.22,True,f,
6031,Toni BANOS,ES,25,H,20-34M,JOMA TEAM,https://utmb.world/runner/4673220.toni.banos,794.0,10.0,10.0,10.0,03:09:51,11391.04,True,f,
6034,Pau PASCUAL DOMÉNECH,ES,24,H,20-34M,Lurbel Team,https://utmb.world/runner/4965868.pau.pascualdomenech,780.0,11.0,11.0,11.0,03:10:06,11406.79,True,f,
6011,Diego Ramon SIMON,AR,38,H,35-39M,Adidas Terrex Argentina,https://utmb.world/runner/892921.diegoramon.simon,811.0,12.0,12.0,1.0,03:11:20,11480.35,True,f,
6032,Joan RIUTORT CIFRE,ES,28,H,20-34M,Secció de Muntanya Club Pollença,https://utmb.world/runner/4135412.joan.riutortcifre,786.0,13.0,13.0,12.0,03:14:20,11660.43,True,f,
6033,Álvaro OSANZ,ES,22,H,20-34M,adidas TERREX,https://utmb.world/runner/4302741.alvaro.osanz,785.0,14.0,14.0,13.0,03:15:47,11747.83,True,f,
6039,Edu RODÉS,ES,27,H,20-34M,Xino xano,https://utmb.world/runner/5571573.edu.rodes,741.0,15.0,15.0,14.0,03:15:56,11756.6,True,f,
6038,Joan VALLS RAMON,ES,25,H,20-34M,Club Atlètic Ivars,https://utmb.world/runner/4136386.joan.vallsramon,751.0,16.0,16.0,15.0,03:19:34,11974.27,True,f,
6049,Robert MARSAL,ES,34,H,20-34M,Uec Anoia,https://utmb.world/runner/5560405.robert.marsal,763.0,17.0,17.0,16.0,03:20:19,12019.66,True,f,
7102,Nil PUCHOL,ES,23,H,20-34M,X Athletics,https://utmb.world/runner/6258971.nil.puchol,,18.0,18.0,17.0,03:20:57,12057.45,True,f,
6041,Marc CONESA CABESTANY,ES,27,H,20-34M,,https://utmb.world/runner/4116756.marc.conesacabestany,738.0,19.0,19.0,18.0,03:21:16,12076.12,True,f,
6040,Lluisma MAS CÁCERES,ES,42,H,40-44M,Montbike Amposta,https://utmb.world/runner/870757.lluisma.mascaceres,740.0,20.0,20.0,1.0,03:24:34,12274.02,True,f,
6047,Jose JULIÁN SALES,ES,29,H,20-34M,L'ALCORA TRAIL,https://utmb.world/runner/2128227.jose.juliansales,711.0,21.0,21.0,19.0,03:25:05,12305.74,True,f,
6045,Gauthier DURET,FR,32,H,20-34M,,https://utmb.world/runner/1609219.gauthier.duret,721.0,22.0,22.0,20.0,03:26:36,12396.54,True,f,
6057,Yoann BERNARD,FR,29,H,20-34M,,https://utmb.world/runner/4479540.yoann.bernard,673.0,23.0,23.0,21.0,03:27:52,12472.52,True,f,
6004,Mireia PONS,ES,34,F,20-34W,BROOKS TRAIL RUNNING,https://utmb.world/runner/1572295.mireia.pons,733.0,24.0,1.0,1.0,03:31:12,12672.78,True,f,
6051,Estefan DOSAL GARCIA,ES,33,H,20-34M,Km Vertical Torrelavega,https://utmb.world/runner/4813944.estefan.dosalgarcia,694.0,25.0,24.0,22.0,03:31:29,12689.25,True,f,
6018,Maeva DANOIS,FR,32,F,20-34W,ASICS,https://utmb.world/runner/4526126.maeva.danois,655.0,26.0,2.0,2.0,03:31:54,12714.21,True,f,
6087,Théo MARCEL,FR,26,H,20-34M,,https://utmb.world/runner/5610351.theo.marcel,625.0,27.0,25.0,23.0,03:32:26,12746.38,True,f,
6002,Gediminas GRINIUS,LT,46,H,45-49M,TEAM VIBRAM,https://utmb.world/runner/136586.gediminas.grinius,851.0,28.0,26.0,1.0,03:33:16,12796.31,True,f,
7094,Ruben RODRIGUEZ,ES,49,H,45-49M,,https://utmb.world/runner/5571753.ruben.rodriguezherrero,683.0,29.0,27.0,2.0,03:33:34,12814.45,True,f,
6015,Moana Lilly KEHRES,ES,23,F,20-34W,Wild Trail Project,https://utmb.world/runner/2683513.moanalilly.kehres,705.0,30.0,3.0,3.0,03:33:42,12822.16,True,f,
6044,Jean-Baptiste DELCASSÉ,FR,27,H,20-34M,,https://utmb.world/runner/5090168.jeanbaptiste.delcasse,722.0,31.0,28.0,24.0,03:35:07,12907.58,True,f,
6063,Marc CASADO NEBOT,ES,26,H,20-34M,L’ALCORA TRAIL,https://utmb.world/runner/5122918.marc.casadonebot,675.0,32.0,29.0,25.0,03:36:08,12968.54,True,f,
6016,Sophia GORMAN,US,26,F,20-34W,The North Face,https://utmb.world/runner/4961707.sophia.gorman,703.0,33.0,4.0,4.0,03:36:19,12979.67,True,f,
6109,David LUNA SÁNCHEZ,ES,33,H,20-34M,Equipo militar de esquí y montaña,https://utmb.world/runner/198448.david.lunasanchez,680.0,34.0,30.0,26.0,03:37:12,13032.93,True,f,
6062,Kenichi NISHIOKA,JP,33,H,20-34M,FLAT RC,https://utmb.world/runner/3220809.kenichi.nishioka,682.0,35.0,31.0,27.0,03:37:28,13048.9,True,f,
