# Race: Arc of Attrition by UTMB 2025 - ARC 50
# Distance: 80 km
# D+: 2300 m
# D-: 2300 m
# Date: 2025-01-25
# URL: https://live.utmb.world/arcofattrition/2025
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
1001,Tom EVANS,GB,33,H,20-34M,,https://utmb.world/runner/1410311.tom.evans,914.0,1.0,1.0,1.0,06:54:40,24880,True,f,
1006,Hugh CHATFIELD,GB,31,H,20-34M,Tring Running Club,https://utmb.world/runner/4460426.hugh.chatfield,823.0,2.0,2.0,2.0,07:01:13,25453,True,f,
1005,Keith WIGLEY,GB,32,H,20-34M,Altra / Elite Trail Team,https://utmb.world/runner/2566355.keith.wigley,828.0,3.0,3.0,3.0,07:13:35,26015,True,f,
1011,Jack CHAMBERLAIN,GB,35,H,35-39M,Precision Fuel & Hydration / Region Wilder Kaiser,https://utmb.world/runner/4248936.jack.chamberlain,775.0,4.0,4.0,1.0,07:43:29,27809,True,f,
1015,David GREEN,GB,38,H,35-39M,,https://utmb.world/runner/4196167.david.green,721.0,5.0,5.0,2.0,07:47:52,28072,True,f,
1004,Eleanor DAVIS,GB,36,F,35-39W,THE NORTH FACE,https://utmb.world/runner/4194384.eleanor.davis,745.0,6.0,1.0,1.0,07:55:48,28548,True,f,
1012,Daniel WELLER,GB,36,H,35-39M,,https://utmb.world/runner/1178597.daniel.weller,746.0,7.0,6.0,3.0,08:13:52,29632,True,f,
1019,Paul GRIEVE,US,37,H,35-39M,,https://utmb.world/runner/616334.paul.grieve,692.0,8.0,7.0,4.0,08:26:56,30416,True,f,
1018,Thomas YIANGOU,GB,28,H,20-34M,,https://utmb.world/runner/5406056.thomas.yiangou,693.0,9.0,8.0,4.0,08:39:42,31182,True,f,
1034,Josh CASTLO-HALL,GB,37,H,35-39M,,https://utmb.world/runner/5972005.josh.castlohall,642.0,10.0,9.0,5.0,08:44:57,31497,True,f,
1013,David PHILLIPS,GB,47,H,45-49M,,https://utmb.world/runner/2616349.david.phillips,747.0,11.0,10.0,1.0,09:02:35,32555,True,f,
1020,Maxime LELONG,FR,42,H,40-44M,Team 2EP,https://utmb.world/runner/429308.maxime.lelong,688.0,12.0,11.0,1.0,09:04:27,32667,True,f,
1053,Oliver GODDARD,GB,40,H,40-44M,,https://utmb.world/runner/4666400.oliver.goddard,602.0,13.0,12.0,2.0,09:17:43,33463,True,f,
1035,Poppy COLLINGWOOD,GB,26,F,20-34W,Elite Trail Team,https://utmb.world/runner/4949826.poppy.collingwood,639.0,14.0,2.0,1.0,09:21:50,33710,True,f,
1694,Andrew BOWETT,GB,47,H,45-49M,Stadium Runners,https://utmb.world/runner/6083283.andrew.bowett,,15.0,13.0,2.0,09:36:05,34565,True,f,
