# Race: The Canyons Endurance Runs By UTMB 2023 - 100M
# Distance: 100 km
# D+: 5181 m
# D-: 5181 m
# Date: 2023-04-28
# URL: https://live.utmb.world/canyons/2023
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
8,Mathieu CLÉMENT,CH,30,H,20-34M,,https://utmb.world/runner/764508.mathieu.clement,830.0,1.0,1.0,1.0,17:05:15,61515.0,True,f,
4,Canhua LUO,CN,33,H,20-34M,,https://utmb.world/runner/4927299.canhua.luo,,2.0,2.0,2.0,17:05:16,61516.85,True,f,
310,Canyon WOODWARD,US,32,H,20-34M,,https://utmb.world/runner/234340.canyon.woodward,814.0,3.0,3.0,3.0,17:46:05,63965.95,True,f,
224,Ethan PETERS,CA,27,H,20-34M,,https://utmb.world/runner/3453763.ethan.peters,798.0,4.0,4.0,4.0,17:59:43,64783.87,True,f,
273,Adam STEIDLER,US,44,H,40-44M,,https://utmb.world/runner/161440.adam.steidler,775.0,5.0,5.0,1.0,18:52:43,67963.63,True,f,
37,Ryan ATKINS,CA,38,H,35-39M,,https://utmb.world/runner/34098.ryan.atkins,803.0,6.0,6.0,1.0,19:16:12,69372.72,True,f,
12,Adam KIMBLE,US,39,H,35-39M,,https://utmb.world/runner/493793.adam.kimble,773.0,7.0,7.0,2.0,19:18:33,69513.29,True,f,
246,Jonathan RYDER,US,31,H,20-34M,,https://utmb.world/runner/546754.jonathan.ryder,716.0,8.0,8.0,5.0,19:47:16,71236.18,True,f,
170,Ryan MAIZE,US,31,H,20-34M,,https://utmb.world/runner/3132275.ryan.maize,663.0,9.0,9.0,6.0,19:50:46,71446.0,True,f,
131,Christopher HARRINGTON,US,41,H,35-39M,,https://utmb.world/runner/493810.christopher.harrington,752.0,10.0,10.0,3.0,19:51:36,71496.27,True,f,
14,Alyssa CLARK,US,32,F,20-34W,,https://utmb.world/runner/2196387.alyssa.clark,641.0,11.0,1.0,1.0,20:13:21,72801.36,True,f,
13,Jeffrey URBANSKI,US,40,H,35-39M,,https://utmb.world/runner/50640.jeffrey.urbanski,677.0,12.0,11.0,4.0,20:27:09,73629.15,True,f,
83,Alexis CRELLIN,US,40,F,35-39W,,https://utmb.world/runner/304050.alexis.crellin,699.0,13.0,2.0,1.0,20:55:06,75306.27,True,f,
15,Annie HUGHES,US,27,F,20-34W,,https://utmb.world/runner/2611027.annie.hughes,716.0,14.0,3.0,2.0,21:26:05,77165.45,True,f,
41,Loren BAKER,US,40,H,35-39M,,https://utmb.world/runner/619521.loren.baker,640.0,15.0,12.0,5.0,21:49:59,78599.57,True,f,
214,Brad ORR,US,39,H,35-39M,,https://utmb.world/runner/4483714.brad.orr,755.0,16.0,13.0,6.0,22:16:46,80206.22,True,f,
204,Michael NANASZKO,US,43,H,40-44M,,https://utmb.world/runner/967871.michael.nanaszko,736.0,17.0,14.0,2.0,22:21:42,80502.68,True,f,
266,Oleksandr SKOROKHOD,UA,41,H,35-39M,,https://utmb.world/runner/1442799.oleksandr.skorokhod,713.0,18.0,15.0,7.0,22:24:41,80681.76,True,f,
96,Tyler DSCHAAK,US,41,H,35-39M,,https://utmb.world/runner/2666897.tyler.dschaak,,19.0,16.0,8.0,22:45:03,81903.68,True,f,
1,Alex BORSUK,US,37,F,35-39W,,https://utmb.world/runner/2105895.alexandra.borsuk,674.0,20.0,4.0,2.0,22:59:02,82742.13,True,f,
303,William WEIDMAN,US,42,H,40-44M,,https://utmb.world/runner/1053929.william.weidman,670.0,21.0,17.0,3.0,23:12:02,83522.28,True,f,
126,Nicholas HAMILTON,US,42,H,40-44M,,https://utmb.world/runner/3104435.nicholas.hamilton,583.0,22.0,18.0,4.0,23:23:59,84239.67,True,f,
