# Race: The Canyons Endurance Runs By UTMB 2023 - 25K
# Distance: 15.5 km
# D+: 850 m
# D-: 850 m
# Date: 2023-04-29
# URL: https://live.utmb.world/canyons/2023
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
3516,Drew MACOMBER,ST,33,H,20-34M,,,,1.0,1.0,1.0,01:32:36,5556.06,True,f,
3154,Will FUCHS,US,26,H,20-34M,,https://utmb.world/runner/4595638.will.fuchs,694.0,2.0,2.0,2.0,01:33:27,5607.18,True,f,
3006,Ezequiel Alexis PAULUZAK,AR,40,H,35-39M,,https://utmb.world/runner/378215.ezequielalexis.pauluzak,775.0,3.0,3.0,1.0,01:36:36,5796.39,True,f,
3384,Jeffrey TORESON,US,33,H,20-34M,,https://utmb.world/runner/4717440.jeffrey.toreson,711.0,4.0,4.0,3.0,01:40:20,6020.77,True,f,
3451,Oscar PEREZ,US,38,H,35-39M,,https://utmb.world/runner/5136589.oscar.perez,,5.0,5.0,2.0,01:40:44,6044.63,True,f,
3436,Cole KERSEY,US,33,H,20-34M,,https://utmb.world/runner/5136609.cole.kersey,,6.0,6.0,4.0,01:40:51,6051.0,True,f,
3157,Morgan GALVIN,US,31,H,20-34M,,https://utmb.world/runner/1707147.morgan.galvin,,7.0,7.0,5.0,01:43:04,6184.68,True,f,
3040,Carlos BAEZA,US,30,H,20-34M,,https://utmb.world/runner/1761633.carlos.baeza,,8.0,8.0,6.0,01:44:09,6249.27,True,f,
3050,Ryan BECKETT,US,40,H,35-39M,,https://utmb.world/runner/3132379.ryan.beckett,678.0,9.0,9.0,3.0,01:45:30,6330.49,True,f,
3443,Loic GUENEBAUT,FR,42,H,40-44M,,https://utmb.world/runner/3408581.loic.guenebaut,,10.0,10.0,1.0,01:46:30,6390.27,True,f,
3493,Tim PERRY,ST,42,H,40-44M,,,,11.0,11.0,2.0,01:46:50,6410.28,True,f,
3444,Boris GUENEBAUT,FR,38,H,35-39M,,https://utmb.world/runner/1315157.boris.guenebaut,672.0,12.0,12.0,4.0,01:48:07,6487.19,True,f,
3519,Keith BAILEY,ST,39,H,35-39M,,,,13.0,13.0,5.0,01:48:25,6505.28,True,f,
3082,Jose Luis CASTEL CEJA,MX,48,H,45-49M,,https://utmb.world/runner/4807852.joseluis.castelceja,673.0,14.0,14.0,1.0,01:48:44,6524.08,True,f,
3115,Conor DEAL,US,32,H,20-34M,,https://utmb.world/runner/3226625.conor.deal,,15.0,15.0,7.0,01:49:21,6561.45,True,f,
3061,Dominic BOUSQUET,US,17,H,MI M,,https://utmb.world/runner/5038073.dominic.bousquet,,16.0,16.0,1.0,01:51:51,6711.0,True,f,
3035,Alexander ALVARADO SOLANO,CR,46,H,40-44M,,https://utmb.world/runner/5058479.alexander.alvaradosolano,,17.0,17.0,3.0,01:51:58,6718.66,True,f,
3175,Alexandra HARRISS,CA,35,F,20-34W,,https://utmb.world/runner/4275693.alexandra.harriss,686.0,18.0,1.0,1.0,01:52:45,6765.91,True,f,
3215,Carter KREMER,US,29,H,20-34M,,https://utmb.world/runner/5038411.carter.kremer,,19.0,18.0,8.0,01:52:50,6770.73,True,f,
3336,Sebastian SALSBURY,US,19,H,U18 M,,https://utmb.world/runner/1446325.sebastian.salsbury,,20.0,19.0,1.0,01:53:29,6809.31,True,f,
3076,Gustavo CALDERON,CL,35,H,20-34M,,https://utmb.world/runner/4171578.gustavo.calderon,658.0,21.0,20.0,9.0,01:54:34,6874.89,True,f,
3472,Kenzie MACPHAIL,US,31,F,20-34W,,https://utmb.world/runner/1790071.kenzie.macphail,,22.0,2.0,2.0,01:55:10,6910.33,True,f,
3083,Israel CASTEL LOZANO,MX,19,H,U18 M,,https://utmb.world/runner/5058463.israel.castellozano,,23.0,21.0,2.0,01:55:51,6951.31,True,f,
3220,Nick LAHR,US,29,H,20-34M,,https://utmb.world/runner/5038249.nick.lahr,,24.0,22.0,10.0,01:56:28,6988.91,True,f,
3468,Matt DETTMAN,US,37,H,35-39M,,https://utmb.world/runner/4285273.matthew.dettman,622.0,25.0,23.0,6.0,01:56:35,6995.0,True,f,
3004,Ashley HAWKS,US,33,F,20-34W,,https://utmb.world/runner/1290501.ashley.hawks,600.0,26.0,3.0,3.0,01:56:45,7005.79,True,f,
3491,Joachim CASSEL,GBR (United Kingdom of Great Britain and Northern Ireland),35,H,20-34M,,https://utmb.world/runner/2126375.joachim.cassel,693.0,27.0,24.0,11.0,01:58:23,7103.17,True,f,
3039,Juan Pablo AVILA,MX,27,H,20-34M,,https://utmb.world/runner/5058477.juanpablo.avila,,28.0,25.0,12.0,01:58:57,7137.0,True,f,
3063,Nate BOWEN,US,49,H,45-49M,,https://utmb.world/runner/35500.nate.bowen,,29.0,26.0,2.0,01:59:49,7189.46,True,f,
3164,Edwin Romeo GOMEZ TREJO,SV,54,H,50-54M,,https://utmb.world/runner/2356251.edwinromeo.gomeztrejo,557.0,30.0,27.0,1.0,02:00:00,7200.55,True,f,
3433,Oliver SEKEL,US,23,H,20-34M,,https://utmb.world/runner/5136605.oliver.sekel,,31.0,28.0,13.0,02:00:07,7206.24,True,f,
3484,Curtis YARRA,US,36,H,20-34M,,https://utmb.world/runner/5136573.curtis.yarra,,32.0,29.0,14.0,02:01:14,7274.0,True,f,
3453,Jeff AUWINGER,US,47,H,45-49M,,https://utmb.world/runner/829714.jeff.auwinger,,33.0,30.0,3.0,02:02:19,7339.21,True,f,
3319,Brian REYNA,US,23,H,20-34M,,https://utmb.world/runner/5038311.brian.reyna,,34.0,31.0,15.0,02:02:21,7340.32,True,f,
3420,Steve WOO,US,54,H,50-54M,,https://utmb.world/runner/380333.steve.woo,595.0,35.0,32.0,2.0,02:02:53,7373.45,True,f,
