# Race: HOKA Canyons Endurance Run by UTMB 2024 - 100K
# Distance: 101.5 km
# D+: 3247 m
# D-: 3247 m
# Date: 2024-04-27
# URL: https://live.utmb.world/canyons/2024
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
1032,Rod FARVARD,US,30,H,20-34M,,https://utmb.world/runner/1261043.rod.farvard,861.0,1.0,1.0,1.0,08:44:30,31470.97,True,f,
1026,Drew HOLMEN,US,33,H,20-34M,,https://utmb.world/runner/1030827.drew.holmen,884.0,2.0,2.0,2.0,08:51:09,31869.49,True,f,
1025,Petter ENGDAHL,SE,31,H,20-34M,,https://utmb.world/runner/1065223.petter.engdahl,925.0,3.0,3.0,3.0,08:55:31,32131.93,True,f,
1029,Makai CLEMONS,US,29,H,20-34M,,https://utmb.world/runner/1280121.makai.clemons,867.0,4.0,4.0,4.0,08:57:38,32258.74,True,f,
1033,Stephen KERSH,US,34,H,20-34M,,https://utmb.world/runner/2434029.stephen.kersh,845.0,5.0,5.0,5.0,09:05:56,32756.68,True,f,
1000,Katie SCHIDE,US,33,F,20-34W,,https://utmb.world/runner/671487.katie.schide,801.0,6.0,1.0,1.0,09:10:10,33010.59,True,f,
1040,Tim TOLLEFSON,US,40,H,35-39M,,https://utmb.world/runner/529591.timo.tollefson,863.0,7.0,6.0,1.0,09:19:09,33549.86,True,f,
1027,Kevin VERMEULEN,CH,33,H,20-34M,,https://utmb.world/runner/328216.kevin.vermeulen,879.0,8.0,7.0,6.0,09:35:21,34521.66,True,f,
1037,Matthew SEIDEL,US,29,H,20-34M,,https://utmb.world/runner/4244831.matthew.seidel,845.0,9.0,8.0,7.0,09:42:04,34924.27,True,f,
1599,Ryan RAFF,US,26,H,20-34M,,https://utmb.world/runner/4325466.ryan.raff,795.0,10.0,9.0,8.0,09:42:05,34925.51,True,f,
1045,Brandon GARDINER,CA,30,H,20-34M,,https://utmb.world/runner/3115795.brandon.gardiner,810.0,11.0,10.0,9.0,09:46:49,35209.18,True,f,
1121,Matthew BIGMAN,US,33,H,20-34M,,https://utmb.world/runner/5272286.matthew.bigman,788.0,12.0,11.0,10.0,09:51:53,35513.9,True,f,
1034,Bryan KERL,US,34,H,20-34M,,https://utmb.world/runner/1409405.bryan.kerl,853.0,13.0,12.0,11.0,09:57:47,35867.3,True,f,
1024,Adam PETERMAN,US,30,H,20-34M,,https://utmb.world/runner/3572577.adam.peterman,930.0,14.0,13.0,12.0,09:58:42,35922.07,True,f,
1001,Emkay SULLIVAN,US,31,F,20-34W,,https://utmb.world/runner/2571601.emkay.sullivan,760.0,15.0,2.0,2.0,10:01:26,36086.8,True,f,
1044,Anthony FAGUNDES,US,35,H,20-34M,,https://utmb.world/runner/2447747.anthony.fagundes,,16.0,14.0,13.0,10:02:06,36126.59,True,f,
1043,Cody LIND,US,30,H,20-34M,,https://utmb.world/runner/2667843.cody.lind,822.0,17.0,15.0,14.0,10:10:27,36627.08,True,f,
1678,Scott SPILLMAN,US,39,H,35-39M,,https://utmb.world/runner/161416.scott.spillman,,18.0,16.0,2.0,10:12:07,36727.65,True,f,
1028,Eric LIPUMA,US,32,H,20-34M,,https://utmb.world/runner/1562709.eric.lipuma,873.0,19.0,17.0,15.0,10:24:25,37465.0,True,f,
1004,Anna KACIUS,US,32,F,20-34W,,https://utmb.world/runner/4104096.anna.kacius,747.0,20.0,3.0,3.0,10:24:37,37477.0,True,f,
1318,Mark HAMMOND,US,40,H,35-39M,,https://utmb.world/runner/318023.mark.hammond,779.0,21.0,18.0,3.0,10:30:27,37827.75,True,f,
1277,Alex FORTE,US,25,H,20-34M,,https://utmb.world/runner/5381534.alex.forte,796.0,22.0,19.0,16.0,10:35:06,38106.09,True,f,
1685,Kevin STEWART,US,35,H,20-34M,,https://utmb.world/runner/575362.kevin.stewart,,23.0,20.0,17.0,10:35:20,38120.81,True,f,
1080,Careth ARNOLD,US,35,F,20-34W,,https://utmb.world/runner/4571846.careth.arnold,676.0,24.0,4.0,4.0,10:38:42,38322.12,True,f,
1005,Anna MCKENNA,AU,34,F,20-34W,,https://utmb.world/runner/4158468.anna.mckenna,747.0,25.0,5.0,5.0,10:43:31,38611.43,True,f,
1324,Laura HANSEN,US,35,F,20-34W,,https://utmb.world/runner/4497724.laura.hansen,600.0,26.0,6.0,6.0,10:45:32,38732.22,True,f,
1287,Benoit GAILLARD,CA,41,H,40-44M,,https://utmb.world/runner/585784.benoit.gaillard,753.0,27.0,21.0,1.0,10:46:34,38794.92,True,f,
1007,Erin CLARK,US,31,F,20-34W,,https://utmb.world/runner/3987283.erin.clark,730.0,28.0,7.0,7.0,10:52:16,39136.87,True,f,
1009,Marta WENTA,PL,34,F,20-34W,,https://utmb.world/runner/548246.marta.wenta,724.0,29.0,8.0,8.0,10:53:14,39194.74,True,f,
1145,Reed BREUER,US,33,H,20-34M,,https://utmb.world/runner/1288721.reed.breuer,761.0,30.0,22.0,18.0,10:59:26,39566.56,True,f,
1015,Jade BELZBERG,CA,33,F,20-34W,,https://utmb.world/runner/573265.jade.belzberg,703.0,31.0,9.0,9.0,11:00:02,39602.25,True,f,
1453,Elan LIEBER,US,36,H,35-39M,,https://utmb.world/runner/162418.elan.lieber,792.0,32.0,23.0,4.0,11:01:15,39675.78,True,f,
1012,Arden YOUNG,CA,39,F,35-39W,,https://utmb.world/runner/382627.arden.young,713.0,33.0,10.0,1.0,11:08:04,40084.94,True,f,
1041,Moises JIMENEZ,US,35,H,20-34M,,https://utmb.world/runner/487395.moises.jimenez,822.0,34.0,24.0,19.0,11:08:50,40130.77,True,f,
1589,Dylan POLLMANN,CA,38,H,35-39M,,https://utmb.world/runner/4272262.dylan.pollmann,692.0,35.0,25.0,5.0,11:10:18,40218.32,True,f,
1139,Brice BOYER,CA,42,H,40-44M,,https://utmb.world/runner/104808.brice.boyer,655.0,36.0,26.0,2.0,11:26:31,41191.81,True,f,
1010,Shea AQUILANO,US,24,F,20-34W,,https://utmb.world/runner/4081167.shea.aquilano,725.0,37.0,11.0,10.0,11:31:01,41461.45,True,f,
1014,Amanda BASHAM,US,36,F,35-39W,,https://utmb.world/runner/610967.amanda.basham,706.0,38.0,12.0,2.0,11:32:25,41545.12,True,f,
