# Race: HOKA Canyons Endurance Run by UTMB 2024 - 100M
# Distance: 163.8 km
# D+: 5548 m
# D-: 5548 m
# Date: 2024-04-26
# URL: https://live.utmb.world/canyons/2024
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
8,Canyon WOODWARD,US,32,H,20-34M,,https://utmb.world/runner/234340.canyon.woodward,812.0,1.0,1.0,1.0,18:54:32,68072.24,True,f,
7,Nicholas LIGHTBODY,CA,34,H,20-34M,,https://utmb.world/runner/4332112.nicholas.lightbody,825.0,2.0,2.0,2.0,19:14:17,69257.8,True,f,
229,Nick ORR,US,31,H,20-34M,,https://utmb.world/runner/3466697.nick.clifforr,686.0,3.0,3.0,3.0,19:55:51,71751.4,True,f,
69,Scott COOPER,CA,37,H,35-39M,,https://utmb.world/runner/2285457.scott.cooper,779.0,4.0,4.0,1.0,20:06:23,72383.87,True,f,
199,Chris MCNAMARA,CA,35,H,20-34M,,https://utmb.world/runner/4666172.chris.mcnamara,669.0,5.0,5.0,4.0,20:06:24,72384.11,True,f,
227,Seth ORME,US,35,H,20-34M,,https://utmb.world/runner/239547.seth.orme,713.0,6.0,6.0,5.0,20:51:00,75060.0,True,f,
79,Fabio DI GIACOMO,IT,46,H,45-49M,,https://utmb.world/runner/468341.fabio.digiacomo,756.0,7.0,7.0,1.0,21:29:17,77357.0,True,f,
2,Elena HORTON,US,29,F,20-34W,,https://utmb.world/runner/4524429.elena.horton,705.0,8.0,1.0,1.0,21:35:56,77756.0,True,f,
63,Andrew CLARK,US,40,H,35-39M,,https://utmb.world/runner/1003058.andy.clark,633.0,9.0,8.0,2.0,21:37:48,77868.0,True,f,
293,Adam SUCZEWSKI,US,32,H,20-34M,,https://utmb.world/runner/3628071.adam.suczewski,,11.0,10.0,7.0,22:12:56,79976.03,True,f,
109,Kenny GARNER,US,50,H,45-49M,,https://utmb.world/runner/5560488.kenny.garner,,12.0,11.0,2.0,22:19:16,80356.7,True,f,
175,Dominick LAYFIELD,US,54,H,50-54M,,https://utmb.world/runner/84181.dominick.layfield,670.0,13.0,12.0,1.0,22:35:29,81329.65,True,f,
4,Jacquie MANNHARD,US,41,F,40-44W,,https://utmb.world/runner/2437387.jacquie.mannhard,652.0,14.0,2.0,1.0,22:35:52,81352.32,True,f,
66,Patrick COADY,US,53,H,50-54M,,https://utmb.world/runner/332697.patrick.coady,,15.0,13.0,2.0,23:01:26,82886.25,True,f,
5,Sonia AHUJA,US,50,F,45-49W,,https://utmb.world/runner/5268874.sonia.ahuja,640.0,16.0,3.0,1.0,23:11:53,83513.24,True,f,
1,Lindsey BATES,US,34,F,20-34W,,https://utmb.world/runner/6029977.lindsey.bates,,17.0,4.0,2.0,23:18:35,83915.08,True,f,
3,Mercedes VINCE,CA,34,F,20-34W,,https://utmb.world/runner/4332120.mercedes.vince,666.0,19.0,5.0,3.0,23:35:37,84937.01,True,f,
