# Race: HOKA Canyons Endurance Run by UTMB 2024 - 25K
# Distance: 24 km
# D+: 739 m
# D-: 739 m
# Date: 2024-04-27
# URL: https://live.utmb.world/canyons/2024
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
3503,Talon HULL,US,26,H,20-34M,,https://utmb.world/runner/6009851.talon.hull,830.0,1.0,1.0,1.0,01:25:59,5159.87,True,f,
3404,Richard SKOGSBERG,US,29,H,20-34M,,https://utmb.world/runner/5981123.richard.skogsberg,,2.0,2.0,2.0,01:31:04,5464.36,True,f,
3166,Eric HAMEL,US,28,H,20-34M,,https://utmb.world/runner/4772378.eric.hamel,812.0,3.0,3.0,3.0,01:32:06,5526.56,True,f,
3162,Will GUZICK,US,37,H,35-39M,,https://utmb.world/runner/231181.will.guzick,591.0,4.0,4.0,1.0,01:42:13,6133.35,True,f,
3039,Thomas BRAUER,US,37,H,35-39M,,https://utmb.world/runner/1455435.thomas.brauer,,5.0,5.0,2.0,01:44:16,6256.78,True,f,
3397,Camron SHAHMIRZADI,US,36,H,35-39M,,https://utmb.world/runner/550037.camron.shahmirzadi,,6.0,6.0,3.0,01:47:42,6462.42,True,f,
3425,Austin SUTHERLAND,CA,26,H,20-34M,,https://utmb.world/runner/5979653.austin.sutherland,,7.0,7.0,4.0,01:49:02,6542.95,True,f,
3300,Ross MICHELL,US,34,H,20-34M,,https://utmb.world/runner/4134761.ross.michell,688.0,8.0,8.0,5.0,01:49:12,6552.36,True,f,
3297,Pierre MEUNIER,US,36,H,35-39M,,https://utmb.world/runner/5979387.pierre.meunier,,9.0,9.0,4.0,01:49:19,6559.35,True,f,
3573,Christopher DE LA VEGA,US,35,H,20-34M,,https://utmb.world/runner/3385351.chris.delavega,,10.0,10.0,6.0,01:50:14,6614.1,True,f,
3096,Marc DEBLIQUI,FR,31,H,20-34M,,https://utmb.world/runner/4163543.marc.debliqui,580.0,11.0,11.0,7.0,01:51:25,6685.0,True,f,
3020,Christopher BARTHOLOMEW,US,46,H,45-49M,,https://utmb.world/runner/972727.christopher.bartholomew,594.0,12.0,12.0,1.0,01:54:02,6842.18,True,f,
3108,Mark DOUD,US,19,H,18-19M,,https://utmb.world/runner/5979401.mark.doud,,13.0,13.0,1.0,01:54:03,6843.38,True,f,
3059,Jesus CERDAS PADILLA,CR,26,H,20-34M,,https://utmb.world/runner/4498038.jesus.cerdaspadilla,661.0,14.0,14.0,8.0,01:54:08,6848.69,True,f,
3385,Jonathan SANCHEZ,US,18,H,16-17M,,https://utmb.world/runner/5979693.jonathan.sanchez,,15.0,15.0,1.0,01:54:22,6862.43,True,f,
