# Race: The Canyons Endurance Runs by UTMB 2025 - 100M
# Distance: 161 km
# D+: 5550 m
# D-: 5550 m
# Date: 2025-04-25
# URL: https://live.utmb.world/canyons/2025
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
3,Ferdinand AIRAULT,FR,33,H,20-34M,,https://utmb.world/runner/2654475.ferdinand.airault,819.0,1.0,1.0,1.0,16:18:13,58693.49,True,f,
22,Tommy SULLIVAN,US,32,H,20-34M,,https://utmb.world/runner/4396220.tommy.sullivan,781.0,2.0,2.0,2.0,16:24:36,59076.629,True,f,
238,Ben QUATROMONI,US,38,H,35-39M,,https://utmb.world/runner/4027906.ben.quatromoni,,3.0,3.0,1.0,17:02:36,61356.354,True,f,
24,Cordis HALL,US,31,H,20-34M,,https://utmb.world/runner/577154.cordis.hall,757.0,4.0,4.0,3.0,17:36:50,63410.425,True,f,
21,Ales SEDLAK,CZ,37,H,35-39M,,https://utmb.world/runner/674350.ales.sedlak,794.0,5.0,5.0,2.0,17:45:44,63943.587,True,f,
2,Lin CHEN,CN,34,F,20-34W,,https://utmb.world/runner/2414677.lin.chen,749.0,6.0,1.0,1.0,18:33:15,66795.949,True,f,
5,Aroa SIO,ES,46,F,45-49W,,https://utmb.world/runner/997821.aroa.sio,736.0,7.0,2.0,1.0,18:39:19,67159.472,True,f,
27,Gabe JOYES,US,40,H,40-44M,,https://utmb.world/runner/84207.gabe.joyes,731.0,8.0,6.0,1.0,18:56:48,68207.565,True,f,
1,Jhon BARRERA,CO,40,H,40-44M,,https://utmb.world/runner/1190095.jhon.barrera,829.0,9.0,7.0,2.0,19:01:27,68487.0,True,f,
30,Daniel VASQUEZ,CL,43,H,40-44M,,https://utmb.world/runner/1332939.daniel.vasquez,695.0,10.0,8.0,3.0,19:08:38,68917.958,True,f,
34,Madeleine HAWKINS,CA,37,F,35-39W,,https://utmb.world/runner/4273319.madeleine.hawkins,644.0,11.0,3.0,1.0,20:11:20,72680.634,True,f,
25,Louis SCHINDLER,NZ,48,H,45-49M,,https://utmb.world/runner/3301019.louis.schindler,757.0,12.0,9.0,1.0,20:59:29,75569.067,True,f,
44,Roman TRACH,UA,39,H,35-39M,,https://utmb.world/runner/3024425.roman.trach,602.0,13.0,10.0,3.0,22:14:32,80072.503,True,f,
67,Nathan FISHER,US,33,H,20-34M,,https://utmb.world/runner/5186380.nathan.fisher,550.0,14.0,11.0,4.0,22:28:39,80918.63,True,f,
49,Justin MARSH,US,39,H,35-39M,,https://utmb.world/runner/1915139.justin.marsh,589.0,15.0,12.0,4.0,22:32:55,81174.608,True,f,
42,Sergio FLORIAN,AR,46,H,45-49M,,https://utmb.world/runner/1883203.sergio.florian,588.0,16.0,13.0,2.0,22:52:35,82355.634,True,f,
32,Andrey VYRVICH,US,41,H,40-44M,,https://utmb.world/runner/4511674.andrey.vyrvich,671.0,17.0,14.0,4.0,22:54:45,82484.601,True,f,
41,Kyle ROBERTS,US,34,H,20-34M,,https://utmb.world/runner/5459338.kyle.roberts,611.0,18.0,15.0,5.0,22:55:27,82526.518,True,f,
31,José VARCASIA,IT,39,H,35-39M,,https://utmb.world/runner/4380810.jose.varcasia,673.0,19.0,16.0,5.0,22:56:08,82568.548,True,f,
248,Joshua ACOSTA,US,36,H,35-39M,,https://utmb.world/runner/4497296.joshua.acosta,,20.0,17.0,6.0,23:24:25,84265.263,True,f,
236,Tyler GORDON,US,37,H,35-39M,,https://utmb.world/runner/2191781.tyler.gordon,,21.0,18.0,7.0,23:30:03,84602.611,True,f,
39,Dave KANIA,US,47,H,45-49M,,https://utmb.world/runner/4257161.dave.kania,615.0,22.0,19.0,3.0,23:32:33,84753.133,True,f,
253,Timothy MARTIN,US,47,H,45-49M,,https://utmb.world/runner/5037437.timothy.martin,,23.0,20.0,4.0,23:57:53,86272.833,True,f,
81,Benjamin MILES,US,40,H,40-44M,,https://utmb.world/runner/4289578.benjamin.miles,516.0,24.0,21.0,5.0,24:07:31,86851.267,True,f,
59,David PETERMAN,US,63,H,60-64M,,https://utmb.world/runner/21371.david.peterman,569.0,25.0,22.0,1.0,24:08:02,86882.201,True,f,
52,Lindsey ULRICH,US,47,F,45-49W,,https://utmb.world/runner/1737689.lindsey.ulrich,587.0,26.0,4.0,2.0,24:18:03,87482.386,True,f,
111,Felipe TORIBIO,US,37,H,35-39M,,https://utmb.world/runner/3009641.felipe.toribio,487.0,27.0,23.0,8.0,24:19:41,87581.541,True,f,
222,Jeff DONIS,US,38,H,35-39M,,https://utmb.world/runner/4080087.jeff.donis,,28.0,24.0,9.0,24:25:56,87956.131,True,f,
4,Annie HUGHES,US,27,F,20-34W,,https://utmb.world/runner/2611027.annie.hughes,705.0,29.0,5.0,2.0,24:51:41,89501.481,True,f,
201,Anna STÅHLKLOO,SE,50,F,50-54W,,https://utmb.world/runner/1036675.anna.stahlkloo,626.0,30.0,6.0,1.0,25:07:49,90469.468,True,f,
57,Kirill DEMTCHOUK,US,34,H,20-34M,,https://utmb.world/runner/5350749.kirill.demtchouk,575.0,31.0,25.0,6.0,25:09:13,90552.163,True,f,
36,Jose GONZALEZ,ES,43,H,40-44M,,https://utmb.world/runner/2632361.jose.gonzalez,622.0,32.0,26.0,6.0,25:10:07,90606.725,True,f,
40,Austin NEWBLOM,US,29,H,20-34M,,https://utmb.world/runner/2437155.austin.newblom,614.0,33.0,27.0,7.0,25:33:28,92007.812,True,f,
64,James LEE,CA,36,H,35-39M,,https://utmb.world/runner/4497730.james.lee,552.0,34.0,28.0,10.0,25:37:16,92235.676,True,f,
45,Harry PERSAUD,US,33,H,20-34M,,https://utmb.world/runner/2584435.harry.persaud,522.0,35.0,29.0,8.0,25:39:11,92351.475,True,f,
231,Joey MAYBERGER,US,24,H,20-34M,,https://utmb.world/runner/6935865.joey.mayberger,,36.0,30.0,9.0,25:44:20,92659.297,True,f,
37,Frank VALONE,US,44,H,40-44M,,https://utmb.world/runner/220234.frank.valone,619.0,37.0,31.0,7.0,25:44:33,92672.574,True,f,
293,Todd ZIEGENMEYER,US,36,H,35-39M,,https://utmb.world/runner/6777205.todd.ziegenmeyer,,38.0,32.0,11.0,25:57:59,93478.394,True,f,
53,Andres VILLAGRAN,EC,41,H,40-44M,,https://utmb.world/runner/961287.andres.villagran,582.0,39.0,33.0,8.0,25:59:12,93551.381,True,f,
261,Caleb ENGEL,US,36,H,35-39M,,https://utmb.world/runner/7094819.caleb.engel,,40.0,34.0,12.0,26:13:37,94416.913,True,f,
78,Kevin BROCKMAN,US,44,H,40-44M,,https://utmb.world/runner/3643457.kevin.brockman,522.0,41.0,35.0,9.0,26:16:49,94608.581,True,f,
230,Jake BARKER,US,27,H,20-34M,,https://utmb.world/runner/6923469.jake.barker,,42.0,36.0,10.0,26:18:12,94692.503,True,f,
125,Rod PUTNEY,US,58,H,55-59M,,https://utmb.world/runner/831272.rod.putney,470.0,43.0,37.0,1.0,26:18:53,94732.549,True,f,
292,Kyle JONES,US,56,H,55-59M,,https://utmb.world/runner/929333.kyle.jones,,44.0,38.0,2.0,26:25:19,95119.026,True,f,
54,Mihai SERBAN,RO,46,H,45-49M,,https://utmb.world/runner/231843.mihai.serban,579.0,45.0,39.0,5.0,26:28:13,95293.499,True,f,
273,Brady RICK,US,29,H,20-34M,,https://utmb.world/runner/6561687.brady.rick,,46.0,40.0,11.0,26:30:55,95454.918,True,f,
55,Alfonso SAIEVA,AR,36,H,35-39M,,https://utmb.world/runner/4273005.alfonso.saieva,576.0,47.0,41.0,13.0,26:42:42,96161.962,True,f,
63,Jared MATCHAM,US,56,H,55-59M,,https://utmb.world/runner/4431030.jared.matcham,550.0,48.0,42.0,3.0,26:43:42,96221.807,True,f,
26,Art HURTADO,US,40,H,40-44M,,https://utmb.world/runner/4105083.art.hurtado,734.0,49.0,43.0,10.0,26:45:04,96303.917,True,f,
58,Sandra SPERRY,US,44,F,40-44W,,https://utmb.world/runner/4445262.sandra.sperry,571.0,50.0,7.0,1.0,26:50:51,96650.537,True,f,
72,Clark CASEY,US,44,H,40-44M,,https://utmb.world/runner/3024447.clark.casey,535.0,51.0,44.0,11.0,27:03:17,97396.659,True,f,
244,Brian MCCORDUCK,US,48,H,45-49M,,https://utmb.world/runner/6455611.brian.mccorduck,521.0,52.0,45.0,6.0,27:03:25,97405.262,True,f,
116,Niels DUTEWEERT,NL,41,H,40-44M,,https://utmb.world/runner/5815135.niels.duteweert,480.0,53.0,46.0,12.0,27:03:59,97439.156,True,f,
43,Thomas IRONS,US,30,H,20-34M,,https://utmb.world/runner/4103127.thomas.irons,,54.0,47.0,12.0,27:38:18,99497.947,True,f,
303,Jeff SIEBOLD,US,47,H,45-49M,,https://utmb.world/runner/1671481.jeff.siebold,572.0,55.0,48.0,7.0,27:42:19,99738.894,True,f,
226,Coriston SMITH,US,32,H,20-34M,,https://utmb.world/runner/5979453.coriston.smith,,56.0,49.0,13.0,27:44:12,99851.821,True,f,
83,Trevor WALTERS,CA,46,H,45-49M,,https://utmb.world/runner/5475320.trevor.walters,515.0,57.0,50.0,8.0,27:55:29,100529.504,True,f,
241,Matt KEITH,US,24,H,20-34M,,https://utmb.world/runner/6972753.matt.keith,,58.0,51.0,14.0,27:56:05,100564.259,True,f,
245,Dylan TORGERSON,US,27,H,20-34M,,https://utmb.world/runner/7020659.dylan.torgerson,,59.0,52.0,15.0,28:01:14,100873.467,True,f,
74,Todd WOODWARD,US,48,H,45-49M,,https://utmb.world/runner/3862039.todd.woodward,529.0,60.0,53.0,9.0,28:13:00,101579.228,True,f,
247,Myles HARVEY,US,34,H,20-34M,,https://utmb.world/runner/7060283.myles.harvey,,61.0,54.0,16.0,28:15:03,101703.353,True,f,
79,Arleigh ATKINSON,US,32,F,20-34W,,https://utmb.world/runner/5396264.arleigh.atkinson,520.0,62.0,8.0,3.0,28:15:34,101734.114,True,f,
144,Laurent REN,FR,37,H,35-39M,,https://utmb.world/runner/1403069.laurent.ren,457.0,63.0,55.0,14.0,28:17:05,101825.848,True,f,
