# Race: The Canyons Endurance Runs by UTMB 2025 - 25K
# Distance: 25 km
# D+: 850 m
# D-: 850 m
# Date: 2025-04-26
# URL: https://live.utmb.world/canyons/2025
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
3371,Daniel CURTS,US,29,H,20-34M,,https://utmb.world/runner/5688423.daniel.curts,829.0,1.0,1.0,1.0,01:33:13,5592.776,True,f,
3370,Eddie OWENS,US,32,H,20-34M,,https://utmb.world/runner/7147219.eddie.owens,,2.0,2.0,2.0,01:35:06,5706.795,True,f,
3000,Adrian MACDONALD,US,37,H,35-39M,,https://utmb.world/runner/3527137.adrian.macdonald,875.0,3.0,3.0,1.0,01:39:57,5997.05,True,f,
3341,Celime GARCIA,US,24,H,20-34M,,https://utmb.world/runner/6362215.celime.garcia,,4.0,4.0,3.0,01:40:40,6040.027,True,f,
3134,Travis LAVIN,US,37,H,35-39M,,https://utmb.world/runner/1297237.travis.lavin,729.0,5.0,5.0,2.0,01:48:19,6498.139,True,f,
3379,Ryan BECKETT,US,40,H,40-44M,,https://utmb.world/runner/3132379.ryan.beckett,696.0,6.0,6.0,1.0,01:54:09,6848.245,True,f,
3396,Anika KIMME,US,24,F,20-34W,,https://utmb.world/runner/7174119.anika.kimme,,7.0,1.0,1.0,01:55:59,6959.217,True,f,
3350,Pierre MEUNIER,BE,36,H,35-39M,,https://utmb.world/runner/6582951.pierre.meunier,,8.0,7.0,3.0,01:56:06,6965.45,True,f,
3009,Enrik MUNDT,DE,30,H,20-34M,,https://utmb.world/runner/5220072.enrik.mundt,583.0,9.0,8.0,4.0,01:57:00,7019.831,True,f,
3412,Michael AMBROSE,US,38,H,35-39M,,https://utmb.world/runner/16193.michael.ambrose,665.0,10.0,9.0,4.0,01:58:24,7104.199,True,f,
3378,Christian GONZALES,US,32,H,20-34M,,https://utmb.world/runner/7135135.christian.gonzales,,11.0,10.0,5.0,01:58:33,7112.528,True,f,
3002,Nicholas BELTRAN,US,29,H,20-34M,,https://utmb.world/runner/5504635.nicholas.beltran,659.0,12.0,11.0,6.0,01:58:55,7135.34,True,f,
3004,Matt PEHARDA,US,37,H,35-39M,,https://utmb.world/runner/367892.matt.peharda,602.0,13.0,12.0,5.0,02:05:12,7511.643,True,f,
3011,Alesandro BOGNANNO,AR,36,H,35-39M,,https://utmb.world/runner/2480367.alesandro.bognanno,568.0,14.0,13.0,6.0,02:05:15,7515.721,True,f,
3010,Andrew VOLLMER,US,25,H,20-34M,,https://utmb.world/runner/6774950.andrew.vollmer,578.0,15.0,14.0,7.0,02:05:24,7524.195,True,f,
3369,Taylor NOWLIN,US,34,F,20-34W,,https://utmb.world/runner/909399.taylor.nowlin,735.0,16.0,2.0,2.0,02:05:53,7552.895,True,f,
3399,Jean François MUNOZ,FR,42,H,40-44M,,https://utmb.world/runner/1088621.jeanfrancois.munoz,646.0,17.0,15.0,2.0,02:07:28,7648.021,True,f,
