# Race: HOKA Chiang Mai Thailand by UTMB® 2024 - CHEDI 10
# Distance: 12 km
# D+: 320 m
# D-: 320 m
# Date: 2024-12-07
# URL: https://live.utmb.world/chiangmai/2024
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
8196,Siraphop RAKSNGUANPHNAPHAI,TH,18,H,13-19M,อินทนนท์runing,https://utmb.world/runner/5649391.siraphop.raksnguanphnaphai,635.0,1.0,1.0,1.0,00:58:05,3485,True,f,
8005,Jirapat KHOWINTHAWONG,TH,25,H,20-34M,,https://utmb.world/runner/4899508.jirapat.khowinthawong,579.0,2.0,2.0,1.0,01:01:28,3688,True,f,
8003,Rodrigue HAUWAERTS,BE,18,H,13-19M,HOKA CHINA,https://utmb.world/runner/5056612.rodrigue.hauwaerts,594.0,3.0,3.0,2.0,01:03:14,3794,True,f,
8355,Bawonpat CHOMWONG,TH,19,H,13-19M,Hnosport Running connect,https://utmb.world/runner/6641562.bawonpat.chomwong,542.0,4.0,4.0,3.0,01:04:38,3878,True,f,
8348,Chanathip PINGYOS,TH,38,H,35-39M,,https://utmb.world/runner/6691897.chanathip.pingyos,,5.0,5.0,1.0,01:05:09,3909,True,f,
8006,Takahiro MATSUSHITA,JP,34,H,20-34M,,https://utmb.world/runner/5866548.takahiro.matsushita,555.0,6.0,6.0,2.0,01:06:12,3972,True,f,
8319,Nattapong PROMMEE,TH,27,H,20-34M,,https://utmb.world/runner/6667319.nattapong.prommee,,7.0,7.0,3.0,01:06:36,3996,True,f,
8215,Roberto MASA,IT,30,H,20-34M,,https://utmb.world/runner/6471921.roberto.masa,,8.0,8.0,4.0,01:06:58,4018,True,f,
8347,Suwat VANGCHUAY,TH,42,H,40-44M,,https://utmb.world/runner/6692403.suwat.vangchuay,,9.0,9.0,1.0,01:07:24,4044,True,f,
8015,Thanawat CHOOJIT,TH,31,H,20-34M,Norda Team Thailand,https://utmb.world/runner/5516907.thanawat.choojit,508.0,10.0,10.0,5.0,01:07:51,4071,True,f,
8327,Hei Tung CHEUNG,HK,18,H,13-19M,TTR,https://utmb.world/runner/6675565.heitung.cheung,,11.0,11.0,4.0,01:07:54,4074,True,f,
8007,Chawis SRICHAY,TH,29,H,20-34M,,https://utmb.world/runner/4041942.chawis.srichay,551.0,12.0,12.0,6.0,01:08:34,4114,True,f,
8331,Puwanat LEELATHAMSAJJA,TH,18,H,13-19M,Inthanon ranning,https://utmb.world/runner/6681963.puwanat.leelathamsajja,,13.0,13.0,5.0,01:08:40,4120,True,f,
8019,Pairat KITISRIWORAPHAN,TH,46,H,45-49M,,https://utmb.world/runner/4910796.pairat.kitisriworaphan,479.0,14.0,14.0,1.0,01:09:01,4141,True,f,
8204,Ombeline HAUWAERTS,BE,16,F,13-19W,ROC Team,https://utmb.world/runner/6448715.ombeline.hauwaerts,,15.0,1.0,1.0,01:09:15,4155,True,f,
8010,Satjalak SIBSANPIAM,TH,33,H,20-34M,Scarpa Thailand,https://utmb.world/runner/2972291.satjalak.sibsanpiam,537.0,16.0,15.0,7.0,01:09:37,4177,True,f,
8009,Orarik TASUYA,TH,35,H,20-34M,The Northface Thailand,https://utmb.world/runner/1839101.orarik.tasuya,542.0,17.0,16.0,8.0,01:09:50,4190,True,f,
8018,Hoi LUK,CN,16,H,13-19M,TTR,https://utmb.world/runner/5595809.hoi.luk,490.0,18.0,17.0,6.0,01:11:40,4300,True,f,
8095,Tszyau LI,CN,39,F,35-39W,,https://utmb.world/runner/6256479.tszyau.li,,19.0,2.0,1.0,01:11:45,4305,True,f,
8023,Hoi Yau HA,HK,15,H,13-19M,,https://utmb.world/runner/5799140.hoiyau.ha,471.0,20.0,18.0,7.0,01:12:22,4342,True,f,
