# Race: HOKA Chiang Mai Thailand by UTMB® 2024 - SUTHEP 20
# Distance: 24 km
# D+: 1190 m
# D-: 1190 m
# Date: 2024-12-08
# URL: https://live.utmb.world/chiangmai/2024
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
2002,Yuedu SHIYE,CN,26,H,20-34M,,https://utmb.world/runner/6263860.yuedu.shiye,779.0,1.0,1.0,1.0,02:10:52,7852,True,f,
3726,Thomas GAGNIEU,FR,38,H,35-39M,Mouss,https://utmb.world/runner/186716.thomas.gagnieu,,2.0,2.0,1.0,02:15:03,8103,True,f,
2004,Florian MARSOLLIER,FR,26,H,20-34M,,https://utmb.world/runner/2034281.florian.marsollier,713.0,3.0,3.0,2.0,02:19:27,8367,True,f,
2008,Ching CHOU,TW,34,H,20-34M,The North Face Taiwan,https://utmb.world/runner/731744.ching.chou,691.0,4.0,4.0,3.0,02:22:18,8538,True,f,
2006,Hiroyuki KAWACHI,JP,46,H,45-49M,,https://utmb.world/runner/5594086.hiroyuki.kawachi,706.0,5.0,5.0,1.0,02:29:05,8945,True,f,
3502,Perawat SILAPA-ARIYA,TH,35,H,20-34M,Rev Runnr,https://utmb.world/runner/1104265.perawat.silapaariya,594.0,6.0,6.0,4.0,02:29:16,8956,True,f,
2100,Clementine EBEL,GB,29,F,20-34W,,https://utmb.world/runner/3387069.clementine.ebel,474.0,7.0,1.0,1.0,02:29:44,8984,True,f,
2022,Teera WANNASIT,TH,32,H,20-34M,CORE NUTRITION TRAIL TEAM,https://utmb.world/runner/2972137.teera.wannasit,616.0,8.0,7.0,5.0,02:31:03,9063,True,f,
3829,Adipong PUTJEEB,TH,32,H,20-34M,REV RUNNR,https://utmb.world/runner/3368775.adipong.putjeeb,601.0,9.0,8.0,6.0,02:33:15,9195,True,f,
2031,Gregory OGER,FR,44,H,40-44M,TRAINING Phuket,https://utmb.world/runner/1319945.gregory.oger,599.0,10.0,9.0,1.0,02:34:41,9281,True,f,
2025,Supachai KUNKAMUT,TH,47,H,45-49M,SleeplessFC,https://utmb.world/runner/3821511.supachai.kunkamut,609.0,11.0,10.0,2.0,02:39:27,9567,True,f,
3747,Jirawat CHOBDEE,TH,44,H,40-44M,HOP,https://utmb.world/runner/6694031.jirawat.chobdee,,12.0,11.0,2.0,02:40:34,9634,True,f,
2159,Chun Hoi TSOI,CN,38,H,35-39M,,https://utmb.world/runner/6252325.chunhoi.tsoi,510.0,13.0,12.0,2.0,02:40:57,9657,True,f,
2024,Cheuk Ting Plato LUK,CN,33,H,20-34M,Suunto HK team,https://utmb.world/runner/1443777.cheuktingplato.luk,613.0,14.0,13.0,7.0,02:41:38,9698,True,f,
2196,Lining ZHOU,CN,38,H,35-39M,,https://utmb.world/runner/4685640.lining.zhou,495.0,15.0,14.0,3.0,02:42:41,9761,True,f,
3821,Gabriele VERGNANO,IT,50,H,45-49M,,https://utmb.world/runner/5547606.gabriele.vergnano,565.0,16.0,15.0,3.0,02:43:09,9789,True,f,
2053,Theethach WATTHANATIDPONG,TH,39,H,35-39M,Kailas Fuga Team Thailand,https://utmb.world/runner/1953919.theethach.watthanatidpong,571.0,17.0,16.0,4.0,02:43:20,9800,True,f,
2020,Kamonnut SUWANNA,TH,35,H,20-34M,Adidas Terrex,https://utmb.world/runner/1602969.kamonnut.suwanna,622.0,18.0,17.0,8.0,02:44:07,9847,True,f,
2139,Phatchara SANASEN,TH,24,H,20-34M,Amino Vital,https://utmb.world/runner/6641520.phatchara.sanasen,585.0,19.0,18.0,9.0,02:45:14,9914,True,f,
2021,Hoi Tik KWONG,CN,49,H,45-49M,,https://utmb.world/runner/1220665.hoitik.kwong,617.0,20.0,19.0,4.0,02:45:35,9935,True,f,
2010,Chiu Man CHEUNG,CN,40,F,35-39W,Suunto Hong Kong,https://utmb.world/runner/795680.chiuman.cheung,581.0,21.0,2.0,1.0,02:46:18,9978,True,f,
