# Race: HOKA Chiang Mai Thailand by UTMB® 2025 - CHIANG DAO 160
# Distance: 168 km
# D+: 8100 m
# D-: 8100 m
# Date: 2025-12-05
# URL: https://live.utmb.world/chiangmai/2025
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
2,Lin Chen,CN,34,F,F 20-34,Adidas TERREX,https://utmb.world/runner/2414677.lin.chen,752.0,,,,,0,False,nl,
4,Gediminas Grinius,LT,46,H,M 45-49,TEAM VIBRAM,https://utmb.world/runner/136586.gediminas.grinius,837.0,,,,,0,False,nl,
1,JIAJU ZHAO,CN,30,H,M 20-34,KAILAS FUGA,https://utmb.world/runner/1845145.jiaju.zhao,894.0,,,,,0,False,nl,
7,Scotty Hawker,NZ,38,H,M 35-39,Team Vibram,https://utmb.world/runner/171215.scotty.hawker,822.0,,,,,0,False,nl,
9,Sangé Sherpa,NP,44,H,M 40-44,Kailas FUGA,https://utmb.world/runner/6302.sange.sherpa,813.0,,,,,0,False,nl,
22,Junko Tokumoto,JP,37,F,F 35-39,Chibariyo RC,https://utmb.world/runner/4498000.junko.tokumoto,686.0,,,,,0,False,nl,
6,Aleksei Beresnev,AN,34,H,M 20-34,,https://utmb.world/runner/1699653.aleksei.beresnev,821.0,,,,,0,False,nl,
10,Man Kumar Roka Magar,NP,22,H,M 20-34,KAILAS FUGA,https://utmb.world/runner/5774912.mankumar.rokamagar,811.0,,,,,0,False,nl,
8,DONG HE,CN,27,H,M 20-34,zxtour,https://utmb.world/runner/3457295.dong.he,828.0,,,,,0,False,nl,
13,XIAO LIN,CN,40,H,M 40-44,zxtour,https://utmb.world/runner/1309837.xiao.lin,797.0,,,,,0,False,nl,
14,Masatoshi Obara,JP,43,H,M 40-44,Answer4,https://utmb.world/runner/36444.masatoshi.obara,798.0,,,,,0,False,nl,
3,Antonina Iushina,AN,32,F,F 20-34,RHR,https://utmb.world/runner/1070695.antonina.iushina,751.0,,,,,0,False,nl,
11,Xingzhi Bai,CN,39,H,M 35-39,VIBRAM,https://utmb.world/runner/1225025.xingzhi.bai,800.0,,,,,0,False,nl,
21,Aman Nurkeldi,KZ,32,H,M 20-34,AONIJIE,https://utmb.world/runner/4898980.aman.nurkeldi,782.0,,,,,0,False,nl,
36,Yuya Okada,JP,49,H,M 45-49,Ssessionzz,https://utmb.world/runner/238353.yuya.okada,712.0,,,,,0,False,nl,
19,Akihiro Maeda,JP,35,H,M 35-39,INNER FACT,https://utmb.world/runner/4055839.akihiro.maeda,786.0,,,,,0,False,nl,
40,Kumi Kinoshita,JP,58,F,F 55-59,,https://utmb.world/runner/2069469.kumi.kinoshita,620.0,,,,,0,False,nl,
25,Weiqiang Zhang,CN,41,H,M 40-44,VIBRAM,https://utmb.world/runner/2484445.weiqiang.zhang,776.0,,,,,0,False,nl,
41,Seungyong Song,KR,49,H,M 45-49,SCARPA KOREA,https://utmb.world/runner/4858884.seungyong.song,703.0,,,,,0,False,nl,
20,Takuya Ikehata,JP,33,H,M 20-34,LUC＋,https://utmb.world/runner/3169375.takuya.ikehata,783.0,,,,,0,False,nl,
30,Satoshi Sugimoto,JP,40,H,M 40-44,noskohzo/NNORMAL,https://utmb.world/runner/741176.satoshi.sugimoto,753.0,,,,,0,False,nl,
12,Admire Muzopambwa,ZW,42,H,M 40-44,ASICS FUJI TRAIL,https://utmb.world/runner/1187753.admire.muzopambwa,807.0,,,,,0,False,nl,
5,Careth Arnold,US,35,F,F 35-39,Altra,https://utmb.world/runner/4571846.careth.arnold,730.0,,,,,0,False,nl,
45,Hunyoung Choi,KR,39,H,M 35-39,,https://utmb.world/runner/4258082.hunyoung.choi,689.0,,,,,0,False,nl,
17,Daved Simpat,MY,43,H,M 40-44,KAILAS FUGA,https://utmb.world/runner/154582.daved.simpat,791.0,,,,,0,False,nl,
37,Xiaoming Ye,CN,46,H,M 45-49,ZSPMR(中山跑马人）,https://utmb.world/runner/863526.xiaoming.ye,709.0,,,,,0,False,nl,
15,Jantaraboon Kiangchaipaiphana,TH,40,H,M 40-44,,https://utmb.world/runner/1750835.jantaraboon.kiangchaipaiphana,796.0,,,,,0,False,nl,
50,Song Ming Syu,TW,47,H,M 45-49,,https://utmb.world/runner/6096150.songming.syu,682.0,,,,,0,False,nl,
48,Ruben Ramajo Farre,ES,44,H,M 40-44,,https://utmb.world/runner/4289416.ruben.ramajofarre,684.0,,,,,0,False,nl,
34,Yu-Hsiang Huang,TW,28,H,M 20-34,DOG BITING,https://utmb.world/runner/5740556.yuhsiang.huang,739.0,,,,,0,False,nl,
24,HUA RONG FU,CN,43,F,F 40-44,zxtour,https://utmb.world/runner/1548789.huarong.fu,683.0,,,,,0,False,nl,
44,Wing Yam Man,HK,39,H,M 35-39,,https://utmb.world/runner/795992.wingyam.man,690.0,,,,,0,False,nl,
28,Jisu Kim,KR,48,H,M 45-49,Team hoka,https://utmb.world/runner/939661.jisu.kim,763.0,,,,,0,False,nl,
18,Kristian Joergensen,DK,41,H,M 40-44,T8,https://utmb.world/runner/735298.kristian.joergensen,789.0,,,,,0,False,nl,
31,Yue Cui,CN,26,H,M 20-34,AONIJIE,https://utmb.world/runner/4097898.yue.cui,758.0,,,,,0,False,nl,
16,ZHAOYING LIU,CN,34,H,M 20-34,KAILAS FUGA,https://utmb.world/runner/1153341.zhaoying.liu,812.0,,,,,0,False,nl,
42,Kazushi Sakurada,JP,49,H,M 45-49,-,https://utmb.world/runner/1164957.kazushi.sakurada,703.0,,,,,0,False,nl,
29,Shunsuke Okunomiya,JP,46,H,M 45-49,,https://utmb.world/runner/2714.shunsuke.okunomiya,760.0,,,,,0,False,nl,
56,Watcharapon Khanthong,TH,29,H,M 20-34,Fuga Mountain Club Thailand,https://utmb.world/runner/3303893.watcharapon.khanthong,672.0,,,,,0,False,nl,
27,Mickael Gasc,FR,42,H,M 40-44,TRI ACADEMY,https://utmb.world/runner/152369.mickael.gasc,767.0,,,,,0,False,nl,
57,Laurent De Gennaro,FR,40,H,M 40-44,"Les affranchis , white wolf",https://utmb.world/runner/2199281.laurent.degennaro,668.0,,,,,0,False,nl,
32,Kensuke Yoshimura,JP,41,H,M 40-44,TEAM 100MILE,https://utmb.world/runner/558620.kensuke.yoshimura,750.0,,,,,0,False,nl,
51,Hilman Maulana,ID,32,H,M 20-34,Hoka Indonesia x Coros Indonesia,https://utmb.world/runner/2279707.hilman.maulana,678.0,,,,,0,False,nl,
33,Tatsuya Saguchi,JP,45,H,M 45-49,saguchi.k.s,https://utmb.world/runner/1602201.tatsuya.saguchi,746.0,,,,,0,False,nl,
54,Yan Huang,CN,42,F,F 40-44,FUGA Mountain Club,https://utmb.world/runner/4042080.yan.huang,591.0,,,,,0,False,nl,
55,Senee Seesen,TH,37,H,M 35-39,Giant Frog,https://utmb.world/runner/6447724.senee.seesen,671.0,,,,,0,False,nl,
49,LI WANG,CN,52,F,F 50-54,,https://utmb.world/runner/3744407.li.wang,599.0,,,,,0,False,nl,
58,Naihao Yu,CN,32,H,M 20-34,,https://utmb.world/runner/6536547.naihao.yu,668.0,,,,,0,False,nl,
35,Nhon Do,VN,30,H,M 20-34,Kailas Fuga,https://utmb.world/runner/3293683.nhon.dotrong,727.0,,,,,0,False,nl,
43,Peter Hristov,BG,36,H,M 35-39,ASICS Frontrunner Bulgaria,https://utmb.world/runner/4740686.peter.hristov,695.0,,,,,0,False,nl,
60,Chang Sik Choi,KR,53,H,M 50-54,,https://utmb.world/runner/4996469.changsik.choi,665.0,,,,,0,False,nl,
52,CARMEN MARIA MONTAÑO LEZAMA,VE,46,F,F 45-49,teamcm,https://utmb.world/runner/703121.carmenmaria.montanolezama,594.0,,,,,0,False,nl,
23,Ronghua Deng,CN,39,F,F 35-39,AONIJIE,https://utmb.world/runner/2396105.ronghua.deng,683.0,,,,,0,False,nl,
26,Hieu Nguyen Si,VN,39,H,M 35-39,HOKA VIETNAM,https://utmb.world/runner/1474175.hieu.nguyensi,771.0,,,,,0,False,nl,
39,XUEER SHANG,CN,39,F,F 35-39,zxtour,https://utmb.world/runner/3061029.xueer.shang,623.0,,,,,0,False,nl,
38,Dongkuk Jang,KR,49,H,M 45-49,odlo-korea,https://utmb.world/runner/4265092.dongkuk.jang,709.0,,,,,0,False,nl,
64,So Young Park,KR,47,F,F 45-49,HOKA KOREA,https://utmb.world/runner/3506689.soyoung.park,575.0,,,,,0,False,nl,
66,Patthanapichai Trinwatthaworn,TH,44,H,M 40-44,2 Rock,https://utmb.world/runner/5517681.patthanapichai.trinwatthaworn,656.0,,,,,0,False,nl,
62,Tsugumi Kawana,JP,35,F,F 35-39,Sengenyama Trail Club,https://utmb.world/runner/5866566.tsugumi.kawana,582.0,,,,,0,False,nl,
47,Darika Suwanmongkol,TH,37,F,F 35-39,,https://utmb.world/runner/2247795.darika.suwanmongkol,589.0,,,,,0,False,nl,
76,Anonymous,AN,51,H,M 50-54,,,,,,,,0,False,nl,
69,Shashwat Rao,IN,39,H,M 35-39,,https://utmb.world/runner/856326.shashwat.rao,654.0,,,,,0,False,nl,
65,Thosaeng Kunno,TH,23,H,M 20-34,BroooAthlete,https://utmb.world/runner/4316942.thosaeng.kunno,658.0,,,,,0,False,nl,
63,Artem Ivanov,AN,43,H,M 40-44,Trailrunningschool,https://utmb.world/runner/3269177.artem.ivanov,660.0,,,,,0,False,nl,
75,Sarah Mangler,DE,43,F,F 40-44,,https://utmb.world/runner/2250103.sarah.mangler,564.0,,,,,0,False,nl,
53,Mohammadalee Binlateh,TH,45,H,M 45-49,,https://utmb.world/runner/4041936.mohammadalee.binlateh,675.0,,,,,0,False,nl,
67,Brian Angwin,GB,55,H,M 55-59,Falcons SG,https://utmb.world/runner/1097367.brian.angwin,657.0,,,,,0,False,nl,
79,Marie Pinnell,US,30,F,F 20-34,Core Nutrition / Trailway,https://utmb.world/runner/3986752.marie.pinnell,558.0,,,,,0,False,nl,
78,Ting Xu,CN,32,F,F 20-34,周五村,https://utmb.world/runner/4929332.ting.xu,567.0,,,,,0,False,nl,
61,Shinichi Nishiyama,JP,41,H,M 40-44,Milers Kyoto,https://utmb.world/runner/3552011.shinichi.nishiyama,665.0,,,,,0,False,nl,
46,Dinanath Bagale,CN,46,H,M 45-49,,https://utmb.world/runner/1762189.dinanath.bagale,684.0,,,,,0,False,nl,
