# Race: HOKA Chiang Mai Thailand by UTMB® 2025 - HMONG 50-NIGHT
# Distance: 56 km
# D+: 2400 m
# D-: 2400 m
# Date: 2025-12-06
# URL: https://live.utmb.world/chiangmai/2025
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
8002,Akihiro Itamoto,JP,34,H,M 20-34,,https://utmb.world/runner/4495930.akihiro.itamoto,728.0,,,,,0,False,nl,
8011,Chao Gao,CN,37,F,F 35-39,,https://utmb.world/runner/4092316.chao.gao,515.0,,,,,0,False,nl,
8007,Seiya Onoda,JP,47,H,M 45-49,MERRELL JAPAN,https://utmb.world/runner/2387707.seiya.onoda,641.0,,,,,0,False,nl,
8022,Yuk Sang Chan,HK,37,H,M 35-39,,https://utmb.world/runner/1206807.yuksang.chan,553.0,,,,,0,False,nl,
8003,Norihito Goto,JP,47,H,M 45-49,the kijitoras,https://utmb.world/runner/498045.norihito.goto,717.0,,,,,0,False,nl,
8013,Yaqun Ji,CN,36,F,F 35-39,,https://utmb.world/runner/4118720.yaqun.ji,509.0,,,,,0,False,nl,
8010,Woon Ping Leung,HK,56,F,F 55-59,,https://utmb.world/runner/400622.woonping.leung,529.0,,,,,0,False,nl,
8014,Anna Akatsu,JP,34,F,F 20-34,,https://utmb.world/runner/2108609.anna.akatsu,509.0,,,,,0,False,nl,
8009,Ritzy Amor Ectin,PH,34,F,F 20-34,,https://utmb.world/runner/6232505.ritzyamor.ectin,531.0,,,,,0,False,nl,
8005,Christopher Timms,GB,44,H,M 40-44,Singapore Falcons,https://utmb.world/runner/1907023.christopher.timms,680.0,,,,,0,False,nl,
8024,Shanshan Wei,CN,36,F,F 35-39,周五村,https://utmb.world/runner/5803124.shanshan.wei,481.0,,,,,0,False,nl,
8023,Ying Liu,CN,37,F,F 35-39,,https://utmb.world/runner/1440177.ying.liu,481.0,,,,,0,False,nl,
8016,Danfeng Chen,CN,41,F,F 40-44,,https://utmb.world/runner/2460873.danfeng.chen,505.0,,,,,0,False,nl,
8008,Radomir Karlik,CZ,52,H,M 50-54,underground ultrarunning,https://utmb.world/runner/4642436.radomir.karlik,602.0,,,,,0,False,nl,
8033,Sutisa Sangvichein,TH,53,F,F 50-54,หมู่บ้านหรรษา,https://utmb.world/runner/1265825.sutisa.sangvichein,456.0,,,,,0,False,nl,
8015,Jia Zhu,CN,42,H,M 40-44,,https://utmb.world/runner/4033764.jia.zhu,579.0,,,,,0,False,nl,
