# Race: Chianti Ultra Trail by UTMB 2025 - Chianti Half Trail
# Distance: 20 km
# D+: 800 m
# D-: 800 m
# Date: 2025-03-23
# URL: https://live.utmb.world/chianti/2025
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
5001,Elhousine ELAZZAOUI,MA,33,H,20-34M,NNormal,https://utmb.world/runner/2161523.elhousine.elazzaoui,945.0,1.0,1.0,1.0,01:16:32,4592.837,True,f,
5003,Luciano ROTA,IT,25,H,20-34M,La Recastello Radici Group,https://utmb.world/runner/6499552.luciano.rota,840.0,2.0,2.0,2.0,01:17:14,4634.433,True,f,
5029,Hannes PERKMANN,IT,32,H,20-34M,Team New Balance,https://utmb.world/runner/673081.hannes.perkmann,839.0,3.0,3.0,3.0,01:23:12,4992.711,True,f,
6183,Adrian BEDNAREK,PL,35,H,35-39M,,https://utmb.world/runner/1501437.adrian.bednarek,797.0,4.0,4.0,1.0,01:25:03,5103.275,True,f,
5002,Giacomo FORCONI,IT,34,H,20-34M,Space Running,https://utmb.world/runner/880293.giacomo.forconi,847.0,5.0,5.0,4.0,01:26:03,5163.966,True,f,
5028,Romuald BRUN,FR,43,H,40-44M,Nnormal,https://utmb.world/runner/1725639.romuald.brun,760.0,6.0,6.0,1.0,01:26:28,5188.071,True,f,
5038,Luca BERTOLDO,IT,24,H,20-34M,Atletica Schio,https://utmb.world/runner/5146044.luca.bertoldo,737.0,7.0,7.0,5.0,01:26:57,5217.773,True,f,
5008,Riccardo GABRINI,IT,33,H,20-34M,AMOROTTO ASD,https://utmb.world/runner/6723857.riccardo.gabrini,801.0,8.0,8.0,6.0,01:27:14,5234.129,True,f,
5050,Simone MARCOLLI,IT,25,H,20-34M,Varese Atletica ASD,https://utmb.world/runner/5412200.simone.marcolli,669.0,9.0,9.0,7.0,01:27:30,5250.819,True,f,
5013,Luigi PIETRINI,IT,28,H,20-34M,,https://utmb.world/runner/6516656.luigi.pietrini,751.0,10.0,10.0,8.0,01:29:11,5351.044,True,f,
6079,Marco FERRARI,BR,25,H,20-34M,Mathletics,https://utmb.world/runner/6747215.marco.ferrari,,11.0,11.0,9.0,01:29:59,5399.854,True,f,
