# Race: Desert RATS trail running festival By UTMB 2024 - Desert RATS 21K
# Distance: 21 km
# D+: 511 m
# D-: 511 m
# Date: 2024-04-14
# URL: https://live.utmb.world/desertrats/2024
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
2250,Eli Hemming,US,30,H,20-34M,,https://utmb.world/runner/4271091.eli.hemming,912.0,1.0,1.0,1.0,01:22:44,4964.807,True,f,
2591,Brian Whitfield,US,29,H,20-34M,,https://utmb.world/runner/1750085.brian.whitfield,880.0,2.0,2.0,2.0,01:23:08,4988.497,True,f,
2637,Jeshurun Small,US,27,H,20-34M,,https://utmb.world/runner/666979.jeshurun.small,887.0,3.0,3.0,3.0,01:23:19,4999.891,True,f,
2402,Jerrell Mock,US,30,H,20-34M,,https://utmb.world/runner/5904853.jerrell.mock,,4.0,4.0,4.0,01:23:22,5002.41,True,f,
2576,Kevin Vermeulen,CH,33,H,20-34M,,https://utmb.world/runner/328216.kevin.vermeulen,880.0,5.0,5.0,5.0,01:24:13,5053.796,True,f,
2636,Cade Michael,US,27,H,20-34M,,https://utmb.world/runner/5979289.cade.michael,,6.0,6.0,6.0,01:25:08,5108.348,True,f,
2415,Kieran Nay,US,27,H,20-34M,,https://utmb.world/runner/3522223.kieran.nay,812.0,7.0,7.0,7.0,01:27:50,5270.794,True,f,
2018,Austin Anderson,US,30,H,20-34M,,https://utmb.world/runner/2459117.austin.anderson,,8.0,8.0,8.0,01:28:04,5284.133,True,f,
2148,Joshua Eberly,US,45,H,40-44M,,https://utmb.world/runner/736028.josh.eberly,815.0,9.0,9.0,1.0,01:29:44,5384.392,True,f,
2602,Andrew Wise,US,31,H,20-34M,,https://utmb.world/runner/2397323.andrew.wise,811.0,10.0,10.0,9.0,01:34:29,5669.49,True,f,
2136,Callan Deline,US,30,H,20-34M,,https://utmb.world/runner/5292141.callan.deline,,11.0,11.0,10.0,01:37:05,5825.592,True,f,
2459,Tristan Purdy,US,29,H,20-34M,,https://utmb.world/runner/5979095.tristan.purdy,,12.0,12.0,11.0,01:38:09,5889.586,True,f,
2597,Geoffrey Williams,US,38,H,35-39M,,https://utmb.world/runner/5978875.geoffrey.williams,,13.0,13.0,1.0,01:38:22,5902.874,True,f,
2134,Frank Decew,US,24,H,20-34M,,https://utmb.world/runner/5978981.frank.decew,,14.0,14.0,12.0,01:38:54,5934.609,True,f,
2657,Jaycie Thomsen,US,27,F,20-34W,,https://utmb.world/runner/5557092.jaycie.thomsen,719.0,15.0,1.0,1.0,01:39:47,5987.038,True,f,
2579,Brett Wachtendorf,US,32,H,20-34M,,https://utmb.world/runner/5979265.brett.wachtendorf,,16.0,15.0,13.0,01:40:53,6053.798,True,f,
2251,Tabor Hemming,US,28,F,20-34W,,https://utmb.world/runner/4271095.tabor.hemming,738.0,16.0,2.0,2.0,01:40:53,6053.017,True,f,
2609,Eric Wright,US,41,H,40-44M,,https://utmb.world/runner/573803.eric.wright,,18.0,16.0,2.0,01:40:58,6058.597,True,f,
2072,Gabriella Brinkley,US,26,F,20-34W,,https://utmb.world/runner/5096954.gabriella.brinkley,671.0,19.0,3.0,3.0,01:42:33,6153.831,True,f,
2689,Nathan McKinnon,CA,46,H,45-49M,,,,20.0,17.0,1.0,01:42:50,6170.134,True,f,
2324,Elizabeth Lagoy,US,29,F,20-34W,,https://utmb.world/runner/5978703.elizabeth.lagoy,,21.0,4.0,4.0,01:43:02,6182.37,True,f,
2313,Cody Klaiber,US,29,H,20-34M,,https://utmb.world/runner/5979109.cody.klaiber,,22.0,18.0,14.0,01:43:36,6216.877,True,f,
2491,Mike Schneiter,US,49,H,45-49M,,https://utmb.world/runner/5979273.mike.schneiter,,23.0,19.0,2.0,01:45:04,6304.562,True,f,
2500,Tad Schweizer,US,28,H,20-34M,,https://utmb.world/runner/3688555.tad.schweizer,559.0,24.0,20.0,15.0,01:45:13,6313.836,True,f,
2254,Colin Henderson,US,30,H,20-34M,,https://utmb.world/runner/5097062.colin.henderson,653.0,25.0,21.0,16.0,01:45:24,6324.797,True,f,
2633,Daniel Weiland,US,50,H,45-49M,,https://utmb.world/runner/5979287.daniel.weiland,,26.0,22.0,3.0,01:45:34,6334.485,True,f,
2676,Cade Evans,US,23,H,20-34M,,https://utmb.world/runner/5978827.cade.evans,,27.0,23.0,17.0,01:45:42,6342.825,True,f,
2587,Eric Wayman,US,29,H,20-34M,,https://utmb.world/runner/4430950.eric.wayman,661.0,28.0,24.0,18.0,01:46:33,6393.527,True,f,
2669,Gabriel Reygondeau,US,42,H,40-44M,,https://utmb.world/runner/4431476.gabriel.reygondeau,694.0,29.0,25.0,3.0,01:47:32,6452.47,True,f,
2428,Brenden Pachniak,US,26,H,20-34M,,https://utmb.world/runner/5039033.brenden.pachniak,,30.0,26.0,19.0,01:48:05,6485.41,True,f,
2245,Genevieve Harrison,US,38,F,35-39W,,https://utmb.world/runner/4715021.genevieve.harrison,643.0,31.0,5.0,1.0,01:48:54,6534.576,True,f,
2695,Caitlin Standifer,US,36,F,35-39W,,,,32.0,6.0,2.0,01:49:23,6563.367,True,f,
2027,Nathan Austin,US,33,H,20-34M,,https://utmb.world/runner/3527133.nathan.austin,,33.0,27.0,20.0,01:49:39,6579.754,True,f,
2218,Stephen Gnoza,US,40,H,35-39M,,https://utmb.world/runner/1890955.stephen.gnoza,608.0,34.0,28.0,2.0,01:50:10,6610.185,True,f,
2372,Shane Massey,US,30,H,20-34M,,https://utmb.world/runner/5097066.shane.massey,642.0,35.0,29.0,21.0,01:50:19,6619.203,True,f,
2021,Ignacio Arenas Norton,AR,30,H,20-34M,,https://utmb.world/runner/5978297.ignacio.arenasnorton,,36.0,30.0,22.0,01:50:35,6635.348,True,f,
2677,Michelle Oberndorf,,2025,F,20-34W,,,,37.0,7.0,5.0,01:50:42,6642.864,True,f,
2492,Joost Schreve,US,51,H,50-54M,,https://utmb.world/runner/3626369.joost.schreve,623.0,38.0,31.0,1.0,01:50:52,6652.213,True,f,
