# Race: Desert RATS Trail running Festival by UTMB 2025 - Desert RATS 21K
# Distance: 20.1 km
# D+: 511 m
# D-: 511 m
# Date: 2025-04-13
# URL: https://live.utmb.world/desertrats/2025
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
2000,Eli HEMMING,US,30,H,20-34M,,https://utmb.world/runner/4271091.eli.hemming,918.0,1.0,1.0,1.0,01:19:46,4786.946,True,f,
2001,Taylor STACK,US,27,H,20-34M,,https://utmb.world/runner/586957.taylor.stack,863.0,2.0,2.0,2.0,01:22:33,4953.817,True,f,
2257,Coleman CRAGUN,US,26,H,20-34M,,https://utmb.world/runner/6899413.coleman.cragun,,3.0,3.0,3.0,01:23:28,5008.594,True,f,
2582,Jeshurun SMALL,US,27,H,20-34M,,https://utmb.world/runner/666979.jeshurun.small,894.0,4.0,4.0,4.0,01:26:35,5195.914,True,f,
2571,Devin PANCAKE,US,25,H,20-34M,,https://utmb.world/runner/5908409.devin.pancake,680.0,5.0,5.0,5.0,01:27:13,5233.84,True,f,
2439,Evan KWIECIEN,US,25,H,20-34M,,https://utmb.world/runner/7035415.evan.kwiecien,,6.0,6.0,6.0,01:32:45,5565.619,True,f,
2007,Nick CIOCI,US,25,H,20-34M,,https://utmb.world/runner/4105254.nick.cioci,714.0,7.0,7.0,7.0,01:33:32,5612.199,True,f,
2396,Luke PLUMMER,US,24,H,20-34M,,https://utmb.world/runner/4130320.luke.plummer,,8.0,8.0,8.0,01:33:39,5618.86,True,f,
2412,Scott FOLEY,US,36,H,35-39M,,https://utmb.world/runner/6111417.scott.foley,,9.0,9.0,1.0,01:35:15,5715.897,True,f,
2002,Tabor HEMMING,US,28,F,20-34W,,https://utmb.world/runner/4271095.tabor.hemming,750.0,10.0,1.0,1.0,01:36:16,5776.473,True,f,
2005,Wesley TOEWS,US,39,H,35-39M,,https://utmb.world/runner/5097060.wesley.toews,723.0,11.0,10.0,2.0,01:36:24,5784.324,True,f,
2498,Shane NIKSIC,US,33,H,20-34M,,https://utmb.world/runner/7012891.shane.niksic,,12.0,11.0,9.0,01:37:40,5860.676,True,f,
2549,Janelle LINCKS,US,32,F,20-34W,,https://utmb.world/runner/4005442.janelle.lincks,694.0,13.0,2.0,2.0,01:39:20,5960.346,True,f,
2004,Sydney PETERSEN,US,26,F,20-34W,,https://utmb.world/runner/6954821.sydney.petersen,682.0,14.0,3.0,3.0,01:40:29,6029.866,True,f,
2595,Oliver BALESTRIERI,US,22,H,20-34M,,https://utmb.world/runner/7147229.oliver.balestrieri,,15.0,12.0,10.0,01:41:06,6065.78,True,f,
2395,Alison RUDY,,25,F,20-34W,,https://utmb.world/runner/4058671.alison.rudy,,16.0,4.0,4.0,01:43:38,6218.109,True,f,
2524,William BALDWIN,US,33,H,20-34M,,https://utmb.world/runner/7053573.william.baldwin,,17.0,13.0,11.0,01:46:29,6389.34,True,f,
2574,Molly OLSEN,US,26,F,20-34W,,https://utmb.world/runner/5039397.molly.olsen,,18.0,5.0,5.0,01:47:18,6438.62,True,f,
2446,Jordan KEHOE,US,35,H,35-39M,,https://utmb.world/runner/7035411.jordan.kehoe,,19.0,14.0,3.0,01:49:30,6569.761,True,f,
2607,Kat ROBINSON,US,31,F,20-34W,,,,20.0,6.0,6.0,01:49:48,6587.946,True,f,
2021,Leandro MIGUEL SALVADOR,ES,41,H,40-44M,,https://utmb.world/runner/5504065.leandro.miguelsalvador,548.0,21.0,15.0,1.0,01:49:49,6588.942,True,f,
2585,Ryan MAGUIRE,US,30,H,20-34M,,https://utmb.world/runner/7122387.ryan.maguire,,22.0,16.0,12.0,01:49:51,6590.957,True,f,
2337,William SCHENK,US,27,H,20-34M,,https://utmb.world/runner/6942335.william.schenk,,23.0,17.0,13.0,01:50:59,6658.39,True,f,
2357,Stephen TONY,US,30,H,20-34M,,https://utmb.world/runner/6919655.stephen.tony,,24.0,18.0,14.0,01:51:19,6678.402,True,f,
2010,Lacey BOURGOIS,US,38,F,35-39W,,https://utmb.world/runner/6205882.lacey.bourgois,636.0,25.0,7.0,1.0,01:51:51,6711.542,True,f,
2612,Rory KELLY,US,29,F,20-34W,,https://utmb.world/runner/6373174.kelly.rory,612.0,26.0,8.0,7.0,01:52:54,6774.294,True,f,
2013,Kevin HADFIELD,US,40,H,40-44M,,https://utmb.world/runner/733026.kevin.hadfield,600.0,27.0,19.0,2.0,01:52:55,6775.318,True,f,
2049,Adam RABO,US,37,H,35-39M,,https://utmb.world/runner/5038487.adam.rabo,464.0,28.0,20.0,4.0,01:52:59,6778.834,True,f,
2018,Eddo WEIJER,NL,42,H,40-44M,,https://utmb.world/runner/5381346.eddo.weijer,569.0,29.0,21.0,3.0,01:54:03,6843.519,True,f,
2593,Bradley ALLF,US,33,H,20-34M,,https://utmb.world/runner/7122385.bradley.allf,,30.0,22.0,15.0,01:54:36,6875.309,True,f,
2468,Mishea MUELLER,US,35,F,35-39W,,https://utmb.world/runner/6863761.mishea.mueller,,31.0,9.0,2.0,01:55:14,6914.86,True,f,
2011,Julie JOHNSON,US,39,F,35-39W,,https://utmb.world/runner/1419797.julie.johnson,631.0,32.0,10.0,3.0,01:55:47,6946.392,True,f,
2014,Samuel DENBY,US,27,H,20-34M,,https://utmb.world/runner/5978547.samuel.denby,599.0,33.0,23.0,16.0,01:56:23,6982.562,True,f,
2602,Luis LOPEZ,US,27,H,20-34M,,,,34.0,24.0,17.0,01:56:27,6986.314,True,f,
2618,Jordan KELCH,US,33,F,20-34W,,https://utmb.world/runner/3986875.jordan.kelch,,35.0,11.0,8.0,01:56:34,6993.861,True,f,
2584,Guy LOVE,US,35,H,35-39M,,https://utmb.world/runner/2670273.guy.love,600.0,36.0,25.0,5.0,01:56:38,6998.473,True,f,
2016,Trevor GERBER,US,50,H,50-54M,,https://utmb.world/runner/5979201.trevor.gerber,586.0,37.0,26.0,1.0,01:56:47,7007.323,True,f,
2467,Matt DEVER,US,32,H,20-34M,,https://utmb.world/runner/6979291.matt.dever,,38.0,27.0,18.0,01:58:16,7095.219,True,f,
2261,Spencer OLSON,US,25,H,20-34M,,https://utmb.world/runner/6909749.spencer.olson,,39.0,28.0,19.0,01:58:18,7098.574,True,f,
