# Race: Eiger Ultra Trail 2024 - E51
# Distance: 51 km
# D+: 3100 m
# D-: 3100 m
# Date: 2024-07-20
# URL: https://live.utmb.world/eigerultratrail/2024
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
5002,Jeshurun SMALL,US,27,H,20-34M,Adidas Terrex,https://utmb.world/runner/666979.jeshurun.small,892.0,1.0,1.0,1.0,04:59:43,17982.842,True,f,
5007,Paul MATHOU,FR,32,H,20-34M,On trail team,https://utmb.world/runner/595330.paul.mathou,861.0,2.0,2.0,2.0,05:07:54,18474.053,True,f,
5022,Sindre BURAAS,NO,36,H,35-39M,Hoka x untoild_movement,https://utmb.world/runner/4292391.sindre.buraas,803.0,3.0,3.0,1.0,05:12:54,18773.502,True,f,
5011,Andreas RIEDER,AT,39,H,35-39M,Brooks Trail Runners,https://utmb.world/runner/3034585.andreas.rieder,847.0,4.0,4.0,2.0,05:15:41,18941.077,True,f,
5013,Christoph LAUTERBACH,DE,34,H,20-34M,Brooks Trail Runners,https://utmb.world/runner/297596.christoph.lauterbach,834.0,5.0,5.0,3.0,05:16:08,18967.278,True,f,
5018,Yves HELOURY,FR,26,H,20-34M,TEAM ODLO x ALPI,https://utmb.world/runner/1278083.yves.heloury,825.0,6.0,6.0,4.0,05:34:32,20072.049,True,f,
5021,Matis LERAY,FR,26,H,20-34M,,https://utmb.world/runner/3096053.matis.leray,808.0,7.0,7.0,5.0,05:37:39,20259.516,True,f,
5010,Sven KOCH,DE,26,H,20-34M,Team adidas TERREX,https://utmb.world/runner/3565961.sven.koch,853.0,8.0,8.0,6.0,05:43:05,20585.252,True,f,
5001,Sophia LAUKLI,US,25,F,20-34W,Salomon,https://utmb.world/runner/4595618.sophia.laukli,789.0,9.0,1.0,1.0,05:51:39,21099.614,True,f,
5016,Holly PAGE,GB,35,F,20-34W,Adidas TERREX,https://utmb.world/runner/981077.holly.page,727.0,10.0,2.0,2.0,05:56:49,21409.506,True,f,
5023,Bernhard MACKNER,AT,36,H,35-39M,,https://utmb.world/runner/1996275.bernhard.mackner,774.0,11.0,9.0,3.0,05:58:45,21524.796,True,f,
5015,Kim SCHREIBER,DE,30,F,20-34W,adidas TERREX,https://utmb.world/runner/1996315.kim.schreiber,728.0,12.0,3.0,3.0,06:01:25,21685.217,True,f,
5027,Simon AMBROISE,FR,22,H,20-34M,Serre Chevalier Briançon Athlétisme,https://utmb.world/runner/3249405.simon.ambroise,746.0,13.0,10.0,7.0,06:01:57,21717.061,True,f,
5032,Shunsuke OKUNOMIYA,JP,46,H,45-49M,adidas TERREX,https://utmb.world/runner/2714.shunsuke.okunomiya,721.0,14.0,11.0,1.0,06:04:34,21874.231,True,f,
5012,Mireia PONS,ES,34,F,20-34W,Brooks Trail Running,https://utmb.world/runner/1572295.mireia.pons,733.0,15.0,4.0,4.0,06:07:38,22057.964,True,f,
5031,Beat NEFF,CH,48,H,45-49M,,https://utmb.world/runner/2325167.beat.neff,738.0,16.0,12.0,2.0,06:17:55,22674.989,True,f,
5051,Luca HELLER,CH,31,H,20-34M,LAG Gossau,https://utmb.world/runner/3747797.luca.heller,660.0,17.0,13.0,8.0,06:18:00,22680.145,True,f,
5020,Kristýna ČERNÁ,CZ,32,F,20-34W,BOA Trail Team,https://utmb.world/runner/4596342.kristyna.cerna,719.0,18.0,5.0,5.0,06:19:46,22786.434,True,f,
5047,Sandro WILLI,CH,32,H,20-34M,,https://utmb.world/runner/4569404.sandro.willi,664.0,19.0,14.0,9.0,06:28:30,23310.236,True,f,
5044,William BIELBY,NZ,33,H,20-34M,,https://utmb.world/runner/3319783.william.bielby,672.0,20.0,15.0,10.0,06:30:17,23416.902,True,f,
6560,Joel EBERLE,CH,21,H,20-34M,,https://utmb.world/runner/6304895.joel.eberle,,21.0,16.0,11.0,06:30:48,23448.729,True,f,
5052,Rebecca WATNEY,ZA,30,F,20-34W,,https://utmb.world/runner/4885288.rebecca.watney,662.0,22.0,6.0,6.0,06:30:56,23456.737,True,f,
5048,Torben POTTGIESSER,DE,46,H,45-49M,SV Kirchzarten,https://utmb.world/runner/4925666.torben.pottgiesser,668.0,23.0,17.0,3.0,06:33:32,23612.243,True,f,
5067,Matthew GAY,GB,36,H,35-39M,,https://utmb.world/runner/4323634.matthew.gay,634.0,24.0,18.0,4.0,06:33:56,23635.744,True,f,
5033,Brendan CLARK,NZ,44,H,40-44M,,https://utmb.world/runner/21707.brendan.clark,721.0,25.0,19.0,1.0,06:33:59,23638.861,True,f,
5040,Lilian FLEURY,CH,26,H,20-34M,,https://utmb.world/runner/4046460.lilian.fleury,689.0,26.0,20.0,12.0,06:35:46,23745.465,True,f,
5054,Nicolas WOODMAN,GB,39,H,35-39M,,https://utmb.world/runner/3136435.nicolas.woodman,654.0,27.0,21.0,5.0,06:38:19,23898.87,True,f,
5024,Melanie DELASOIE,CH,35,F,20-34W,,https://utmb.world/runner/3750855.melanie.delasoie,691.0,28.0,7.0,7.0,06:38:55,23935.282,True,f,
6262,Paul HÜGLI,CH,41,H,40-44M,triTeam Emmental,https://utmb.world/runner/5671793.paul.hugli,,29.0,22.0,2.0,06:38:56,23936.336,True,f,
5036,David NIBLACK,US,44,H,40-44M,,https://utmb.world/runner/387599.david.niblack,704.0,30.0,23.0,3.0,06:38:57,23936.607,True,f,
5065,Lina BROSTRÖM,SE,42,F,40-44W,,https://utmb.world/runner/4292403.lina.brostrom,637.0,31.0,8.0,1.0,06:41:45,24105.167,True,f,
5079,Elisa SIHVOLA,FI,38,F,35-39W,,https://utmb.world/runner/4581258.elisa.sihvola,621.0,32.0,9.0,1.0,06:45:00,24300.881,True,f,
6287,Sigve VÅGSNES,NO,49,H,45-49M,,https://utmb.world/runner/2158173.sigve.vagsnes,,33.0,24.0,4.0,06:45:50,24350.204,True,f,
5005,Núria PICAS,ES,49,F,45-49W,BUFF PRO TEAM,https://utmb.world/runner/11759.nuria.picas,763.0,34.0,10.0,1.0,06:47:11,24430.55,True,f,
5034,Gioele JURIETTI,CH,30,H,20-34M,,https://utmb.world/runner/4687812.gioele.jurietti,716.0,35.0,25.0,13.0,06:48:00,24480.419,True,f,
5103,Andreas DELMENICO,CH,55,H,50-54M,,https://utmb.world/runner/2104903.andreas.delmenico,599.0,36.0,26.0,1.0,06:48:11,24491.047,True,f,
5070,Patrick JABERG,CH,45,H,40-44M,tripl3,https://utmb.world/runner/5077165.patrick.jaberg,628.0,37.0,27.0,4.0,06:52:36,24756.124,True,f,
5066,Corsin ZÜST,CH,28,H,20-34M,Tschuggers - Züst Fitness & Physio,https://utmb.world/runner/4194257.corsin.zust,634.0,38.0,28.0,14.0,06:56:05,24965.25,True,f,
5041,Mark TOPHAM,GB,35,H,20-34M,Ultra X,https://utmb.world/runner/4788276.mark.topham,682.0,39.0,29.0,15.0,06:56:23,24983.329,True,f,
6482,Fabio TSCHIRKY,CH,28,H,20-34M,Tschuggers - SC Hochwart,https://utmb.world/runner/5718609.fabio.tschirky,,40.0,30.0,16.0,06:57:40,25060.151,True,f,
6554,Yannick KUNZ,CH,39,H,35-39M,,https://utmb.world/runner/511507.yannick.kunz,,41.0,31.0,6.0,06:58:10,25089.767,True,f,
5141,Juliane TOTZKE,DE,34,F,20-34W,,https://utmb.world/runner/1410143.juliane.totzke,570.0,42.0,11.0,8.0,06:59:22,25161.76,True,f,
5140,Tim FREY,CH,33,H,20-34M,Bergfrey,https://utmb.world/runner/3291355.tim.frey,519.0,43.0,32.0,17.0,06:59:38,25177.985,True,f,
5058,Paul SUCH,CH,47,H,45-49M,,https://utmb.world/runner/965551.paul.such,647.0,44.0,33.0,5.0,06:59:41,25181.403,True,f,
5128,Ronnie WEISSENFELD,DE,45,H,40-44M,#bergziegenHD,https://utmb.world/runner/5522872.ronnie.weissenfeld,580.0,45.0,34.0,5.0,06:59:54,25193.665,True,f,
5168,Matthias BREGY,CH,30,H,20-34M,,https://utmb.world/runner/5524337.matthias.bregy,556.0,46.0,35.0,18.0,07:01:42,25301.915,True,f,
5039,David DUTCH,CH,39,H,35-39M,,https://utmb.world/runner/1496509.david.dutch,692.0,47.0,36.0,7.0,07:02:02,25322.134,True,f,
5064,Alexis DAUTCOURT,FR,38,H,35-39M,Team Gilbert Violently Déroule,https://utmb.world/runner/20575.alexis.dautcourt,637.0,48.0,37.0,8.0,07:02:29,25348.842,True,f,
5080,Clara CARSTE,DE,26,F,20-34W,Dynafit Trailhero,https://utmb.world/runner/5305532.clara.carste,620.0,49.0,12.0,9.0,07:03:57,25436.96,True,f,
5084,David LUDWIG,DE,25,H,20-34M,Dynafit Trailhero,https://utmb.world/runner/4494460.david.ludwig,617.0,50.0,38.0,19.0,07:03:59,25438.302,True,f,
5037,Jonas KAUFMANN,DE,35,H,20-34M,Twopeaksendurance,https://utmb.world/runner/4183097.jonas.kaufmann,704.0,51.0,39.0,20.0,07:05:18,25517.922,True,f,
5522,Piotr BEDNARZ,FR,37,H,35-39M,,,,52.0,40.0,9.0,07:05:56,25556.0,True,f,
5512,Michele FISCHER,CH,45,F,40-44W,,https://utmb.world/runner/6261599.michele.fischer,,53.0,13.0,2.0,07:06:47,25606.44,True,f,
6412,Andreas BÜHLMANN,CH,36,H,35-39M,Steadystate,https://utmb.world/runner/5686757.andreas.buhlmann,,54.0,41.0,10.0,07:07:41,25660.077,True,f,
5026,Claudia CHMIELOWSKA,PL,27,F,20-34W,,https://utmb.world/runner/1081129.claudia.chmielowska,682.0,55.0,14.0,10.0,07:08:04,25684.454,True,f,
5133,Andrea DIMIZIANI,CH,38,H,35-39M,Geneva Run Club,https://utmb.world/runner/2249475.andrea.dimiziani,575.0,56.0,42.0,11.0,07:08:13,25693.475,True,f,
5059,Arthur D'ARMAGNAC,FR,26,H,20-34M,,https://utmb.world/runner/5535081.arthur.darmagnac,647.0,57.0,43.0,21.0,07:08:46,25725.578,True,f,
5086,Anna HOVORAKOVA,CZ,29,F,20-34W,Dimense.cz/Runsport.cz/Ultramenu.cz,https://utmb.world/runner/3207227.anna.hovorakova,615.0,58.0,15.0,11.0,07:08:49,25729.735,True,f,
6462,Sven SNAUWAERT,BE,31,H,20-34M,,https://utmb.world/runner/5686195.sven.snauwaert,,59.0,44.0,22.0,07:09:22,25761.2,True,f,
5120,Jack CASTLE,US,38,H,35-39M,,https://utmb.world/runner/4863753.jack.castle,584.0,60.0,45.0,12.0,07:12:23,25943.196,True,f,
5139,Christian WAGNER,CH,48,H,45-49M,Two Peaks Endurance,https://utmb.world/runner/5074969.christian.wagner,575.0,61.0,46.0,6.0,07:12:55,25975.227,True,f,
5056,Roger PRUDON,NL,30,H,20-34M,,https://utmb.world/runner/5686831.roger.prudon,648.0,62.0,47.0,23.0,07:13:30,26009.962,True,f,
5062,Philip KOBLER,AT,38,H,35-39M,AlpenPower Sports Nutrition,https://utmb.world/runner/911759.philip.kobler,644.0,63.0,48.0,13.0,07:13:34,26013.661,True,f,
5115,Denis BURDAKOV,GB,46,H,45-49M,,https://utmb.world/runner/4483884.denis.burdakov,588.0,64.0,49.0,7.0,07:13:51,26031.183,True,f,
5046,Yannick KRIJNEN,CH,37,H,35-39M,,https://utmb.world/runner/4375136.yannick.krijnen,671.0,65.0,50.0,14.0,07:14:38,26078.344,True,f,
5087,Alessandro MOTTA,CH,34,H,20-34M,,https://utmb.world/runner/5296746.alessandro.motta,613.0,66.0,51.0,24.0,07:15:16,26116.312,True,f,
5081,Célien CRAUSAZ,CH,31,H,20-34M,Team La Vallée,https://utmb.world/runner/5025528.celien.crausaz,617.0,67.0,52.0,25.0,07:15:31,26131.091,True,f,
5145,Nadine ERHARDT,DE,33,F,20-34W,Markgräfler Runners Club,https://utmb.world/runner/4189663.nadine.erhardt,570.0,68.0,16.0,12.0,07:16:15,26175.008,True,f,
5050,Sebastian REIF,DE,42,H,40-44M,Laufteam Winterberg,https://utmb.world/runner/2180469.sebastian.reif,662.0,69.0,53.0,6.0,07:16:56,26216.412,True,f,
6313,Hansjürg BRÜGGER,CH,35,H,20-34M,King of Elsigen,https://utmb.world/runner/5829083.hansjurg.brugger,,70.0,54.0,26.0,07:17:02,26222.029,True,f,
6312,Sérgio DE CASTRO,PT,43,H,40-44M,,https://utmb.world/runner/5686835.sergio.decastro,,71.0,55.0,7.0,07:17:55,26275.029,True,f,
6271,David SCHÖN,DE,36,H,35-39M,,https://utmb.world/runner/5505026.david.schon,,72.0,56.0,15.0,07:18:28,26307.881,True,f,
5089,Janicke LANGENSTEIN,SE,40,F,35-39W,,https://utmb.world/runner/3482681.janicke.langenstein,612.0,73.0,17.0,2.0,07:18:43,26323.352,True,f,
5202,Arild DAHL,NO,47,H,45-49M,ITFK,https://utmb.world/runner/5417770.arild.dahl,540.0,74.0,57.0,8.0,07:19:51,26390.328,True,f,
5072,Yvan PFISTER,FR,27,H,20-34M,Altkirch Athlé Sundgau,https://utmb.world/runner/5639846.yvan.pfister,629.0,75.0,58.0,27.0,07:21:16,26476.187,True,f,
5043,Jonathan BECK,CH,42,H,40-44M,,https://utmb.world/runner/668882.jonathan.beck,590.0,76.0,59.0,8.0,07:21:44,26504.282,True,f,
5124,Tim DEAKIN,GB,39,H,35-39M,Total Tri Training,https://utmb.world/runner/5686303.tim.deakin,582.0,77.0,60.0,16.0,07:23:01,26580.795,True,f,
5094,Gustav BINER,CH,54,H,50-54M,,https://utmb.world/runner/81610.gustav.biner,609.0,78.0,61.0,2.0,07:23:49,26628.378,True,f,
5233,Guillaume MONNEY,CH,32,H,20-34M,CS Le Mouret,https://utmb.world/runner/2283225.guillaume.monney,526.0,79.0,62.0,28.0,07:24:28,26668.528,True,f,
