# Race: Grindstone By UTMB 2023 - 100K
# Distance: 61.9 km
# D+: 3200 m
# D-: 3200 m
# Date: 2023-09-23
# URL: https://live.utmb.world/grindstone/2023
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
1004,Caleb OLSON,US,30,H,20-34M,,https://utmb.world/runner/2574519.caleb.olson,835.0,1.0,1.0,1.0,08:54:43,32083.212,True,f,
1009,Caleb BOWEN,US,32,H,20-34M,,https://utmb.world/runner/4083371.caleb.bowen,801.0,2.0,2.0,2.0,08:59:29,32369.736,True,f,
1002,Justin GRUNEWALD,US,40,H,35-39M,,https://utmb.world/runner/1719513.justin.grunewald,857.0,3.0,3.0,1.0,09:12:46,33166.436,True,f,
1179,Paul JACOBS,US,47,H,45-49M,,https://utmb.world/runner/53330.paul.jacobs,816.0,4.0,4.0,1.0,09:35:47,34547.0,True,f,
1334,Matthew STASIUKEVICIUS,US,26,H,20-34M,,https://utmb.world/runner/5370967.matthew.stasiukevicius,,5.0,5.0,3.0,09:40:59,34859.0,True,f,
1003,Drew MACOMBER,US,33,H,20-34M,,https://utmb.world/runner/5139735.drew.macomber,799.0,6.0,6.0,4.0,09:44:28,35068.992,True,f,
1010,Nick CORNELL,US,35,H,20-34M,,https://utmb.world/runner/3353339.nick.cornell,786.0,7.0,7.0,5.0,09:53:59,35639.613,True,f,
1324,Aaron SLABACH,US,29,H,20-34M,,https://utmb.world/runner/537794.aaron.slabach,740.0,8.0,8.0,6.0,09:54:24,35664.373,True,f,
1291,Ja Shua RIED,US,34,H,20-34M,,https://utmb.world/runner/3043545.jashua.ried,,9.0,9.0,7.0,09:56:11,35771.804,True,f,
1081,Jared BURDICK,US,39,H,35-39M,,https://utmb.world/runner/5013942.jared.burdick,,10.0,10.0,2.0,10:12:39,36759.0,True,f,
1006,Elliot CARDIN,CA,32,H,20-34M,,https://utmb.world/runner/1403147.elliot.cardin,810.0,11.0,11.0,8.0,10:22:10,37330.214,True,f,
1271,Jeremy POPE,US,40,H,35-39M,,https://utmb.world/runner/933347.jeremy.pope,737.0,12.0,12.0,3.0,10:37:05,38225.355,True,f,
1015,Lotti BRINKS,US,29,F,20-34W,,https://utmb.world/runner/5471003.lotti.brinks,,13.0,1.0,1.0,10:37:25,38245.942,True,f,
1013,Devon YANKO,US,43,F,40-44W,,https://utmb.world/runner/14603.devon.yanko,765.0,14.0,2.0,1.0,10:43:46,38626.286,True,f,
1383,Cameron YEAMAN,US,35,H,20-34M,,https://utmb.world/runner/4041388.cameron.yeaman,750.0,15.0,13.0,9.0,10:48:05,38885.957,True,f,
1267,Zachary PERRIN,US,30,H,20-34M,,https://utmb.world/runner/5393693.zachary.perrin,,16.0,14.0,10.0,10:51:26,39086.986,True,f,
1001,Jeff MOGAVERO,US,32,H,20-34M,,https://utmb.world/runner/483224.jeff.mogavero,881.0,16.0,14.0,10.0,10:51:26,39086.951,True,f,
1100,Greg CLOSE,US,42,H,40-44M,,https://utmb.world/runner/4839066.gregory.close,612.0,18.0,16.0,1.0,10:52:42,39162.362,True,f,
1061,Michael BASUINI,US,31,H,20-34M,,https://utmb.world/runner/676607.michael.basuini,715.0,19.0,17.0,12.0,10:57:48,39468.127,True,f,
1012,Christopher SANDEFUR,US,39,H,35-39M,,https://utmb.world/runner/4103198.christopher.sandefur,781.0,20.0,18.0,4.0,11:08:02,40082.357,True,f,
1129,Anna FISHER,US,33,F,20-34W,,https://utmb.world/runner/5259925.anna.fisher,,21.0,3.0,2.0,11:11:51,40311.881,True,f,
1017,Rachel LEMCKE,US,30,F,20-34W,,https://utmb.world/runner/3646151.rachel.lemcke,653.0,22.0,4.0,3.0,11:21:12,40872.0,True,f,
1236,Zachary MERRIN,US,40,H,35-39M,,https://utmb.world/runner/932671.zachary.merrin,736.0,23.0,19.0,5.0,11:26:07,41167.24,True,f,
1360,Leif VAN ACKER,US,30,H,20-34M,,https://utmb.world/runner/575099.leif.vanacker,646.0,24.0,20.0,13.0,11:29:15,41355.399,True,f,
1347,Joshua THOMAS,US,36,H,20-34M,,https://utmb.world/runner/4885298.joshua.thomas,564.0,25.0,21.0,14.0,11:43:51,42231.0,True,f,
1235,Michelle MERLIS,US,36,F,20-34W,,https://utmb.world/runner/3044337.michelle.merlis,658.0,26.0,5.0,4.0,11:46:41,42401.665,True,f,
1377,Grayson WILLIAMS,US,34,H,20-34M,,https://utmb.world/runner/4910628.grayson.williams,560.0,27.0,22.0,15.0,11:50:37,42637.614,True,f,
