# Race: Julian Alps Trail Run by UTMB 2022 - INTERSPORT SKY RACE
# Distance: 34 km
# D+: 1650 m
# D-: 1650 m
# Date: 2022-09-17
# URL: https://live.utmb.world/julianalps/2022
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
1001,Žan ŽEPIČ,SI,27,H,≤ 30M,SALOMON SLOVENIJA,https://utmb.world/runner/3991453.zan.zepic,836.0,1.0,1.0,1.0,03:00:30,10830.933,True,f,
1006,Ry WEBB,GB,40,H,31-40M,,https://utmb.world/runner/202133.ry.webb,810.0,2.0,2.0,1.0,03:08:01,11281.777,True,f,
1013,Dimitri CHAPELLE,FR,35,H,31-40M,INDEPENDENT,https://utmb.world/runner/635256.dimitri.chapelle,739.0,3.0,3.0,2.0,03:14:22,11662.688,True,f,
1011,Sanjin VUČAN,AT,42,H,31-40M,TATE&SANO,https://utmb.world/runner/1710375.sanjin.vucan,742.0,4.0,4.0,3.0,03:16:03,11763.52,True,f,
1002,Jon LIHTENEGER VIDMAJER,SI,29,H,≤ 30M,K24 ULTRA TRAIL TEAM,https://utmb.world/runner/4173503.jon.lihteneger,828.0,4.0,4.0,2.0,03:16:03,11763.669,True,f,
1023,Michal VOKROUHLÍK,CZ,42,H,31-40M,INDEPENDENT,https://utmb.world/runner/4668446.michal.vokrouhlik,703.0,6.0,6.0,4.0,03:21:30,12090.278,True,f,
1008,Nicholas MAZZON,IT,31,H,≤ 30M,ATLETA SINGOLO,https://utmb.world/runner/4029864.nicholas.mazzon,765.0,7.0,7.0,3.0,03:21:42,12102.699,True,f,
1005,Janez KLANČNIK,SI,40,H,31-40M,ON RUNNING SLOVENIA,https://utmb.world/runner/2565289.janez.klancnik,815.0,8.0,8.0,5.0,03:22:57,12177.847,True,f,
1010,Aleš SVETINA,SI,34,H,31-40M,,https://utmb.world/runner/3456933.ales.svetina,745.0,9.0,9.0,6.0,03:25:00,12300.907,True,f,
1608,Gašper RAK,SI,46,H,41-50M,&SCARON;D MEDOKA,https://utmb.world/runner/2586027.gasper.rak,,10.0,10.0,1.0,03:25:53,12353.0,True,f,
