# Race: Julian Alps Trail Run by UTMB 2022 - SKY TRAIL
# Distance: 58 km
# D+: 3110 m
# D-: 3110 m
# Date: 2022-09-17
# URL: https://live.utmb.world/julianalps/2022
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
502,Jiří PETR,CZ,46,H,41-50M,SALOMON/SUUNTO,https://utmb.world/runner/197877.jiri.petr,824.0,1.0,1.0,1.0,05:40:56,20456.538,True,f,
503,Matic ČAČULOVIČ,SI,35,H,31-40M,ATD SAVINJČAN,https://utmb.world/runner/1629977.matic.caculovic,799.0,3.0,3.0,1.0,05:53:16,21196.941,True,f,
509,Tomaž DOLAR,SI,41,H,31-40M,,https://utmb.world/runner/542560.tomaz.dolar,763.0,4.0,4.0,2.0,06:02:57,21777.597,True,f,
514,Michal ORZEL,PL,44,H,41-50M,ADIDAS RUNNERS WARSAW,https://utmb.world/runner/1789803.michal.orzel,729.0,5.0,5.0,2.0,06:03:31,21811.377,True,f,
504,Sebastjan ZARNIK,SI,48,H,41-50M,BROOKS SLOVENIJA,https://utmb.world/runner/132076.sebastjan.zarnik,793.0,6.0,6.0,3.0,06:05:06,21906.957,True,f,
508,Fabian RAHN,DE,39,H,31-40M,LAUFLADEN BONN,https://utmb.world/runner/4278716.fabian.rahn,764.0,7.0,7.0,3.0,06:05:38,21938.368,True,f,
527,Hans Paul PIZZININI,IT,35,H,31-40M,VICENZA MARATHON,https://utmb.world/runner/424992.hanspaul.pizzinini,669.0,8.0,8.0,4.0,06:08:19,22099.949,True,f,
924,Anže ŠENK,SI,42,H,31-40M,TTSO JEZERSKO,https://utmb.world/runner/301419.anze.senk,,9.0,9.0,5.0,06:16:32,22592.249,True,f,
507,Michal LESNIAK,PL,37,H,31-40M,JEM KLOPSA,https://utmb.world/runner/569465.michal.lesniak,775.0,11.0,11.0,7.0,06:20:34,22834.711,True,f,
516,Rok ŠTEHARNIK,SI,34,H,31-40M,ŠD SIJ,https://utmb.world/runner/4197504.rok.steharnik,726.0,12.0,12.0,8.0,06:21:25,22885.171,True,f,
857,Tomas REPKA,SK,38,H,31-40M,DYNAFIT TATRANSKA LOMNICA,https://utmb.world/runner/3958429.tomas.repka,,14.0,14.0,10.0,06:23:15,22995.845,True,f,
914,Václav BEDNARSKÝ,CZ,24,H,≤ 30M,TJ ŠUMPERK,https://utmb.world/runner/4009413.vaclav.bednarsky,747.0,15.0,15.0,2.0,06:24:48,23088.939,True,f,
523,Primož ZUPAN,SI,43,H,31-40M,NEZAVISNI,https://utmb.world/runner/297587.primoz.zupan,686.0,16.0,16.0,11.0,06:28:28,23308.985,True,f,
651,Domen ALIČ,SI,26,H,≤ 30M,K24 ULTRA TRAIL TEAM,https://utmb.world/runner/4245111.anja.kosmac,524.0,17.0,17.0,3.0,06:31:06,23466.847,True,f,
517,Žiga TAVČAR,SI,28,H,≤ 30M,KGT PAPEŽ,https://utmb.world/runner/4245432.ziga.tavcar,713.0,18.0,18.0,4.0,06:31:23,23483.227,True,f,
529,Matteo PALADIN,IT,32,H,≤ 30M,,https://utmb.world/runner/4029843.matteo.paladin,666.0,19.0,19.0,5.0,06:31:37,23497.747,True,f,
520,Jaka OBLAK,SI,28,H,≤ 30M,ŠD ŠPIK,https://utmb.world/runner/4245047.jaka.oblak,697.0,20.0,20.0,6.0,06:33:38,23618.316,True,f,
533,Jakub JANDO,SK,37,H,31-40M,BRATSTVO LAKTÁTU,https://utmb.world/runner/806190.jakub.jando,659.0,21.0,21.0,12.0,06:37:59,23879.527,True,f,
512,Matteo ANDRIOLA,IT,43,H,31-40M,TEAM ALDO MORO PALUZZA,https://utmb.world/runner/999417.matteo.andriola,746.0,22.0,22.0,13.0,06:39:13,23953.808,True,f,
590,Duško BANJAC,SI,36,H,31-40M,TRIATLON KLUB 3LIFE,https://utmb.world/runner/4678724.dusko.banjac,571.0,24.0,24.0,14.0,06:51:39,24699.263,True,f,
876,Anna JANSEN,DE,40,F,31-40F,,https://utmb.world/runner/1459439.anna.jansen,616.0,25.0,1.0,1.0,06:51:53,24713.607,True,f,
845,Samo KNAFELJ,SI,32,H,≤ 30M,SPORTKA,https://utmb.world/runner/1729505.samo.knafelj,,26.0,25.0,8.0,06:54:49,24889.957,True,f,
525,Csaba HORVÁTH,HU,46,H,41-50M,MEDITECH SC,https://utmb.world/runner/2120457.csaba.horvath,678.0,27.0,26.0,4.0,06:56:54,25014.878,True,f,
515,Martina KLANCNIK POTRC,SI,34,F,31-40F,ON RUNNING SLOVENIA,https://utmb.world/runner/2050519.martina.klancnikpotrc,728.0,28.0,2.0,2.0,06:57:41,25061.258,True,f,
539,Martin JAKUBIS,SK,27,H,≤ 30M,DYNASPORT PRIEVIDZA,https://utmb.world/runner/3985476.martin.jakubis,639.0,29.0,27.0,9.0,07:00:34,25234.119,True,f,
926,Primož ŠENK,SI,38,H,31-40M,TTSO JEZERSKO,https://utmb.world/runner/2050879.primoz.senk,,30.0,28.0,15.0,07:02:10,25330.058,True,f,
