# Race: Julian Alps Trail Run by UTMB 2022 - SPEED TRAIL
# Distance: 16 km
# D+: 520 m
# D-: 520 m
# Date: 2022-09-17
# URL: https://live.utmb.world/julianalps/2022
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
1804,Vili ČRV,SI,26,H,≤ 30M,SKIVIBE,https://utmb.world/runner/4162413.vili.crv,708.0,1.0,1.0,1.0,01:10:05,4205.389,True,f,
1801,Artūrs VADZIS,LV,34,H,31-40M,OSVEIKALS.LV,https://utmb.world/runner/150837.arturs.vadzis,815.0,2.0,2.0,1.0,01:10:20,4220.299,True,f,
2074,Uroš VODOPIVEC,SI,40,H,31-40M,,https://utmb.world/runner/2586587.uros.vodopivec,,4.0,4.0,3.0,01:12:33,4353.059,True,f,
1802,Nejc URŠIČ,SI,24,H,≤ 30M,KGT PAPEŽ,https://utmb.world/runner/2586047.nejc.ursic,742.0,5.0,5.0,2.0,01:14:03,4443.469,True,f,
1965,Brian KAMSTRA,NL,32,H,≤ 30M,AK KVARNER RIJEKA,,,7.0,7.0,3.0,01:14:49,4489.308,True,f,
2193,Anže GROS,,23,H,≤ 30M,,,,8.0,8.0,4.0,01:15:13,4513.219,True,f,
1803,Aleš ŽULOVEC,SI,44,H,41-50M,NI-PANIKE.SI,https://utmb.world/runner/3786119.ales.zulovec,721.0,9.0,9.0,1.0,01:16:29,4589.069,True,f,
1806,Ondřej POBOŘIL,CZ,33,H,≤ 30M,,https://utmb.world/runner/2144201.ondrej.poboril,652.0,10.0,10.0,5.0,01:20:53,4853.54,True,f,
2000,Simon MALEK KUZMIČ,SI,35,H,31-40M,AK VARAŽDIN,,,11.0,11.0,5.0,01:21:04,4864.76,True,f,
2073,Filip KRIŽNIK,SI,24,H,≤ 30M,NEZAVISNI,,,12.0,12.0,6.0,01:21:39,4899.08,True,f,
1817,Klemen ŽNIDAR,SI,42,H,31-40M,KGT PAPEŽ KAMNIK,https://utmb.world/runner/3189407.klemen.znidar,662.0,13.0,13.0,6.0,01:22:07,4927.82,True,f,
1811,Matej SKERK,IT,33,H,≤ 30M,NEZAVISNI,https://utmb.world/runner/4101129.matej.skerk,628.0,14.0,14.0,7.0,01:22:16,4936.489,True,f,
