# Race: Julian Alps Trail Run by UTMB 2023 - KRANJSKA GORA TRAIL
# Distance: 25 km
# D+: 950 m
# D-: 950 m
# Date: 2023-09-09
# URL: https://live.utmb.world/julianalps/2023
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
2111,Szabo SANDOR,,32,H,20-34M,,,,1.0,1.0,1.0,01:50:51,6651.996,True,f,
1480,Dimitri CHAPELLE,,35,H,20-34M,,https://utmb.world/runner/635256.dimitri.chapelle,780.0,2.0,2.0,2.0,01:54:58,6898.216,True,f,
2093,Edoardo ROSSANO,,31,H,20-34M,,https://utmb.world/runner/5062219.edoardo.rossano,717.0,3.0,3.0,3.0,01:56:34,6994.514,True,f,
1821,Athanasios PAGOUNADIS,,38,H,35-39M,,https://utmb.world/runner/1113973.athanasios.pagounadis,821.0,4.0,4.0,1.0,01:57:02,7022.732,True,f,
1958,Aleš SVETINA,,34,H,20-34M,,https://utmb.world/runner/3456933.ales.svetina,808.0,5.0,5.0,4.0,01:58:01,7081.893,True,f,
1502,Vili ČRV,,26,H,20-34M,,https://utmb.world/runner/4162413.vili.crv,738.0,6.0,6.0,5.0,02:01:22,7282.569,True,f,
1960,Levente SZALAY,,26,H,20-34M,,https://utmb.world/runner/5448773.levente.szalay,,8.0,8.0,6.0,02:01:55,7315.059,True,f,
2092,Simone PROIETTI,,34,H,20-34M,,https://utmb.world/runner/4170317.simone.proietti,770.0,9.0,9.0,7.0,02:02:38,7358.887,True,f,
1889,Adam ŘÍHA,,24,H,20-34M,,https://utmb.world/runner/3207225.adam.riha,736.0,10.0,10.0,8.0,02:04:40,7480.302,True,f,
2050,Paweł ZAMIELSKI,,32,H,20-34M,,,,11.0,11.0,9.0,02:05:24,7524.024,True,f,
1503,Benjamin ČRV,,29,H,20-34M,,https://utmb.world/runner/4245251.benjamin.crv,641.0,12.0,12.0,10.0,02:07:34,7654.579,True,f,
2067,Tomislav BOSNJAK,,50,H,45-49M,,https://utmb.world/runner/5489101.tomislav.bosnjak,,13.0,13.0,1.0,02:08:58,7738.331,True,f,
1643,Andrei IVANESCU,,27,H,20-34M,,https://utmb.world/runner/1643421.andrei.ivanescu,803.0,14.0,14.0,11.0,02:09:44,7784.315,True,f,
2004,Matjaž TRKMAN,,38,H,35-39M,,https://utmb.world/runner/3065103.matjaz.trkman,666.0,15.0,15.0,3.0,02:10:52,7852.957,True,f,
1452,Miran BOLE,,38,H,35-39M,,https://utmb.world/runner/4951232.miran.bole,696.0,16.0,16.0,4.0,02:13:33,8013.097,True,f,
1456,Jež BORUT,,41,H,35-39M,,https://utmb.world/runner/4272695.borut.jez,620.0,17.0,17.0,5.0,02:15:01,8101.135,True,f,
2055,Nik ZOBEC,,33,H,20-34M,,https://utmb.world/runner/4456714.nik.zobec,650.0,18.0,18.0,12.0,02:15:06,8106.676,True,f,
1886,Marguerite RICHART,,30,F,20-34W,,https://utmb.world/runner/2317225.marguerite.richart,595.0,19.0,1.0,1.0,02:16:30,8190.914,True,f,
1666,Zdenek KAMENSKY,,29,H,20-34M,,https://utmb.world/runner/3629431.zdenek.kamensky,636.0,20.0,19.0,13.0,02:17:04,8224.474,True,f,
1437,Jakub BARTECKI,,25,H,20-34M,,https://utmb.world/runner/4298118.jakub.bartecki,659.0,21.0,20.0,14.0,02:17:17,8237.812,True,f,
2112,Kitty POSZTÓS,,30,F,20-34W,,,,22.0,2.0,2.0,02:17:26,8246.527,True,f,
