# Race: Julian Alps Trail Run by UTMB 2025 - SKY TRAIL 50K
# Distance: 50 km
# D+: 2700 m
# D-: 2700 m
# Date: 2025-09-19
# URL: https://live.utmb.world/julianalps/2025
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
3001,Dawid MALINA,PL,34,H,20-34M,Dynafit Squad,https://utmb.world/runner/4786782.dawid.malina,870.0,1.0,1.0,1.0,04:45:23,17123,True,f,
3021,Luka MESAREC,SI,36,H,35-39M,,https://utmb.world/runner/6850534.luka.mesarec,756.0,2.0,2.0,1.0,05:04:37,18277,True,f,
3002,Lucas CLOCHER,FR,28,H,20-34M,Rossignol,https://utmb.world/runner/5148304.lucas.clocher,831.0,3.0,3.0,2.0,05:05:47,18347,True,f,
3023,Jack OATES,GB,29,H,20-34M,,https://utmb.world/runner/1454389.jack.oates,753.0,4.0,4.0,3.0,05:10:32,18632,True,f,
3008,Jaka OBLAK,SI,28,H,20-34M,ŠD Špik Lučine,https://utmb.world/runner/4245047.jaka.oblak,789.0,5.0,5.0,4.0,05:22:53,19373,True,f,
3046,Bartosz BULENDA,PL,28,H,20-34M,Piździca,https://utmb.world/runner/4423846.bartosz.bulenda,712.0,6.0,6.0,5.0,05:26:55,19615,True,f,
3022,Adrian BRĂNESCU,RO,34,H,20-34M,Garmin Romania,https://utmb.world/runner/286582.adrian.branescu,757.0,7.0,7.0,6.0,05:28:11,19691,True,f,
3048,Benjamin CRV,SI,29,H,20-34M,Team SKIVIBE,https://utmb.world/runner/4245251.benjamin.crv,684.0,8.0,8.0,7.0,05:29:42,19782,True,f,
3060,Simon KRAMMIG,DE,29,H,20-34M,Patagonia Europe,https://utmb.world/runner/6122708.simon.krammig,660.0,9.0,9.0,8.0,05:31:04,19864,True,f,
3037,Mathias HEITAUER,DE,30,H,20-34M,Falkesport,https://utmb.world/runner/4765258.mathias.heitauer,707.0,10.0,10.0,9.0,05:36:13,20173,True,f,
3009,Francesco MANGANO,IT,31,H,20-34M,New Balance IT,https://utmb.world/runner/384852.francesco.mangano,787.0,11.0,11.0,10.0,05:40:13,20413,True,f,
3033,Matteo PALADIN,IT,32,H,20-34M,,https://utmb.world/runner/4029843.matteo.paladin,725.0,12.0,12.0,11.0,05:43:34,20614,True,f,
3034,Lukas DIEBOLD,DE,25,H,20-34M,Trailschmiede Ostalb,https://utmb.world/runner/5501150.lukas.diebold,721.0,13.0,13.0,12.0,05:44:50,20690,True,f,
4265,Boris VALLES ALONSO,ES,46,H,45-49M,@b_team_runners,https://utmb.world/runner/2204123.boris.vallesalonso,748.0,14.0,14.0,1.0,05:45:08,20708,True,f,
3020,Iulian Andrei TISANU,RO,27,H,20-34M,Trail Ghosts Valcea,https://utmb.world/runner/4766042.iulianandrei.tisanu,762.0,15.0,15.0,13.0,05:46:15,20775,True,f,
3093,Martin DOMENIS,SI,36,H,35-39M,,https://utmb.world/runner/5175903.martin.domenis,617.0,16.0,16.0,2.0,05:47:15,20835,True,f,
3074,Natalina NEUENSCHWANDER,CH,29,F,20-34W,,https://utmb.world/runner/4463152.natalina.neuenschwander,645.0,17.0,1.0,1.0,05:48:05,20885,True,f,
