# Race: Julian Alps Trail Run by UTMB 2025 - LAKE BLED 80K
# Distance: 80 km
# D+: 3800 m
# D-: 3800 m
# Date: 2025-09-20
# URL: https://live.utmb.world/julianalps/2025
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
2006,Karol SIOŁA,PL,23,H,20-34M,Diadora TEAM,https://utmb.world/runner/3982818.karol.siola,789.0,1.0,1.0,1.0,08:32:56,30776,True,f,
2004,Edoardo ROSSANO,IT,31,H,20-34M,Runaway Milano ASD,https://utmb.world/runner/5062219.edoardo.rossano,816.0,2.0,2.0,2.0,08:37:50,31070,True,f,
2777,Oliver SHAW,GB,26,H,20-34M,,https://utmb.world/runner/6908095.oliver.shaw,,3.0,3.0,3.0,09:11:10,33070,True,f,
2010,Alex HAMLET,GB,33,H,20-34M,,https://utmb.world/runner/4182477.alex.hamlet,748.0,4.0,4.0,4.0,09:21:30,33690,True,f,
2123,Hannes VAN DE VREKEN,BE,36,H,35-39M,,https://utmb.world/runner/2447457.hannes.vandevreken,576.0,5.0,5.0,1.0,09:27:05,34025,True,f,
2035,Luka NOSEK,HR,31,H,20-34M,Bolfan vinski vrh,https://utmb.world/runner/6726501.luka.nosek,667.0,6.0,6.0,5.0,09:45:27,35127,True,f,
2007,Karol ZIAJKA,PL,31,H,20-34M,PGR/FINISZ RYMANÓW,https://utmb.world/runner/1864725.karol.ziajka,756.0,7.0,7.0,6.0,09:46:28,35188,True,f,
2015,Hans MÜHLBAUER,DE,45,H,45-49M,Tri_unlimited,https://utmb.world/runner/56906.hans.muhlbauer,725.0,8.0,8.0,1.0,09:55:20,35720,True,f,
2019,Franz-Josef SCHÖGL,AT,36,H,35-39M,,https://utmb.world/runner/70841.franzjosef.schogl,712.0,9.0,9.0,2.0,10:06:10,36370,True,f,
2038,Krištof LETKO,SK,29,H,20-34M,VEREDA SPORT,https://utmb.world/runner/6726230.kristof.letko,665.0,10.0,10.0,7.0,10:06:47,36407,True,f,
