# Race: KAT100 by UTMB 2024 - Speed Trail
# Distance: 24.2 km
# D+: 1650 m
# D-: 1650 m
# Date: 2024-08-03
# URL: https://live.utmb.world/kat100/2024
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
3414,Matteo ROSSI,IT,25,H,20-34M,Hoka,https://utmb.world/runner/588579.matteo.rossi,815.0,1.0,1.0,1.0,02:14:38,8078.382,True,f,
3002,Vlad IXEL,AU,38,H,35-39M,Bix,https://utmb.world/runner/241291.vlad.ixel,832.0,2.0,2.0,1.0,02:22:32,8552.154,True,f,
3007,Manuel EBERT,IT,34,H,20-34M,,https://utmb.world/runner/2269645.manuel.ebert,700.0,3.0,3.0,2.0,02:25:05,8705.89,True,f,
3005,Dawid LULIS,PL,37,H,35-39M,Sobota to Sobota,https://utmb.world/runner/3401957.dawid.lulis,739.0,4.0,4.0,2.0,02:29:12,8952.4,True,f,
3003,Jacek SOBAS,PL,40,H,35-39M,ON RUNNING,https://utmb.world/runner/684780.jacek.sobas,785.0,5.0,5.0,3.0,02:33:35,9215.573,True,f,
3269,Marius Skeide RUTH,NO,32,H,20-34M,SandnesELITEN,https://utmb.world/runner/5688493.mariusskeide.ruth,,6.0,6.0,3.0,02:35:17,9317.163,True,f,
3009,Raphael LANDIS,CH,40,H,35-39M,,https://utmb.world/runner/3810319.raphael.landis,694.0,7.0,7.0,4.0,02:44:20,9860.387,True,f,
3010,Thomas WIMMER,AT,41,H,40-44M,Hg- Ostkaiser,https://utmb.world/runner/5311616.thomas.wimmer,674.0,8.0,8.0,1.0,02:46:24,9984.914,True,f,
3392,Yessica PEREZ TORRENTE,ES,33,F,20-34W,Malif Mallorca Trail,https://utmb.world/runner/6178533.yessica.pereztorrente,,9.0,1.0,1.0,02:46:50,10010.148,True,f,
3008,Mathias HASLER,CH,49,H,45-49M,Dynafit Squad/Woo Nutrition,https://utmb.world/runner/483977.mathias.hasler,700.0,10.0,9.0,1.0,02:47:07,10027.892,True,f,
