# Race: KAT100 by UTMB 2024 - Marathon Trail
# Distance: 51 km
# D+: 3220 m
# D-: 3220 m
# Date: 2024-08-03
# URL: https://live.utmb.world/kat100/2024
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
2521,Hayden HAWKS,US,34,H,20-34M,HOKA,https://utmb.world/runner/1140055.hayden.hawks,,1.0,1.0,1.0,05:00:36,18036.37,True,f,
2008,Fredrik BRUSETH,NO,28,H,20-34M,Romsdalrandonee klubb,https://utmb.world/runner/4543578.fredrik.brusethtoreli,813.0,2.0,2.0,2.0,05:02:06,18126.308,True,f,
2004,Stian DAHL SOMMERSETH,NO,28,H,20-34M,SATISFY,https://utmb.world/runner/991233.stian.dahlsommerseth,849.0,3.0,3.0,3.0,05:06:23,18383.712,True,f,
2011,Suman KULUNG,NP,34,H,20-34M,Dr. Sigrid Schwarzenbacher Foundation - Austria,https://utmb.world/runner/438736.suman.kulung,789.0,4.0,4.0,4.0,05:35:48,20148.353,True,f,
2010,Roger KARWACZYŃSKI,PL,37,H,35-39M,CodeTwo,https://utmb.world/runner/1457771.roger.karwaczynski,784.0,5.0,5.0,1.0,05:43:20,20600.606,True,f,
2013,Tobias SCHMID,CH,28,H,20-34M,,https://utmb.world/runner/1556887.tobias.schmid,760.0,6.0,6.0,5.0,05:44:54,20694.588,True,f,
2015,Ramon GUT,CH,35,H,20-34M,Bächli Bergsport,https://utmb.world/runner/4218140.ramon.gut,746.0,7.0,7.0,6.0,05:50:54,21054.992,True,f,
2030,Marco GRÜNING,DE,31,H,20-34M,,https://utmb.world/runner/5718695.marco.gruning,651.0,8.0,8.0,7.0,05:58:23,21503.129,True,f,
2031,Clément CHARRIER,FR,29,H,20-34M,,https://utmb.world/runner/5738387.clement.charrier,648.0,9.0,9.0,8.0,06:03:21,21801.017,True,f,
2016,Thomas ROLLET,FR,29,H,20-34M,,https://utmb.world/runner/5008665.thomas.rollet,730.0,9.0,9.0,8.0,06:03:21,21801.08,True,f,
2023,Daniel STANCL,CZ,30,H,20-34M,,https://utmb.world/runner/5338422.daniel.stancl,675.0,11.0,11.0,10.0,06:11:02,22262.573,True,f,
2017,Vincent BARBE,FR,29,H,20-34M,LE MOULE RUNNING,https://utmb.world/runner/5496200.vincent.barbe,715.0,12.0,12.0,11.0,06:11:54,22314.902,True,f,
2425,Luis HOLECZEK,DE,31,H,20-34M,,https://utmb.world/runner/5666887.luis.holeczek,,13.0,13.0,12.0,06:16:10,22570.218,True,f,
2006,Valerie ARSENAULT,CA,31,F,20-34W,,https://utmb.world/runner/4758374.valerie.arsenault,728.0,14.0,1.0,1.0,06:16:25,22585.684,True,f,
2012,Claudia CHMIELOWSKA,PL,27,F,20-34W,,https://utmb.world/runner/1081129.claudia.chmielowska,682.0,15.0,2.0,2.0,06:20:56,22856.704,True,f,
2052,Christoph SCHMALZER,AT,35,H,20-34M,,https://utmb.world/runner/876151.christoph.schmalzer,610.0,16.0,14.0,13.0,06:23:02,22982.662,True,f,
2034,Anke FRIEDL,DE,34,F,20-34W,Team Schamel,https://utmb.world/runner/1059981.anke.friedl,635.0,17.0,3.0,3.0,06:37:56,23876.861,True,f,
2062,Matthias GOTTSCHLING,AT,33,H,20-34M,,https://utmb.world/runner/4565674.matthias.gottschling,602.0,18.0,15.0,14.0,06:43:04,24184.802,True,f,
2068,Lorenzo REVELANT,IT,47,H,45-49M,,https://utmb.world/runner/4047469.lorenzo.revelant,597.0,19.0,16.0,1.0,06:43:21,24201.628,True,f,
2064,Damir MARTINOVIC,AT,35,H,20-34M,mk-racing,https://utmb.world/runner/2565339.damir.martinovic,601.0,20.0,17.0,15.0,06:44:38,24278.182,True,f,
2067,Ethan BALL,NZ,31,H,20-34M,,https://utmb.world/runner/4732444.ethan.ball,597.0,21.0,18.0,16.0,06:46:06,24366.615,True,f,
2107,Luka SMIT,SI,45,H,40-44M,,https://utmb.world/runner/5175841.luka.smit,556.0,22.0,19.0,1.0,06:47:46,24466.714,True,f,
2089,Adrien SERAFIN,BE,36,H,35-39M,Tour à Tour,https://utmb.world/runner/5501664.adrien.serafin,573.0,23.0,20.0,2.0,06:49:33,24573.72,True,f,
2047,Jens ABERNETTY,DE,48,H,45-49M,Team Reeperbahn,https://utmb.world/runner/675230.jens.abernetty,617.0,24.0,21.0,2.0,06:49:45,24585.797,True,f,
2041,Gaël DUPERAL,FR,32,H,20-34M,,https://utmb.world/runner/3857465.gael.duperal,627.0,25.0,22.0,17.0,06:50:48,24648.949,True,f,
2115,Gilles COENEN,BE,26,H,20-34M,,https://utmb.world/runner/5147967.gilles.coenen,550.0,26.0,23.0,18.0,06:52:51,24771.923,True,f,
2026,Tobias BEIBL,DE,35,H,20-34M,Erdinger Active Team,https://utmb.world/runner/5408050.tobias.beibl,658.0,27.0,24.0,19.0,06:53:23,24803.73,True,f,
2073,Rainer MÄRKLE,DE,51,H,50-54M,,https://utmb.world/runner/5060473.rainer.markle,590.0,28.0,25.0,1.0,06:54:20,24860.711,True,f,
2119,Christopher BÖTTNER,DE,34,H,20-34M,LG Göttingen,https://utmb.world/runner/4512660.christopher.bottner,548.0,29.0,26.0,20.0,06:55:11,24911.641,True,f,
2033,Vincent TACHOT,FR,39,H,35-39M,Trail Run Lucois,https://utmb.world/runner/914781.vincent.tachot,654.0,30.0,27.0,3.0,06:57:37,25057.215,True,f,
2502,Philipp SCHÄRLIG,DE,36,H,35-39M,KRAFT Runners Dresden,https://utmb.world/runner/5884751.philipp.scharlig,,31.0,28.0,4.0,07:02:41,25361.955,True,f,
2516,Anna STRAKOVA,CZ,52,F,50-54W,Czech Skyrunning Team,https://utmb.world/runner/323019.anna.strakova,627.0,32.0,4.0,1.0,07:03:24,25404.465,True,f,
2044,Volker SCHÖFFL,DE,60,H,55-59M,Adidas Terrex,https://utmb.world/runner/1459273.volker.schoeffl,623.0,33.0,29.0,1.0,07:05:19,25519.254,True,f,
2085,Matus BITARA,SK,32,H,20-34M,,https://utmb.world/runner/4745088.matus.bitara,576.0,34.0,30.0,21.0,07:06:16,25576.789,True,f,
2040,Yvan PFISTER,FR,27,H,20-34M,EHA Altkirch Athlé Sundgau,https://utmb.world/runner/5639846.yvan.pfister,629.0,35.0,31.0,22.0,07:09:08,25748.712,True,f,
2070,Ondrej MALA,SK,35,H,20-34M,,https://utmb.world/runner/5547742.ondrej.mala,595.0,36.0,32.0,23.0,07:11:51,25911.15,True,f,
2036,Jimmy CARPENTIER,FR,35,H,20-34M,,https://utmb.world/runner/5445428.jimmy.carpentier,637.0,37.0,33.0,24.0,07:12:17,25937.786,True,f,
