# Race: Kodiak Ultra Marathons by UTMB 2024 - 21k
# Distance: 23 km
# D+: 600 m
# D-: 600 m
# Date: 2024-10-12
# URL: https://live.utmb.world/kodiak/2024
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
3331,Brandon Miller,CA,34,H,20-34M,,https://utmb.world/runner/1577233.brandon.miller,825.0,1.0,1.0,1.0,01:37:12,5832.0,True,f,
3288,Mckennon Woltman,US,30,H,20-34M,,https://utmb.world/runner/6167305.mckennon.woltman,665.0,2.0,2.0,2.0,01:48:25,6505.0,True,f,
3278,Matthew Walker,US,26,H,20-34M,,https://utmb.world/runner/5359148.matthew.walker,612.0,3.0,3.0,3.0,01:48:28,6508.0,True,f,
3098,Matthew Glibbery,US,35,H,20-34M,,https://utmb.world/runner/734529.matthew.glibbery,626.0,4.0,4.0,4.0,01:50:38,6638.0,True,f,
3336,Craig Taylor,US,38,H,35-39M,,,,5.0,5.0,1.0,01:51:46,6706.0,True,f,
3224,Sebastian Salsbury,US,19,H,18-19M,,https://utmb.world/runner/1446325.sebastian.salsbury,651.0,6.0,6.0,1.0,01:52:04,6724.0,True,f,
3313,Emily Clarke,US,25,F,20-34W,,https://utmb.world/runner/6274658.emily.clarke,639.0,7.0,1.0,1.0,01:53:11,6791.0,True,f,
3266,Luis Arturo Valenzuela Grijalva,MX,26,H,20-34M,,https://utmb.world/runner/4807216.luisarturo.valenzuelagrijalva,598.0,8.0,7.0,5.0,01:57:54,7074.563,True,f,
3002,Egor Agulov,US,37,H,35-39M,,https://utmb.world/runner/4269345.egor.agulov,627.0,9.0,8.0,2.0,02:02:51,7371.614,True,f,
3019,Seth Ball,US,38,H,35-39M,,https://utmb.world/runner/6298875.seth.ball,,10.0,9.0,3.0,02:05:25,7525.013,True,f,
3077,Eliud Emilio Escobedo Velazquez,MX,24,H,20-34M,,https://utmb.world/runner/6498181.eliudemilio.escobedovelazquez,,11.0,10.0,6.0,02:06:37,7597.951,True,f,
3320,Andrew Lane,US,43,H,40-44M,,https://utmb.world/runner/650504.andrew.lane,,12.0,11.0,1.0,02:08:42,7722.92,True,f,
3305,Jason Miller,US,54,H,50-54M,,https://utmb.world/runner/106427.jason.miller,586.0,13.0,12.0,1.0,02:10:11,7811.75,True,f,
3214,Juan Rodriguez,US,31,H,20-34M,,https://utmb.world/runner/6230593.juan.rodriguez,,14.0,13.0,7.0,02:12:45,7965.173,True,f,
3338,Jaxon Handt,US,29,H,20-34M,,,,15.0,14.0,8.0,02:14:27,8067.269,True,f,
3293,Victor Zuniga,CR,47,H,45-49M,,https://utmb.world/runner/871537.victor.zuniga,623.0,16.0,15.0,1.0,02:15:35,8135.427,True,f,
3183,Jon Newell,US,38,H,35-39M,,https://utmb.world/runner/6498177.jon.newell,,17.0,16.0,4.0,02:19:21,8361.953,True,f,
3307,Ellie Swemba Grimmer,US,43,F,40-44W,,https://utmb.world/runner/6604717.ellie.swembagrimmer,,18.0,2.0,1.0,02:19:52,8392.915,True,f,
3234,Sean Simmons,US,51,H,50-54M,,https://utmb.world/runner/5867493.sean.simmons,,19.0,17.0,2.0,02:20:18,8418.93,True,f,
3244,Christopher Stine,US,44,H,40-44M,,https://utmb.world/runner/6298873.christopher.stine,,20.0,18.0,2.0,02:20:48,8448.93,True,f,
3099,Emmanuel Gomez Del Toro,MX,32,H,20-34M,,https://utmb.world/runner/5774019.emmanuel.gomez,,21.0,19.0,9.0,02:21:16,8476.75,True,f,
3317,Antti Hovila,FI,44,H,40-44M,,https://utmb.world/runner/4674535.antti.hovila,,22.0,20.0,3.0,02:22:09,8529.344,True,f,
3344,Dominic CIfelli,US,32,H,20-34M,,https://utmb.world/runner/4105836.dominic.cifelli,522.0,23.0,21.0,10.0,02:24:25,8665.612,True,f,
3174,Tyler Monroe,US,45,H,40-44M,,https://utmb.world/runner/6210833.tyler.monroe,,24.0,22.0,4.0,02:24:39,8679.021,True,f,
3154,Rodolfo Lopez,US,38,H,35-39M,,https://utmb.world/runner/6108979.rodolfo.lopez,,25.0,23.0,5.0,02:25:11,8711.831,True,f,
3178,Patrick Morris,US,37,H,35-39M,,https://utmb.world/runner/3423143.patrick.morris,464.0,26.0,24.0,6.0,02:26:40,8800.566,True,f,
3143,Austin Lee,US,34,H,20-34M,,https://utmb.world/runner/6483477.austin.lee,,27.0,25.0,11.0,02:27:24,8844.537,True,f,
3097,Jeffrey Gilbert,US,41,H,40-44M,,https://utmb.world/runner/5970493.jeff.gilbert,499.0,28.0,26.0,5.0,02:28:17,8897.131,True,f,
3066,Lorena De Luna Saucedo,MX,35,F,20-34W,,https://utmb.world/runner/5474066.lorena.delunasaucedo,486.0,29.0,3.0,2.0,02:28:35,8915.317,True,f,
3238,Benjamin Solis-Cohen,US,30,H,20-34M,,https://utmb.world/runner/6320921.benjamin.soliscohen,,30.0,27.0,12.0,02:28:39,8919.28,True,f,
3328,Karina LaBate,US,31,F,20-34W,,,,31.0,4.0,3.0,02:28:40,8920.147,True,f,
3356,Samantha Berenter,US,35,F,20-34W,,https://utmb.world/runner/6271925.samantha.berenter,,32.0,5.0,4.0,02:29:27,8967.584,True,f,
3144,Alec Lee,US,31,H,20-34M,,https://utmb.world/runner/6556009.alec.lee,,33.0,28.0,13.0,02:30:26,9026.132,True,f,
3134,Amy Kessler,US,38,F,35-39W,,https://utmb.world/runner/6369841.amy.kessler,,34.0,6.0,1.0,02:30:46,9046.311,True,f,
3318,Jorge Cabezas,US,47,H,45-49M,,https://utmb.world/runner/6589959.jorge.cabezas,,35.0,29.0,2.0,02:30:52,9052.288,True,f,
3163,Stefania Maiman,US,31,F,20-34W,,https://utmb.world/runner/6504059.stefania.maiman,,36.0,7.0,5.0,02:30:55,9055.944,True,f,
3045,Polly Campbell,US,58,F,55-59W,,https://utmb.world/runner/4258539.polly.campbell,,37.0,8.0,1.0,02:31:13,9073.405,True,f,
3206,Derek Reid,US,33,H,20-34M,,https://utmb.world/runner/6105943.derek.reid,,38.0,30.0,14.0,02:31:25,9085.195,True,f,
3300,Caroline Dumas,US,42,F,40-44W,,https://utmb.world/runner/5398626.caroline.dumas,472.0,39.0,9.0,2.0,02:32:02,9122.672,True,f,
3202,Jen Polwrek,US,39,F,35-39W,,https://utmb.world/runner/5907871.jen.polwrek,,40.0,10.0,2.0,02:32:15,9135.07,True,f,
3128,Jerico Johns,US,30,H,20-34M,,https://utmb.world/runner/6489079.jerico.johns,,41.0,31.0,15.0,02:32:19,9139.124,True,f,
3354,Julian Enjamio,US,33,H,20-34M,,https://utmb.world/runner/5978395.julian.enjamio,512.0,42.0,32.0,16.0,02:32:44,9164.53,True,f,
3350,Joshua Terry,US,36,H,35-39M,,,,43.0,33.0,7.0,02:32:50,9170.898,True,f,
3110,Daniel Gunnell,US,33,H,20-34M,,https://utmb.world/runner/6483471.daniel.gunnell,,44.0,34.0,17.0,02:32:58,9178.618,True,f,
3335,Alvaro Quesada,US,46,H,45-49M,,,,45.0,35.0,3.0,02:33:08,9188.789,True,f,
3057,Luis Conejo,CR,34,H,20-34M,,https://utmb.world/runner/5939735.luis.conejo,,46.0,36.0,18.0,02:33:30,9210.376,True,f,
3179,Richard Muniz,US,37,H,35-39M,,https://utmb.world/runner/6513351.richard.muniz,,47.0,37.0,8.0,02:33:39,9219.516,True,f,
3230,Fenella Scutt,US,25,F,20-34W,,https://utmb.world/runner/6362203.fenella.scutt,,48.0,11.0,6.0,02:33:56,9236.416,True,f,
3355,Emma DeLira,US,42,F,40-44W,,https://utmb.world/runner/5524763.emma.delira,558.0,49.0,12.0,3.0,02:34:01,9241.247,True,f,
