# Race: Kullamannen by UTMB® 2022 2022 - Sprint Ultra 100 km
# Distance: 103 km
# D+: 1240 m
# D-: 1240 m
# Date: 2022-11-04
# URL: https://live.utmb.world/kullamannen/2022
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
1010,Aasmund KJØLLMOEN STEIEN,NO,32,H,20-34M,,,,1.0,1.0,1.0,09:38:51,34731.603,True,f,
1017,Dylan VOET,BE,32,H,20-34M,,https://utmb.world/runner/4259746.dylan.voet,666.0,2.0,2.0,2.0,09:43:57,35037.585,True,f,
1008,Christian MALMSTRÖM,SE,45,H,40-44M,,,,3.0,3.0,1.0,10:04:11,36251.479,True,f,
1311,Bill ÖSTER,SE,30,H,20-34M,,https://utmb.world/runner/4301440.bill.oster,664.0,4.0,4.0,3.0,10:20:00,37200.035,True,f,
1299,Felix BUFKENS,BE,34,H,20-34M,,https://utmb.world/runner/1180655.felix.bufkens,,5.0,5.0,4.0,10:33:42,38022.518,True,f,
1021,Hugo DAHLBERG,SE,28,H,20-34M,,,,6.0,6.0,5.0,10:41:20,38480.52,True,f,
1009,Mathis DAHL FENRE,NO,35,H,20-34M,,,,7.0,7.0,6.0,10:59:23,39563.724,True,f,
1020,Brian WYNNE,IE,41,H,35-39M,,https://utmb.world/runner/2086207.brian.wynne,650.0,8.0,8.0,1.0,10:59:35,39575.396,True,f,
1298,Ricki WYNNE,IE,43,H,40-44M,,https://utmb.world/runner/1909651.richard.wynne,746.0,8.0,8.0,2.0,10:59:35,39575.372,True,f,
1415,Hanna AHO,SE,33,F,20-34F,,https://utmb.world/runner/3976348.hanna.aho,523.0,10.0,1.0,1.0,11:11:03,40263.479,True,f,
1004,Hector HAINES,SE,36,H,20-34M,,https://utmb.world/runner/318833.hector.haines,847.0,11.0,10.0,7.0,11:15:02,40502.81,True,f,
1011,Coree WOLTERING,US,35,H,20-34M,,,,12.0,11.0,8.0,11:26:25,41185.439,True,f,
1406,Claudia CHMIELOWSKA,PL,27,F,20-34F,,https://utmb.world/runner/1081129.claudia.chmielowska,632.0,13.0,2.0,2.0,11:37:06,41826.676,True,f,
1028,Eivind JENSEN,NO,40,H,35-39M,,https://utmb.world/runner/4217539.eivind.jensen,616.0,14.0,12.0,2.0,11:45:46,42346.062,True,f,
1001,Adam STENMAN,SE,39,H,35-39M,,,,15.0,13.0,3.0,11:47:54,42474.221,True,f,
1037,Ezio MARCHETTI,IT,32,H,20-34M,,https://utmb.world/runner/4193262.ezio.marchetti,596.0,16.0,14.0,9.0,11:59:10,43150.215,True,f,
1402,Sofia HOLMGÅRD,SE,55,F,50-54F,,https://utmb.world/runner/1619545.sofia.holmgard,594.0,17.0,3.0,1.0,12:06:46,43606.246,True,f,
1045,Mattias STENSTRÖM,SE,37,H,20-34M,,,,18.0,15.0,10.0,12:16:39,44199.813,True,f,
1281,Emil BRUNELL,SE,35,H,20-34M,,https://utmb.world/runner/3342189.emil.brunell,,19.0,16.0,11.0,12:19:30,44370.394,True,f,
