# Race: Kullamannen by UTMB® 2022 2022 - Dödens Zon 20 km
# Distance: 20 km
# D+: 620 m
# D-: 620 m
# Date: 2022-11-05
# URL: https://live.utmb.world/kullamannen/2022
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
3411,Andreas LUNDEGÅRD,SE,39,H,35-39M,,,,1.0,1.0,1.0,01:29:09,5348.736,True,f,
3433,Johannes TEGNER,SE,39,H,35-39M,,https://utmb.world/runner/504355.johannes.tegner,748.0,2.0,2.0,2.0,01:29:17,5356.481,True,f,
3424,Martin HOLM,SE,41,H,35-39M,,https://utmb.world/runner/4573928.martin.holm,733.0,3.0,3.0,3.0,01:31:15,5475.403,True,f,
3402,Nicolás MATEOS GARRIDO,ES,31,H,20-34M,,,,4.0,4.0,1.0,01:31:59,5518.711,True,f,
3381,Tuomas KARI,FI,42,H,35-39M,,https://utmb.world/runner/3513757.tuomas.kari,789.0,5.0,5.0,4.0,01:32:48,5567.211,True,f,
3001,Matthias FLADE,DE,46,H,40-44M,,https://utmb.world/runner/2275995.matthias.flade,718.0,6.0,6.0,1.0,01:37:34,5853.903,True,f,
3329,Linus WEDIN,SE,21,H,U20 M,,,,7.0,7.0,1.0,01:38:51,5930.766,True,f,
3436,Maxim CHANÉ,FR,29,H,20-34M,,https://utmb.world/runner/3985748.maxim.chane,730.0,8.0,8.0,2.0,01:38:54,5933.829,True,f,
3208,Daniel FRANTZICH,SE,46,H,40-44M,,https://utmb.world/runner/1343967.daniel.frantzich,631.0,9.0,9.0,2.0,01:40:24,6023.301,True,f,
3205,Eddy LARSSON,SE,66,H,60-64M,,,,10.0,10.0,1.0,01:45:47,6346.342,True,f,
3347,Justin GARDNER,GB,40,H,35-39M,,,,11.0,11.0,5.0,01:46:42,6402.619,True,f,
3373,Gustav FERRAND-DRAKE,SE,35,H,20-34M,,,,12.0,12.0,3.0,01:47:46,6465.537,True,f,
3524,Annie SÖNNERBORG-WADENHORN,SE,42,F,35-39F,,https://utmb.world/runner/3976285.annie.sonnerborg,616.0,13.0,1.0,1.0,01:47:47,6467.267,True,f,
3392,Gerard HERNANDEZ,ES,30,H,20-34M,,https://utmb.world/runner/4280205.gerard.hernandez,701.0,14.0,13.0,4.0,01:48:45,6524.511,True,f,
3501,Tilde JENSEN,SE,38,F,35-39F,,https://utmb.world/runner/1535093.tilde.jensen,582.0,15.0,2.0,2.0,01:50:17,6617.066,True,f,
