# Race: Kullamannen by UTMB® 2023 2023 - Kullamannen 100 Miles
# Distance: 161 km
# D+: 2586 m
# D-: 2586 m
# Date: 2023-11-03
# URL: https://live.utmb.world/kullamannen/2023
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
9,Jakob Åberg,SE,34,H,20-34M,Satisfy Running,https://utmb.world/runner/1843273.jakob.aberg,760.0,1.0,1.0,1.0,14:59:04,53944.492,True,f,
2,Alexandre Boucheix,FR,34,H,20-34M,CASQUETTE VERTE,https://utmb.world/runner/758585.alexandre.boucheix,835.0,2.0,2.0,2.0,15:34:43,56083.461,True,f,
6,William Englund,SE,31,H,20-34M,,https://utmb.world/runner/2257665.william.englund,789.0,3.0,3.0,3.0,16:01:03,57663.316,True,f,
3,Juuso Simpanen,FI,34,H,20-34M,Team VJ,https://utmb.world/runner/1390725.juuso.simpanen,830.0,4.0,4.0,4.0,16:28:15,59295.251,True,f,
22,Marijn Sinkeldam,NL,33,H,20-34M,Team Awesome & Marijn,https://utmb.world/runner/1762313.marijn.sinkeldam,683.0,5.0,5.0,5.0,16:59:34,61174.175,True,f,
4,Viktor Stenqvist,SE,37,H,35-39M,Craft Run Team,https://utmb.world/runner/689972.viktor.stenqvist,814.0,6.0,6.0,1.0,17:00:55,61255.116,True,f,
19,Felix Bufkens,BE,34,H,20-34M,ATP - SKARREKOPPEN,https://utmb.world/runner/1180655.felix.bufkens,689.0,7.0,7.0,6.0,17:24:49,62689.895,True,f,
701,Johanna Antila,FI,45,F,40-44W,Salomon,https://utmb.world/runner/3421721.johanna.antila,749.0,8.0,1.0,1.0,17:39:29,63569.46,True,f,
30,Alfons Enell,SE,21,H,U20 M,Sol Tranås,https://utmb.world/runner/4812750.alfons.enell,668.0,9.0,8.0,1.0,18:17:35,65855.28,True,f,
573,Dominik K. Erne,CH,44,H,40-44M,tibetcafe.ch / 100 Marathon Club Suisse / National Team Switzerland,,,10.0,9.0,1.0,18:22:39,66159.18,True,f,
97,Oscar Isaksson,SE,36,H,20-34M,Isaksson running,https://utmb.world/runner/4301448.oscar.isaksson,590.0,11.0,10.0,7.0,18:26:24,66384.27,True,f,
64,Jonas Resare,SE,54,H,50-54M,Grenland Ultra Runners,https://utmb.world/runner/3096755.jonas.resare,620.0,12.0,11.0,1.0,18:50:14,67814.725,True,f,
66,Kennie Pussinen,SE,38,H,35-39M,UltraUppsala LS,https://utmb.world/runner/2257829.kennie.pussinen,619.0,13.0,12.0,2.0,18:50:15,67815.177,True,f,
33,Tomas Brandt,SE,42,H,40-44M,,https://utmb.world/runner/1036653.tomas.brandt,666.0,14.0,13.0,2.0,18:52:41,67961.243,True,f,
721,Emelie Eklöf,SE,42,F,40-44W,Lunds OK,https://utmb.world/runner/4135487.emelie.eklof,560.0,15.0,2.0,2.0,18:58:04,68284.464,True,f,
7,Simon Widmann,CA,33,H,20-34M,,https://utmb.world/runner/3435015.simon.widmann,782.0,16.0,14.0,8.0,19:02:58,68578.912,True,f,
703,Johanna Bygdell,SE,43,F,40-44W,Öbacka LK/CRAFT run team,https://utmb.world/runner/665723.johanna.bygdell,689.0,17.0,3.0,3.0,19:13:13,69193.4,True,f,
34,Andréas Truskog,SE,39,H,35-39M,,https://utmb.world/runner/4301451.andreas.truskog,663.0,18.0,15.0,3.0,19:13:57,69237.53,True,f,
62,Kaupo Tiislär,EE,46,H,40-44M,FB Jooksmine EST,https://utmb.world/runner/858772.kaupo.tiislar,624.0,19.0,16.0,3.0,19:16:58,69418.669,True,f,
114,Antonio Navarro,SE,52,H,50-54M,IF Malmö Løp,https://utmb.world/runner/986669.antonio.navarro,583.0,20.0,17.0,2.0,19:17:30,69450.198,True,f,
14,Erik Jonsson,SE,43,H,40-44M,TTGU IF,https://utmb.world/runner/1110351.erik.jonsson,736.0,21.0,18.0,4.0,19:20:09,69609.556,True,f,
16,Mårten Vänn,SE,30,H,20-34M,Frösö if,https://utmb.world/runner/4195046.marten.vann,714.0,21.0,18.0,9.0,19:20:09,69609.077,True,f,
707,Hanna Aho,SE,33,F,20-34W,Swedish Armed Forces,https://utmb.world/runner/3976348.hanna.aho,651.0,23.0,4.0,1.0,19:22:16,69736.007,True,f,
788,Anne-Sofie Pollestad,NO,40,F,35-39W,Torpa IL,https://utmb.world/runner/4131603.annesofie.pollestad,588.0,24.0,5.0,1.0,19:23:17,69797.836,True,f,
28,Charlie Bergström,SE,29,H,20-34M,IS Göta,https://utmb.world/runner/2519221.charlie.bergstrom,670.0,25.0,20.0,10.0,19:34:36,70476.705,True,f,
124,Matti Piittinen,SE,44,H,40-44M,Skydive Skåne Trailrunners,https://utmb.world/runner/1355767.matti.piittinen,578.0,26.0,21.0,5.0,19:40:31,70831.456,True,f,
