# Race: Kullamannen by UTMB® 2024 2024 - North Shore
# Distance: 21.9 km
# D+: 83 m
# D-: 83 m
# Date: 2024-11-02
# URL: https://live.utmb.world/kullamannen/2024
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
3729,Kingstedt JOHN,SE,33,H,20-34M,Hässelby SK,,,1.0,1.0,1.0,01:14:18,4458.816,True,f,
3001,Frederik ERNST,DK,30,H,20-34M,Salomon,https://utmb.world/runner/1031069.frederik.ernst,778.0,2.0,2.0,2.0,01:15:26,4526.396,True,f,
3730,August MOLLÉN,SE,26,H,20-34M,Team Lumonite Sverige,https://utmb.world/runner/6577044.august.mollen,570.0,3.0,3.0,3.0,01:17:08,4628.602,True,f,
3002,Sebastian ENEROS RILLING,CL,37,H,35-39M,VITECHEN,https://utmb.world/runner/1588485.sebastian.enerosrilling,748.0,4.0,4.0,1.0,01:21:22,4882.943,True,f,
3520,Pedersen JONAS,DK,29,H,20-34M,Lobeakademiet.dk,,,5.0,5.0,4.0,01:22:22,4942.528,True,f,
3012,Harry KILBOURN,GB,31,H,20-34M,,https://utmb.world/runner/4721358.harry.kilbourn,581.0,6.0,6.0,5.0,01:25:22,5122.926,True,f,
3705,David GUSTAFSSON,SE,33,H,20-34M,,https://utmb.world/runner/4193310.david.gustafsson,,7.0,7.0,6.0,01:26:28,5188.145,True,f,
3004,Georg SCHWARZL,AT,32,H,20-34M,,https://utmb.world/runner/5644621.georg.schwarzl,641.0,8.0,8.0,7.0,01:27:20,5240.751,True,f,
3027,Erik BACKMAN,SE,31,H,20-34M,,https://utmb.world/runner/5059005.erik.backman,541.0,8.0,8.0,7.0,01:27:20,5240.48,True,f,
3572,Hans Jørgen MOE,NO,41,H,40-44M,,https://utmb.world/runner/6236683.hansjorgen.moe,,10.0,10.0,1.0,01:27:29,5249.895,True,f,
3013,Ciar NIXON,GB,30,H,20-34M,Vegan Runners UK,https://utmb.world/runner/5590846.ciar.nixon,579.0,11.0,11.0,9.0,01:28:16,5296.369,True,f,
3003,Olivier CARRUZZO,CH,35,H,20-34M,Footing Club Lausanne,https://utmb.world/runner/4732430.olivier.carruzzo,647.0,12.0,12.0,10.0,01:28:39,5319.414,True,f,
3633,Emily SOMERSET,DK,27,F,20-34W,AGF,https://utmb.world/runner/6430473.emily.somerset,,13.0,1.0,1.0,01:28:43,5323.938,True,f,
3018,Michel YGDELL,SE,36,H,35-39M,MIG,https://utmb.world/runner/4863500.michel.ygdell,560.0,14.0,13.0,2.0,01:29:32,5372.804,True,f,
3468,Stephen O'KENNEDY,IE,32,H,20-34M,,https://utmb.world/runner/1486223.stephen.okennedy,,15.0,14.0,11.0,01:29:35,5375.941,True,f,
3506,Frida VIKSTRÖM,SE,25,F,20-34W,Salomon Sverige,https://utmb.world/runner/4062124.frida.vikstrom,,16.0,2.0,2.0,01:29:38,5378.73,True,f,
3505,Fredrik STOLTZ,SE,44,H,40-44M,Löpning & Livet,https://utmb.world/runner/4692462.fredrik.stoltz,,17.0,15.0,2.0,01:30:07,5407.542,True,f,
3460,Björn VILSON,SE,44,H,40-44M,,https://utmb.world/runner/5907895.bjorn.vilson,,18.0,16.0,3.0,01:30:29,5429.683,True,f,
3008,Martin BOUILHOL,FR,27,H,20-34M,Team Trail Paris,https://utmb.world/runner/4540350.martin.bouilhol,599.0,19.0,17.0,12.0,01:30:41,5441.727,True,f,
3474,Pernilla KARMAN,SE,41,F,40-44W,,https://utmb.world/runner/293378.pernilla.karman,,20.0,3.0,1.0,01:31:27,5487.935,True,f,
3007,Carsten LUNDBY,DK,52,H,50-54M,,https://utmb.world/runner/20402.carsten.lundby,608.0,21.0,18.0,1.0,01:32:00,5520.861,True,f,
3220,Xavier VARLEZ,FR,36,H,35-39M,,https://utmb.world/runner/6470131.xavier.varlez,378.0,22.0,19.0,3.0,01:32:12,5532.437,True,f,
3702,Amanda FALCK WEBER,DK,29,F,20-34W,Tisvilde Hegn OK,https://utmb.world/runner/6540501.amanda.falckweber,,23.0,4.0,3.0,01:32:36,5556.086,True,f,
3562,Simon SKOGMAN,SE,32,H,20-34M,Skene SoIS,https://utmb.world/runner/6206349.simon.skogman,,24.0,20.0,13.0,01:32:39,5559.968,True,f,
3021,Sandy PRAVATO,SZ,39,H,35-39M,Marcheurs Fous,https://utmb.world/runner/4483179.sandy.pravato,550.0,25.0,21.0,4.0,01:33:11,5591.598,True,f,
3016,Reynald LE BASTARD,FR,29,H,20-34M,,https://utmb.world/runner/5903917.reynald.lebastard,560.0,26.0,22.0,14.0,01:33:20,5600.254,True,f,
3031,Isabell NORSTEDT,SE,30,F,20-34W,,https://utmb.world/runner/5118960.isabell.norstedt,528.0,27.0,5.0,4.0,01:33:23,5603.74,True,f,
3682,Alexander HERZOG,DK,36,H,35-39M,,https://utmb.world/runner/6509597.alexander.herzog,,28.0,23.0,5.0,01:34:29,5669.266,True,f,
3014,Klemen AVSENIK,SI,46,H,45-49M,Since 1979,https://utmb.world/runner/4830460.klemen.avsenik,578.0,29.0,24.0,1.0,01:34:54,5694.136,True,f,
3545,Mark DE MUNTER,NL,34,H,20-34M,PAC Rotterdam,https://utmb.world/runner/6168763.mark.demunter,,30.0,25.0,15.0,01:35:16,5716.844,True,f,
3417,Lisen GÖTZE,SE,32,F,20-34W,,https://utmb.world/runner/5880745.lisen.gotze,,31.0,6.0,5.0,01:35:32,5732.22,True,f,
