# Race: Kullamannen by UTMB® 2024 2024 - Seventh Seal
# Distance: 56.9 km
# D+: 853 m
# D-: 853 m
# Date: 2024-11-02
# URL: https://live.utmb.world/kullamannen/2024
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
2003,Kristian JONES,GB,34,H,20-34M,Hoka,https://utmb.world/runner/2012597.kristian.jones,889.0,1.0,1.0,1.0,03:43:02,13382.705,True,f,
2012,Noah BRAUTIGAM,US,36,H,35-39M,Falu IK / Salomon Sverige,https://utmb.world/runner/250156.noah.brautigam,823.0,2.0,2.0,1.0,03:44:03,13443.604,True,f,
2007,Ludvik FERNANDES,FR,33,H,20-34M,Team inov 8,https://utmb.world/runner/328213.ludvik.fernandes,836.0,3.0,3.0,2.0,03:46:24,13584.59,True,f,
2011,Johan LANTZ,SE,36,H,35-39M,Hoka,https://utmb.world/runner/360912.johan.lantz,826.0,4.0,4.0,2.0,03:54:28,14068.193,True,f,
2001,Petter ENGDAHL,SE,31,H,20-34M,adidas TERREX / Isfjorden IL,https://utmb.world/runner/1065223.petter.engdahl,917.0,5.0,5.0,3.0,04:00:10,14410.246,True,f,
2013,Simon SCHÄPPI,CH,34,H,20-34M,On Trail,https://utmb.world/runner/3291343.simon.schappi,820.0,6.0,6.0,4.0,04:02:59,14579.797,True,f,
2009,Ida Amelie ROBSAHM,NO,29,F,20-34W,Hoka x Untold_movement,https://utmb.world/runner/4671760.idaamelie.robsahm,726.0,7.0,1.0,1.0,04:04:25,14665.404,True,f,
2021,Victor-Emmanuel BARBOSA,FR,37,H,35-39M,,https://utmb.world/runner/4656204.victoremmanuel.barbosa,683.0,8.0,7.0,3.0,04:16:01,15361.246,True,f,
2019,Lasse FINSTAD,NO,36,H,35-39M,,https://utmb.world/runner/2174463.lasse.finstad,753.0,9.0,8.0,4.0,04:17:16,15436.137,True,f,
2033,Sigbjørn HØYDAL,NO,47,H,45-49M,GTI Friidrett,https://utmb.world/runner/2088617.sigbjorn.hoydal,631.0,10.0,9.0,1.0,04:20:03,15603.406,True,f,
2008,Claire DEVOE,US,31,F,20-34W,,https://utmb.world/runner/1042857.claire.devoe,731.0,11.0,2.0,2.0,04:21:07,15667.676,True,f,
2020,Hugo DAHLBERG,SE,28,H,20-34M,Haninge SOK,https://utmb.world/runner/4823314.hugo.dahlberg,716.0,12.0,10.0,5.0,04:21:52,15712.627,True,f,
2022,Agnes JOSEFSSON,SE,19,F,18-19W,Salomon Sweden / Vallentuna Friidrott,https://utmb.world/runner/4700734.agnes.josefsson,679.0,13.0,3.0,1.0,04:22:18,15738.135,True,f,
