# Race: Kullamannen by UTMB® 2025 - Sprint Ultra 100km
# Distance: 108 km
# D+: 749 m
# D-: 749 m
# Date: 2025-10-31
# URL: https://live.utmb.world/kullamannen/2025
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
1004,Tuomas KARI,FI,42,H,40-44M,Salomon Finland,https://utmb.world/runner/3513757.tuomas.kari,851.0,1.0,1.0,1.0,08:36:19,30979,True,f,
1005,Aasmund KJØLLMOEN STEIEN,NO,32,H,20-34M,Salomon Norway / Team Schmund,https://utmb.world/runner/3985516.aasmund.kjollmoensteien,845.0,2.0,2.0,1.0,08:46:02,31562,True,f,
1012,Joe FARRELLY,GB,30,H,20-34M,New Levels Run Club,https://utmb.world/runner/5357368.joe.farrelly,707.0,3.0,3.0,2.0,08:52:45,31965,True,f,
1006,Vasilii KORYTKIN,AN,37,H,35-39M,,https://utmb.world/runner/5228022.vasilii.korytkin,799.0,4.0,4.0,1.0,09:11:15,33075,True,f,
1003,Anna-Stiina ERKKILÄ,FI,35,F,35-39W,ASICS trail team,https://utmb.world/runner/3041669.annastiina.erkkila,761.0,5.0,1.0,1.0,09:12:02,33122,True,f,
1014,Simon FROEH,SE,41,H,40-44M,Team Blekinge,https://utmb.world/runner/2986925.simon.froeh,703.0,6.0,5.0,2.0,09:41:22,34882,True,f,
1020,Sigbjørn HØYDAL,NO,47,H,45-49M,Sandnes IL,https://utmb.world/runner/2088617.sigbjorn.hoydal,681.0,7.0,6.0,1.0,09:48:15,35295,True,f,
1017,Håvard HELGESEN,NO,27,H,20-34M,Mandag IK,https://utmb.world/runner/5534818.havard.helgesen,688.0,8.0,7.0,3.0,10:01:07,36067,True,f,
1587,Carl Johan SÖRMAN,SE,49,H,45-49M,FK Snapphanarna,https://utmb.world/runner/1514339.carljohan.sorman,,9.0,8.0,2.0,10:03:27,36207,True,f,
1019,Ruben MARCO ARROYO,NO,46,H,45-49M,C.A.Benidorm,https://utmb.world/runner/5203850.ruben.marcoarroyo,682.0,10.0,9.0,3.0,10:10:03,36603,True,f,
1037,Calum MARTIN,GB,40,H,40-44M,Highland Hill Runners,https://utmb.world/runner/5743129.calum.martin,624.0,11.0,10.0,3.0,10:14:06,36846,True,f,
1592,Caroline ALMKVIST,SE,30,F,20-34W,,https://utmb.world/runner/6868915.caroline.almkvist,,12.0,2.0,1.0,10:20:25,37225,True,f,
1045,Berend BASSLEER,BE,31,H,20-34M,,https://utmb.world/runner/1651549.berend.bassleer,608.0,13.0,11.0,4.0,10:20:26,37226,True,f,
1028,Simone HAASTRUP,DK,32,F,20-34W,,https://utmb.world/runner/2363645.simone.haastrup,655.0,14.0,3.0,2.0,10:41:35,38495,True,f,
1026,Lina BROSTRÖM,SE,42,F,40-44W,untold_ movement,https://utmb.world/runner/4292403.lina.brostrom,661.0,15.0,4.0,1.0,10:43:56,38636,True,f,
1063,Anton CARLBERG,SE,37,H,35-39M,Scania road runners,https://utmb.world/runner/2111135.anton.carlberg,586.0,16.0,12.0,2.0,10:44:52,38692,True,f,
1503,Erik TENGSTRAND,SE,40,H,40-44M,IK NocOut.se,https://utmb.world/runner/696449.erik.tengstrand,,17.0,13.0,4.0,10:52:00,39120,True,f,
1031,Petter Elias VESTRE RØKKE,NO,26,H,20-34M,IL Lauparen,https://utmb.world/runner/3370833.petterelias.vestrerokke,651.0,18.0,14.0,5.0,10:53:00,39180,True,f,
1036,Maija ORAVAMÄKI,FI,51,F,50-54W,Salomon Suomi,https://utmb.world/runner/193666.maija.oravamaki,632.0,19.0,5.0,1.0,10:55:56,39356,True,f,
1032,Magdalena KRASZPULSKA,PL,38,F,35-39W,Odlo Buff,https://utmb.world/runner/6083834.magdalena.kraszpulska,650.0,20.0,6.0,2.0,11:01:05,39665,True,f,
1030,David GUSTAFSSON,SE,33,H,20-34M,,https://utmb.world/runner/4193310.david.gustafsson,651.0,21.0,15.0,6.0,11:08:24,40104,True,f,
1011,Åsmund SKATVEDT,NO,32,H,20-34M,Voksenkollen IL,https://utmb.world/runner/4484252.asmund.skatvedt,743.0,22.0,16.0,7.0,11:13:13,40393,True,f,
1056,Henrik SMEDS,SE,47,H,45-49M,Gudö SK,https://utmb.world/runner/1472161.henrik.smeds,595.0,23.0,17.0,4.0,11:19:47,40787,True,f,
1060,Michael TESCHE,DE,45,H,45-49M,,https://utmb.world/runner/4001764.michael.tesche,600.0,24.0,18.0,5.0,11:28:01,41281,True,f,
1084,Robert STIG-JACOBSSON,SE,43,H,40-44M,,https://utmb.world/runner/5479002.robert.stigjacobsson,560.0,25.0,19.0,5.0,11:30:48,41448,True,f,
1083,Rasmus KASPERSSON,SE,47,H,45-49M,,https://utmb.world/runner/5479070.rasmus.kaspersson,565.0,26.0,20.0,6.0,11:34:23,41663,True,f,
1076,Daniel ROBB,GB,41,H,40-44M,Run Free Fell Runners,https://utmb.world/runner/3807183.daniel.robb,577.0,27.0,21.0,6.0,11:36:19,41779,True,f,
1065,Marika WAGNER,SE,38,F,35-39W,Gudö SK,https://utmb.world/runner/6152358.marika.wagner,583.0,28.0,7.0,3.0,11:38:29,41909,True,f,
1094,Susie MOONAN,SE,38,F,35-39W,Gudö SK,https://utmb.world/runner/5505431.susie.moonan,552.0,28.0,7.0,3.0,11:38:29,41909,True,f,
1092,Peter SCHALIN,SE,51,H,50-54M,,https://utmb.world/runner/1242699.peter.schalin,553.0,30.0,22.0,1.0,11:43:02,42182,True,f,
1089,Johannes BHY,SE,39,H,35-39M,The Cupcake Cartel,https://utmb.world/runner/2292403.johannes.bhy,558.0,31.0,23.0,3.0,11:43:59,42239,True,f,
1023,Anna Louise Astad SØRLIE,NO,32,F,20-34W,Heming IL,https://utmb.world/runner/4212316.annalouiseastad.sorlie,665.0,32.0,9.0,3.0,11:44:23,42263,True,f,
1044,Erik LARSEN,NO,28,H,20-34M,Bouvet / Konnerud IL,https://utmb.world/runner/4484300.erik.larsen,610.0,33.0,24.0,8.0,11:44:57,42297,True,f,
1070,Jeppe Thye RASMUSSEN,DK,32,H,20-34M,,https://utmb.world/runner/6777577.jeppethye.rasmussen,581.0,34.0,25.0,9.0,11:45:50,42350,True,f,
1071,Etienne GRASLAND,FR,39,H,35-39M,,https://utmb.world/runner/5571503.etienne.grasland,580.0,35.0,26.0,4.0,11:45:51,42351,True,f,
1120,Søren Dyrlund JESSEN,DK,34,H,20-34M,,https://utmb.world/runner/6420195.sorendyrlund.jessen,532.0,36.0,27.0,10.0,11:46:52,42412,True,f,
1126,Jakob CHRISTENSEN,DK,33,H,20-34M,,https://utmb.world/runner/6412457.jakob.christensen,528.0,37.0,28.0,11.0,11:47:03,42423,True,f,
1161,Per Magne HELSETH,NO,41,H,40-44M,NEVR2L8,https://utmb.world/runner/5204148.permagne.helseth,504.0,38.0,29.0,7.0,11:47:58,42478,True,f,
1098,Gustav BILECKA,DK,27,H,20-34M,,https://utmb.world/runner/6113786.gustav.bilecka,550.0,39.0,30.0,12.0,11:49:01,42541,True,f,
1190,Adrian SCARPATI,SE,21,H,20-34M,,https://utmb.world/runner/6618444.adrian.scarpati,489.0,40.0,31.0,13.0,11:51:53,42713,True,f,
1087,Johan HENNINGSSON,SE,27,H,20-34M,,https://utmb.world/runner/4681536.johan.henningsson,559.0,41.0,32.0,14.0,11:55:42,42942,True,f,
1179,Hugo NYMAN,SE,26,H,20-34M,Söderfors GOIF,https://utmb.world/runner/5483266.hugo.nyman,495.0,42.0,33.0,15.0,11:56:59,43019,True,f,
1025,Sakari VANHANEN,FI,23,H,20-34M,Elämysbongarit,https://utmb.world/runner/6353082.sakari.vanhanen,663.0,43.0,34.0,16.0,12:01:42,43302,True,f,
1035,Markus BRINK,SE,39,H,35-39M,Elmhult Sport Club,https://utmb.world/runner/5063403.markus.brink,633.0,44.0,35.0,5.0,12:04:51,43491,True,f,
1055,Alexis TURBÉ,FR,38,H,35-39M,,https://utmb.world/runner/5381174.alexis.turbe,598.0,45.0,36.0,6.0,12:06:09,43569,True,f,
1274,Thomas RABECH,DK,46,H,45-49M,Hvalsø løbeklub,https://utmb.world/runner/1861443.thomas.rabech,444.0,46.0,37.0,7.0,12:07:59,43679,True,f,
1149,Juliette SAILLAND,FR,40,F,40-44W,,https://utmb.world/runner/4903768.juliette.sailland,517.0,47.0,10.0,2.0,12:08:03,43683,True,f,
1099,Peter ALMROTH,SE,46,H,45-49M,Slättrunners,https://utmb.world/runner/1779493.peter.almroth,549.0,48.0,38.0,8.0,12:12:11,43931,True,f,
1059,Lena-Britt JOHANSEN,NO,45,F,45-49W,Lofoten Løpeklubb,https://utmb.world/runner/1450751.lenabritt.johansen,591.0,49.0,11.0,1.0,12:12:12,43932,True,f,
1051,Patrik HILLERSTRÖM,SE,53,H,50-54M,Gudö sk,https://utmb.world/runner/620384.patrik.hillerstrom,603.0,50.0,39.0,2.0,12:17:38,44258,True,f,
1081,Helena GAUTAM,SE,48,F,45-49W,,https://utmb.world/runner/4253157.helena.gautam,564.0,51.0,12.0,2.0,12:18:52,44332,True,f,
1066,Sergio NOGUEIRA,FR,43,H,40-44M,,https://utmb.world/runner/2689145.sergio.nogueira,583.0,52.0,40.0,8.0,12:18:57,44337,True,f,
1080,Tuomas TEURI,FI,50,H,50-54M,Espoon Suunta / Helsingin Juoksijat,https://utmb.world/runner/2041463.tuomas.teuri,567.0,53.0,41.0,3.0,12:26:53,44813,True,f,
1530,Per ÅHLANDER,SE,37,H,35-39M,Umara Sports club,https://utmb.world/runner/6770695.per.ahlander,,54.0,42.0,7.0,12:27:03,44823,True,f,
1062,Finn KUNST,DE,35,H,35-39M,Utbüxers,https://utmb.world/runner/5444080.finn.kunst,587.0,55.0,43.0,8.0,12:28:10,44890,True,f,
1085,Mikkomatti REUNANEN,FI,36,H,35-39M,,https://utmb.world/runner/4226929.mikkomatti.reunanen,560.0,56.0,44.0,9.0,12:30:51,45051,True,f,
1050,Gauzelin VIDOVIC,CH,26,H,20-34M,,https://utmb.world/runner/4573854.gauzelin.vidovic,604.0,57.0,45.0,17.0,12:37:00,45420,True,f,
1178,Chris STRANDMANN,NO,23,H,20-34M,,https://utmb.world/runner/5886911.chris.strandmann,495.0,58.0,46.0,18.0,12:40:45,45645,True,f,
1040,Alexander HAUSER,DE,36,H,35-39M,,https://utmb.world/runner/5951682.alexander.hauser,616.0,59.0,47.0,10.0,12:46:16,45976,True,f,
1498,Mazharul HAQUE,SE,41,H,40-44M,Triathlon Väst,https://utmb.world/runner/6928877.mazharul.haque,,60.0,48.0,9.0,12:46:19,45979,True,f,
1082,Hector MORENO,MX,41,H,40-44M,Chilangos,https://utmb.world/runner/4571146.hector.moreno,566.0,61.0,49.0,10.0,12:47:06,46026,True,f,
1236,Jacob BURENSTAM LINDER,SE,36,H,35-39M,,https://utmb.world/runner/6263010.jacob.burenstamlinder,463.0,62.0,50.0,11.0,12:48:43,46123,True,f,
1588,Martin MARKLUND,SE,37,H,35-39M,AB&C,https://utmb.world/runner/5741995.martin.marklund,,63.0,51.0,12.0,12:48:51,46131,True,f,
1064,John-Paul HUNT,GB,49,H,45-49M,Spa Striders,https://utmb.world/runner/3274313.johnpaul.hunt,585.0,64.0,52.0,9.0,12:50:01,46201,True,f,
1186,Hanna JOHANSSON,SE,23,F,20-34W,Täby AK,https://utmb.world/runner/6770831.hanna.johansson,489.0,65.0,13.0,4.0,12:50:13,46213,True,f,
1548,Tore Sten ANDERSEN,DK,36,H,35-39M,UN City,https://utmb.world/runner/6770645.toresten.andersen,,66.0,53.0,13.0,12:52:30,46350,True,f,
1049,Jonathan CARLÉN,SE,28,H,20-34M,Team Löplabbet,https://utmb.world/runner/6595209.jonathan.carlen,604.0,67.0,54.0,19.0,12:54:28,46468,True,f,
1048,Tom MCCARTHY,SE,39,H,35-39M,BNBRC,https://utmb.world/runner/6006753.tom.mccarthy,606.0,68.0,55.0,14.0,12:54:49,46489,True,f,
1129,Peter SØRENSEN,DK,39,H,35-39M,,https://utmb.world/runner/3022369.peter.sorensen,526.0,69.0,56.0,15.0,12:56:12,46572,True,f,
1152,Katrine SÆVES,NO,42,F,40-44W,Gjerdrum IL,https://utmb.world/runner/6974987.katrine.saeves,511.0,70.0,14.0,3.0,12:56:38,46598,True,f,
1117,Carl-Johan WALLISSON,SE,41,H,40-44M,Bunkeflostrand,https://utmb.world/runner/4253156.carljohan.wallisson,533.0,71.0,57.0,11.0,12:57:40,46660,True,f,
1546,Valdemar THRYSØE,DK,34,H,20-34M,,https://utmb.world/runner/4960552.valdemar.thrysoe,,72.0,58.0,20.0,12:58:19,46699,True,f,
1077,Sebastian UTKE BOVENSCHULTE,DK,28,H,20-34M,,https://utmb.world/runner/6113782.sebastian.utkebovenschulte,572.0,73.0,59.0,21.0,12:58:53,46733,True,f,
1596,Felix RIDGWELL,SE,24,H,20-34M,,https://utmb.world/runner/6838717.felix.wennergrenridgwell,,74.0,60.0,22.0,13:01:29,46889,True,f,
1141,Joakim ERIKSSON,SE,40,H,40-44M,,https://utmb.world/runner/4379210.joakim.eriksson,518.0,75.0,61.0,12.0,13:01:58,46918,True,f,
1198,Tom Berger TRONDSEN,NO,47,H,45-49M,Team Coys / Nordstrand tri,https://utmb.world/runner/3096365.tomberger.trondsen,483.0,76.0,62.0,10.0,13:02:19,46939,True,f,
1039,David SEEWALD,AT,34,H,20-34M,,https://utmb.world/runner/4123054.david.seewald,617.0,77.0,63.0,23.0,13:02:32,46952,True,f,
1104,John CARGILL,GB,34,H,20-34M,Bergspring,https://utmb.world/runner/5118996.john.cargill,560.0,78.0,64.0,24.0,13:06:35,47195,True,f,
1595,Axel BRYHN,SE,29,H,20-34M,,https://utmb.world/runner/6923531.axel.bryhn,,79.0,65.0,25.0,13:07:57,47277,True,f,
1510,Elvin TENGDAHL,SE,28,H,20-34M,,https://utmb.world/runner/6770543.elvin.tengdahl,,80.0,66.0,26.0,13:10:23,47423,True,f,
1261,Noa PRUTH,SE,27,H,20-34M,IKHP,https://utmb.world/runner/6770529.noa.pruth,452.0,80.0,66.0,26.0,13:10:23,47423,True,f,
1460,Anton BIRGERSSON,SE,29,H,20-34M,Moraknivarna,https://utmb.world/runner/6935853.anton.birgersson,,82.0,68.0,28.0,13:11:00,47460,True,f,
1465,Helle WEHL,DK,44,F,40-44W,,https://utmb.world/runner/6948921.helle.wehl,,83.0,15.0,4.0,13:11:34,47494,True,f,
1101,Cassius De Linval MARC ANTOINE,FR,46,H,45-49M,GUYANE,https://utmb.world/runner/5450735.cassiusdelinval.marcantoine,546.0,84.0,69.0,11.0,13:11:36,47496,True,f,
