# Race: Kullamannen by UTMB® 2025 - North Shore
# Distance: 22 km
# D+: 96 m
# D-: 96 m
# Date: 2025-11-01
# URL: https://live.utmb.world/kullamannen/2025
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
3734,John KINGSTEDT,SE,33,H,20-34M,Hässelby SK,https://utmb.world/runner/6700604.kingstedt.john,715.0,1.0,1.0,1.0,01:11:21,4281,True,f,
3387,August MOLLÉN,SE,27,H,20-34M,Lumonite,https://utmb.world/runner/7845385.august.mollen,,2.0,2.0,2.0,01:13:17,4397,True,f,
3001,Enda CLOAKE,IE,28,H,20-34M,SOAR,https://utmb.world/runner/4212102.enda.cloake,769.0,3.0,3.0,3.0,01:15:10,4510,True,f,
3003,Albin GEZELIUS,SE,22,H,20-34M,ASICS,https://utmb.world/runner/4002834.albin.gezelius,723.0,4.0,4.0,4.0,01:15:13,4513,True,f,
3388,Mads KROGHOLT,DK,31,H,20-34M,Amager Runners,https://utmb.world/runner/7812771.mads.krogholt,,5.0,5.0,5.0,01:20:28,4828,True,f,
3020,Mathieu ESTIVAL,FR,32,H,20-34M,Nike ACG,https://utmb.world/runner/3257675.mathieu.estival,589.0,6.0,6.0,6.0,01:21:20,4880,True,f,
3013,Hans Jørgen MOE,NO,41,H,40-44M,,https://utmb.world/runner/6236683.hansjorgen.moe,608.0,7.0,7.0,1.0,01:22:04,4924,True,f,
3002,Jānis KŪMS,LV,37,H,35-39M,SCOTT RUNNING LATVIA,https://utmb.world/runner/394035.janis.kums,727.0,8.0,8.0,1.0,01:22:23,4943,True,f,
3009,Oskar EKBERG,SE,33,H,20-34M,Team Nordic Trail,https://utmb.world/runner/691675.oskar.ekberg,635.0,9.0,9.0,7.0,01:22:41,4961,True,f,
3691,Anders MØRCH,DK,28,H,20-34M,Institute of Sport,https://utmb.world/runner/7248507.anders.morch,,10.0,10.0,8.0,01:24:15,5055,True,f,
3008,Martin BUNDGAARD,DK,28,H,20-34M,None,https://utmb.world/runner/6178955.martin.bundgaard,643.0,11.0,11.0,9.0,01:25:41,5141,True,f,
3025,Josef MURRAY,SE,41,H,40-44M,,https://utmb.world/runner/7107082.josef.murray,565.0,12.0,12.0,2.0,01:25:48,5148,True,f,
3038,Grzegorz DUCHNOWSKI,PL,34,H,20-34M,,https://utmb.world/runner/5773846.grzegorz.duchnowski,551.0,13.0,13.0,10.0,01:26:15,5175,True,f,
3007,Joel HOLMGÅRD,SE,17,H,16-17M,GravaSK,https://utmb.world/runner/6264606.joel.holmgard,648.0,14.0,14.0,1.0,01:26:18,5178,True,f,
3018,Frida VIKSTRÖM,SE,25,F,20-34W,Lumonite,https://utmb.world/runner/4062124.frida.vikstrom,593.0,15.0,1.0,1.0,01:26:28,5188,True,f,
3671,Joel THORÉN,SE,30,H,20-34M,Öis,https://utmb.world/runner/7672327.joel.thoren,,16.0,15.0,11.0,01:27:25,5245,True,f,
3673,Emanuel SCHMIDT,SE,35,H,35-39M,Kullabron,https://utmb.world/runner/7053551.emanuel.schmidt,,17.0,16.0,2.0,01:27:47,5267,True,f,
3016,Rune JENSEN,DK,51,H,50-54M,Greve Trim,https://utmb.world/runner/3227963.rune.jensen,594.0,18.0,17.0,1.0,01:29:37,5377,True,f,
3027,Marek GAJOWY,PL,42,H,40-44M,,https://utmb.world/runner/5035628.marek.gajowy,562.0,19.0,18.0,3.0,01:29:39,5379,True,f,
3026,Louis RAES,BE,41,H,40-44M,,https://utmb.world/runner/4218647.louis.raes,562.0,20.0,19.0,4.0,01:29:47,5387,True,f,
3033,Christian BENTSEN,DK,48,H,45-49M,Gentofte Idræts Klub,https://utmb.world/runner/5073137.christian.bentsen,556.0,21.0,20.0,1.0,01:30:55,5455,True,f,
3509,Emil SOLLIE,NO,36,H,35-39M,5k Club,https://utmb.world/runner/7688769.emil.sollie,,22.0,21.0,3.0,01:31:21,5481,True,f,
3028,Alexander Stolze HERZOG,DK,36,H,35-39M,,https://utmb.world/runner/6509597.alexanderstolze.herzog,562.0,23.0,22.0,4.0,01:31:22,5482,True,f,
3021,Klemen AVSENIK,SI,46,H,45-49M,Since 1979,https://utmb.world/runner/4830460.klemen.avsenik,580.0,24.0,23.0,2.0,01:31:28,5488,True,f,
3006,Emma LEMMINGER,DK,33,F,20-34W,,https://utmb.world/runner/5256268.emma.lemminger,658.0,25.0,2.0,2.0,01:31:38,5498,True,f,
3571,Matias OVENS,DK,32,H,20-34M,,https://utmb.world/runner/7573267.matias.ovens,,26.0,24.0,12.0,01:32:03,5523,True,f,
3559,Johannes SCHWEDER,DE,29,H,20-34M,,https://utmb.world/runner/7588087.johannes.schweder,630.0,27.0,25.0,13.0,01:32:43,5563,True,f,
3017,Samuel CARLSSON,SE,42,H,40-44M,Samuel,https://utmb.world/runner/4727902.samuel.carlsson,594.0,28.0,26.0,5.0,01:33:11,5591,True,f,
3461,David JÄNTSCH,DE,26,H,20-34M,,https://utmb.world/runner/7396675.david.jantsch,,29.0,27.0,14.0,01:33:38,5618,True,f,
3040,Jani LEMPINEN,FI,46,H,45-49M,X-Tri Lahti,https://utmb.world/runner/1636085.jani.lempinen,546.0,30.0,28.0,3.0,01:34:16,5656,True,f,
3738,Nelly JANSSON,SE,32,F,20-34W,IS Göta,https://utmb.world/runner/7940593.nelly.jansson,,31.0,3.0,3.0,01:35:57,5757,True,f,
3580,Oscar ØSTVOLD,NO,28,H,20-34M,NVE-BIL,https://utmb.world/runner/7610005.oscar.ostvold,,32.0,29.0,15.0,01:36:08,5768,True,f,
3045,Joakim WÅNGE,SE,33,H,20-34M,,https://utmb.world/runner/5801523.joakim.wange,526.0,33.0,30.0,16.0,01:36:15,5775,True,f,
3023,Leo BETSCHART,SE,40,H,40-44M,,https://utmb.world/runner/5667744.leo.betschart,563.0,34.0,31.0,6.0,01:36:35,5795,True,f,
3022,Adam ROWLEDGE,GB,40,H,40-44M,,https://utmb.world/runner/5398847.adam.rowledge,573.0,35.0,32.0,7.0,01:36:54,5814,True,f,
3262,Martin SEJR NIELSEN,DK,43,H,40-44M,,https://utmb.world/runner/6770579.martin.sejrnielsen,356.0,36.0,33.0,8.0,01:37:37,5857,True,f,
3371,Anonymous,AN,36,H,35-39M,,,,37.0,34.0,5.0,01:37:58,5878,True,f,
3043,Hannes BELLGRAN,SE,28,H,20-34M,BNBRC,https://utmb.world/runner/7561854.hannes.bellgran,530.0,38.0,35.0,17.0,01:37:59,5879,True,f,
3135,Gabriel PETERSSON,SE,25,H,20-34M,,https://utmb.world/runner/7107222.gabriel.petersson,434.0,39.0,36.0,18.0,01:38:07,5887,True,f,
3578,Elias BENGTSSON,SE,17,H,16-17M,Is Göta,https://utmb.world/runner/6770347.elias.bengtsson,,40.0,37.0,2.0,01:38:12,5892,True,f,
3334,Peter TERKELSEN,DK,28,H,20-34M,,https://utmb.world/runner/7542465.peter.terkelsen,,41.0,38.0,19.0,01:38:26,5906,True,f,
3718,Lars André DALSETH,NO,44,H,40-44M,Lett på tå,https://utmb.world/runner/7979859.larsandre.dalseth,,42.0,39.0,9.0,01:38:35,5915,True,f,
3695,Oskar TÖRNMARCK,SE,40,H,40-44M,T-Purn,https://utmb.world/runner/7412375.oskar.tornmarck,,43.0,40.0,10.0,01:38:55,5935,True,f,
3479,Clément LAMOUREUX,FR,23,H,20-34M,,https://utmb.world/runner/7338171.clement.lamoureux,,44.0,41.0,20.0,01:38:58,5938,True,f,
3487,Niklas LINDHOLM,SE,22,H,20-34M,,https://utmb.world/runner/6992705.niklas.lindholm,,45.0,42.0,21.0,01:39:00,5940,True,f,
3613,Martin PETZOLD,DE,45,H,45-49M,,https://utmb.world/runner/6935327.martin.petzold,,46.0,43.0,4.0,01:39:10,5950,True,f,
3042,Elmina SAKSI,SE,45,F,45-49W,Tjalve FIF,https://utmb.world/runner/2221785.elmina.saksi,538.0,47.0,4.0,1.0,01:39:11,5951,True,f,
3048,Fridrik OMARSSON,IS,45,H,45-49M,,https://utmb.world/runner/6542161.fridrik.omarsson,521.0,48.0,44.0,5.0,01:39:31,5971,True,f,
3660,Bjarki LÚÐVÍKSSON,IS,53,H,50-54M,Náttúruhlaup,https://utmb.world/runner/7660233.bjarki.lu--viksson,,49.0,45.0,2.0,01:39:39,5979,True,f,
3640,Johannes WIKSTRÖM,SE,40,H,40-44M,Manhawks,https://utmb.world/runner/7364639.johannes.wikstrom,,50.0,46.0,11.0,01:39:44,5984,True,f,
3550,Christian FAURSCHOU,DK,36,H,35-39M,,https://utmb.world/runner/7339655.christian.faurschou,,51.0,47.0,6.0,01:40:00,6000,True,f,
3066,Robert CZERWINSKI,SE,40,H,40-44M,Värmdö IF,https://utmb.world/runner/6475808.robert.czerwinski,502.0,52.0,48.0,12.0,01:40:11,6011,True,f,
3057,Jonathan LUNDSJÖ,SE,33,H,20-34M,,https://utmb.world/runner/7422082.jonathan.lundsjo,512.0,53.0,49.0,22.0,01:40:23,6023,True,f,
3410,Tyler PARSONS,US,32,H,20-34M,,https://utmb.world/runner/6967229.tyler.parsons,,54.0,50.0,23.0,01:40:29,6029,True,f,
3071,Hans GUNSJÖ,SE,36,H,35-39M,Tetra Pak,https://utmb.world/runner/6408676.hans.gunsjo,490.0,55.0,51.0,7.0,01:41:14,6074,True,f,
3088,Henry Stephen GROSS,US,45,H,45-49M,Run PA,https://utmb.world/runner/2511169.henrystephen.gross,474.0,56.0,52.0,6.0,01:43:00,6180,True,f,
3544,Axel MOLL,SE,38,H,35-39M,ingenjox,https://utmb.world/runner/6238914.axel.moll,,57.0,53.0,8.0,01:43:41,6221,True,f,
