# Race: Kullamannen by UTMB® 2025 - Seventh Seal
# Distance: 53 km
# D+: 727 m
# D-: 727 m
# Date: 2025-11-01
# URL: https://live.utmb.world/kullamannen/2025
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
2597,Oscar CLAESSON,SE,30,H,20-34M,Ikhp/Salomon,https://utmb.world/runner/4523648.oscar.claesson,880.0,1.0,1.0,1.0,03:32:40,12760,True,f,
2002,Pierre GALBOURDIN,FR,26,H,20-34M,Brooks Trail Runners,https://utmb.world/runner/5298412.pierre.galbourdin,879.0,2.0,2.0,2.0,03:34:15,12855,True,f,
2011,Andrew HEYES,GB,35,H,35-39M,SOAR Race Team,https://utmb.world/runner/6083599.andrew.heyes,791.0,3.0,3.0,1.0,03:35:03,12903,True,f,
2008,Olle MEIJER,SE,27,H,20-34M,Hälle IF/ Hoka,https://utmb.world/runner/4681426.olle.meijer,800.0,4.0,4.0,3.0,03:35:34,12934,True,f,
2014,Kari VARIS,FI,42,H,40-44M,Hoka Team Finlamd,https://utmb.world/runner/4329442.kari.varis,766.0,5.0,5.0,1.0,03:50:00,13800,True,f,
2010,Joseph TURNER,GB,35,H,35-39M,SOAR Race Team,https://utmb.world/runner/3975193.joseph.turner,794.0,6.0,6.0,2.0,03:50:27,13827,True,f,
2004,Stefano RINALDI,IT,37,H,35-39M,Runaway / wildtee,https://utmb.world/runner/1057295.stefano.rinaldi,860.0,7.0,7.0,3.0,03:52:03,13923,True,f,
2009,Agnes JOSEFSSON,SE,19,F,18-19W,Vallentuna FK/Salomon Sverige,https://utmb.world/runner/4700734.agnes.josefsson,697.0,8.0,1.0,1.0,03:56:00,14160,True,f,
2013,Andreas LUNDEGÅRD,SE,39,H,35-39M,FK Studenterna,https://utmb.world/runner/696405.andreas.lundegard,782.0,9.0,8.0,4.0,03:57:47,14267,True,f,
2007,Amanda NILSSON,SE,29,F,20-34W,HOKA,https://utmb.world/runner/1355889.amanda.nilsson,708.0,10.0,2.0,1.0,04:06:34,14794,True,f,
2601,Jo RINGHEIM,NO,34,H,20-34M,Lumonite,https://utmb.world/runner/7326824.jo.ringheim,709.0,11.0,9.0,4.0,04:07:19,14839,True,f,
2017,Mats Hobæk MELBY,NO,40,H,40-44M,Grenland Ultra Runners,https://utmb.world/runner/4852590.matsmelby.hobaek,693.0,12.0,10.0,2.0,04:18:00,15480,True,f,
2429,Lukas GSTALTNER,AT,27,H,20-34M,Sports Monkeys,https://utmb.world/runner/6770561.lukas.gstaltner,,13.0,11.0,5.0,04:22:18,15738,True,f,
2021,Andreas MOSER,NO,30,H,20-34M,,https://utmb.world/runner/4484262.andreas.moser,667.0,14.0,12.0,6.0,04:26:06,15966,True,f,
2033,Jorgen BALOGH,SE,55,H,55-59M,Gudö SK,https://utmb.world/runner/3377491.jorgen.balogh,628.0,15.0,13.0,1.0,04:29:55,16195,True,f,
2508,Niklas GUSTAFSSON,SE,31,H,20-34M,,https://utmb.world/runner/6770525.niklas.gustafsson,,16.0,14.0,7.0,04:30:09,16209,True,f,
2544,Magnus ÅHSBERG,SE,58,H,55-59M,Apladalens LK,https://utmb.world/runner/6907443.magnus.ahsberg,,17.0,15.0,2.0,04:30:40,16240,True,f,
2030,Anton PETERZÉN,SE,35,H,35-39M,,https://utmb.world/runner/1619495.anton.peterzen,637.0,18.0,16.0,5.0,04:30:44,16244,True,f,
2554,Jacob LACHNER,SE,24,H,20-34M,,https://utmb.world/runner/7739749.jacob.lachner,,19.0,17.0,8.0,04:32:57,16377,True,f,
2031,Vitalii LAVELIN,AN,34,H,20-34M,Trail Running School,https://utmb.world/runner/4780442.vitalii.lavelin,636.0,20.0,18.0,9.0,04:33:08,16388,True,f,
2029,Jonas RESARE,SE,54,H,50-54M,Grenland Ultra Runners,https://utmb.world/runner/3096755.jonas.resare,637.0,21.0,19.0,1.0,04:33:18,16398,True,f,
2042,Josefin RAKOS,SE,37,F,35-39W,Duveds IF,https://utmb.world/runner/2257801.josefin.rakos,603.0,22.0,3.0,1.0,04:33:28,16408,True,f,
2547,Jacob Ravn ERIKSEN,DK,31,H,20-34M,Institute of Sport,https://utmb.world/runner/6919515.jacobravn.eriksen,635.0,23.0,20.0,10.0,04:38:47,16727,True,f,
2055,Tove HJERTONSSON,SE,36,F,35-39W,FK Snapphanarna,https://utmb.world/runner/686147.tove.hjertonsson,574.0,24.0,4.0,2.0,04:39:36,16776,True,f,
2529,Kajsa LUTTI,SE,39,F,35-39W,If Mantra Sport,https://utmb.world/runner/3342249.kajsa.lutti,,25.0,5.0,3.0,04:40:15,16815,True,f,
2532,Jonas AUTHEN,NO,40,H,40-44M,,https://utmb.world/runner/6770509.jonas.authen,,26.0,21.0,3.0,04:40:22,16822,True,f,
2052,Stian TVETEN,NO,47,H,45-49M,Grenland Ultrarunners,https://utmb.world/runner/1718999.stian.tveten,579.0,27.0,22.0,1.0,04:40:41,16841,True,f,
2036,Michel YGDELL,SE,36,H,35-39M,Hälle IF,https://utmb.world/runner/4863500.michel.ygdell,620.0,28.0,23.0,6.0,04:42:08,16928,True,f,
2041,Alan PEDERSEN,DK,48,H,45-49M,,https://utmb.world/runner/6791502.alan.pedersen,605.0,29.0,24.0,2.0,04:43:58,17038,True,f,
2553,Vilhelm DICKMAN,SE,37,H,35-39M,Åkersberga SK,https://utmb.world/runner/6822453.vilhelm.dickman,579.0,30.0,25.0,7.0,04:45:27,17127,True,f,
2053,Jökull SNÆBJARNARSON,IS,35,H,35-39M,,https://utmb.world/runner/4226718.jokull.snaebjarnarson,578.0,31.0,26.0,8.0,04:49:02,17342,True,f,
2032,Lucas PELLOUX-PRAYER,FR,27,H,20-34M,,https://utmb.world/runner/5443422.lucas.pellouxprayer,633.0,32.0,27.0,11.0,04:49:31,17371,True,f,
2026,Vidar SKAAR,NO,49,H,45-49M,,https://utmb.world/runner/1454201.vidar.skaar,649.0,33.0,28.0,3.0,04:50:31,17431,True,f,
2037,Lars HEDLUND,SE,53,H,50-54M,,https://utmb.world/runner/1110241.lars.hedlund,618.0,34.0,29.0,2.0,04:53:20,17600,True,f,
2044,Jens Jerichau CLAUSEN,DK,35,H,35-39M,NBRO,https://utmb.world/runner/5301119.jensjerichau.clausen,597.0,35.0,30.0,9.0,04:54:10,17650,True,f,
2028,Nicole KESSLER,DE,37,F,35-39W,Salomon Running Team,https://utmb.world/runner/972841.nicole.kessler,647.0,36.0,6.0,4.0,04:55:01,17701,True,f,
2106,Jürg STUDER,CH,53,H,50-54M,,https://utmb.world/runner/4194267.jurg.studer,508.0,37.0,31.0,3.0,04:55:34,17734,True,f,
2523,Tim ABERCROMBIE,CA,47,H,45-49M,,https://utmb.world/runner/3313005.tim.abercrombie,,38.0,32.0,4.0,04:55:44,17744,True,f,
2094,Harry SAMPSON,GB,40,H,40-44M,,https://utmb.world/runner/6242854.harry.sampson,519.0,39.0,33.0,4.0,04:57:58,17878,True,f,
