# Race: Trail of the Kings - Lake Toba by UTMB 2025 - Legend Leap 5K
# Distance: 5 km
# D+: 64 m
# D-: 64 m
# Date: 2025-10-18
# URL: https://live.utmb.world/laketoba/2025
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
5048,Sandro SIMBOLON,ID,16,H,OpenM,Atletik Raya,https://utmb.world/runner/7706721.sandro.simbolon,,1.0,1.0,1.0,00:25:28,1528,True,f,
5039, ,ID,16,H,OpenM,,,,2.0,2.0,2.0,00:25:40,1540,True,f,
5038,Elia BITABA,ID,17,H,OpenM,No Club,https://utmb.world/runner/7812317.elia.bitaba,,3.0,3.0,3.0,00:25:50,1550,True,f,
5031,Evan DAMANIK,ID,16,H,OpenM,ATLETIK RAYA,https://utmb.world/runner/7689115.evan.damanik,,4.0,4.0,4.0,00:26:31,1591,True,f,
5028,Muhammad Deka PRATAMA,ID,20,H,OpenM,MEDAN RUNNERS,https://utmb.world/runner/7624159.muhammaddeka.pratama,,5.0,5.0,5.0,00:26:38,1598,True,f,
5153,Kevin Yeremias SAGALA,ID,17,H,OpenM,ALTI Samosir,https://utmb.world/runner/7800037.kevinyeremias.sagala,,6.0,6.0,6.0,00:29:27,1767,True,f,
5094,Manassye Putra Js HUTAHAEAN,ID,18,H,OpenM,ALTI SAMOSIR,https://utmb.world/runner/7807485.manassyeputrajs.hutahaean,,7.0,7.0,7.0,00:30:03,1803,True,f,
5055,Heskiel SIMBOLON,ID,16,H,OpenM,Tidak ada,https://utmb.world/runner/7773393.heskiel.simbolon,,8.0,8.0,8.0,00:31:26,1886,True,f,
5071,Boaz RAJAGUKGUK,ID,17,H,OpenM,-,https://utmb.world/runner/7548745.boaz.rajagukguk,,9.0,9.0,9.0,00:31:49,1909,True,f,
5079,Jordaniel SINAGA,ID,16,H,OpenM,Atletik Raya,https://utmb.world/runner/7689111.jordaniel.sinaga,,10.0,10.0,10.0,00:32:11,1931,True,f,
5145,Sam SITUNGKIR,ID,30,H,Veterans,Kepala Dinas Budparekraf Provsu,https://utmb.world/runner/7794173.sam.situngkir,,11.0,11.0,1.0,00:35:06,2106,True,f,
5179,Jonatan Syahputra NAINGGOLAN,ID,21,H,OpenM,Learn & Creative RINDALA UMI,https://utmb.world/runner/7780613.jonatansyahputra.nainggolan,,12.0,12.0,11.0,00:36:04,2164,True,f,
5116,Reyhand SAGALA,ID,17,H,OpenM,ALTI Samosir,https://utmb.world/runner/7800035.reyhand.sagala,,13.0,13.0,12.0,00:36:07,2167,True,f,
5080,Lolita Oktry Silvia NAINGGOLAN,ID,17,F,OpenW,atletik raya,https://utmb.world/runner/7689119.lolitaoktrysilvia.nainggolan,,14.0,1.0,1.0,00:36:13,2173,True,f,
5140,Sinar ABDI SIRAIT,ID,25,H,OpenM,Badan Otorita Labuan Bajo,https://utmb.world/runner/7812737.sinar.abdisirait,,15.0,14.0,13.0,00:36:50,2210,True,f,
5238,Yohannes Rizki Valentino PANJAITAN,ID,22,H,OpenM,,https://utmb.world/runner/7773401.yohannesrizkivalentino.panjaitan,,16.0,15.0,14.0,00:36:58,2218,True,f,
5095,Oni Fitri SAGALA,ID,19,F,OpenW,ALTI Samosir,https://utmb.world/runner/7807487.onifitri.sagala,,17.0,2.0,2.0,00:37:17,2237,True,f,
5099,Yogi TEDDY WARDHANA,ID,31,H,Veterans,CROCODILE RUNNERS,https://utmb.world/runner/7548779.yogi.teddywardhana,,18.0,16.0,2.0,00:38:19,2299,True,f,
5217,George LEWI,ID,16,H,OpenM,,https://utmb.world/runner/7780629.george.lewi,,19.0,17.0,15.0,00:38:35,2315,True,f,
5233,Trinanda Ranggi PRAMUDHITO,ID,35,H,Veterans,,https://utmb.world/runner/7732115.trinandaranggi.pramudhito,,20.0,18.0,3.0,00:39:39,2379,True,f,
5141,Joshua SIAGIAN,ID,24,H,OpenM,,https://utmb.world/runner/7565983.joshua.siagian,,21.0,19.0,16.0,00:39:56,2396,True,f,
5130,Daniel SIDABUTAR,ID,24,H,OpenM,PANTHERUN,https://utmb.world/runner/7548757.daniel.sidabutar,,22.0,20.0,17.0,00:40:11,2411,True,f,
5062,Letkol Kav Ronald TAMPUBOLON,ID,26,H,OpenM,DanRamil,https://utmb.world/runner/7794169.letkolkavronald.tampubolon,,23.0,21.0,18.0,00:40:45,2445,True,f,
5205,Forsan PRIHASTOWO,ID,23,H,OpenM,,https://utmb.world/runner/7794161.forsan.prihastowo,,24.0,22.0,19.0,00:41:12,2472,True,f,
5190,Muhammad SYAFRIZAL,ID,24,H,OpenM,,https://utmb.world/runner/7548765.muhammad.syafrizal,,25.0,23.0,20.0,00:41:39,2499,True,f,
5249,Efendi AKANG,ID,48,H,MastersM,Aulia runer,https://utmb.world/runner/7790219.efendi.akang,,26.0,24.0,1.0,00:41:56,2516,True,f,
5241,Antang WILLIEM,ID,24,H,OpenM,-,https://utmb.world/runner/7754391.antang.williem,,27.0,25.0,21.0,00:41:59,2519,True,f,
5192,Citra Rohmapani SITOPU,ID,18,F,OpenW,Atletik raya,https://utmb.world/runner/7689117.citrarohmapani.sitopu,,28.0,3.0,3.0,00:42:11,2531,True,f,
