# Race: La Sportiva Lavaredo Ultra Trail by UTMB® 2022 - CORTINA SKYRACE
# Distance: 20 km
# D+: 1000 m
# D-: 1000 m
# Date: 2022-06-23
# URL: https://live.utmb.world/lavaredo/2022
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
6001,Antonio Martínez Pérez,ES,34,H,20-34H,Scarpa team,https://utmb.world/runner/1861165.antonio.martinez,894.0,1.0,1.0,1.0,01:29:21,5361.0,True,f,
6003,Luca del Pero,IT,28,H,20-34H,Team Scarpa - ASD Falchi Lecco,https://utmb.world/runner/3079761.luca.delpero,860.0,2.0,2.0,2.0,01:29:54,5394.0,True,f,
6009,Lorenzo Beltrami,IT,30,H,20-34H,TEAM SCARPA - Falchi Lecco,https://utmb.world/runner/2396325.lorenzo.beltrami,830.0,3.0,3.0,3.0,01:33:13,5593.0,True,f,
6011,Mirko Cocco,IT,27,H,20-34H,Brooks Trail Runners,https://utmb.world/runner/997255.mirko.cocco,822.0,4.0,4.0,4.0,01:33:56,5636.0,True,f,
6004,Simon Paccard,FR,25,H,20-34H,TEAM MATRYX TRAIL RUNNING,https://utmb.world/runner/1159935.simon.paccard,855.0,5.0,5.0,5.0,01:34:53,5693.0,True,f,
6017,Noé Rogier,FR,23,H,20-34H,Team Matryx,https://utmb.world/runner/1626347.noe.rogier,825.0,6.0,6.0,6.0,01:37:16,5836.0,True,f,
6354,Javier Fernandez,ES,23,H,20-34H,BROOKS TRAIL RUNNERS,,,7.0,7.0,7.0,01:38:02,5882.0,True,f,
6013,Simone Bertini,IT,30,H,20-34H,atletica alta valtellina/team scarpa,https://utmb.world/runner/2144189.simone.bertini,816.0,8.0,8.0,8.0,01:38:38,5918.23,True,f,
6028,Gabriele Del Longo,IT,38,H,35-39H,Marciatori Calalzo,https://utmb.world/runner/4128790.gabriele.dellongo,706.0,9.0,9.0,1.0,01:40:36,6036.31,True,f,
6008,Alessio Gatti,IT,35,H,20-34H,Mud and snow,https://utmb.world/runner/1867051.alessio.gatti,831.0,10.0,10.0,9.0,01:41:01,6061.51,True,f,
6234,Daniele Andreis,IT,34,H,20-34H,La Sportiva,,,11.0,11.0,10.0,01:41:54,6114.85,True,f,
6019,Ianco Slovak,RO,36,H,20-34H,Csm Cluj,https://utmb.world/runner/1862221.ianco.slovak,771.0,12.0,12.0,11.0,01:42:43,6163.29,True,f,
6321,Andrea Dagostin,IT,29,H,20-34H,,https://utmb.world/runner/4107523.andrea.dagostin,581.0,13.0,13.0,12.0,01:44:31,6271.28,True,f,
6402,Dumitru Florin Gut,RO,23,H,20-34H,Datacor Running Team,,,14.0,14.0,13.0,01:46:39,6399.4,True,f,
6544,Mattia Reggidori,IT,33,H,20-34H,Leopodistica,https://utmb.world/runner/4483356.mattia.reggidori,734.0,15.0,15.0,14.0,01:47:04,6424.86,True,f,
6315,Cristian Pop,RO,36,H,20-34H,Datacor running team,https://utmb.world/runner/1239831.cristian.pop,764.0,16.0,16.0,15.0,01:47:14,6434.32,True,f,
6053,Sebastian Chlanda,PL,40,H,35-39H,Grupetto Gorlice,https://utmb.world/runner/2619013.sebastian.chlanda,628.0,17.0,17.0,2.0,01:47:40,6460.63,True,f,
6241,Julen Azkue,ES,30,H,20-34H,Camp Base,,,18.0,18.0,16.0,01:49:23,6563.0,True,f,
6023,Samuele Toscan,IT,42,H,35-39H,DUEROCCHE ASD,https://utmb.world/runner/60425.samuele.toscan,730.0,19.0,19.0,3.0,01:50:45,6645.73,True,f,
6029,Martin Kratochvil,CZ,35,H,20-34H,,https://utmb.world/runner/1995889.martin.kratochvil,,20.0,20.0,17.0,01:51:02,6662.9,True,f,
6031,Marco Vecchi,IT,41,H,35-39H,Ssd tremalzo,https://utmb.world/runner/2031607.marco.vecchi,698.0,21.0,21.0,4.0,01:51:52,6712.29,True,f,
6026,Marco Marras,IT,42,H,35-39H,,https://utmb.world/runner/4147815.marco.marras,712.0,22.0,22.0,5.0,01:52:07,6727.37,True,f,
6007,Alice Gaggi,IT,38,F,35-39F,Brooks Trail Runners,https://utmb.world/runner/678361.alice.gaggi,731.0,23.0,1.0,1.0,01:52:13,6733.76,True,f,
6038,Daniel Balmer,GB,39,H,35-39H,,https://utmb.world/runner/4227688.daniel.balmer,669.0,24.0,23.0,6.0,01:52:34,6754.25,True,f,
6048,Luca Farolfi,IT,26,H,20-34H,TEAM HOKA - KARPOS - Leopodistica,https://utmb.world/runner/2121621.luca.farolfi,644.0,25.0,24.0,18.0,01:53:26,6806.0,True,f,
6025,Stefano Mognol,IT,37,H,20-34H,,https://utmb.world/runner/2036347.stefano.mognol,723.0,26.0,25.0,19.0,01:53:59,6839.52,True,f,
6070,Martin Juran,SK,34,H,20-34H,Run For Fun,https://utmb.world/runner/946849.martin.juran,588.0,27.0,26.0,20.0,01:54:42,6882.39,True,f,
6057,Davide Scolari,IT,40,H,35-39H,La recastello radici group,https://utmb.world/runner/289306.davide.scolari,620.0,28.0,27.0,7.0,01:58:12,7092.16,True,f,
