# Race: La Sportiva Lavaredo Ultra Trail by UTMB® 2022 - ULTRADOLOMITES
# Distance: 80 km
# D+: 4600 m
# D-: 4600 m
# Date: N/A
# URL: https://live.utmb.world/lavaredo/2022
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
2019,Matteo Anselmi,IT,31,H,20-34H,ATLETICA ISOLA D'ELBA,https://utmb.world/runner/3476719.matteo.anselmi,793.0,1.0,1.0,1.0,08:42:00,31320.84,True,f,
2023,Daniele Calandri,IT,42,H,35-39H,ASD Inrun,https://utmb.world/runner/588534.daniele.calandri,775.0,2.0,2.0,1.0,08:49:26,31766.88,True,f,
2020,Catalin Sorecau,RO,33,H,20-34H,Datacor Running Team,https://utmb.world/runner/1239841.catalin.sorecau,790.0,3.0,3.0,2.0,08:54:29,32069.26,True,f,
2018,Giovanni Tacchini,IT,41,H,35-39H,Team Valtellina / Crazy,https://utmb.world/runner/13633.giovanni.tacchini,793.0,4.0,4.0,2.0,09:06:34,32794.89,True,f,
2031,Gregorio Aiello,CH,34,H,20-34H,,https://utmb.world/runner/3953693.gregorio.aiello,762.0,5.0,5.0,3.0,09:10:55,33055.94,True,f,
2038,Nuno Marques,PT,39,H,35-39H,Tugz Team,https://utmb.world/runner/4194236.nuno.marques,756.0,6.0,6.0,3.0,09:13:38,33218.73,True,f,
2005,Christian Modena,IT,41,H,35-39H,Team La Sportiva,https://utmb.world/runner/19590.christian.modena,837.0,7.0,7.0,4.0,09:14:11,33251.41,True,f,
2039,Pavle Kruljac,HR,39,H,35-39H,Compresport Hrvatska/ Sport Box,https://utmb.world/runner/1684775.pavle.kruljac,755.0,8.0,8.0,5.0,09:14:58,33298.93,True,f,
2008,Mario Fonseca,PT,44,H,40-44H,,https://utmb.world/runner/1187007.mario.fonseca,817.0,9.0,9.0,1.0,09:15:56,33356.42,True,f,
2032,Tobias Johansson,SE,37,H,20-34H,Équipe de Suède,https://utmb.world/runner/496499.tobias.johansson,769.0,10.0,10.0,4.0,09:16:02,33362.25,True,f,
2022,Rémi Loubet,FR,38,H,35-39H,La Sportiva France,https://utmb.world/runner/84395.remi.loubet,784.0,11.0,11.0,6.0,09:16:34,33394.5,True,f,
2051,Cristian Camanini,IT,44,H,40-44H,A.S.D. ATLETICA FRANCIACORTA,https://utmb.world/runner/2658587.cristian.camanini,735.0,12.0,12.0,2.0,09:16:55,33415.85,True,f,
2012,Pablo Baison Guijas,ES,37,H,20-34H,AVIENTU,https://utmb.world/runner/666828.pablo.baison,807.0,13.0,13.0,5.0,09:21:07,33667.89,True,f,
2009,Kelly Wolf,US,31,F,20-34F,La Sportiva,https://utmb.world/runner/806777.kelly.wolf,716.0,14.0,1.0,1.0,09:25:52,33952.12,True,f,
2030,Christian Nodari,IT,46,H,40-44H,we run bergamo,https://utmb.world/runner/4140956.christian.nodari,764.0,15.0,14.0,3.0,09:26:19,33979.03,True,f,
2028,Jérôme Remacle,BE,39,H,35-39H,Logomotif.lu - Trakks Belgium - Nelles Malmedy,https://utmb.world/runner/1460307.jerome.remacle,767.0,16.0,15.0,7.0,09:27:23,34043.9,True,f,
2004,Johanna Antila,FI,45,F,40-44F,Salomon Trail Team Finland,https://utmb.world/runner/3421721.johanna.antila,750.0,17.0,2.0,1.0,09:29:48,34188.16,True,f,
