# Race: MALLORCA by UTMB 2024 2024 - Serra de Tramuntana
# Distance: 90 km
# D+: 3400 m
# D-: 3400 m
# Date: 2024-11-02
# URL: https://live.utmb.world/mallorcabyutmb/2024
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
7,Theo LE BOUDEC,FR,25,H,20-34M,,https://utmb.world/runner/4197488.theo.leboudec,840.0,,,,,0,False,cancelled,
25,Franco Hernan ORO,AR,40,H,35-39M,,https://utmb.world/runner/1154335.francohernan.oro,789.0,,,,,0,False,cancelled,
22,Alexandre URBINA RUBIO,ES,36,H,35-39M,Cimalp / Coros / Flying Burrito,https://utmb.world/runner/393891.alexandre.urbinarubio,795.0,,,,,0,False,cancelled,
20,Sau DOMENECH,ES,28,H,20-34M,Roots Performance,https://utmb.world/runner/3685341.sau.domenech,796.0,,,,,0,False,cancelled,
17,Jérémie MARIN,FR,34,H,20-34M,Altra running,https://utmb.world/runner/539006.jeremie.marin,809.0,,,,,0,False,cancelled,
18,Claire BANNWARTH,FR,36,F,35-39W,LapinDuduracell,https://utmb.world/runner/1157897.claire.bannwarth,706.0,,,,,0,False,cancelled,
14,Karol MATYSSEK,PL,35,H,20-34M,,https://utmb.world/runner/4110117.karol.matyssek,814.0,,,,,0,False,cancelled,
13,Andrej VISTICA,HR,42,H,40-44M,MK Marjan,https://utmb.world/runner/2593285.andrej.vistica,818.0,,,,,0,False,cancelled,
9,Mali NOYES,US,36,F,35-39W,,https://utmb.world/runner/3279903.mali.noyes,733.0,,,,,0,False,cancelled,
12,Guillaume DENEFFE,BE,42,H,40-44M,TRAKKS BELGIUM,https://utmb.world/runner/1383203.guillaume.deneffe,823.0,,,,,0,False,cancelled,
16,Enrique GOMIS,ES,32,H,20-34M,FAR RUN,https://utmb.world/runner/1160511.enrique.gomis,812.0,,,,,0,False,cancelled,
15,Rémi GILLIE,FR,38,H,35-39M,Team Breiz'line,https://utmb.world/runner/462131.remi.gillie,814.0,,,,,0,False,cancelled,
19,Ales SEDLAK,CZ,37,H,35-39M,TJ Magla/Rock Point,https://utmb.world/runner/674350.ales.sedlak,796.0,,,,,0,False,cancelled,
31,Vanessa SCHÄTZLE,DE,38,F,35-39W,,https://utmb.world/runner/3155783.vanessa.schatzle,682.0,,,,,0,False,cancelled,
45,Corine KAGERER,CH,51,F,50-54W,,https://utmb.world/runner/65628.corine.kagerer,664.0,,,,,0,False,cancelled,
33,Reid BURROWS,CA,30,H,20-34M,Merrell,https://utmb.world/runner/3280177.reid.burrows,772.0,,,,,0,False,cancelled,
6,Johanna ANTILA,FI,45,F,40-44W,Salomon Finland,https://utmb.world/runner/3421721.johanna.antila,742.0,,,,,0,False,cancelled,
27,Simon MICHEL BERGER,FR,24,H,20-34M,Joma Trail Team,https://utmb.world/runner/3143463.simon.michelberger,783.0,,,,,0,False,cancelled,
34,Albert MARTINEZ PONS,ES,38,H,35-39M,LA LLORERIA MENORCA,https://utmb.world/runner/647994.albert.martinezpons,771.0,,,,,0,False,cancelled,
35,Christophe GRIFGNEE,BE,37,H,35-39M,Vo2Max/Respire Sport,https://utmb.world/runner/481160.christophe.grifgnee,771.0,,,,,0,False,cancelled,
23,Mario WEISS,AT,43,H,40-44M,ULC-Riverside Moedling,https://utmb.world/runner/1008471.mario.weiss,795.0,,,,,0,False,cancelled,
2,Pablo VILLA,ES,37,H,35-39M,C.A.adidas,https://utmb.world/runner/140937.pablo.villa,871.0,,,,,0,False,cancelled,
