# Race: 云丘山越野赛 by UTMB® 2023 - DMY
# Distance: 100 km
# D+: 4596 m
# D-: 4596 m
# Date: 2023-10-20
# URL: https://live.utmb.world/mountyun/2023
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
58,Guidu QIN,CN,33,H,20-34M,,https://utmb.world/runner/4154759.guidu.qin,855.0,1.0,1.0,1.0,10:35:37,38137.0,True,f,
2,Min QI,CN,37,H,35-39M,,https://utmb.world/runner/1199567.min.qi,869.0,2.0,2.0,1.0,10:47:27,38847.0,True,f,
4,Mengkai BATE,CN,39,H,35-39M,,https://utmb.world/runner/989967.mengkai.bate,846.0,3.0,3.0,2.0,10:58:11,39491.0,True,f,
40,Fujun HE,CN,34,H,20-34M,,https://utmb.world/runner/990117.fujun.he,680.0,4.0,4.0,2.0,11:30:27,41427.0,True,f,
9,Xingzhi BAI,CN,39,H,35-39M,,https://utmb.world/runner/1225025.xingzhi.bai,784.0,5.0,5.0,3.0,11:40:19,42019.0,True,f,
265,Rihati DI,CN,29,H,20-34M,,https://utmb.world/runner/4122160.rihati.di,,6.0,6.0,3.0,11:45:30,42330.0,True,f,
8,Yong YANG,CN,39,H,35-39M,,https://utmb.world/runner/3055105.yong.yang,793.0,7.0,7.0,4.0,11:50:44,42644.0,True,f,
17,Peng LIU,CN,30,H,20-34M,,https://utmb.world/runner/1993271.peng.liu,767.0,8.0,8.0,4.0,11:57:14,43034.0,True,f,
25,Qinghu WANG,CN,43,H,40-44M,,https://utmb.world/runner/2566117.qinghu.wang,728.0,9.0,9.0,1.0,12:10:38,43838.61,True,f,
6,Meiling XU,CN,40,F,35-39W,,https://utmb.world/runner/1121167.meiling.xu,733.0,10.0,1.0,1.0,12:28:37,44917.05,True,f,
57,Jianxiong XU,CN,29,H,20-34M,,,,11.0,10.0,5.0,13:14:09,47649.36,True,f,
32,Melnyk OLEKSII,UA,39,H,35-39M,,https://utmb.world/runner/1438743.oleksii.melnyk,706.0,12.0,11.0,5.0,13:16:28,47788.74,True,f,
14,Huarong FU,CN,43,F,40-44W,,https://utmb.world/runner/1548789.huarong.fu,667.0,13.0,2.0,1.0,13:31:47,48707.57,True,f,
51,Xianfeng ZHANG,CN,32,F,20-34W,,https://utmb.world/runner/2534343.xianfeng.zhang,,14.0,3.0,1.0,13:46:18,49578.41,True,f,
321,Zhou SONG,CN,38,H,35-39M,,https://utmb.world/runner/3597335.zhou.song,600.0,15.0,12.0,6.0,14:04:40,50680.6,True,f,
28,Liting ZHOU,CN,40,F,35-39W,,https://utmb.world/runner/3323997.liting.zhou,628.0,16.0,4.0,2.0,14:10:57,51057.89,True,f,
180,You CHEN,CN,36,H,20-34M,,https://utmb.world/runner/2066259.you.chen,622.0,17.0,13.0,6.0,14:15:19,51319.64,True,f,
