# Race: 云丘山越野赛 by UTMB® 2023 - EMY
# Distance: 20 km
# D+: 1359 m
# D-: 1359 m
# Date: 2023-10-21
# URL: https://live.utmb.world/mountyun/2023
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
2017,Guangfu MENG,CN,27,H,20-34M,,https://utmb.world/runner/2989453.guangfu.meng,870.0,1.0,1.0,1.0,01:59:35,7175.88,True,f,
2012,Guolong WANG,CN,39,H,35-39M,,,,2.0,2.0,1.0,02:05:15,7515.92,True,f,
2004,Zongyan JIANG,CN,36,H,20-34M,,https://utmb.world/runner/3148317.zongyan.jiang,719.0,3.0,3.0,2.0,02:09:07,7747.52,True,f,
2014,Kaijin SHI,CN,20,H,U20 M,,https://utmb.world/runner/5100884.kaijin.shi,801.0,4.0,4.0,1.0,02:10:13,7813.91,True,f,
2015,Juwei ZI,CN,23,H,20-34M,,https://utmb.world/runner/4052883.juwei.zi,876.0,5.0,5.0,3.0,02:20:21,8421.93,True,f,
2885,Yigan TANG,CN,38,H,35-39M,,,,6.0,6.0,2.0,02:21:47,8507.24,True,f,
2103,Yongheng ZHANG,CN,33,H,20-34M,,https://utmb.world/runner/5538268.yongheng.zhang,,7.0,7.0,4.0,02:26:29,8789.78,True,f,
2862,Baptiste TALOUD,FR,25,H,20-34M,,https://utmb.world/runner/3985336.baptiste.taloud,520.0,8.0,8.0,5.0,02:31:48,9108.73,True,f,
2331,Siming HAN,CN,38,H,35-39M,,https://utmb.world/runner/678931.siming.han,,9.0,9.0,3.0,02:33:05,9185.08,True,f,
2618,Rong MA,CN,21,H,U20 M,,,,10.0,10.0,2.0,02:34:40,9280.66,True,f,
2453,Lei CHEN,CN,36,H,20-34M,,https://utmb.world/runner/2600155.lei.chen,,11.0,11.0,6.0,02:34:42,9282.24,True,f,
2018,Wenrong ZHENG,CN,37,F,35-39W,,https://utmb.world/runner/879489.wenrong.zheng,680.0,12.0,1.0,1.0,02:34:56,9296.89,True,f,
2399,Guohu HUANG,CN,48,H,45-49M,,https://utmb.world/runner/2423765.guohu.huang,,13.0,12.0,1.0,02:42:00,9720.74,True,f,
3171,Yonghua SHE,CN,51,F,45-49W,,https://utmb.world/runner/1519277.yonghua.she,,14.0,2.0,1.0,02:44:42,9882.99,True,f,
2119,Yong YANG,CN,43,H,40-44M,,https://utmb.world/runner/2529007.yong.yang,,15.0,13.0,1.0,02:46:08,9968.27,True,f,
2010,Wenli JIANG,CN,39,F,35-39W,,,,16.0,3.0,2.0,02:49:12,10152.01,True,f,
2528,Pengfei WEI,CN,26,H,20-34M,,https://utmb.world/runner/3933535.pengfei.wei,,17.0,14.0,7.0,02:51:14,10274.13,True,f,
2199,Kexin LI,CN,50,H,45-49M,,https://utmb.world/runner/2600159.kexin.li,,18.0,15.0,2.0,02:53:21,10401.75,True,f,
2319,Chaochao NING,CN,29,H,20-34M,,https://utmb.world/runner/3102943.chaochao.ning,,19.0,16.0,8.0,02:55:46,10546.87,True,f,
2363,Rui YANG,CN,20,H,U20 M,,,,20.0,17.0,3.0,02:55:51,10551.61,True,f,
2773,Jiahao XU,CN,25,H,20-34M,,https://utmb.world/runner/3985112.jiahao.xu,,21.0,18.0,9.0,02:56:43,10603.57,True,f,
2616,Beilei HE,CN,42,H,40-44M,,https://utmb.world/runner/4050684.beilei.he,,22.0,19.0,2.0,02:57:35,10655.07,True,f,
3285,Ying GUAN,CN,28,F,20-34W,,,,23.0,4.0,1.0,03:00:32,10832.32,True,f,
3012,Xingchen DENG,CN,41,F,35-39W,,https://utmb.world/runner/4125040.xingchen.deng,,24.0,5.0,3.0,03:00:58,10858.53,True,f,
2162,Bin DONG,CN,44,H,40-44M,,,,25.0,20.0,3.0,03:04:37,11077.99,True,f,
2713,Changxun WEN,CN,34,H,20-34M,,https://utmb.world/runner/3708343.changxun.wen,620.0,26.0,21.0,10.0,03:05:22,11122.61,True,f,
2821,Haonan ZHAO,CN,21,H,U20 M,,,,27.0,22.0,4.0,03:06:19,11179.6,True,f,
2799,Mu QIAO,CN,42,H,40-44M,,,,28.0,23.0,4.0,03:06:20,11180.74,True,f,
2339,Dengfeng JIA,CN,49,H,45-49M,,,,29.0,24.0,3.0,03:07:27,11247.41,True,f,
2481,Tianhuai WANG,CN,21,H,U20 M,,,,30.0,25.0,5.0,03:08:19,11299.79,True,f,
2902,Yanjia ZHAO,CN,37,H,35-39M,,https://utmb.world/runner/2461129.yanjia.zhao,590.0,31.0,26.0,4.0,03:09:59,11399.46,True,f,
2896,Jianle LIN,CN,46,H,40-44M,,https://utmb.world/runner/3203211.jianle.lin,529.0,32.0,27.0,5.0,03:10:00,11400.73,True,f,
3272,Fei LI,CN,30,F,20-34W,,https://utmb.world/runner/2053401.fei.li,542.0,33.0,6.0,2.0,03:10:02,11402.09,True,f,
2185,Jianwei SUN,CN,43,H,40-44M,,,,34.0,28.0,6.0,03:10:05,11405.78,True,f,
2636,Donghai HOU,CN,52,H,50-54M,,https://utmb.world/runner/4050828.donghai.hou,,35.0,29.0,1.0,03:12:17,11537.05,True,f,
2912,Teng HUANG,CN,36,H,20-34M,,https://utmb.world/runner/3428279.teng.huang,490.0,36.0,30.0,11.0,03:12:35,11555.56,True,f,
3221,Chunlai JIANG,CN,53,F,50-54W,,https://utmb.world/runner/1199589.chunlai.jiang,,37.0,7.0,1.0,03:12:49,11569.84,True,f,
2166,Hailong LI,CN,31,H,20-34M,,,,38.0,31.0,12.0,03:14:24,11664.82,True,f,
3368,Menglin LI,CN,44,F,40-44W,,https://utmb.world/runner/920403.menglin.li,524.0,39.0,8.0,1.0,03:16:07,11767.22,True,f,
2690,Mingjie GU,CN,44,H,40-44M,,https://utmb.world/runner/1221003.mingjie.gu,517.0,40.0,32.0,7.0,03:16:25,11785.41,True,f,
2215,Rodrigue HAUWAERTS,BE,18,H,U18 M,,https://utmb.world/runner/5056612.rodrigue.hauwaerts,536.0,41.0,33.0,1.0,03:17:37,11857.86,True,f,
2703,Jie QIU,CN,36,H,20-34M,,https://utmb.world/runner/1605809.jie.qiu,587.0,42.0,34.0,13.0,03:17:38,11858.98,True,f,
2603,Xihua ZHU,CN,44,H,40-44M,,https://utmb.world/runner/4050688.xihua.zhu,,43.0,35.0,8.0,03:18:51,11931.37,True,f,
2766,Lucas DZIADEK,DE,27,H,20-34M,,,,44.0,36.0,14.0,03:19:50,11990.45,True,f,
3102,Qiuyan WANG,CN,40,F,35-39W,,,,45.0,9.0,4.0,03:20:03,12003.51,True,f,
2865,Leonard BRAND,DE,25,H,20-34M,,,,46.0,37.0,15.0,03:20:45,12045.74,True,f,
3174,Junjie WANG,CN,40,F,35-39W,,https://utmb.world/runner/1846457.junjie.wang,,47.0,10.0,5.0,03:21:57,12117.93,True,f,
2521,Yulong SHEN,CN,46,H,40-44M,,https://utmb.world/runner/4032528.yulong.shen,,48.0,38.0,9.0,03:22:47,12167.7,True,f,
2181,Wangqian MA,CN,35,H,20-34M,,https://utmb.world/runner/4050704.wangqian.ma,436.0,49.0,39.0,16.0,03:23:48,12228.7,True,f,
3323,Jue WANG,CN,36,F,20-34W,,,,50.0,11.0,3.0,03:24:43,12283.49,True,f,
2661,Shaojun WANG,CN,33,H,20-34M,,,,51.0,40.0,17.0,03:26:14,12374.95,True,f,
2431,Zhibin WANG,CN,57,H,55-59M,,https://utmb.world/runner/4050294.zhibin.wang,,52.0,41.0,1.0,03:26:30,12390.11,True,f,
2740,Aleksei RODIONOV,RU,125,H,80+ M,,,,53.0,42.0,1.0,03:27:02,12422.08,True,f,
2133,Fei WANG,CN,43,H,40-44M,,,,54.0,43.0,10.0,03:27:30,12450.8,True,f,
2654,Yanhong SHEN,CN,39,H,35-39M,,https://utmb.world/runner/3565467.yanhong.shen,,55.0,44.0,5.0,03:27:36,12456.95,True,f,
2624,Fei YANG,CN,35,H,20-34M,,,,56.0,45.0,18.0,03:27:37,12457.13,True,f,
2241,Haichao WANG,CN,40,H,35-39M,,,,57.0,46.0,6.0,03:27:39,12459.55,True,f,
2710,Runqing LI,CN,50,H,45-49M,,https://utmb.world/runner/4684698.runqing.li,432.0,58.0,47.0,4.0,03:27:44,12464.51,True,f,
2658,Xingmao SUN,CN,41,H,35-39M,,https://utmb.world/runner/4051201.xingmao.sun,,59.0,48.0,7.0,03:27:49,12469.26,True,f,
2640,Zhen JIA,CN,34,H,20-34M,,https://utmb.world/runner/5429666.zhen.jia,363.0,60.0,49.0,19.0,03:28:08,12488.19,True,f,
2236,Mingchuan HOU,CN,41,H,35-39M,,,,61.0,50.0,8.0,03:28:20,12500.64,True,f,
3256,Qi XU,CN,44,F,40-44W,,https://utmb.world/runner/5116752.qi.xu,491.0,62.0,12.0,2.0,03:28:27,12507.45,True,f,
2701,Liqiang GAO,CN,54,H,50-54M,,,,63.0,51.0,2.0,03:29:29,12569.08,True,f,
3220,Xiujuan WU,CN,56,F,50-54W,,,,64.0,13.0,2.0,03:29:57,12597.29,True,f,
3313,Zihan LIU,CN,30,F,20-34W,,https://utmb.world/runner/5248944.zihan.liu,462.0,65.0,14.0,4.0,03:30:16,12616.88,True,f,
2817,Zhe BAI,CN,24,H,20-34M,,,,66.0,52.0,20.0,03:30:49,12649.37,True,f,
2389,Tong SUN,CN,33,H,20-34M,,,,67.0,53.0,21.0,03:32:15,12735.25,True,f,
2611,Yong WANG,CN,44,H,40-44M,,,,68.0,54.0,11.0,03:32:25,12745.95,True,f,
2533,Fei LI,CN,38,H,35-39M,,https://utmb.world/runner/3996167.fei.li,,69.0,55.0,9.0,03:33:14,12794.09,True,f,
2146,Chao WANG,CN,35,H,20-34M,,https://utmb.world/runner/3565429.chao.wang,,70.0,56.0,22.0,03:33:50,12830.98,True,f,
2132,Xiaoming ZHANG,CN,49,H,45-49M,,https://utmb.world/runner/2600389.xiaoming.zhang,,71.0,57.0,5.0,03:34:34,12874.16,True,f,
2475,Qi LIU,CN,34,H,20-34M,,,,72.0,58.0,23.0,03:34:56,12896.43,True,f,
