# Race: 云丘山越野赛 by UTMB® 2023 - MMY
# Distance: 50.7 km
# D+: 2718 m
# D-: 2718 m
# Date: 2023-10-21
# URL: https://live.utmb.world/mountyun/2023
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
5001,Jiasheng SHEN,CN,30,H,20-34M,,https://utmb.world/runner/1536605.jiasheng.shen,909.0,1.0,1.0,1.0,04:28:00,16080.67,True,f,
5002,Tao LUO,CN,27,H,20-34M,,https://utmb.world/runner/544891.tao.luo,882.0,2.0,2.0,2.0,04:29:05,16145.29,True,f,
5003,Huohua ZHANG,CN,27,H,20-34M,,https://utmb.world/runner/3061013.huohua.zhang,868.0,3.0,3.0,3.0,04:35:50,16550.9,True,f,
5034,Ji DUO,CN,33,H,20-34M,,https://utmb.world/runner/1023247.ji.duo,881.0,4.0,4.0,4.0,04:41:47,16907.0,True,f,
5032,Hu ZHAO,CN,32,H,20-34M,,https://utmb.world/runner/3985012.hu.zhao,793.0,5.0,5.0,5.0,04:45:32,17132.65,True,f,
5009,Xingjing LI,CN,34,H,20-34M,,https://utmb.world/runner/1845151.xingjing.li,803.0,6.0,6.0,6.0,04:55:50,17750.01,True,f,
5374,Quan LU,CN,33,H,20-34M,,https://utmb.world/runner/4043942.quan.lu,,7.0,7.0,7.0,05:19:22,19162.99,True,f,
5781,Longfei YAN,CN,37,H,35-39M,,https://utmb.world/runner/480395.longfei.yan,830.0,8.0,8.0,1.0,05:29:28,19768.91,True,f,
5792,Shengli SHI,CN,40,H,35-39M,,https://utmb.world/runner/1023457.shengli.shi,758.0,9.0,9.0,2.0,05:31:52,19912.6,True,f,
5024,Na ZHANG,CN,40,F,35-39W,,https://utmb.world/runner/935495.na.zhangnna,674.0,10.0,1.0,1.0,05:33:19,19999.89,True,f,
5320,Weixu PANG,CN,44,H,40-44M,,https://utmb.world/runner/1780361.pang.weixu,,11.0,10.0,1.0,05:33:46,20026.59,True,f,
5036,Anna LI,CN,32,F,20-34W,,https://utmb.world/runner/4836984.anna.li,668.0,12.0,2.0,1.0,05:38:30,20310.0,True,f,
5014,Song LI,CN,35,H,20-34M,,https://utmb.world/runner/1621953.song.li,742.0,13.0,11.0,8.0,05:48:18,20898.32,True,f,
5383,Shaofang WANG,CN,42,H,40-44M,,,,14.0,12.0,2.0,05:49:49,20989.94,True,f,
5720,Jinlong WANG,CN,37,H,35-39M,,https://utmb.world/runner/2286045.jinlong.wang,,15.0,13.0,3.0,05:58:48,21528.84,True,f,
