# Race: 云丘山越野赛 by UTMB® 2024 - DMY
# Distance: 96.8 km
# D+: 4356 m
# D-: 4356 m
# Date: 2024-04-19
# URL: https://live.utmb.world/mountyun/2024
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
1001,Ji DUO,CN,33,H,20-34M,,https://utmb.world/runner/1023247.ji.duo,889.0,1.0,1.0,1.0,09:36:05,34565,True,f,
1015,ZHAO Hu,CN,32,H,20-34M,,https://utmb.world/runner/3985012.hu.zhao,816.0,2.0,2.0,2.0,09:47:07,35227,True,f,
1024,Jiasheng SHEN,CN,30,H,20-34M,,https://utmb.world/runner/1536605.jiasheng.shen,906.0,3.0,3.0,3.0,09:59:37,35977,True,f,
1005,Mengkai BATE,CN,39,H,35-39M,,https://utmb.world/runner/989967.mengkai.bate,848.0,4.0,4.0,1.0,10:09:24,36564,True,f,
1017,Jie ZHANG,CN,31,H,20-34M,,https://utmb.world/runner/1981677.jie.zhang,766.0,5.0,5.0,4.0,11:33:22,41602,True,f,
1018,Linhu LI,CN,36,H,35-39M,,https://utmb.world/runner/776757.linhu.li,751.0,6.0,6.0,2.0,11:47:07,42427,True,f,
1009,Anna LI,CN,32,F,20-34W,,https://utmb.world/runner/4836984.anna.li,706.0,7.0,1.0,1.0,11:53:08,42788,True,f,
1010,Wenrong ZHENG,CN,37,F,35-39W,,https://utmb.world/runner/879489.wenrong.zheng,679.0,8.0,2.0,1.0,12:03:02,43382,True,f,
1012,Liping WANG,CN,36,F,35-39W,,https://utmb.world/runner/3445811.liping.wang,637.0,9.0,3.0,2.0,12:12:46,43966,True,f,
1101,Faxing PANG,CN,36,H,35-39M,,https://utmb.world/runner/2604349.faxing.pang,696.0,10.0,7.0,3.0,12:51:48,46308,True,f,
1636,Zongxue FANG,CN,27,H,20-34M,,https://utmb.world/runner/5948322.zongxue.fang,658.0,11.0,8.0,5.0,13:06:57,47217,True,f,
1110,Kaishan LI,CN,40,H,35-39M,,https://utmb.world/runner/3155535.kaishan.li,561.0,12.0,9.0,4.0,13:28:41,48521,True,f,
1111,Weixin HOU,CN,30,H,20-34M,,https://utmb.world/runner/5097536.weixin.hou,560.0,13.0,10.0,6.0,13:42:45,49365,True,f,
1543,Shuhong ZHANG,CN,41,H,40-44M,,https://utmb.world/runner/1084627.shuhong.zhang,,14.0,11.0,1.0,14:03:13,50593,True,f,
1104,Yanbin LIU,CN,46,H,45-49M,,https://utmb.world/runner/3166937.yanbin.liu,601.0,15.0,12.0,1.0,14:19:58,51598,True,f,
1022,Aili WANG,CN,34,F,20-34W,,https://utmb.world/runner/5973833.aili.wang,,16.0,4.0,2.0,14:39:56,52796,True,f,
1246,Fanyuan KONG,CN,36,H,35-39M,,https://utmb.world/runner/1367013.fanyuan.kong,427.0,17.0,13.0,5.0,14:43:52,53032,True,f,
1103,Hangbing WANG,CN,48,H,45-49M,,https://utmb.world/runner/678939.hangbing.wang,617.0,18.0,14.0,2.0,14:43:53,53033,True,f,
1599,Kui ZHANG,CN,46,H,45-49M,,https://utmb.world/runner/1537385.kui.zhang,630.0,19.0,15.0,3.0,14:48:03,53283,True,f,
1179,Peng CHENG,CN,41,H,40-44M,,https://utmb.world/runner/1973101.peng.cheng,477.0,20.0,16.0,2.0,14:49:45,53385,True,f,
1632,Yanhong YE,CN,32,H,20-34M,,https://utmb.world/runner/6056374.yanhong.ye,,21.0,17.0,7.0,14:51:01,53461,True,f,
1016,Aman NURKELDI,KZ,32,H,20-34M,,https://utmb.world/runner/4898980.aman.nurkeldi,794.0,23.0,18.0,8.0,14:53:43,53623,True,f,
1455,Jiangtao LI,CN,40,H,35-39M,,https://utmb.world/runner/5838381.jiangtao.li,,24.0,19.0,6.0,14:55:28,53728,True,f,
1576,Anyang XUE,CN,50,H,45-49M,,https://utmb.world/runner/3565427.anyang.xue,,25.0,20.0,4.0,14:56:42,53802,True,f,
1108,Xu CHANG,CN,43,H,40-44M,,https://utmb.world/runner/5232576.xu.chang,566.0,26.0,21.0,3.0,15:00:25,54025,True,f,
1125,Shucheng LIU,CN,30,H,20-34M,,https://utmb.world/runner/5051631.shucheng.liu,537.0,27.0,22.0,9.0,15:01:56,54116,True,f,
1156,Jiasheng YAN,CN,40,H,35-39M,,https://utmb.world/runner/5097566.jiasheng.yan,498.0,28.0,23.0,7.0,15:05:54,54354,True,f,
1515,Xingzhong PANG,CN,41,H,40-44M,,https://utmb.world/runner/3526937.xingzhong.pang,474.0,29.0,24.0,4.0,15:09:13,54553,True,f,
1135,Shouji ZHANG,CN,35,H,20-34M,,https://utmb.world/runner/5621540.shouji.zhang,521.0,30.0,25.0,10.0,15:13:57,54837,True,f,
1194,Li ZHANG,CN,37,H,35-39M,,https://utmb.world/runner/715710.li.zhang,466.0,31.0,26.0,8.0,15:14:10,54850,True,f,
1853,Guohui LI,CN,41,F,40-44W,,https://utmb.world/runner/1813119.guohui.li,,32.0,6.0,1.0,15:14:58,54898,True,f,
1193,Jinbin ZHANG,CN,47,H,45-49M,,https://utmb.world/runner/2049393.jinbin.zhang,467.0,33.0,27.0,5.0,15:15:00,54900,True,f,
1122,Yi PAN,CN,40,H,35-39M,,https://utmb.world/runner/1148431.yi.pan,543.0,34.0,28.0,9.0,15:15:06,54906,True,f,
1126,YIN Song,CN,41,H,40-44M,,https://utmb.world/runner/5621538.song.yin,536.0,35.0,29.0,5.0,15:15:28,54928,True,f,
1216,Qingwu ZENG,CN,38,H,35-39M,,https://utmb.world/runner/3705745.qingwu.zeng,445.0,36.0,30.0,10.0,15:17:16,55036,True,f,
1226,Hui LIU,CN,25,H,20-34M,,https://utmb.world/runner/5621624.hui.liu,436.0,37.0,31.0,11.0,15:24:20,55460,True,f,
1638,Chengting LI,CN,54,H,50-54M,,https://utmb.world/runner/1817737.chengting.li,,38.0,32.0,1.0,15:24:27,55467,True,f,
1714,Aiqun LI,CN,54,F,50-54W,,https://utmb.world/runner/3601953.aiqun.li,498.0,39.0,7.0,1.0,15:25:05,55505,True,f,
1192,Gang ZHOU,CN,39,H,35-39M,,https://utmb.world/runner/5621584.gang.zhou,467.0,40.0,33.0,11.0,15:25:30,55530,True,f,
1196,YANG Junli,CN,38,H,35-39M,,https://utmb.world/runner/2536461.yang.junli,464.0,41.0,34.0,12.0,15:25:45,55545,True,f,
1629,Yanbin NIU,CN,27,H,20-34M,,https://utmb.world/runner/5973891.yanbin.niu,,42.0,35.0,12.0,15:26:08,55568,True,f,
1539,Kui LI,CN,38,H,35-39M,,https://utmb.world/runner/4010735.kui.li,,43.0,36.0,13.0,15:26:20,55580,True,f,
1112,Mingjie GU,CN,44,H,40-44M,,https://utmb.world/runner/1221003.mingjie.gu,560.0,44.0,37.0,6.0,15:27:46,55666,True,f,
1153,Heyong LI,CN,45,H,40-44M,,https://utmb.world/runner/4156156.heyong.li,503.0,45.0,38.0,7.0,15:33:22,56002,True,f,
1470,Long XU,CN,35,H,20-34M,,https://utmb.world/runner/5838711.long.xu,,46.0,39.0,13.0,15:33:35,56015,True,f,
1197,Hang ZHOU,CN,30,H,20-34M,,https://utmb.world/runner/4114559.hang.zhou,461.0,47.0,40.0,14.0,15:36:28,56188,True,f,
1579,Cui WEI,CN,46,H,45-49M,,https://utmb.world/runner/5841437.cui.wei,,48.0,41.0,6.0,15:38:09,56289,True,f,
1124,Peng ZHAO,CN,35,H,20-34M,,https://utmb.world/runner/3994970.peng.zhao,542.0,49.0,42.0,15.0,15:40:26,56426,True,f,
1614,Haibo PU,CN,43,H,40-44M,,https://utmb.world/runner/5967803.haibo.pu,,50.0,43.0,8.0,15:44:55,56695,True,f,
1166,Yachuan CHEN,CN,35,H,20-34M,,https://utmb.world/runner/5375104.yachuan.chen,489.0,51.0,44.0,16.0,15:50:50,57050,True,f,
1219,Xing LÜ,CN,47,H,45-49M,,https://utmb.world/runner/4064660.xing.lu,444.0,52.0,45.0,7.0,15:53:18,57198,True,f,
1137,Zhijian ZHU,CN,42,H,40-44M,,https://utmb.world/runner/5012497.zhijian.zhu,516.0,53.0,46.0,9.0,15:53:58,57238,True,f,
1715,Chunyan HUANG,CN,44,F,40-44W,,https://utmb.world/runner/3393369.chunyan.huang,495.0,54.0,8.0,2.0,15:58:30,57510,True,f,
1190,Xi DAI,CN,42,H,40-44M,,https://utmb.world/runner/1438821.xi.dai,461.0,55.0,47.0,10.0,16:03:50,57830,True,f,
1701,Yuen Ting IP,HK,37,F,35-39W,,https://utmb.world/runner/4858772.yuenting.ip,576.0,56.0,9.0,4.0,16:04:08,57848,True,f,
1175,Wei ZHENG,CN,35,H,20-34M,,https://utmb.world/runner/4926204.wei.zheng,486.0,57.0,48.0,17.0,16:05:16,57916,True,f,
