# Race: 云丘山越野赛 by UTMB® 2024 - UMY
# Distance: 143.7 km
# D+: 7505 m
# D-: 7505 m
# Date: 2024-04-19
# URL: https://live.utmb.world/mountyun/2024
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
1,Jiaju ZHAO,CN,30,H,20-34M,,https://utmb.world/runner/1845145.jiaju.zhao,886.0,1.0,1.0,1.0,17:05:57,61557.0,True,f,
2,Jiqian WANG,CN,37,H,35-39M,,https://utmb.world/runner/1210767.jiqian.wang,804.0,2.0,2.0,1.0,17:39:28,63568.0,True,f,
447,Weiqiang ZHANG,CN,41,H,40-44M,,https://utmb.world/runner/2484445.weiqiang.zhang,713.0,3.0,3.0,1.0,19:15:32,69332.0,True,f,
12,Dong HE,CN,27,H,20-34M,,https://utmb.world/runner/3457295.dong.he,781.0,4.0,4.0,2.0,20:12:04,72724.0,True,f,
9,Xingzhi BAI,CN,39,H,35-39M,,https://utmb.world/runner/1225025.xingzhi.bai,791.0,5.0,5.0,2.0,20:24:52,73492.0,True,f,
101,Lei GE,CN,34,H,20-34M,,https://utmb.world/runner/1973339.lei.ge,711.0,6.0,6.0,3.0,20:54:34,75274.0,True,f,
110,XINGMAO GUO,CN,41,H,40-44M,,https://utmb.world/runner/4022562.xingmao.guo,612.0,7.0,7.0,2.0,21:33:17,77597.0,True,f,
103,Kang WANG,CN,30,H,20-34M,,https://utmb.world/runner/3594915.kang.wang,676.0,8.0,8.0,4.0,22:02:29,79349.0,True,f,
104,Lu GUO,CN,51,H,50-54M,,https://utmb.world/runner/3779729.lu.guo,635.0,9.0,9.0,1.0,22:44:15,81855.0,True,f,
3,Wenfei XIE,CN,43,F,40-44W,,https://utmb.world/runner/982721.wenfei.xie,692.0,10.0,1.0,1.0,23:03:50,83030.0,True,f,
105,Brad HYMAN,ZA,38,H,35-39M,,https://utmb.world/runner/1314567.brad.hyman,634.0,11.0,10.0,3.0,23:08:37,83317.0,True,f,
5,Ronghua DENG,CN,39,F,35-39W,,https://utmb.world/runner/2396105.ronghua.deng,654.0,12.0,2.0,1.0,23:44:24,85464.0,True,f,
112,Jian LI,CN,38,H,35-39M,,https://utmb.world/runner/3754061.jian.li,588.0,13.0,11.0,4.0,24:08:03,86883.0,True,f,
660,XIAOXIA YANG,CN,37,F,35-39W,,https://utmb.world/runner/4021702.xiaoxia.yang,579.0,14.0,3.0,2.0,24:08:22,86902.0,True,f,
398,Yuan WANG,CN,44,H,40-44M,,https://utmb.world/runner/876709.yuan.wang,,15.0,12.0,3.0,24:36:53,88613.0,True,f,
362,Chao MA,CN,33,H,20-34M,,https://utmb.world/runner/2091249.chao.ma,,16.0,13.0,5.0,24:55:09,89709.0,True,f,
116,Xinbin XU,CN,31,H,20-34M,,https://utmb.world/runner/4156173.xinbin.xu,573.0,17.0,14.0,6.0,25:18:40,91120.0,True,f,
460,Xiao-Bo YANG,CN,43,H,40-44M,,https://utmb.world/runner/404879.xiaobo.yang,627.0,18.0,15.0,4.0,25:18:41,91121.0,True,f,
222,Haishan MAO,CN,36,H,35-39M,,https://utmb.world/runner/689438.haishan.mao,450.0,19.0,16.0,5.0,25:28:03,91683.0,True,f,
123,Yongcheng PENG,CN,33,H,20-34M,,https://utmb.world/runner/830952.yongcheng.peng,564.0,20.0,17.0,7.0,26:02:40,93760.0,True,f,
153,Wei WANG,CN,31,H,20-34M,,https://utmb.world/runner/5622174.wei.wang,516.0,21.0,18.0,8.0,26:14:55,94495.0,True,f,
601,Tenghe ZHAO,CN,28,F,20-34W,,https://utmb.world/runner/5428610.tenghe.zhao,603.0,22.0,4.0,1.0,26:14:57,94497.0,True,f,
602,Haiyan GU,CN,46,F,45-49W,,https://utmb.world/runner/724225.haiyan.gu,598.0,23.0,5.0,1.0,26:23:53,95033.0,True,f,
444,Yonghui CHEN,CN,36,H,35-39M,,https://utmb.world/runner/4146409.yonghui.chen,533.0,24.0,19.0,6.0,26:26:36,95196.0,True,f,
117,Zhicheng ZHOU,CN,47,H,45-49M,,https://utmb.world/runner/4097163.zhicheng.zhou,572.0,25.0,20.0,1.0,26:48:07,96487.0,True,f,
257,Hai YUAN,CN,50,H,45-49M,,https://utmb.world/runner/5622190.hai.yuan,424.0,26.0,21.0,2.0,26:48:26,96506.0,True,f,
607,Shimei PENG,CN,34,F,20-34W,,https://utmb.world/runner/3664521.shimei.peng,542.0,27.0,6.0,2.0,26:56:25,96985.0,True,f,
462,Yanchun CHENG,CN,46,H,45-49M,,https://utmb.world/runner/4097592.yanchun.cheng,,28.0,22.0,3.0,27:00:13,97213.0,True,f,
376,ZHUANGLIANG ZHANG,CN,42,H,40-44M,,https://utmb.world/runner/1924369.zhuangliang.zhang,536.0,29.0,23.0,5.0,27:04:25,97465.0,True,f,
179,Hua LIANG,CN,44,H,40-44M,,https://utmb.world/runner/1127155.liang.hua,533.0,30.0,24.0,6.0,27:09:41,97781.0,True,f,
111,Bao SHI,CN,38,H,35-39M,,https://utmb.world/runner/2251319.bao.shi,599.0,31.0,25.0,7.0,27:24:50,98690.0,True,f,
115,Jia ZHU,CN,42,H,40-44M,,https://utmb.world/runner/4033764.jia.zhu,576.0,32.0,26.0,7.0,27:25:02,98702.0,True,f,
139,Shijian YE,CN,44,H,40-44M,,https://utmb.world/runner/1623001.shijian.ye,537.0,33.0,27.0,8.0,27:32:03,99123.0,True,f,
132,Xiaohua WANG,CN,50,H,45-49M,,https://utmb.world/runner/920373.xiaohua.wang,547.0,34.0,28.0,4.0,27:32:09,99129.0,True,f,
451,Zhenxiao YU,CN,41,H,40-44M,,https://utmb.world/runner/4146363.zhenxiao.yu,,35.0,29.0,9.0,27:55:31,100531.0,True,f,
275,Cong ZHANG,CN,36,H,35-39M,,https://utmb.world/runner/5427432.cong.zhang,403.0,36.0,30.0,8.0,27:58:37,100717.0,True,f,
675,Hang LE THI,VN,39,F,35-39W,,https://utmb.world/runner/5967729.hang.lethi,,37.0,7.0,3.0,27:59:14,100754.0,True,f,
384,Lei ZHANG,CN,46,H,45-49M,,https://utmb.world/runner/1351445.lei.zhang,,38.0,31.0,5.0,28:02:42,100962.0,True,f,
114,Jilong ZHANG,CN,43,H,40-44M,,https://utmb.world/runner/4102260.jilong.zhang,577.0,39.0,32.0,10.0,28:03:28,101008.0,True,f,
459,Jianping WANG,CN,55,H,50-54M,,https://utmb.world/runner/2448621.jianping.wang,576.0,40.0,33.0,2.0,28:04:50,101090.0,True,f,
106,Zhou SONG,CN,38,H,35-39M,,https://utmb.world/runner/3597335.zhou.song,627.0,41.0,34.0,9.0,28:09:21,101361.0,True,f,
142,Lei HAN,CN,33,H,20-34M,,https://utmb.world/runner/1663035.lei.han,525.0,42.0,35.0,9.0,28:19:21,101961.0,True,f,
127,Zhigang TIAN,CN,49,H,45-49M,,https://utmb.world/runner/3580639.zhigang.tian,554.0,43.0,36.0,6.0,28:22:34,102154.0,True,f,
138,Chuanliang JI,CN,36,H,35-39M,,https://utmb.world/runner/3793355.chuanliang.ji,539.0,44.0,37.0,10.0,28:42:07,103327.0,True,f,
604,Xiaojing MO,MO,41,F,40-44W,,https://utmb.world/runner/5008807.xiaojing.mo,574.0,45.0,8.0,2.0,28:50:28,103828.0,True,f,
121,Jun LI,CN,39,H,35-39M,,https://utmb.world/runner/3555559.jun.li,567.0,46.0,38.0,11.0,28:54:47,104087.0,True,f,
134,Qirui LI,CN,35,H,20-34M,,https://utmb.world/runner/2485299.qirui.li,544.0,47.0,39.0,10.0,28:55:03,104103.0,True,f,
133,Yangshu OU,CN,45,H,40-44M,,https://utmb.world/runner/1901865.yangshu.ou,544.0,48.0,40.0,11.0,28:56:04,104164.0,True,f,
129,Liantao LV,CN,37,H,35-39M,,https://utmb.world/runner/5118606.liantao.lv,550.0,49.0,41.0,12.0,29:01:46,104506.0,True,f,
416,Jinwei BI,CN,40,H,35-39M,,https://utmb.world/runner/1084243.jinwei.bi,530.0,50.0,42.0,13.0,29:07:40,104860.0,True,f,
259,Jiaqi LU,CN,38,H,35-39M,,https://utmb.world/runner/4092194.jiaqi.lu,421.0,51.0,43.0,14.0,29:21:47,105707.0,True,f,
258,Chuan XU,CN,36,H,35-39M,,https://utmb.world/runner/2195491.chuan.xu,423.0,52.0,44.0,15.0,29:24:36,105876.0,True,f,
381,Lin YE,CN,47,H,45-49M,,https://utmb.world/runner/1924393.lin.ye,,53.0,45.0,7.0,29:24:53,105893.0,True,f,
157,Huai Chien LIU,CN,33,H,20-34M,,https://utmb.world/runner/2004929.huaichien.liu,512.0,54.0,46.0,11.0,29:37:11,106631.0,True,f,
159,Wei XU,CN,45,H,40-44M,,https://utmb.world/runner/4684408.wei.xu,508.0,55.0,47.0,12.0,29:39:36,106776.0,True,f,
