# Race: 云丘山越野赛 by UTMB® 2025 - EMY
# Distance: 21.5 km
# D+: 1397 m
# D-: 1397 m
# Date: 2025-04-19
# URL: https://live.utmb.world/mountyun/2025
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
2001,Jiasheng SHEN,CN,30,H,20-34M,,https://utmb.world/runner/1536605.jiasheng.shen,899.0,1.0,1.0,1.0,01:59:51,7191.42,True,f,
2100,Lei CHEN,CN,36,H,35-39M,,https://utmb.world/runner/2600155.lei.chen,649.0,2.0,2.0,1.0,02:32:22,9142.91,True,f,
2371,Yongtian WANG,CN,30,H,20-34M,,https://utmb.world/runner/5870688.yongtian.wang,,3.0,3.0,2.0,02:38:43,9523.06,True,f,
2681,Jianguo LI,CN,43,H,40-44M,,https://utmb.world/runner/7045913.jianguo.li,,4.0,4.0,1.0,02:40:09,9609.28,True,f,
2105,Bowen LIU,CN,33,H,20-34M,,https://utmb.world/runner/6532475.bowen.liu,574.0,5.0,5.0,3.0,02:41:26,9686.16,True,f,
2429,Heng ZHAO,CN,41,H,40-44M,,https://utmb.world/runner/2091105.heng.zhao,,6.0,6.0,2.0,02:44:35,9875.25,True,f,
2108,Shuaiguang QIAO,CN,33,H,20-34M,,https://utmb.world/runner/6538805.shuaiguang.qiao,545.0,7.0,7.0,4.0,02:53:02,10382.71,True,f,
2106,Lei LV,CN,37,H,35-39M,,https://utmb.world/runner/5840243.lei.lu,556.0,8.0,8.0,2.0,02:54:37,10477.61,True,f,
2104,Kexin LI,CN,50,H,50-54M,,https://utmb.world/runner/2600159.kexin.li,578.0,9.0,9.0,1.0,03:03:41,11021.93,True,f,
2114,Biaobiao ZHENG,CN,41,H,40-44M,,https://utmb.world/runner/2600165.biaobiao.zheng,512.0,10.0,10.0,3.0,03:04:27,11067.9,True,f,
2110,Yu WANG,CN,38,H,35-39M,,https://utmb.world/runner/3659007.yu.wang,527.0,11.0,11.0,3.0,03:05:51,11151.97,True,f,
2117,Xiping QU,CN,40,H,40-44M,,https://utmb.world/runner/5838999.xiping.qu,474.0,12.0,12.0,4.0,03:08:04,11284.99,True,f,
2116,Ziguang YAN,CN,37,H,35-39M,,https://utmb.world/runner/5403657.ziguang.yan,503.0,13.0,13.0,4.0,03:08:36,11316.11,True,f,
2111,Jianwei SUN,CN,43,H,40-44M,,https://utmb.world/runner/5619958.jianwei.sun,528.0,14.0,14.0,5.0,03:16:38,11798.53,True,f,
2109,Anyang XUE,CN,50,H,50-54M,,https://utmb.world/runner/3565427.anyang.xue,539.0,14.0,14.0,2.0,03:16:38,11798.11,True,f,
2107,Wei WANG,CN,31,H,20-34M,,https://utmb.world/runner/5622174.wei.wang,550.0,16.0,16.0,5.0,03:21:50,12110.5,True,f,
2716,Jing WANG,CN,34,F,20-34W,,https://utmb.world/runner/4050735.jing.wang,,17.0,1.0,1.0,03:23:16,12196.99,True,f,
2123,Bingming ZHAO,CN,45,H,45-49M,,https://utmb.world/runner/5116856.bingming.zhao,461.0,18.0,17.0,1.0,03:23:49,12229.99,True,f,
2767,Jianwei JIANG,CN,50,H,50-54M,,https://utmb.world/runner/7150561.jianwei.jiang,,19.0,18.0,3.0,03:25:10,12310.92,True,f,
2151,Xufeng LI,CN,45,H,45-49M,,https://utmb.world/runner/5620130.xufeng.li,408.0,20.0,19.0,2.0,03:25:47,12347.95,True,f,
2118,Yanxiao WANG,CN,41,F,40-44W,,https://utmb.world/runner/1351451.yanxiao.wang,473.0,21.0,2.0,1.0,03:26:43,12403.84,True,f,
2113,Lei ZHANG,CN,36,H,35-39M,,https://utmb.world/runner/3052619.lei.zhang,517.0,22.0,20.0,5.0,03:34:47,12887.26,True,f,
2779,Yitao ZHAO,CN,22,H,20-34M,,https://utmb.world/runner/7150581.yitao.zhao,,23.0,21.0,6.0,03:35:26,12926.45,True,f,
2119,Chunsheng CHEN,CN,47,H,45-49M,,https://utmb.world/runner/5117206.chunsheng.chen,467.0,24.0,22.0,3.0,03:36:08,12968.3,True,f,
2768,Ruibiao LIU,CN,19,H,18-19M,,https://utmb.world/runner/7150563.ruibiao.liu,,24.0,22.0,1.0,03:36:08,12968.12,True,f,
2141,Saisai QIAO,CN,35,H,35-39M,,https://utmb.world/runner/5620094.saisai.qiao,418.0,26.0,24.0,6.0,03:36:27,12987.29,True,f,
2239,Xianghong LI,CN,38,F,35-39W,,https://utmb.world/runner/6821262.xianghong.li,311.0,27.0,3.0,1.0,03:36:40,13000.5,True,f,
2908,Tailei NAN,CN,36,H,35-39M,,https://utmb.world/runner/6533263.tailei.nan,373.0,28.0,25.0,7.0,03:36:56,13016.34,True,f,
2138,Guoqiang YANG,CN,39,H,35-39M,,https://utmb.world/runner/5620058.guoqiang.yang,428.0,29.0,26.0,8.0,03:39:19,13159.52,True,f,
2112,Gang ZHOU,CN,39,H,35-39M,,https://utmb.world/runner/5621584.gang.zhou,523.0,30.0,27.0,9.0,03:39:48,13188.61,True,f,
2115,Xihua ZHU,CN,44,H,40-44M,,https://utmb.world/runner/4050688.xihua.zhu,505.0,31.0,28.0,6.0,03:39:59,13199.64,True,f,
