# Race: mozart 100 by UTMB® 2024 - mozart Light
# Distance: 31 km
# D+: 1300 m
# D-: 1300 m
# Date: 2024-06-01
# URL: https://live.utmb.world/mozart100/2024
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
3004,Lukas SCHAIDREITER,AT,27,H,20-34M,,https://utmb.world/runner/4460802.lukas.schaidreiter,714.0,1.0,1.0,1.0,02:51:30,10290.441,True,f,
3291,Benjamin RIVIERE,FR,26,H,20-34M,,https://utmb.world/runner/5778491.benjamin.riviere,,2.0,2.0,2.0,02:51:39,10299.112,True,f,
3347,Bartosz GRZEGORCZYK,PL,50,H,45-49M,,https://utmb.world/runner/2149925.bartosz.grzegorczyk,,3.0,3.0,1.0,03:06:31,11191.5,True,f,
3009,Lukas KROISS,DE,30,H,20-34M,,https://utmb.world/runner/4002601.lukas.kroiss,648.0,4.0,4.0,3.0,03:08:06,11285.682,True,f,
3008,Magdalena BEDNARCZYK,PL,34,F,20-34W,WKS Olesniczanka Olesnica,https://utmb.world/runner/3984611.magdalena.bednarczyk,658.0,5.0,1.0,1.0,03:08:09,11288.863,True,f,
3014,Matthias FUGGER,AT,34,H,20-34M,xc-ski.de A|N skimarathon team,https://utmb.world/runner/5504571.matthias.fugger,613.0,6.0,5.0,4.0,03:08:10,11289.224,True,f,
3003,Carlos Antonio LOPEZ RODRIGUEZ,ES,40,H,35-39M,C.D. RIQUEZA NATURAL,https://utmb.world/runner/534113.carlosantonio.lopezrodriguez,723.0,7.0,6.0,1.0,03:09:02,11342.514,True,f,
3010,Justin PAGE,GB,47,H,45-49M,,https://utmb.world/runner/3985319.justin.page,636.0,8.0,7.0,2.0,03:13:27,11607.4,True,f,
3007,Cornelius WEBER,DE,28,H,20-34M,ALTRA/SC DHfK Leipzig/TSG Glauchau Tri,https://utmb.world/runner/4174599.cornelius.weber,676.0,9.0,8.0,5.0,03:14:47,11687.403,True,f,
3011,Bartosz PODKAŃSKI,PL,44,H,40-44M,GOPR Karkonosze,https://utmb.world/runner/4298117.bartosz.podkanski,623.0,10.0,9.0,1.0,03:21:44,12104.272,True,f,
3344,Manuel MASKE,DE,33,H,20-34M,ASV Piding,https://utmb.world/runner/5988141.manuel.maske,,11.0,10.0,6.0,03:25:55,12355.21,True,f,
3256,Jarek GĄSIOROWSKI,PL,32,H,20-34M,Added Value Nieruchomości,https://utmb.world/runner/4263574.jaroslaw.gasiorowski,588.0,12.0,11.0,7.0,03:26:59,12418.616,True,f,
3384,Karl FELNHOFER,AT,62,H,60-64M,Ulc Transfer St.veit,https://utmb.world/runner/5987693.karl.felnhofer,,13.0,12.0,1.0,03:27:03,12423.332,True,f,
3017,Carlos PALOMO,ES,34,H,20-34M,,https://utmb.world/runner/5305238.carlos.palomo,577.0,14.0,13.0,8.0,03:28:19,12499.054,True,f,
3006,Marta LIPNICKA,PL,39,F,35-39W,UltraKotlina,https://utmb.world/runner/1154817.marta.lipnicka,676.0,15.0,2.0,1.0,03:30:19,12619.338,True,f,
3015,Benjamin SANDERSON,US,22,H,20-34M,Mountain Goat,https://utmb.world/runner/5315406.benjamin.sanderson,605.0,16.0,14.0,9.0,03:37:53,13073.179,True,f,
3370,Katherine SANDERSON,US,21,F,20-34W,Mountain Goat,https://utmb.world/runner/4593498.katherine.sanderson,,17.0,3.0,2.0,03:38:35,13114.57,True,f,
3233,Jan PEROUTKA,CZ,49,H,45-49M,SWSL,https://utmb.world/runner/5590807.jan.peroutka,,18.0,15.0,3.0,03:38:46,13125.419,True,f,
3044,Felix GUILLOT,DE,46,H,45-49M,ESI Crew,https://utmb.world/runner/5988083.felix.guillot,504.0,19.0,16.0,4.0,03:39:26,13166.45,True,f,
3280,Sebastian MAYRHOFER,AT,24,H,20-34M,Swimbikerun Enns,https://utmb.world/runner/5743829.sebastian.mayrhofer,,20.0,17.0,10.0,03:41:09,13268.838,True,f,
3013,Tarek SIDDIQUI,DE,53,H,50-54M,Austrian Airlines,https://utmb.world/runner/141553.tarek.siddiqui,618.0,21.0,18.0,1.0,03:41:48,13307.742,True,f,
