# Race: Matterhorn Ultraks Trail 2023 - << EXTREME >>
# Distance: 25 km
# D+: 2876 m
# D-: 2876 m
# Date: N/A
# URL: https://live.utmb.world/mut/2023
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
5059,Manuel MERILLAS,ES,34,H,M30,Landa/Scarpa/Oquendo ,https://utmb.world/runner/124391.manuel.merillas,923.0,1.0,1.0,1.0,03:19:16,11956.59,True,f,
5002,William BOFFELLI,IT,32,H,M30,Under Up Ski Team,https://utmb.world/runner/3751057.william.boffelli,898.0,2.0,2.0,2.0,03:20:49,12049.58,True,f,
5014,Frédéric TRANCHAND,FR,37,H,M30,SCOTT RUNNING,https://utmb.world/runner/4040794.frederic.tranchand,907.0,3.0,3.0,3.0,03:27:16,12436.51,True,f,
5001,Daniel ANTONIOLI,IT,43,H,M40,Team SCARPA - KARPOS,https://utmb.world/runner/145345.daniel.antonioli,877.0,4.0,4.0,1.0,03:32:19,12739.48,True,f,
5298,Cristian MINOGGIO,IT,45,H,M40,,,,5.0,5.0,2.0,03:32:50,12770.98,True,f,
5297,Zaid AIT MALEK OULKIS,ES,41,H,M30,Grupo Alpino benalmadena ,https://utmb.world/runner/160686.zaid.aitmalekoulkis,889.0,6.0,6.0,4.0,03:34:12,12852.91,True,f,
5026,Gianluca GHIANO,IT,25,H,M1,Brooks Trail Runners ,https://utmb.world/runner/2073279.gianluca.ghiano,872.0,7.0,7.0,1.0,03:34:36,12876.0,True,f,
5284,Luca DEL PERO,IT,28,H,M1,Team Scarpa,https://utmb.world/runner/3079761.luca.delpero,892.0,8.0,8.0,2.0,03:37:54,13074.0,True,f,
5025,Roberto DELORENZI,CH,28,H,M1,USC Capriaschese /Brooks Trail Runners,https://utmb.world/runner/714354.roberto.delorenzi,898.0,9.0,9.0,3.0,03:39:05,13145.18,True,f,
5005,Jackson COLE,NZ,30,H,M1,La Sportiva North America,https://utmb.world/runner/1707483.jackson.cole,812.0,10.0,10.0,4.0,03:39:17,13157.17,True,f,
5015,Pere  AURELL BOVÉ ,ES,42,H,M40,Merrell,https://utmb.world/runner/13632.pere.aurell,878.0,11.0,11.0,3.0,03:39:38,13178.0,True,f,
5009,Masato KAMISHOHARA ,JP,28,H,M1,Salomon japan,https://utmb.world/runner/2208059.masato.kamishohara,793.0,12.0,12.0,5.0,03:47:44,13664.86,True,f,
5028,Nicolas MOLINA ,ES,25,H,M1,La Sportiva ,https://utmb.world/runner/1765453.nicolas.molina,862.0,13.0,13.0,6.0,03:48:50,13730.57,True,f,
5044,Lorenzo BELTRAMI,IT,30,H,M1,TEAM Rockexperience/ scarpa,https://utmb.world/runner/2396325.lorenzo.beltrami,856.0,14.0,14.0,7.0,03:50:43,13843.82,True,f,
5027,Lucas  DUPUY,FR,29,H,M1,Dynafit,https://utmb.world/runner/435561.lucas.dupuy,823.0,15.0,15.0,8.0,03:52:23,13943.53,True,f,
5013,Pol RODRIGUEZ,ES,38,H,M30,Lactic - Salomon,https://utmb.world/runner/986831.pol.rodriguezisalvador,838.0,16.0,16.0,5.0,03:56:50,14210.27,True,f,
5045,Luka KOVACIC,SI,30,H,M1,SLOVENIA NATIONAL TEAM,https://utmb.world/runner/972239.luka.kovacic,861.0,17.0,17.0,9.0,03:58:11,14291.35,True,f,
5006,Aitor ZUNZUNEGI TAPIA,ES,25,H,M1,Euskal Selekzioa ,https://utmb.world/runner/4254317.aitor.zunzunegitapia,785.0,18.0,18.0,10.0,04:01:08,14468.5,True,f,
5029,Titouan GALLAND,FR,25,H,M1,Team merrell Provence endurance ,https://utmb.world/runner/2423467.titouan.galland,831.0,19.0,19.0,11.0,04:10:07,15007.68,True,f,
5034,Anastasia RUBTSOVA,RU,33,F,W30,,https://utmb.world/runner/4223387.anastasia.rubtsova,707.0,20.0,1.0,1.0,04:10:33,15033.27,True,f,
5278,Ari-Pekka JOENSUU,FI,35,H,M30,Paimion rasti ,https://utmb.world/runner/2041411.aripekka.joensuu,715.0,21.0,20.0,6.0,04:11:19,15079.41,True,f,
5286,Roman EVARTS,LV,43,H,M40,,https://utmb.world/runner/394036.romans.evarts,720.0,22.0,21.0,4.0,04:16:18,15378.87,True,f,
5041,Simon KEARNS,US,25,H,M1,,https://utmb.world/runner/500315.simon.kearns,,23.0,22.0,12.0,04:16:36,15396.12,True,f,
5294,Maria CHRISTEN,CH,28,F,W1,SCOTT RUNNING,https://utmb.world/runner/3999891.maria.christen,716.0,24.0,2.0,1.0,04:18:47,15527.47,True,f,
5011,Jean-Charles MOUGIN,FR,37,H,M30,Run In Annecy,https://utmb.world/runner/895141.jeancharles.mougin,777.0,25.0,23.0,7.0,04:23:07,15787.75,True,f,
