# Race: Matterhorn Ultraks Trail 2023 - << SKY >>
# Distance: 49 km
# D+: 3600 m
# D-: 3600 m
# Date: N/A
# URL: https://live.utmb.world/mut/2023
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
4015,Andy SYMONDS,GB,44,H,M40,SCOTT RUNNING,https://utmb.world/runner/5960.andy.symonds,845.0,1.0,1.0,1.0,05:24:58,19498.21,True,f,
4001,Alexandre BUGNARD,CH,28,H,M1,Les Mous du genou,https://utmb.world/runner/3303337.alexandre.bugnard,839.0,2.0,2.0,1.0,05:27:09,19629.7,True,f,
4021,Andrin NÄPFLIN,CH,28,H,M1,Skiklub Beckenried Klewenalp,https://utmb.world/runner/5321020.andrin.napflin,824.0,3.0,3.0,2.0,05:29:49,19789.2,True,f,
4023,Jason LANGENEGGER,CH,32,H,M30,-,https://utmb.world/runner/1719981.jason.langenegger,791.0,4.0,4.0,1.0,05:31:51,19911.92,True,f,
4034,Fabian FUX,CH,24,H,M1,BCVS Mount Asics Team,https://utmb.world/runner/714364.fabian.fux,772.0,5.0,5.0,3.0,05:39:30,20370.6,True,f,
4048,Brent PATTEEUW,BE,37,H,M30,EDDY WHITE Running team,https://utmb.world/runner/3985424.brent.patteeuw,747.0,6.0,6.0,2.0,05:46:22,20782.13,True,f,
4009,Geoffroy BONNET,FR,38,H,M30,Ecole de Trail / Running Planet Genève,https://utmb.world/runner/555975.geoffroy.bonnet,799.0,7.0,7.0,3.0,05:47:05,20825.48,True,f,
4027,Nino JANKI,CH,32,H,M30,,https://utmb.world/runner/2236267.nino.janki,,8.0,8.0,4.0,05:48:31,20911.48,True,f,
4033,Pierrick BLANC,CH,29,H,M1,,https://utmb.world/runner/1024409.pierrick.blanc,728.0,9.0,9.0,4.0,05:50:51,21051.52,True,f,
4026,Chris WALTHER,DE,41,H,M30,Allgäu Outlet Raceteam ,https://utmb.world/runner/3703435.chris.walther,737.0,10.0,10.0,5.0,05:58:29,21509.71,True,f,
4028,Demian SCHAEDLER,CH,45,H,M40,Schaedler Peinture,https://utmb.world/runner/1978547.demian.schaedler,786.0,11.0,11.0,2.0,05:59:13,21553.2,True,f,
4005,Aurélien PATOZ,FR,35,H,M30, ,https://utmb.world/runner/499671.aurelien.patoz,839.0,12.0,12.0,6.0,06:00:12,21612.95,True,f,
4008,Karol MATYSSEK,PL,35,H,M30,OdziezDlaMedyka.pl,https://utmb.world/runner/4110117.karol.matyssek,779.0,13.0,13.0,7.0,06:00:54,21654.43,True,f,
4012,Cody LIND,US,30,H,M1,SCOTT RUNNING,https://utmb.world/runner/2667843.cody.lind,842.0,14.0,14.0,5.0,06:02:00,21720.18,True,f,
4037,Gabriele SBOARINA,CH,35,H,M30,Pinimountainracing Team,https://utmb.world/runner/330414.gabriele.sboarina,761.0,15.0,15.0,8.0,06:14:05,22445.59,True,f,
4061,Julien GHERAIRI,TN,35,H,M30,Lausanne Footing Club ,https://utmb.world/runner/2347089.julien.gherairi,664.0,16.0,16.0,9.0,06:16:52,22612.61,True,f,
4418,Boris VALLES ALONSO,ES,46,H,M40,Prorunners,https://utmb.world/runner/2204123.alonsoboris.vallesalonso,717.0,17.0,17.0,3.0,06:20:56,22856.53,True,f,
4057,Raphaël CAREGNATO,CH,31,H,M1,Team Ibex,https://utmb.world/runner/4000247.raphael.caregnato,671.0,18.0,18.0,6.0,06:21:00,22860.28,True,f,
4053,Manuel SPRENGER,CH,37,H,M30,,https://utmb.world/runner/1600801.manuel.sprenger,763.0,19.0,19.0,10.0,06:21:04,22864.78,True,f,
4011,Marine QUINTARD,FR,34,F,W30,TEAM ODLO,https://utmb.world/runner/736793.marine.quintard,709.0,20.0,1.0,1.0,06:21:21,22881.29,True,f,
4063,Benedikt NUßBAUM,DE,40,H,M30,TSV Bernstadt,,,21.0,20.0,11.0,06:21:23,22883.32,True,f,
4210,Edward VAN DE VANNET,BE,34,H,M30,,,,22.0,21.0,12.0,06:21:39,22899.0,True,f,
4105,Pascal SAURER,CH,36,H,M30,,https://utmb.world/runner/1655789.pascal.saurer,641.0,23.0,22.0,13.0,06:23:35,23015.76,True,f,
4415,Arnau ANSO CABRE,ES,33,H,M30,Prorunners,https://utmb.world/runner/270999.arnau.anso,692.0,24.0,23.0,14.0,06:26:12,23172.24,True,f,
4052,Romain PORTAY,FR,35,H,M30,,https://utmb.world/runner/2104355.romain.portay,714.0,25.0,24.0,15.0,06:27:15,23235.23,True,f,
4702,Nicola STAEHELIN,CH,24,H,M1,,,,26.0,25.0,7.0,06:28:27,23307.11,True,f,
4062,Ivan GOLENKO,RU,37,H,M30,,https://utmb.world/runner/1012299.ivan.golenko,690.0,27.0,26.0,16.0,06:31:44,23504.45,True,f,
4943,Giulia SAGGIN,IT,33,F,W30,SCOTT RUNNING,https://utmb.world/runner/291290.giulia.saggin,713.0,28.0,2.0,2.0,06:32:37,23557.17,True,f,
4038,Florian  MEUTER ,DE,38,H,M30,Bosch Running Team,,,29.0,27.0,17.0,06:32:39,23559.18,True,f,
4300,Julien COMPAGNON,CH,35,H,M30,Léman Running,https://utmb.world/runner/2307849.julien.compagnon,586.0,30.0,28.0,18.0,06:33:44,23624.55,True,f,
4024,Jesus AMORES AMPUERO,ES,37,H,M30,ADSL,https://utmb.world/runner/4285239.jesus.amoresampuero,746.0,31.0,29.0,19.0,06:34:13,23653.93,True,f,
4100,Ed BREWER,GB,23,H,M1,,,,32.0,30.0,8.0,06:35:09,23709.37,True,f,
4119,Vicenç CORTÈS MAS,ES,33,H,M30,Le Gitan Grill Zermatt,https://utmb.world/runner/4472589.vicens.cortes,627.0,33.0,31.0,20.0,06:36:54,23814.92,True,f,
4446,Dan GREEN,GB,33,H,M30,,,,34.0,32.0,21.0,06:37:14,23834.64,True,f,
4032,Corentin SOSTER,CH,30,H,M1,Team patinage,https://utmb.world/runner/4025559.corentin.soster,669.0,35.0,33.0,9.0,06:37:49,23869.9,True,f,
4121,Matt JORDAN,CH,38,H,M30,Witham rc,https://utmb.world/runner/2469931.jordan.matt,618.0,36.0,34.0,22.0,06:38:01,23881.17,True,f,
4002,Ragna  DEBATS,CH,46,F,W40,MERRELL - UES,https://utmb.world/runner/13726.ragna.debats,783.0,37.0,3.0,1.0,06:38:13,23893.66,True,f,
4025,Alan FORTUNY,ES,37,H,M30,Adidas,https://utmb.world/runner/1421849.alan.fortunysicart,693.0,37.0,35.0,23.0,06:38:13,23893.41,True,f,
4208,Igor PECORARO,IT,41,H,M30,Asd Rovinata,https://utmb.world/runner/2195157.igor.pecoraro,720.0,39.0,36.0,24.0,06:38:28,23908.4,True,f,
4035,Jérémy DELALAY,CH,25,H,M1,Dynafit,https://utmb.world/runner/2516847.jeremy.delalay,643.0,40.0,37.0,10.0,06:38:38,23918.65,True,f,
4102,Luca TSCHURTSCHENTHALER,CH,28,H,M1,,,,41.0,38.0,11.0,06:39:04,23944.14,True,f,
4050,François LAURENT,FR,36,H,M30,,https://utmb.world/runner/183598.francois.laurent,688.0,42.0,39.0,25.0,06:41:05,24065.13,True,f,
4074,Benjamin RIGHETTI,CH,43,H,M40,organopole.com,https://utmb.world/runner/4819304.benjamin.righetti,627.0,43.0,40.0,4.0,06:41:18,24078.1,True,f,
4110,John AGBLOE,CH,36,H,M30,Soulrunners Klub,https://utmb.world/runner/4169343.john.agbloe,668.0,44.0,41.0,26.0,06:43:33,24213.86,True,f,
4118,Martin Alejandro AYALA GALI,ES,35,H,M30,Prorunners,,,45.0,42.0,27.0,06:44:58,24298.37,True,f,
4089,Paul SUCH,CH,47,H,M40,,https://utmb.world/runner/965551.paul.such,652.0,46.0,43.0,5.0,06:45:10,24310.35,True,f,
4164,Dioni GORLA,DE,28,F,W1,adidas TERREX,https://utmb.world/runner/3337065.dioni.gorla,685.0,47.0,4.0,1.0,06:45:47,24347.59,True,f,
4092,Patrick JABERG,CH,45,H,M40,tripl3.ch,https://utmb.world/runner/5077165.patrick.jaberg,631.0,48.0,44.0,6.0,06:47:25,24445.84,True,f,
4101,Alexandre FARQUET,CH,30,H,M1,,https://utmb.world/runner/4657502.alexandre.farquet,644.0,49.0,45.0,12.0,06:49:10,24550.84,True,f,
4006,Kevin CLERC,CH,34,H,M30,,https://utmb.world/runner/3164273.kevin.clerc,704.0,50.0,46.0,28.0,06:49:59,24599.6,True,f,
4149,Nicolas SANGLARD,CH,35,H,M30,,https://utmb.world/runner/4040436.nicolas.sanglard,613.0,51.0,47.0,29.0,06:51:24,24684.79,True,f,
4129,Olivier UNTERNAEHRER,CH,46,H,M40,,https://utmb.world/runner/4483273.olivier.unternaehrer,648.0,52.0,48.0,7.0,06:51:45,24705.57,True,f,
4073,Thomas  WHITE ,BE,43,H,M40,,https://utmb.world/runner/3996298.thomas.white,654.0,53.0,49.0,8.0,06:53:14,24794.78,True,f,
4083,Ludovic SOTTAS,CH,39,H,M30,AS Romandie ,https://utmb.world/runner/504382.ludovic.sottas,625.0,54.0,50.0,30.0,06:55:08,24908.78,True,f,
4264,Marco LORENZO CORTIJO,ES,22,H,M1,Ea! Trail,https://utmb.world/runner/2628861.marco.lorenzocortijo,,55.0,51.0,13.0,06:55:15,24915.75,True,f,
4126,Keir PLAICE,NL,37,H,M30,,,,56.0,52.0,31.0,06:57:48,25068.46,True,f,
4075,Gérard BAGNOUD,CH,55,H,M50,Pas si simple,https://utmb.world/runner/64652.gerard.bagnoud,639.0,57.0,53.0,1.0,06:58:20,25100.25,True,f,
4934,Philipp BUCHLI,CH,44,H,M40,,https://utmb.world/runner/80716.philipp.buchli,,58.0,54.0,9.0,06:59:38,25178.22,True,f,
4222,Juan Pablo GUTIÉRREZ GARCIA,ES,47,H,M40,SALAMANCA RAIDS & TRAILS,https://utmb.world/runner/1719643.juanpablo.gutierrezgarcia,660.0,59.0,55.0,10.0,07:00:06,25206.23,True,f,
4080,Laurence YERLY,CH,53,F,W50+,Intensity Workout,https://utmb.world/runner/64648.laurence.yerlycattin,692.0,60.0,5.0,1.0,07:01:00,25260.23,True,f,
4320,Valentin JUNOD,CH,42,H,M40,Running is not enough,https://utmb.world/runner/4025563.valentin.junod,528.0,61.0,56.0,11.0,07:02:19,25339.86,True,f,
4091,Mark HINDER,AU,49,H,M40,Hobart Trail Runners,https://utmb.world/runner/3884799.mark.hinder,714.0,62.0,57.0,12.0,07:02:48,25368.73,True,f,
4132,Patrice  OPPLIGER ,CH,48,H,M40,tempo-sport.ch,https://utmb.world/runner/3482973.patrice.oppliger,,63.0,58.0,13.0,07:02:55,25375.21,True,f,
4158,Scott FORSYTH,CH,51,H,M40,,https://utmb.world/runner/2244319.scott.forsyth,612.0,64.0,59.0,14.0,07:03:43,25423.2,True,f,
4935,Alexander ZEIFANG,CH,32,H,M30,BlackForest Runner’s,,,65.0,60.0,32.0,07:05:58,25558.98,True,f,
4117,Aaron HOYLE,GB,33,H,M30,Corstorphine AC,,,66.0,61.0,33.0,07:07:37,25657.43,True,f,
