# Race: Nice Côte d'Azur by UTMB  2024 - Roubion - Nice 
# Distance: 107 km
# D+: 4500 m
# D-: 4500 m
# Date: 2024-10-05
# URL: https://live.utmb.world/nicebyutmb/2024
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
1008,Valentin LACROIX,FR,30,H,20-34M,,https://utmb.world/runner/440430.valentin.lacroix,821.0,1.0,1.0,1.0,11:19:04,40744.92,True,f,
1007,Yohan VIANI,FR,28,H,20-34M,New Balance France,https://utmb.world/runner/864591.yohan.viani,845.0,2.0,2.0,2.0,11:40:29,42029.39,True,f,
1072,Guillaume HANSEL,US,32,H,20-34M,Bakel Track Club,https://utmb.world/runner/2600817.guillaume.hansel,724.0,3.0,3.0,3.0,12:01:48,43308.2,True,f,
1052,Nicolas ALLEMEERSCH,FR,30,H,20-34M,TÉGO,https://utmb.world/runner/4009035.nicolas.allemeersch,766.0,4.0,4.0,4.0,12:02:03,43323.79,True,f,
1003,Quentin GRATEAU,FR,23,H,20-34M,,https://utmb.world/runner/4324858.quentin.grateau,860.0,5.0,5.0,5.0,12:06:21,43581.95,True,f,
1030,Thibault ATHANE,FR,34,H,20-34M,DEHORS!,https://utmb.world/runner/1962831.thibault.athane,785.0,6.0,6.0,6.0,12:11:51,43911.96,True,f,
1059,Benjamin LEVIEUX,FR,27,H,20-34M,Les Eclopés,https://utmb.world/runner/4166276.benjamin.levieux,751.0,7.0,7.0,7.0,12:13:35,44015.45,True,f,
1020,Sébastien LEDAY,FR,37,H,35-39M,Altra Running,https://utmb.world/runner/2662347.sebastien.leday,783.0,8.0,8.0,1.0,12:22:08,44528.17,True,f,
1054,Pierre GAPIHAN,FR,39,H,35-39M,Buses Epilées / Dawn Collective,https://utmb.world/runner/196135.pierre.gapihan,765.0,9.0,9.0,2.0,13:04:47,47087.76,True,f,
1065,Antoine BARBIER DE CHALAIS,FR,29,H,20-34M,,https://utmb.world/runner/4602798.antoine.barbierdechalais,731.0,10.0,10.0,8.0,13:11:59,47519.6,True,f,
1066,Rémi THIVOLLE,FR,31,H,20-34M,,https://utmb.world/runner/390324.remi.thivolle,730.0,11.0,11.0,9.0,13:15:45,47745.86,True,f,
1082,Killyan ZARRELLA,FR,28,H,20-34M,,https://utmb.world/runner/539010.killyan.zarrella,704.0,12.0,12.0,10.0,13:19:53,47993.75,True,f,
