# Race: HOKA Pacific Trails California by UTMB 2025 - 25k
# Distance: 24.8 km
# D+: 667 m
# D-: 667 m
# Date: 2025-11-23
# URL: https://live.utmb.world/pacifictrails/2025
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
1004,Anna SULKINA,US,49,F,45-49W,,https://utmb.world/runner/753455.anna.sulkina,553.0,,,,,0,False,cancelled,
1008,Matthew SMITH,US,47,H,45-49M,,https://utmb.world/runner/5220680.matthew.smith,526.0,,,,,0,False,cancelled,
1005,Alejandro MUNOZ,CR,37,H,35-39M,,https://utmb.world/runner/2073913.alejandro.munoz,550.0,,,,,0,False,cancelled,
1017,Kelly BROWN,US,34,F,20-34W,,https://utmb.world/runner/1707799.kelly.brown,507.0,,,,,0,False,cancelled,
1020,Isabel BOWMAN,US,26,F,20-34W,,https://utmb.world/runner/6255899.isabel.bowman,,,,,,0,False,cancelled,
1013,David ODELL,US,58,H,55-59M,,https://utmb.world/runner/549443.david.odell,516.0,,,,,0,False,cancelled,
1002,Dane THOMAS,US,40,H,40-44M,,https://utmb.world/runner/4432988.dane.thomas,617.0,,,,,0,False,cancelled,
1014,Christopher BODLE,US,56,H,55-59M,,https://utmb.world/runner/6734756.christopher.bodle,512.0,,,,,0,False,cancelled,
1003,Ryan FISHER,CA,42,H,40-44M,,https://utmb.world/runner/7095421.ryan.fisher,559.0,,,,,0,False,cancelled,
1012,Jason DAVIS,US,55,H,55-59M,,https://utmb.world/runner/35678.jason.davis,336.0,,,,,0,False,cancelled,
1006,Alex LEIGHTON,US,55,H,55-59M,,https://utmb.world/runner/6295777.alex.leighton,542.0,,,,,0,False,cancelled,
1015,Albrecht Delft PAGADUAN,PH,46,H,45-49M,,https://utmb.world/runner/4432018.albrechtdelft.pagaduan,512.0,,,,,0,False,cancelled,
1031,Tiffany PHILLIPS,CA,45,F,45-49W,,https://utmb.world/runner/1709433.tiffany.phillips,443.0,,,,,0,False,cancelled,
1023,Deanna ODELL,US,59,F,55-59W,,https://utmb.world/runner/549389.deanna.odell,468.0,,,,,0,False,cancelled,
1011,Arnaud RUPERT,FR,51,H,50-54M,,https://utmb.world/runner/5074449.arnaud.rupert,522.0,,,,,0,False,cancelled,
1026,Anthony LAMY,CA,41,H,40-44M,,https://utmb.world/runner/5179694.anthony.lamy,455.0,,,,,0,False,cancelled,
1027,Mazen AKHDAR,SA,46,H,45-49M,,https://utmb.world/runner/6881060.mazen.akhdar,449.0,,,,,0,False,cancelled,
1001,Gabriel REYGONDEAU,CA,42,H,40-44M,,https://utmb.world/runner/4431476.gabriel.reygondeau,681.0,,,,,0,False,cancelled,
1025,Fatima QUEZADA,EC,40,F,40-44W,,https://utmb.world/runner/7272997.fatima.quezada,458.0,,,,,0,False,cancelled,
1032,Li SUN,CN,54,H,50-54M,,https://utmb.world/runner/5430076.li.sun,439.0,,,,,0,False,cancelled,
1007,Stephen HETTERICH,US,32,H,20-34M,,https://utmb.world/runner/5719047.stephen.hetterich,532.0,,,,,0,False,cancelled,
1036,Duc AU,US,61,F,60-64W,,https://utmb.world/runner/1289727.duc.au,416.0,,,,,0,False,cancelled,
1037,Mohammad ASSADI HANDJANI,IR,41,H,40-44M,,https://utmb.world/runner/5980441.mohammad.assadihandjani,416.0,,,,,0,False,cancelled,
1018,Austin MAH,US,27,H,20-34M,,https://utmb.world/runner/6200752.austin.mah,504.0,,,,,0,False,cancelled,
1009,James HOWTON,US,51,H,50-54M,,https://utmb.world/runner/55281.james.howton,525.0,,,,,0,False,cancelled,
1022,Eike FALKENBERG,US,48,H,45-49M,,https://utmb.world/runner/3862089.eike.falkenberg,473.0,,,,,0,False,cancelled,
1045,Yuting ZHANG,US,53,F,50-54W,,https://utmb.world/runner/6864463.yuting.zhang,393.0,,,,,0,False,cancelled,
