# Race: Paraty Brazil by UTMB® 2024 - PTR 20
# Distance: 24 km
# D+: 850 m
# D-: 850 m
# Date: 2024-09-21
# URL: https://live.utmb.world/paraty/2024
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
3002,Agustin ALANIZ,AR,24,H,20-34M,EDIAC,https://utmb.world/runner/4821532.agustin.alaniz,720.0,1.0,1.0,1.0,02:05:11,7511.63,True,f,
3588,Bernardo PENTEADO,BR,30,H,20-34M,Arnaudettes,https://utmb.world/runner/6322391.bernardo.penteado,,2.0,2.0,2.0,02:06:37,7597.813,True,f,
3377,Jonathan SANTOS DA SILVA DIAS,BR,32,H,20-34M,Águia Acessoria,https://utmb.world/runner/6218195.jonathan.santosdasilvadias,,3.0,3.0,3.0,02:08:05,7685.34,True,f,
3003,Gilberto Rodrigues CHAGAS,BR,31,H,20-34M,,https://utmb.world/runner/6048215.gilbertorodrigues.chagas,704.0,4.0,4.0,4.0,02:10:37,7837.66,True,f,
3482,Ruan EDUARDO INACIO DE CARVALHO,BR,36,H,35-39M,RC Assessoria Esportiva,https://utmb.world/runner/6451479.ruan.eduardoinaciodecarvalho,,5.0,5.0,1.0,02:17:54,8274.0,True,f,
3001,Wanderson NASCIMENTO,BR,37,H,35-39M,Go On / Mombora / Salomon,https://utmb.world/runner/918783.wanderson.nascimento,753.0,6.0,6.0,2.0,02:18:55,8335.89,True,f,
3016,Thacyan PELEGRINI,BR,22,H,20-34M,Liferunners / Mombora,https://utmb.world/runner/5233444.thacyan.pelegrini,602.0,7.0,7.0,5.0,02:18:58,8338.6,True,f,
3341,Ricardo HIRSCH,BR,49,H,45-49M,Personal Life,https://utmb.world/runner/4924367.ricardo.hirsch,,8.0,8.0,1.0,02:19:30,8370.63,True,f,
3011,Eliomar MIRANDA,BR,25,H,20-34M,Life Runner Brasil/ Nutrição esportiva Feliphe Cardoso,https://utmb.world/runner/6001115.eliomar.miranda,633.0,9.0,9.0,6.0,02:19:55,8395.68,True,f,
3028,Geizon PINTO,BR,37,H,35-39M,TEAM PABLO NELSON,https://utmb.world/runner/5942891.geizon.pinto,550.0,10.0,10.0,3.0,02:21:44,8504.0,True,f,
