# Race: Paraty Brazil by UTMB® 2025 - PTR 55
# Distance: 58.5 km
# D+: 3400 m
# D-: 3400 m
# Date: 2025-09-20
# URL: https://live.utmb.world/paraty/2025
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
1003,Rudney DA SILVA,BR,28,H,20-34M,Life Runners,https://utmb.world/runner/2623621.rudney.dasilva,778.0,1.0,1.0,1.0,06:30:33,23433,True,f,
1001,Ezequiel Alexis PAULUZAK,AR,40,H,40-44M,Pauluzak Trail Running Team,https://utmb.world/runner/378215.ezequielalexis.pauluzak,791.0,2.0,2.0,1.0,06:48:56,24536,True,f,
1585,Higor Ferreira Da Silva CRUZ,BR,28,H,20-34M,Jmc reciclagem serra do cipó,https://utmb.world/runner/7618057.higorferreiradasilva.cruz,,3.0,3.0,2.0,06:49:09,24549,True,f,
1010,Wilton NASCIMENTO,BR,39,H,35-39M,GO ON OUTDOOR,https://utmb.world/runner/2193409.wilton.nascimento,729.0,4.0,4.0,1.0,06:56:05,24965,True,f,
1017,Leandro AUGUSTO,BR,38,H,35-39M,RV ASSESORIA ESPORTIVA,https://utmb.world/runner/6032382.leandro.augusto,692.0,5.0,5.0,2.0,07:07:31,25651,True,f,
1008,Cleito MARAGA,BR,34,H,20-34M,Fetter Trail Training,https://utmb.world/runner/3270167.cleito.maraga,737.0,6.0,6.0,3.0,07:19:40,26380,True,f,
1693,André Luiz Mapa MAPA,BR,44,H,40-44M,Upfit,https://utmb.world/runner/6699645.andreluizmapa.mapa,,7.0,7.0,2.0,07:22:14,26534,True,f,
1007,João Luiz SILVA,BR,26,H,20-34M,NNormal / Go on Outdoor,https://utmb.world/runner/2485995.joaoluiz.silva,740.0,8.0,8.0,4.0,07:23:58,26638,True,f,
1529,Lucas ROSA,BR,39,H,35-39M,Fetter Trail / Altos Corredores,https://utmb.world/runner/7052855.lucas.rosa,,9.0,9.0,3.0,07:25:40,26740,True,f,
1020,Gonzalo MAGNI,AR,37,H,35-39M,CEF,https://utmb.world/runner/5029355.gonzalo.magni,690.0,10.0,10.0,4.0,07:27:10,26830,True,f,
1023,Sebastián CASTELLANI,AR,46,H,45-49M,Team Weis - Isaac Nimer RT,https://utmb.world/runner/384405.sebastian.castellani,669.0,11.0,11.0,1.0,07:27:41,26861,True,f,
1022,Jefferson ANTUNES,BR,39,H,35-39M,Funcional Trainer,https://utmb.world/runner/1636455.jefferson.antunes,671.0,12.0,12.0,5.0,07:29:31,26971,True,f,
1005,Jeyvidson SILVA,BR,39,H,35-39M,UPFITRAIL,https://utmb.world/runner/4401206.jeyvidson.silva,768.0,13.0,13.0,6.0,07:31:31,27091,True,f,
1042,Brett FROMM,US,49,H,45-49M,,https://utmb.world/runner/6861973.brett.fromm,604.0,14.0,14.0,2.0,07:37:52,27472,True,f,
1011,Bruno KUZMANN,BR,34,H,20-34M,UPFITRAIL,https://utmb.world/runner/1139135.bruno.kuzmann,716.0,15.0,15.0,5.0,07:38:25,27505,True,f,
1006,Thiago GONZAGA,BR,39,H,35-39M,Team Noronha,https://utmb.world/runner/1359793.thiago.gonzaga,758.0,16.0,16.0,7.0,07:40:58,27658,True,f,
1013,Iuri VINUTO JOSINO,BR,33,H,20-34M,iVTraining,https://utmb.world/runner/6512603.iuri.vinutojosino,700.0,17.0,17.0,6.0,07:41:18,27678,True,f,
1024,Rafael MORALES,AR,30,H,20-34M,Andres Morandi,https://utmb.world/runner/5026698.rafael.morales,662.0,18.0,18.0,7.0,07:49:29,28169,True,f,
1620,Aluisio DA SILVA,BR,38,H,35-39M,Guerreiros trail,https://utmb.world/runner/7000229.aluisio.dasilva,727.0,19.0,19.0,8.0,07:49:51,28191,True,f,
1019,Claudio GUARTAN,EC,34,H,20-34M,Rush,https://utmb.world/runner/5871929.claudio.guartan,691.0,20.0,20.0,8.0,07:50:54,28254,True,f,
1029,Fal FERNANDES,BR,41,H,40-44M,Cateto trail running / FF,https://utmb.world/runner/6157612.fal.fernandes,647.0,21.0,21.0,3.0,07:52:51,28371,True,f,
1028,Lester RODRIGUEZ,CL,35,H,35-39M,ASMAR,https://utmb.world/runner/5837898.lester.rodriguez,655.0,22.0,22.0,9.0,07:56:54,28614,True,f,
1587,Carlos HENRIQUE DE PAULA,BR,44,H,40-44M,,https://utmb.world/runner/7619653.carlos.henriquedepaula,,23.0,23.0,4.0,08:00:17,28817,True,f,
1074,Sebastian MEZA CERDA,CL,42,H,40-44M,Greyhound Project,https://utmb.world/runner/5572023.sebastian.mezacerda,559.0,24.0,24.0,5.0,08:00:28,28828,True,f,
1063,César JUSTO,UY,36,H,35-39M,Cuesta Arriba Trail Running,https://utmb.world/runner/6883202.cesar.justo,574.0,25.0,25.0,10.0,08:06:00,29160,True,f,
1014,Kleiton LUCATELLI,BR,41,H,40-44M,AlfaZrun Dobro,https://utmb.world/runner/2390485.kleiton.lucatelli,699.0,26.0,26.0,6.0,08:14:18,29658,True,f,
1038,Patrícia ANDRADE,BR,38,F,35-39W,GO ON,https://utmb.world/runner/2475623.patricia.andrade,617.0,27.0,1.0,1.0,08:17:25,29845,True,f,
1069,Marcio RODRIGUES GABRIEL,BR,47,H,45-49M,,https://utmb.world/runner/6454919.marcio.rodriguesgabriel,564.0,28.0,27.0,3.0,08:20:14,30014,True,f,
1033,Isadora DE ALBUQUERQUE ROSSO,BR,36,F,35-39W,MXP,https://utmb.world/runner/2496355.isadora.dealbuquerquerosso,627.0,29.0,2.0,2.0,08:23:57,30237,True,f,
1366,Rodrigo MARQUES,BR,28,H,20-34M,RunFun,https://utmb.world/runner/5883817.rodrigo.marques,520.0,30.0,28.0,9.0,08:24:37,30277,True,f,
1728,Mauricio Federico RIVADEO MONTEROS,AR,48,H,45-49M,Grupo de Entrenamiento TT,https://utmb.world/runner/7367959.mauriciofederico.rivadeomonteros,,31.0,29.0,4.0,08:31:53,30713,True,f,
1036,Mauricio GUTIÉRREZ,CL,32,H,20-34M,Rumbo Runners,https://utmb.world/runner/6699637.mauricio.gutierrez,622.0,32.0,30.0,10.0,08:35:27,30927,True,f,
1018,Martin Ariel CESPEDES,AR,32,H,20-34M,Hernan Ogas Team,https://utmb.world/runner/1784351.martinariel.cespedes,692.0,33.0,31.0,11.0,08:35:55,30955,True,f,
1041,Mario PRETI,AR,46,H,45-49M,Card,https://utmb.world/runner/6270154.mario.preti,614.0,34.0,32.0,5.0,08:36:20,30980,True,f,
1034,Diego Brunno CARDOSO DE SOUZA,BR,41,H,40-44M,Corrida Perfeita / Feedzone,https://utmb.world/runner/1139143.diegobrunno.cardosodesouza,634.0,35.0,33.0,7.0,08:39:54,31194,True,f,
1016,Yannick BLEY,FR,48,H,45-49M,Perezosos,https://utmb.world/runner/487065.yannick.bley,698.0,36.0,34.0,6.0,08:40:33,31233,True,f,
1142,Federico SCHENCK,UY,38,H,35-39M,Estación Fit,https://utmb.world/runner/3416967.federico.schenck,498.0,37.0,35.0,11.0,08:41:09,31269,True,f,
1031,Mariana SCARPELLI,BR,43,F,40-44W,Animal Runners / Mombora,https://utmb.world/runner/2158231.mariana.scarpelli,636.0,38.0,3.0,1.0,08:45:33,31533,True,f,
1027,Diego Aurelio SANCHEZ,AR,33,H,20-34M,GR TEAM,https://utmb.world/runner/6942095.diegoaurelio.sanchez,655.0,39.0,36.0,12.0,08:45:42,31542,True,f,
1055,Claudinei OLIVEIRA PELEGRIN,BR,46,H,45-49M,,https://utmb.world/runner/5471147.claudinei.oliveirapelegrin,588.0,40.0,37.0,7.0,08:47:08,31628,True,f,
1068,Diogo FRANÇA,BR,38,H,35-39M,Go On Outdoor,https://utmb.world/runner/5610347.diogo.franca,565.0,41.0,38.0,12.0,08:49:14,31754,True,f,
1048,Santiago AGUIRRE RIVAS,AR,29,H,20-34M,JB CLUB,https://utmb.world/runner/5649442.santiago.aguirrerivas,597.0,42.0,39.0,13.0,08:49:21,31761,True,f,
1051,Patrik MEIRELES,BR,42,H,40-44M,Special Running/ Vélos Running,https://utmb.world/runner/764919.patrik.meireles,591.0,43.0,40.0,8.0,08:50:21,31821,True,f,
1710,Lorena VILLAS,BR,42,F,40-44W,IV Training,https://utmb.world/runner/1938995.lorena.villas,,44.0,4.0,2.0,08:57:55,32275,True,f,
