# Race: Puerto Vallarta Mexico by UTMB 2022 2022 - 50K Nakawé
# Distance: 49 km
# D+: 2230 m
# D-: 2230 m
# Date: 2022-10-29
# URL: https://live.utmb.world/puertovallarta/2022
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
2086,Ryan Becker,,31,H,20-34M,,https://utmb.world/runner/2273933.ryan.becker,869.0,1.0,1.0,1.0,05:33:28,20008.0,True,f,
2076,ZACHARY SONOGA,,36,H,20-34M,,https://utmb.world/runner/1125229.zachary.sonoga,736.0,2.0,2.0,2.0,05:48:31,20911.0,True,f,
1003,Hector Rodriguez,,34,H,20-34M,,https://utmb.world/runner/1905059.hector.rodriguez,821.0,3.0,3.0,3.0,05:50:01,21001.0,True,f,
1002,Tara Fraga,,33,F,20-34F,,https://utmb.world/runner/2522333.tara.fraga,736.0,4.0,1.0,1.0,05:53:51,21231.0,True,f,
1308,Cody Priest,,37,H,20-34M,,https://utmb.world/runner/626288.cody.priest,770.0,5.0,4.0,4.0,05:58:42,21522.0,True,f,
2098,David Kilgore,,34,H,20-34M,,https://utmb.world/runner/580679.david.kilgore,758.0,6.0,5.0,5.0,05:59:37,21577.0,True,f,
1679,Julen Daniel Diaz Flores,,28,H,20-34M,,https://utmb.world/runner/1752885.julendaniel.diazflores,593.0,7.0,6.0,6.0,06:04:16,21856.0,True,f,
1624,Jose Carlos Reyes Osorio,,34,H,20-34M,,,,8.0,7.0,7.0,06:16:51,22611.0,True,f,
2081,Pablo Delgado Mora,,38,H,35-39M,,https://utmb.world/runner/1198487.pablo.delgado,618.0,9.0,8.0,1.0,06:21:15,22875.0,True,f,
1298,Christian Villa Martínez,,37,H,20-34M,,,,10.0,9.0,8.0,06:22:21,22941.0,True,f,
1358,Diego Arnauda,,25,H,20-34M,,https://utmb.world/runner/4365304.diego.arnaudagonzalez,577.0,11.0,10.0,9.0,06:26:57,23217.0,True,f,
1310,Cristian David Ramos,,36,H,20-34M,,https://utmb.world/runner/4113489.cristiandavid.ramos,678.0,12.0,11.0,10.0,06:29:02,23342.0,True,f,
1242,Brian Tinder,,46,H,40-44M,,https://utmb.world/runner/16000.brian.tinder,631.0,13.0,12.0,1.0,06:30:11,23411.0,True,f,
1861,Natalie Chirgwin,,37,F,20-34F,,https://utmb.world/runner/3628087.natalie.chirgwin,656.0,13.0,2.0,2.0,06:30:11,23411.0,True,f,
1524,Humberto Rojas Sandoval,,41,H,35-39M,,https://utmb.world/runner/4251531.humberto.rojassandoval,745.0,15.0,13.0,2.0,06:30:57,23457.0,True,f,
1227,Benjamin Müller,,34,H,20-34M,,https://utmb.world/runner/307024.benjamin.muller,756.0,16.0,14.0,11.0,06:31:02,23462.0,True,f,
1821,Mathias Kronenberg,,37,H,20-34M,,https://utmb.world/runner/1158169.mathias.kronenberg,590.0,17.0,15.0,12.0,06:32:47,23567.0,True,f,
1325,Daniel Herrera Montero,,35,H,20-34M,,https://utmb.world/runner/2109283.daniel.herreramontero,,18.0,16.0,13.0,06:33:08,23588.0,True,f,
1235,Brandon Johanns,,39,H,35-39M,,https://utmb.world/runner/4130322.brandon.johanns,659.0,19.0,17.0,3.0,06:33:46,23626.0,True,f,
1865,Nelson Galindo Sanchez,,48,H,45-49M,,https://utmb.world/runner/4753216.nelson.galindosanchez,631.0,20.0,18.0,1.0,06:33:54,23634.0,True,f,
1558,Jan Dierckx,,41,H,35-39M,,https://utmb.world/runner/4717236.jan.dierckx,534.0,21.0,19.0,4.0,06:34:40,23680.0,True,f,
1004,Nayeli De la Torre Segura,,33,F,20-34F,,https://utmb.world/runner/1752907.nayeli.delatorre,666.0,22.0,3.0,3.0,06:37:23,23843.0,True,f,
1896,Osvaldo Soto,,32,H,20-34M,,https://utmb.world/runner/4082729.osvaldo.soto,684.0,23.0,20.0,14.0,06:41:28,24088.0,True,f,
1389,Efraín Reynoso,,30,H,20-34M,,https://utmb.world/runner/4063371.efrain.reynoso,641.0,24.0,21.0,15.0,06:44:01,24241.0,True,f,
1347,David Noakes,,36,H,20-34M,,https://utmb.world/runner/4541340.david.noakes,581.0,25.0,22.0,16.0,06:53:23,24803.0,True,f,
1744,Luis Javier Torres Díaz,,35,H,20-34M,,https://utmb.world/runner/3892781.luisjavier.torresdiaz,709.0,26.0,23.0,17.0,06:53:45,24825.0,True,f,
1636,Jose Luis Lopez Flores,,33,H,20-34M,,,,27.0,24.0,18.0,06:55:13,24913.0,True,f,
2097,Hugo Romo Esqueda,,43,H,40-44M,,https://utmb.world/runner/4609762.hugo.romoesqueda,,28.0,25.0,2.0,06:57:57,25077.294,True,f,
