# Race: Puerto Vallarta Mexico by UTMB 2024 2024 - 33K Haramara
# Distance: 33 km
# D+: 1550 m
# D-: 1550 m
# Date: 2024-11-09
# URL: https://live.utmb.world/puertovallarta/2024
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
2293,Abraham HERNÁNDEZ,MX,29,H,20-34M,Hoka México,https://utmb.world/runner/2243225.abraham.hernandezcruz,850.0,1.0,1.0,1.0,03:01:56,10916.769,True,f,
2001,Jhoan Sebastian RIVERA ALAPE,CO,27,H,20-34M,New Balance,https://utmb.world/runner/4644536.jhoansebastian.riveraalape,781.0,2.0,2.0,2.0,03:26:26,12386.77,True,f,
2290,Francisco Axel CORONA CARRETERO,MX,27,H,20-34M,AquilesMD,https://utmb.world/runner/6660309.franciscoaxel.coronacarretero,,3.0,3.0,3.0,03:46:08,13568.237,True,f,
2224,Jonatan Uriel MENDIETA CASTILLO,MX,33,H,20-34M,,https://utmb.world/runner/5340768.jonatanuriel.mendietacastillo,725.0,4.0,4.0,4.0,03:57:43,14263.028,True,f,
2266,Ricardo CHAVARRIA,MX,44,H,40-44M,Chanchos,https://utmb.world/runner/4808278.ricardo.chavarria,353.0,5.0,5.0,1.0,04:01:50,14510.969,True,f,
2108,Frida CERVANTES,MX,31,F,20-34W,,https://utmb.world/runner/6307739.frida.cervantes,,6.0,1.0,1.0,04:04:47,14687.369,True,f,
2294,Emilie MANN,CA,33,F,20-34W,Merrell,https://utmb.world/runner/1625237.emilie.mann,686.0,7.0,2.0,2.0,04:06:02,14762.598,True,f,
2164,Luis Arturo VALENZUELA GRIJALVA,MX,26,H,20-34M,JTZ TRAIL,https://utmb.world/runner/4807216.luisarturo.valenzuelagrijalva,615.0,8.0,6.0,5.0,04:06:18,14778.228,True,f,
2010,Denisse SÁNCHEZ,MX,29,F,20-34W,45run30,https://utmb.world/runner/6355039.denisse.sanchez,,9.0,3.0,3.0,04:06:22,14782.549,True,f,
2226,Andres ORDOÑEZ,MX,31,H,20-34M,AHO ENDURANCE,https://utmb.world/runner/5943044.andres.ordonez,591.0,10.0,7.0,6.0,04:06:37,14797.185,True,f,
2002,Nayeli DE LA TORRE SEGURA,MX,33,F,20-34W,The north face/ buff,https://utmb.world/runner/1752907.nayeli.delatorre,665.0,11.0,4.0,4.0,04:06:47,14807.208,True,f,
2003,Fernando Daniel GARCÍA RODRÍGUEZ,MX,40,H,35-39M,The North Face Mx - RAYA´S RUNNERS CLUB,https://utmb.world/runner/5574997.fernandodaniel.garciarodriguez,661.0,12.0,8.0,1.0,04:12:07,15127.921,True,f,
2004,Yeni Paola MORALES PULIDO,CO,30,F,20-34W,Track and Mountain,https://utmb.world/runner/4113342.yenipaola.moralespulido,613.0,13.0,5.0,5.0,04:15:14,15314.243,True,f,
2300,Brad BUXTON,CA,44,H,40-44M,,https://utmb.world/runner/4272258.brad.buxton,634.0,14.0,9.0,2.0,04:18:28,15508.206,True,f,
2201,Chip JACKSON,US,34,H,20-34M,,https://utmb.world/runner/6512981.chip.jackson,681.0,15.0,10.0,7.0,04:26:13,15973.344,True,f,
2309,Maria LOPEZ,MX,20,F,18-19W,Alpha STT,https://utmb.world/runner/6694979.maria.lopez,,16.0,6.0,1.0,04:28:18,16098.198,True,f,
2262,Orlando ORTIZ JIMENEZ,MX,36,H,35-39M,,https://utmb.world/runner/4251735.orlando.ortizjimenez,500.0,17.0,11.0,2.0,04:28:35,16115.64,True,f,
2160,Trent MORROW,US,51,H,50-54M,,https://utmb.world/runner/3079691.trent.morrow,527.0,18.0,12.0,1.0,04:30:50,16250.219,True,f,
2124,Oskar ROMERO,MX,50,H,45-49M,velocup,https://utmb.world/runner/6282631.oskar.romero,,19.0,13.0,1.0,04:32:48,16368.23,True,f,
2175,Francisco CALDERÓN,CR,53,H,50-54M,Kilima,https://utmb.world/runner/3112657.francisco.calderon,519.0,20.0,14.0,2.0,04:33:29,16409.372,True,f,
2238,María Del Rocío FLORES CARDENAS,MX,43,F,40-44W,Independiente,https://utmb.world/runner/4998028.mariadelrocio.florescardenas,537.0,21.0,7.0,1.0,04:34:48,16488.841,True,f,
