# Race: Puglia by Utmb 2025 - Costa Verde Trail 10km
# Distance: 10 km
# D+: 50 m
# D-: 50 m
# Date: 2025-11-09
# URL: https://live.utmb.world/puglia/2025
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
5001,Giorgio LAMPA,IT,34,H,20-34M,FESSURA,https://utmb.world/runner/880267.giorgio.lampa,764.0,1.0,1.0,1.0,00:37:46,2266,True,f,
5084,Mateusz LIPIŃSKI,PL,26,H,20-34M,AML Slupsk,https://utmb.world/runner/4034887.mateusz.lipinski,,2.0,2.0,2.0,00:39:10,2350,True,f,
5096,Sébastien SOTOCA,FR,29,H,20-34M,Haut Vallespir Athlétisme,https://utmb.world/runner/435554.sebastien.sotoca,631.0,3.0,3.0,3.0,00:43:03,2583,True,f,
5082,Svitlana KOBETS,UA,26,F,20-34W,Kyiv region orienteering team,https://utmb.world/runner/7801287.svitlana.kobets,,4.0,1.0,1.0,00:47:55,2875,True,f,
5110,Egor KOPKIN,AN,32,H,20-34M,TRS,https://utmb.world/runner/4019326.egor.kopkin,608.0,5.0,4.0,4.0,00:48:14,2894,True,f,
5112,Carlos COMENDADOR,ES,33,H,20-34M,,https://utmb.world/runner/6362762.carlos.comendador,602.0,6.0,5.0,5.0,00:48:23,2903,True,f,
5002,Charly MIGUEL,FR,29,H,20-34M,team poulpo,https://utmb.world/runner/4162446.charly.miguel,640.0,7.0,6.0,6.0,00:48:35,2915,True,f,
5107,Elisabetta NEGRA,IT,39,F,35-39W,,https://utmb.world/runner/475375.elisabetta.negra,703.0,8.0,2.0,1.0,00:48:43,2923,True,f,
5004,Nicola BATTISTA,IT,31,H,20-34M,ASD ATLETICA CORREREPOLLINO,https://utmb.world/runner/6390385.nicola.battista,489.0,9.0,7.0,7.0,00:48:47,2927,True,f,
5053,Elia FERRANTI,IT,33,H,20-34M,FESSURA 1999,https://utmb.world/runner/7550805.elia.ferranti,,10.0,8.0,8.0,00:49:03,2943,True,f,
5104,Giuseppe PIGNATARO,IT,35,H,35-39M,Runners Ginosa,https://utmb.world/runner/7967095.giuseppe.pignataro,,11.0,9.0,1.0,00:49:16,2956,True,f,
5108,Giovanni PIZZULLI,IT,30,H,20-34M,Runners Ginosa,https://utmb.world/runner/7972757.giovanni.pizzulli,,12.0,10.0,9.0,00:50:15,3015,True,f,
5060,Brebeanu CĂTĂLIN,RO,36,H,35-39M,,https://utmb.world/runner/7627635.brebeanu.catalin,,13.0,11.0,2.0,00:50:34,3034,True,f,
5057,Adam TREPCZYNSKI,PL,34,H,20-34M,,https://utmb.world/runner/7573895.adam.trepczynski,,14.0,12.0,10.0,00:50:39,3039,True,f,
5105,Nicola ZANZARELLA,IT,38,H,35-39M,RUNNERS GINOSA,https://utmb.world/runner/7968025.nicola.zanzarella,,15.0,13.0,3.0,00:52:02,3122,True,f,
5007,Nikos MARINOS,GR,57,H,55-59M,,https://utmb.world/runner/5291835.nikos.marinos,468.0,16.0,14.0,1.0,00:52:09,3129,True,f,
5106,Anna STYLSKA,PL,35,F,35-39W,,https://utmb.world/runner/3684365.anna.stylska,469.0,17.0,3.0,2.0,00:53:01,3181,True,f,
5097,Omar NICOLINI,IT,50,H,50-54M,,https://utmb.world/runner/7947047.omar.nicolini,,18.0,15.0,1.0,00:53:12,3192,True,f,
5114,Matteo LUSSO,IT,42,H,40-44M,Trail Running Torino,https://utmb.world/runner/4838296.matteo.lusso,525.0,19.0,16.0,1.0,00:53:14,3194,True,f,
5102,Ciro Raffaele CARUSO,IT,50,H,50-54M,,https://utmb.world/runner/4230242.ciroraffaele.caruso,,20.0,17.0,2.0,00:53:23,3203,True,f,
5054,Federico BASSO,IT,25,H,20-34M,Fessura,https://utmb.world/runner/7550807.federico.basso,,21.0,18.0,11.0,00:54:12,3252,True,f,
5005,Beatrice SCRILATTI,IT,31,F,20-34W,Space Running ASD,https://utmb.world/runner/2186719.beatrice.scrilatti,478.0,22.0,4.0,2.0,00:54:51,3291,True,f,
5119,Keith-Birger TEUBNER,DE,59,H,55-59M,,https://utmb.world/runner/6890691.keithbirger.teubner,371.0,23.0,19.0,2.0,00:57:00,3420,True,f,
5063,Gabriele LONGO,IT,31,H,20-34M,,https://utmb.world/runner/7667097.gabriele.longo,,24.0,20.0,12.0,00:57:31,3451,True,f,
5008,Marcel MAGERMANS,NL,60,H,60-64M,LESSEAU,https://utmb.world/runner/1505741.marcel.magermans,458.0,25.0,21.0,1.0,00:57:53,3473,True,f,
5016,Giulia ANTONIOLI,IT,29,F,20-34W,,https://utmb.world/runner/4635642.giulia.antonioli,397.0,26.0,5.0,3.0,00:58:09,3489,True,f,
5011,Elisa LUSARDI,IT,29,F,20-34W,,https://utmb.world/runner/4054547.elisa.lusardi,440.0,26.0,5.0,3.0,00:58:09,3489,True,f,
5089,Marie IRRMANN,FR,31,F,20-34W,,https://utmb.world/runner/7846053.marie.irrmann,,28.0,7.0,5.0,00:58:58,3538,True,f,
5013,Tanja MAIOLI,IT,42,F,40-44W,,https://utmb.world/runner/7365698.tanja.maioli,430.0,29.0,8.0,1.0,00:59:05,3545,True,f,
5012,Cristina DE BACCO,IT,38,F,35-39W,Podistica canalet,https://utmb.world/runner/624247.cristina.debacco,440.0,30.0,9.0,3.0,00:59:12,3552,True,f,
5048,Mathilde LAROSE,FR,21,F,20-34W,,https://utmb.world/runner/7482185.mathilde.larose,,31.0,10.0,6.0,00:59:36,3576,True,f,
5093,Edward NADOBNIK,PL,52,H,50-54M,Sportowy Kazmierz,https://utmb.world/runner/7883449.edward.nadobnik,,32.0,22.0,3.0,01:00:09,3609,True,f,
5078,Pablo Maximiliano MOYA,AR,55,H,55-59M,,https://utmb.world/runner/7789553.pablomaximiliano.moya,,33.0,23.0,3.0,01:00:18,3618,True,f,
5083,Bruno MASTELLONE,IT,44,H,40-44M,Io,https://utmb.world/runner/7801297.bruno.mastellone,,34.0,24.0,2.0,01:00:31,3631,True,f,
5081,Villő KOCSIS,HU,24,F,20-34W,,https://utmb.world/runner/7798071.villo.kocsis,,35.0,11.0,7.0,01:02:06,3726,True,f,
