# Race: Puglia by Utmb 2025 - I Sassi di Matera 140km
# Distance: 144 km
# D+: 3800 m
# D-: 3800 m
# Date: 2025-11-07
# URL: https://live.utmb.world/puglia/2025
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
2,Marek CAUSIDIS,CZ,34,H,20-34M,SALOMON,https://utmb.world/runner/409207.marek.causidis,840.0,1.0,1.0,1.0,13:36:37,48997,True,f,
1,Davide CHERAZ,IT,33,H,20-34M,Team New Balance,https://utmb.world/runner/158119.davide.cheraz,860.0,2.0,2.0,2.0,14:09:16,50956,True,f,
12,André JONSSON,SE,40,H,40-44M,Duveds IF,https://utmb.world/runner/335551.andre.jonsson,763.0,3.0,3.0,1.0,14:25:11,51911,True,f,
3,Andy SYMONDS,GB,44,H,40-44M,SCOTT RUNNING,https://utmb.world/runner/5960.andy.symonds,837.0,4.0,4.0,2.0,14:49:44,53384,True,f,
4,Simone CORSINI,IT,33,H,20-34M,Hoka Italy,https://utmb.world/runner/653561.simone.corsini,825.0,5.0,5.0,3.0,15:16:19,54979,True,f,
8,Riccardo PIANESI,IT,34,H,20-34M,FESSURA,https://utmb.world/runner/2195185.riccardo.pianesi,788.0,6.0,6.0,4.0,15:30:15,55815,True,f,
41,Maxime BISSON,FR,33,H,20-34M,,https://utmb.world/runner/317303.maxime.bisson,682.0,7.0,7.0,5.0,15:32:47,56267,True,f,
9,Alexander LUKIN,AN,34,H,20-34M,Rabochaya Balajná,https://utmb.world/runner/2264233.alexander.lukin,778.0,8.0,8.0,6.0,15:41:23,56483,True,f,
7,Anastasia DAVYDOVA,AN,35,F,35-39W,,https://utmb.world/runner/3491637.anastasia.davydova,705.0,9.0,1.0,1.0,16:35:08,59708,True,f,
30,Alessandro SIMONCELLI,IT,35,H,35-39M,FUGA Mountain club,https://utmb.world/runner/2536887.alessandro.simoncelli,749.0,10.0,9.0,1.0,16:48:28,60508,True,f,
34,Timon GUNTHER,DE,27,H,20-34M,Salomon Running Team,https://utmb.world/runner/2269563.timon.gunther,725.0,11.0,10.0,7.0,17:04:38,61478,True,f,
16,Markus BRENNAUER,DE,45,H,45-49M,TSV Penzberg,https://utmb.world/runner/3275083.markus.brennauer,752.0,12.0,11.0,1.0,17:25:28,62728,True,f,
53,Alex TUCCI,IT,35,H,35-39M,Team New Balance,https://utmb.world/runner/345349.alex.tucci,652.0,13.0,12.0,2.0,17:27:53,62873,True,f,
44,Senne DE SCHOUWER,BE,38,H,35-39M,Runnerslab,https://utmb.world/runner/749736.senne.deschouwer,678.0,14.0,13.0,3.0,17:40:19,63619,True,f,
52,Tobias ZÖLLER,DE,28,H,20-34M,VfL Waldbreitbach,https://utmb.world/runner/6675511.tobias.zoller,657.0,15.0,14.0,8.0,17:41:43,63703,True,f,
71,Gentian LIKAJ,XK,38,H,35-39M,KTRA-KOSOVO TRAIL RUNNING ASSOCIATION,https://utmb.world/runner/2695747.gentian.likaj,619.0,16.0,15.0,4.0,18:42:14,67334,True,f,
11,Juste RAIMBAULT,FR,36,H,35-39M,AS IGN,https://utmb.world/runner/4162981.juste.raimbault,764.0,17.0,16.0,5.0,18:53:47,68027,True,f,
59,Anton VOGELEER,BE,29,H,20-34M,,https://utmb.world/runner/4429290.anton.vogeleer,637.0,18.0,17.0,9.0,19:13:55,69235,True,f,
