# Race: QUITO TRAIL by UTMB 2024 - 7K HUMBOLDT
# Distance: 8 km
# D+: 450 m
# D-: 450 m
# Date: 2024-08-04
# URL: https://live.utmb.world/quitobyutmb/2024
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
4026,Roberth Paul GUACHAMIN RAIMUNDO,EC,21,H,20-34M,A2 AVENTURA,https://utmb.world/runner/4220217.roberthpaul.guachaminraimundo,658.0,1.0,1.0,1.0,00:47:09,2829.66,True,f,
4001,Abel HERRERA,EC,17,H,15-17M,Tema Retos / Montenegro Team,https://utmb.world/runner/5558393.abel.herrera,627.0,2.0,2.0,1.0,00:47:49,2869.78,True,f,
4580,Cristian DE LA CRUZ,EC,31,H,20-34M,FEDEME TEAM,https://utmb.world/runner/6356317.cristian.delacruz,,3.0,3.0,2.0,00:48:33,2913.62,True,f,
4582,Daniel COQUE,EC,30,H,20-34M,Team Fedeme,https://utmb.world/runner/6355961.daniel.coque,,4.0,4.0,3.0,00:50:08,3008.45,True,f,
4250,Jose QUISHPE,EC,38,H,35-39M,Lumbi Chaskis,https://utmb.world/runner/6218969.jose.quishpe,,5.0,5.0,1.0,00:51:32,3092.8,True,f,
4406,Luis Eduardo TIPAN RAMIREZ,EC,46,H,45-49M,RUTA 42,https://utmb.world/runner/830576.luiseduardo.tipanramirez,,6.0,6.0,1.0,00:51:33,3093.98,True,f,
4003,Joaquin ROBALINO ENCALADA,EC,15,H,14 M,,https://utmb.world/runner/4450318.joaquin.robalinoencalada,546.0,7.0,7.0,1.0,00:52:04,3124.85,True,f,
4535,Franklin PACURUCU,EC,41,H,40-44M,P4alcuadrado Team,https://utmb.world/runner/3046445.franklin.pacurucu,,8.0,8.0,1.0,00:52:09,3129.1,True,f,
4331,Lenin Alejandro VILLACRESES PALLO,EC,35,H,20-34M,D_Mentes Trail Runners,https://utmb.world/runner/6242697.leninalejandro.villacresespallo,,9.0,9.0,4.0,00:54:15,3255.13,True,f,
4005,Mateo GUERRA,EC,17,H,15-17M,No,https://utmb.world/runner/5277390.mateo.guerra,468.0,10.0,10.0,2.0,00:56:20,3380.27,True,f,
4027,Diego ZHINGRE,EC,25,H,20-34M,Trail Runers Gualaceo,https://utmb.world/runner/5129862.diego.zhingre,507.0,11.0,11.0,5.0,00:56:29,3389.18,True,f,
4075,Juan Carlos CAJAMARCA ZHINGRE,EC,16,H,15-17M,Trail Runners Gualaceo,https://utmb.world/runner/5590545.juancarlos.cajamarcazhingre,,12.0,12.0,3.0,00:57:03,3423.05,True,f,
4028,Luis HERNÁNDEZ,EC,45,H,40-44M,San pedro,https://utmb.world/runner/5931314.luis.hernandez,484.0,13.0,13.0,2.0,00:57:21,3441.51,True,f,
4378,Roberto LAGLA,EC,33,H,20-34M,,https://utmb.world/runner/6300927.roberto.lagla,408.0,14.0,14.0,6.0,00:58:48,3528.3,True,f,
4155,Pablo GUEVARA,EC,21,H,20-34M,Guevara's Team,https://utmb.world/runner/6271593.pablo.guevara,,15.0,15.0,7.0,00:58:50,3530.32,True,f,
4497,Pedro JARA NARANJO,EC,17,H,15-17M,,https://utmb.world/runner/5931414.pedro.jaranaranjo,,16.0,16.0,4.0,00:58:52,3532.96,True,f,
4373,Steven GUAMAN,EC,26,H,20-34M,,https://utmb.world/runner/6301993.steven.guaman,,17.0,17.0,8.0,00:59:13,3553.49,True,f,
4004,Geovanna VALLEJO,EC,20,F,18-19W,A2 Aventura,https://utmb.world/runner/4928600.geovanna.vallejo,468.0,18.0,1.0,1.0,00:59:58,3598.35,True,f,
4556,Steffy SALAZAR,EC,31,F,20-34W,Baños de Agua Santa,https://utmb.world/runner/6306587.steffy.salazar,,19.0,2.0,1.0,01:00:11,3611.95,True,f,
4454,Andrés Paúl CAJAS,EC,27,H,20-34M,CG FITNESS,https://utmb.world/runner/6304723.andrespaul.cajas,,20.0,18.0,9.0,01:00:17,3617.24,True,f,
