# Race: Restonica Trail by UTMB® 2022 - Tavignanu Trail
# Distance: 32.5 km
# D+: 2250 m
# D-: 2250 m
# Date: 2022-07-09
# URL: https://live.utmb.world/restonica/2022
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
1503,Anthony QUILICI,FR,39,H,M0 M,AS FIGARELLA ,https://utmb.world/runner/671310.anthony.quilici,775.0,1.0,1.0,1.0,03:29:32,12572.67,True,f,
1005,Josselin ABERLENC,FR,40,H,M0 M,Association la maison du ptit monde,https://utmb.world/runner/2173857.josselin.aberlenc,785.0,2.0,2.0,2.0,03:41:59,13319.75,True,f,
1001,Guillaume COURIAS,FR,28,H,SE M,Running Conseil Avignon / La Loriolade,https://utmb.world/runner/585775.guillaume.courias,782.0,3.0,3.0,1.0,03:54:05,14045.05,True,f,
1523,Vincent VIET,FR,42,H,M0 M,ASPTT Annecy,https://utmb.world/runner/10648.vincent.viet,844.0,4.0,4.0,3.0,03:55:07,14107.69,True,f,
1006,Lilian GUGLIERO,FR,28,H,SE M,Team Uglow France,https://utmb.world/runner/2029493.lilian.gugliero,688.0,5.0,5.0,2.0,03:56:47,14207.11,True,f,
1532,Ugo LEBESGUE,FR,25,H,ES M,,,,6.0,6.0,1.0,03:57:46,14266.88,True,f,
1371,Sebastien GIAMBERNARDI,FR,30,H,SE M,,https://utmb.world/runner/4170734.sebastien.giambernardi,512.0,7.0,7.0,3.0,03:58:27,14307.85,True,f,
1008,Florent DUSSAUZE,FR,39,H,M0 M,Team EDF - CMCAS,https://utmb.world/runner/1428735.florent.dussauze,710.0,8.0,8.0,4.0,04:02:05,14525.02,True,f,
1349,Thibaut GEFFARD,FR,33,H,SE M,T.R’aining Like Pro,https://utmb.world/runner/341677.thibaut.geffard,697.0,9.0,9.0,4.0,04:03:01,14581.67,True,f,
1034,Jonathan PERRIER,FR,45,H,M1 M,CA BASTIA,https://utmb.world/runner/2277833.jonathan.perrier,672.0,10.0,10.0,1.0,04:05:14,14714.46,True,f,
1389,Gwen-Mael RENOUF,FR,30,H,SE M,,,,11.0,11.0,5.0,04:05:47,14747.39,True,f,
1003,Guillaume LENORMAND,FR,49,H,M2 M,Team Restonica Trail,https://utmb.world/runner/8290.guillaume.lenormand,766.0,12.0,12.0,1.0,04:06:28,14788.51,True,f,
1230,Jean François MORETTI,FR,37,H,SE M,,https://utmb.world/runner/4473109.jeanfrancois.moretti,,13.0,13.0,6.0,04:08:08,14888.0,True,f,
1084,Corentin FOURNI,FR,30,H,SE M,,https://utmb.world/runner/3265383.corentin.fourni,512.0,14.0,14.0,7.0,04:08:54,14934.47,True,f,
1459,Théo MICHEL,FR,25,H,ES M,,https://utmb.world/runner/4536717.theo.michel,,15.0,15.0,2.0,04:11:54,15114.45,True,f,
1025,David RODRIGUEZ,FR,35,H,SE M,,https://utmb.world/runner/3859577.david.rodriguez,712.0,16.0,16.0,8.0,04:13:26,15206.58,True,f,
1012,Giacomo ROSSI,IT,50,H,M2 M,RUNCARD,https://utmb.world/runner/952369.giacomo.rossi,682.0,17.0,17.0,2.0,04:15:27,15327.52,True,f,
1016,Emilien MUSARD,FR,39,H,M0 M,Running Conseil Echirolles,https://utmb.world/runner/1374439.emilien.musard,660.0,18.0,18.0,5.0,04:16:30,15390.92,True,f,
1014,Colas MASI,FR,35,H,SE M,,https://utmb.world/runner/3088009.colas.masi,669.0,19.0,19.0,9.0,04:16:38,15398.93,True,f,
1013,William SEYCHELLES,FR,33,H,SE M,SAUMUR TRAIL ACADEMIE,https://utmb.world/runner/2267417.william.seychelles,659.0,20.0,20.0,10.0,04:17:35,15455.62,True,f,
1004,Julien BRUNET,FR,29,H,SE M,Team Provence Endurance,https://utmb.world/runner/858502.julien.brunet,782.0,21.0,21.0,11.0,04:18:51,15531.63,True,f,
1330,Stephane VIGHETTI,FR,41,H,M0 M,,https://utmb.world/runner/1603465.stephane.vighetti,,22.0,22.0,6.0,04:18:52,15532.35,True,f,
1348,Léna BONNEL,FR,29,F,SE F,Maurienne Skialpinisme,https://utmb.world/runner/4242040.lena.bonnel,674.0,23.0,1.0,1.0,04:23:29,15809.59,True,f,
1021,Candice BONNEL,FR,31,F,SE F,Maurienne Skialpinisme,https://utmb.world/runner/348020.candice.bonnel,620.0,24.0,2.0,2.0,04:23:34,15814.43,True,f,
