# Race: Restonica Trail by UTMB® 2022 - Relais Ultra-Trail® di Corsica
# Distance: 107.7 km
# D+: 7200 m
# D-: 7200 m
# Date: 2022-07-07
# URL: https://live.utmb.world/restonica/2022
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
457, La Suarellaise/GFCA,FR,2025,H,H,"La Suarellaise,GFCA",,700.0,1,1,1,16:04:39,57879.09,True,f,
460, Les Ratz ,FR,2025,F,Mx,,,595.0,2,1,1,16:39:47,59987.04,True,f,
451, AS FIGARELLA 1,FR,2025,H,H,AS FIGARELLA ,,637.0,3,2,2,16:43:51,60231.05,True,f,
456, La 4ème Compagnie ,FR,2025,H,H,",CA Bastia",,599.0,4,3,3,17:28:03,62883.12,True,f,
475, Spinghji focu l isula ,"FR,IE",2025,H,Mx,"E muvre balanine,",,582.0,5,4,2,17:29:12,62952.82,True,f,
453, I SPENGHJIFOCHI,FR,2025,H,H,"AS FIGARELLA,AC CORTE,Muntagne Corse",,530.0,6,5,4,19:35:02,70502.61,True,f,
452, BALANINI,FR,2025,H,H,",E Muvre Balanine",,605.0,7,6,5,20:26:38,73598.24,True,f,
455, I vecchji gladiatori,FR,2025,H,H,I vecchji gladiatori,,506.0,8,7,6,20:29:34,73774.62,True,f,
459, Les 4D-Cats,FR,2025,H,H,"Team Decathlon Triathlon,Team Decathlon triathlon Corsica ,Decathlon",,604.0,9,8,7,21:20:20,76820.19,True,f,
469, StéNathNicoPierre équipe EPS Corté,FR,2025,H,Mx,"AC Corté ,",,,10,9,3,22:16:51,80211.66,True,f,
470, TEAM CASINCA,FR,2025,H,Mx,CASINCA TRAIL - ICA,,610.0,11,10,4,22:18:07,80287.29,True,f,
472, TEAM EDF-CMCAS,FR,2025,H,H,Team EDF - CMCAS,,490.0,12,11,8,22:51:16,82276.22,True,f,
473, Trailers Extrême Sud 1,FR,2025,H,Mx,"Trailers Extrême Sud,",,495.0,13,12,5,23:10:16,83416.12,True,f,
454, I triponi ,FR,2025,H,H,,,379.0,14,13,9,23:35:19,84919.13,True,f,
474, U Miraculu,FR,2025,H,H,",CIGNALI SARTINESI",,563.0,15,14,10,24:15:42,87342.02,True,f,
471, Team DESTAS,FR,2025,H,Mx,,,473.0,16,15,6,26:00:25,93625.67,True,f,
468, Lucciana Atletismu 8,FR,2025,H,Mx,LUCCIANA ATLETISMU,,,17,16,7,27:51:52,100312.73,True,f,
466, Lucciana Atletismu 6,FR,-39,H,Mx,LUCCIANA ATLETISMU,,436.0,17,16,7,27:51:52,100312.95,True,f,
467, Lucciana Atletismu 7,FR,2025,H,H,LUCCIANA ATLETISMU,,512.0,17,16,11,27:51:52,100312.73,True,f,
463, Lucciana Atletismu 3,FR,2025,H,Mx,LUCCIANA ATLETISMU,,502.0,17,16,7,27:51:52,100312.95,True,f,
461, Lucciana Atletismu 1 I Panzarotti,FR,2025,H,Mx,LUCCIANA ATLETISMU,,,17,16,7,27:51:52,100312.73,True,f,
462, Lucciana Atletismu 2,FR,2025,H,Mx,LUCCIANA ATLETISMU,,,17,16,7,27:51:52,100312.73,True,f,
465, Lucciana Atletismu 5,FR,-39,H,Mx,LUCCIANA ATLETISMU,,,17,16,7,27:51:52,100312.73,True,f,
464, Lucciana Atletismu 4,FR,2025,H,Mx,Lucciana Atletismu ,,557.0,17,16,7,27:51:52,100312.72,True,f,
458, Last and Furious,FR,2025,H,H,Last & Furious,,365.0,25,24,12,33:15:57,82684.0,False,a,
