# Race: Restonica Trail by UTMB 2025 - Giru di Tumbone
# Distance: 17 km
# D+: 650 m
# D-: 650 m
# Date: 2025-07-04
# URL: https://live.utmb.world/restonica/2025
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
4002,Sébastien GIAMBERNARDI,FR,30,H,SE H,,https://utmb.world/runner/4170734.sebastien.giambernardi,755.0,1.0,1.0,1.0,01:18:41,4721.63,True,f,
4025,Lenzo BATTAGLINI,CH,22,H,ES H,TEAM GENEVE TRAIL,,,2.0,2.0,1.0,01:19:57,4797.63,True,f,
4020,Madani IADADAINE,FR,24,H,SE H,Gfca,https://utmb.world/runner/5042176.madani.iadadaine,606.0,3.0,3.0,2.0,01:21:43,4903.568,True,f,
4023,Axel MONDAIN,FR,27,H,SE H,GFCA Athlétisme,https://utmb.world/runner/2029739.axel.mondain,585.0,4.0,4.0,3.0,01:22:20,4940.829,True,f,
4024,Émile VENDASI,FR,36,H,M0 H,A Furmicula,https://utmb.world/runner/5141608.emile.vendasi,645.0,5.0,5.0,1.0,01:22:58,4978.428,True,f,
4007,Stefane COSTA,FR,25,H,SE H,AS Figarella,https://utmb.world/runner/5306793.stefane.costa,651.0,6.0,6.0,4.0,01:23:20,5000.229,True,f,
4011,Alain FILONI,IT,36,H,M0 H,amorotto asd,https://utmb.world/runner/2387889.alain.filoni,640.0,7.0,7.0,2.0,01:25:19,5119.828,True,f,
4001,Aurélien BERTHOLET,CH,30,H,SE H,CABV Martigny,https://utmb.world/runner/973123.aurelien.bertholet,769.0,8.0,8.0,5.0,01:25:34,5134.292,True,f,
4383,Rémi BOUTEILLE,FR,29,H,SE H,Faucigny Atletic Club,https://utmb.world/runner/1250033.remi.bouteille,687.0,9.0,9.0,6.0,01:27:10,5230.469,True,f,
4012,Sylvain MONTET,FR,43,H,M1 H,CA Bastia,https://utmb.world/runner/4065127.sylvain.montet,626.0,10.0,10.0,1.0,01:28:34,5314.671,True,f,
4010,Nabil EL WAHIDI,FR,34,H,SE H,Bergerac Athlétique Club,https://utmb.world/runner/3265373.nabil.elwahidi,640.0,11.0,11.0,7.0,01:29:42,5382.529,True,f,
4473,Chris FISHLOCK,GB,49,H,M2 H,Leeds City AC,https://utmb.world/runner/7368207.chris.fishlock,,12.0,12.0,1.0,01:30:37,5437.829,True,f,
4046,Anthony CERTAL DO PACO,FR,28,H,SE H,,https://utmb.world/runner/6261527.anthony.certaldopaco,560.0,13.0,13.0,8.0,01:30:51,5451.729,True,f,
4014,Camille HORRACH,FR,21,H,ES H,,https://utmb.world/runner/6965738.camille.horrach,623.0,14.0,14.0,2.0,01:31:08,5468.028,True,f,
4018,Jean Mathieu LEANDRI,FR,36,H,M0 H,À PAOLONA,https://utmb.world/runner/1581179.jeanmathieu.leandri,609.0,15.0,15.0,3.0,01:31:10,5470.73,True,f,
4009,Diego LOFINO,IT,40,H,M1 H,Piano Ma Arriviamo,https://utmb.world/runner/6252465.diego.lofino,648.0,16.0,16.0,2.0,01:31:30,5490.43,True,f,
4008,Alexandra YATZIMIRSKY,FR,24,F,SE F,,https://utmb.world/runner/5749462.alexandra.yatzimirsky,651.0,17.0,1.0,1.0,01:32:07,5527.728,True,f,
4634,Paul MORA,FR,21,H,ES H,,https://utmb.world/runner/7272979.paul.mora,,18.0,17.0,3.0,01:32:26,5546.629,True,f,
4390,William PETIT,FR,44,H,M1 H,Ao CHARENTON,,,19.0,18.0,3.0,01:33:28,5608.227,True,f,
4006,Rémi MARCHAL,FR,33,H,SE H,,https://utmb.world/runner/2311543.remi.marchal,656.0,20.0,19.0,9.0,01:33:50,5630.589,True,f,
4042,Benjamin MARCHAND,FR,27,H,SE H,Enduro Athletic Team,https://utmb.world/runner/5243071.benjamin.marchand,567.0,21.0,20.0,10.0,01:34:31,5671.43,True,f,
4017,Maxime BALLET,FR,35,H,M0 H,Club Sportif Valromey Retord,https://utmb.world/runner/1950467.maxime.ballet,611.0,22.0,21.0,4.0,01:34:56,5696.149,True,f,
4048,François CASAMATTA,FR,22,H,ES H,Redolat Team,https://utmb.world/runner/6212985.francois.casamatta,555.0,23.0,22.0,4.0,01:35:42,5742.428,True,f,
4015,Vincent TROUCHE,FR,27,H,SE H,Ange-Toussaint Running Club,https://utmb.world/runner/5670062.vincent.trouche,613.0,24.0,23.0,11.0,01:35:50,5750.69,True,f,
4026,Maëlys DEVOS,FR,30,F,SE F,CTCA,https://utmb.world/runner/4045389.maelys.devos,603.0,25.0,2.0,2.0,01:36:16,5776.728,True,f,
4062,Eric WERMELINGER,CH,22,H,ES H,LA Villmergen,https://utmb.world/runner/6265967.eric.wermelinger,526.0,26.0,24.0,5.0,01:36:37,5797.829,True,f,
4044,Jean Baptiste GIORGETTI,FR,37,H,M0 H,I CERVI VENACHESI,https://utmb.world/runner/968433.jeanbaptiste.giorgetti,561.0,27.0,25.0,5.0,01:36:45,5805.73,True,f,
4775,Adrien LIPRANDI,FR,34,H,SE H,,https://utmb.world/runner/7438311.adrien.liprandi,,28.0,26.0,12.0,01:36:48,5808.068,True,f,
4027,Jeremy BRUNETTE,FR,33,H,SE H,,https://utmb.world/runner/4476604.jeremy.brunette,603.0,29.0,27.0,13.0,01:36:53,5813.989,True,f,
4036,Thomas CULUS,BE,31,H,SE H,,https://utmb.world/runner/2674011.thomas.culus,566.0,30.0,28.0,14.0,01:36:59,5819.93,True,f,
4807,Matheo PASCAL,FR,23,H,SE H,OLIBIKE 2A,,,31.0,29.0,15.0,01:37:03,5823.868,True,f,
4791,Jean-Michel RAFFAELLI,FR,28,H,SE H,,https://utmb.world/runner/5310089.jeanmichel.raffaelli,535.0,32.0,30.0,16.0,01:37:42,5862.53,True,f,
4031,Christophe SCHIOCCHET,FR,35,H,M0 H,,https://utmb.world/runner/5717966.christophe.schiocchet,585.0,33.0,31.0,6.0,01:37:51,5871.43,True,f,
4095,Pierre François ORRU,FR,19,H,JU H,,https://utmb.world/runner/6190088.pierrefrancois.orru,484.0,34.0,32.0,1.0,01:38:21,5901.728,True,f,
4029,Renan DAUMALIN,FR,31,H,SE H,,https://utmb.world/runner/4007540.renan.daumalin,599.0,35.0,33.0,17.0,01:39:09,5949.708,True,f,
4590,Luca DAZZI,CH,26,H,SE H,,https://utmb.world/runner/7285205.luca.dazzi,,36.0,34.0,18.0,01:39:14,5954.629,True,f,
4049,Anthony MURATI,FR,39,H,M0 H,,https://utmb.world/runner/5311929.anthony.murati,555.0,37.0,35.0,7.0,01:39:22,5962.229,True,f,
4464,Rhiannon PATON,GB,22,F,ES F,Westbury Harriers,https://utmb.world/runner/7098269.rhiannon.paton,,38.0,3.0,1.0,01:39:48,5988.69,True,f,
4030,Irene GLAREY,IT,29,F,SE F,CALVESI,https://utmb.world/runner/4570000.irene.glarey,598.0,39.0,4.0,3.0,01:40:14,6014.428,True,f,
4386,Pierre-François MORACCHINI,FR,31,H,SE H,CRX,https://utmb.world/runner/6103650.pierrefrancois.moracchini,,40.0,36.0,19.0,01:40:47,6047.929,True,f,
4736,Fabien POLVERELLI,FR,30,H,SE H,Haute altitude ajaccio,https://utmb.world/runner/1428339.fabien.polverelli,594.0,40.0,36.0,19.0,01:40:47,6047.229,True,f,
4704,Thomas RANDAZZO,FR,29,H,SE H,Haute Altitude Ajaccio,https://utmb.world/runner/7213781.thomas.randazzo,,42.0,38.0,21.0,01:41:05,6065.17,True,f,
4551,Beth RAWLINSON,GB,20,F,ES F,Wolverhampton and Bilston,https://utmb.world/runner/7098267.beth.rawlinson,608.0,43.0,5.0,2.0,01:41:40,6100.629,True,f,
4087,Stéphane DEMUYNCK,FR,57,H,M4 H,,https://utmb.world/runner/43546.stephane.demuynck,496.0,44.0,39.0,1.0,01:41:43,6103.727,True,f,
